conv:people_2019081901_108:aug_0:chat_0:chataug_0| gregory malcolm| [person:gregory m 0-0][person:malcolm m 1-1]
nicholas| There s a sports bar about halfway between our place and their place if I could just remember the name of it| [location:sports_bar s 0-0][location:sports_bar s 3-4][person:us g(nicholas:walt) 8-8][location:place s 9-9][person:they g(benjamin:wayne) 11-11][location:place s 12-12][person:nicholas m 14-14]
walt| Are you talking about that one on Blatchford Avenue The place with the pool tables| [person:nicholas m 1-1][location:blatchford_avenue s 7-8][location:sports_bar s 10-10]
nicholas| That s the one They ve got those great wings and burgers and really good drinks| [person:they g(benjamin:wayne) 4-4]
walt| Yeah I like that place I m pretty sure those guys will like it too| [person:walt m 1-1][location:sports_bar s 4-4][person:walt m 5-5][location:sports_bar s 13-13]

conv:people_2019081901_117:aug_0:chat_0:chataug_0| dorothy george| [person:dorothy f 0-0][person:george m 1-1]
dorothy| I have class Friday night so that s not a good time| [person:dorothy f 0-0]
george| Saturday morning I m coaching a game How about Sunday morning for brunch| [person:george m 2-2]
dorothy| Sounds wonderful I have some new recipes that I have been waiting to try| [person:dorothy f 2-2][person:dorothy f 8-8]
dorothy| Wait We have that church meeting on Sunday remember| [person:we g(dorothy:george) 1-1][location:church s 4-4]
george| Oh yeah I forgot about that| [person:george m 2-2]
dorothy| We should just wait until next Saturday and have the Smiths and Robinsons over for brunch| [person:we g(dorothy:george) 0-0][person:smiths g() 10-10][person:robinsons g() 12-12]
george| Yeah sounds good I m free next weekend| [person:george m 3-3]
dorothy| So brunch next Saturday morning it is|
george| Yes I ll tell the Smiths and you tell the Robinsons since you work with them| [person:george m 1-1][person:smiths g() 5-5][person:dorothy f 7-7][person:robinsons g() 10-10][person:dorothy f 12-12][person:we g(dorothy:george) 15-15]
dorothy| Okay great I ll tell them tomorrow| [person:dorothy f 2-2][person:we g(dorothy:george) 5-5]
george| I ll call the Smiths up and invite them now| [person:george m 0-0][person:smiths g() 4-4][person:we g(dorothy:george) 8-8]

conv:people_2019081901_119:aug_0:chat_0:chataug_0| bryan scott| [person:bryan m 0-0][person:scott m 1-1]
bryan| Hey Scott what s going on| [person:scott m 1-1]
scott| Hi Bryan how is your family doing| [person:bryan m 1-1][person:bryan m 4-4][person:family g() 5-5]
bryan| My family is great how about yours| [person:bryan m 0-0][person:family g() 1-1][person:scott m 6-6]
scott| Good Do you want to go to breakfast together| [person:bryan m 2-2]
bryan| Sure that sounds terrific How about we invite some friends| [person:we g(bryan:scott) 6-6][person:friends g() 9-9]
scott| Yes let s invite Douglas and Robert to breakfast| [person:douglas m 4-4][person:robert m 6-6]
bryan| Well I was thinking maybe just Robert because Douglas is particular about always needing Italian| [person:bryan m 1-1][person:robert m 6-6][person:douglas m 8-8]
scott| That s okay because they have a buffet with Italian and other cultures on 5th street We could go there| [person:they g(douglas:robert) 4-4][location:street s 15-15][person:we g(bryan:scott) 16-16][location:street s 19-19]
bryan| Okay that sounds like a plan Let s do it|
scott| Great I ll meet you there at 10 am I can call our friends and have them meet us too| [person:scott m 1-1][person:scott m 4-4][person:scott m 9-9][person:we g(bryan:scott) 12-12][person:friends g() 13-13][person:friends g() 16-16][person:we g(bryan:scott) 18-18]

conv:people_2019081901_120:aug_0:chat_0:chataug_0| cynthia lara| [person:cynthia f 0-0][person:lara f 1-1]
cynthia| Hi Lara are you free right now| [person:lara f 1-1][person:lara f 3-3]
lara| I don t think so why did you ask| [person:lara f 0-0][person:cynthia f 7-7]
cynthia| My friend Marilyn is going to visit me today but I am currently busy so am unable to fetch her| [person:cynthia f 0-0][person:friend m 1-1][person:cynthia f 2-2][person:lara f 7-7][person:lara f 10-10][person:friend f 19-19]
cynthia| I wanted to check if you would be free to help me pick her up from the play school| [person:cynthia f 0-0][person:cynthia f 5-5][person:cynthia f 11-11][person:friend f 13-13][location:school s 18-18]
lara| Sorry I don t think I can help you now as I am going to meet Albert soon| [person:lara f 1-1][person:lara f 5-5][person:cynthia f 8-8][person:lara f 11-11][person:friend m 16-16]
cynthia| Do you think it would be possible for you to reschedule your meeting with Albert| [person:lara f 1-1][person:cynthia f 8-8][person:lara f 11-11][person:friend m 14-14]
lara| That would be quite troublesome for me and I wouldn t want to inconvenience Albert| [person:cynthia f 6-6][person:lara f 8-8][person:friend m 14-14]
cynthia| Just help me this once please I owe you a favor this is important to me| [person:lara f 2-2][person:cynthia f 6-6][person:lara f 8-8][person:cynthia f 15-15]
lara| Fine you owe me this time I will pick up Marilyn from the play school then| [person:cynthia f 1-1][person:lara f 3-3][person:lara f 6-6][person:friend f 10-10][location:school s 14-14]
cynthia| Oh my thank you so much I really appreciate your help| [person:cynthia f 1-1][person:lara f 3-3][person:cynthia f 6-6][person:lara f 9-9]
lara| No worries be glad to help you| [person:cynthia f 6-6]

conv:people_2019081901_121:aug_0:chat_0:chataug_0| jack jerry| [person:jack m 0-0][person:jerry m 1-1]
jack| Hey Jerry how s it going| [person:jerry m 1-1]
jerry| It s going well just been busy with work but all is good how about yourself| [person:jack m 15-15]
jack| It s good I feel like we haven t caught up in a while| [person:jack m 3-3][person:we g(jack:jerry) 6-6]
jack| So I wanted to invite you Mike and Christine out for lunch It would be like old times| [person:jack m 1-1][person:jerry m 5-5][person:mike m 6-6][person:christine f 8-8]
jerry| Hahah that would be awesome What day were you planning on| [person:jack m 8-8]
jack| Hmmm I m not sure yet what day works for you| [person:jack m 1-1][person:jerry m 10-10]
jack| I know that you and Christine are always so busy She mentioned that Sunday would be a great day| [person:jack m 0-0][person:jerry m 3-3][person:christine f 5-5][person:christine f 10-10]
jerry| Hmmmm I actually think I can do Sunday I have nothing going on that day| [person:jerry m 1-1][person:jerry m 4-4][person:jerry m 8-8]
jack| Perfect Sunday is it What time|
jerry| How about anytime after noon|
jerry| I like to enjoy my mornings and sleep in on Sunday| [person:jerry m 0-0][person:jerry m 4-4]
jack| You ve got it meet at SUR restaurant around 130pm for lunch with the others| [person:jerry m 0-0][location:restaurant s 7-7][person:others g(jack:jerry:mike:christine) 14-14]
jerry| Sweet thanks for inviting me I ll see you on Sunday| [person:jerry m 4-4][person:jerry m 5-5][person:jack m 8-8]

conv:people_2019081901_122:aug_0:chat_0:chataug_0| brian juan| [person:brian m 0-0][person:juan m 1-1]
juan| Hi|
juan| are you free on tomorrwo| [person:brian m 1-1]
juan| if you are free on tomorrow we can go for a dinner at any good restaurant| [person:brian m 1-1][person:we g(juan:brian) 6-6][location:restaurant s 15-15]
brian| oh yes i am free on tomorrow| [person:brian m 2-2]
brian| sure we can go to any good restaurant can i invite my friends to join| [person:we g(juan:brian) 1-1][location:restaurant s 7-7][person:brian m 9-9][person:brian m 11-11][person:friends g() 12-12]
juan| oh sure who are they| [person:they g() 4-4]
brian| can i invite Victoria and Pedro| [person:brian m 1-1][person:victoria f 3-3][person:pedro m 5-5]
juan| sure you can invite them we can go to any good restaurant do you know which is the best restaurant| [person:brian m 1-1][person:they g(pedro:victoria) 4-4][person:we g(juan:brian:victoria:pedro) 5-5][location:restaurant s 11-11][person:brian m 13-13][location:restaurant s 19-19]
brian| can we go to Blue Hill restaurant at 5 Washington Pl New York NY 10011 USA| [person:we g(juan:brian:victoria:pedro) 1-1][location:blue_hill s 4-5][location:blue_hill s 6-6][location:washington s 9-9][location:new_york s 11-12][location:new_york s 13-13][location:usa s 15-15]
juan| no find any other good restaurant| [location:restaurant s 5-5]
brian| what about Le Bernardin restaurant at 155 W 51st St New York NY 10019 USA| [location:le_bernardin s 2-3][location:le_bernardin s 4-4][location:new_york s 10-11][location:new_york s 12-12][location:usa s 14-14]
juan| yes it seems good we can meet there at 8 pm on tomorrow please inform to Victoria and Pedro| [location:le_bernardin s 1-1][person:we g(juan:brian:victoria:pedro) 4-4][location:le_bernardin s 7-7][person:victoria f 16-16][person:pedro m 18-18]
brian| Okay i will inform to Victoria and Pedro see you on tomorrow bye| [person:brian m 1-1][person:victoria f 5-5][person:pedro m 7-7][person:juan m 9-9]
juan| bye|

conv:people_2019081901_126:aug_0:chat_0:chataug_0| dylan edgar| [person:dylan m 0-0][person:edgar m 1-1]
edgar| Hey man I m trying to put together an anniversary party for the Rodgers but I m having a hard time deciding upon the location Thought you might help| [person:edgar m 2-2][person:edgar m 15-15][person:dylan m 26-26]
dylan| Sure man anything for you But as you know I do not know them well What kind of parties do they like| [person:edgar m 4-4][person:edgar m 7-7][person:dylan m 9-9][person:edgar m 13-13][person:dylan m 20-20]
edgar| I m not exactly sure that s why I m finding it a bit difficult to decide| [person:edgar m 0-0][person:edgar m 8-8]
dylan| You know what Isn t Austin friends with Christian Maybe we can call him for some suggestions| [person:edgar m 0-0][person:austin m 5-5][person:edgar m 6-6][person:austin m 8-8][person:austin m 10-10][person:dylan m 13-13]
edgar| Yeah already did that but he s on vacation and he doesn t exactly have the best cell reception| [person:austin m 5-5][person:austin m 10-10]
edgar| Maybe I ll try again later today| [person:dylan m 1-1]
dylan| You know what I just remembered that you told me that Denise was blown away by the island resort you and them went to last year| [person:edgar m 0-0][person:dylan m 3-3][person:edgar m 7-7][person:edgar m 9-9][person:austin m 11-11][person:edgar m 19-19][person:dylan m 21-21]
dylan| Maybe you can try and set up a nice reception there| [person:edgar m 1-1]
edgar| Man you re a life saver I actually know the manager there and he owes me one| [person:dylan m 1-1][person:edgar m 6-6][person:austin m 13-13][person:edgar m 15-15]
dylan| Glad to be of assistance Maybe as a Thank you I ll receive an invitation| [person:edgar m 9-9][person:dylan m 10-10]
edgar| Sure you were already on the list Thanks again man| [person:dylan m 1-1]

conv:people_2019081901_128:aug_0:chat_0:chataug_0| james lara| [person:james m 0-0][person:lara f 1-1]
james| We should arrange the get together so that everybody enjoys| [person:we g(james:lara) 0-0][person:everybody g() 8-8]
lara| you are right and we will list out the things for the lunch| [person:james m 0-0][person:we g(james:lara) 4-4]
james| You list out the things i should get while coming back from work| [person:lara f 0-0][person:james m 5-5]
lara| Okay that is perfect as i can proceed with house hold things| [person:lara f 5-5]
james| It would be better to consider each one s favourite while selecting items for lunch|
lara| They all like chicken dishes| [person:everybody g() 0-0]
james| okay will get some chicken dry items along with some food and burgers|
lara| That is fine and you better get some drinks along with that| [person:james m 4-4]
james| Okay fine everything is sorted out|
lara| okay then i will arrange for other things at home| [person:lara f 2-2][location:home s 9-9]

conv:people_2019081901_129:aug_0:chat_0:chataug_0| lauren shawn| [person:lauren f 0-0][person:shawn m 1-1]
lauren| Hey hi there|
shawn| Hi I am fine whats up| [person:shawn m 1-1]
lauren| Nothing much Where are you| [person:shawn m 4-4]
shawn| Im in the house where are you| [location:house s 3-3][person:lauren f 6-6]
lauren| I am in the office I need a favour| [person:lauren f 0-0][location:office s 4-4][person:lauren f 5-5]
shawn| Ok i am listening| [person:shawn m 1-1]
lauren| Do you remember my friend Andrea| [person:shawn m 1-1][person:lauren f 3-3][person:andrea f 5-5]
shawn| Yes is she ok| [person:lauren f 2-2]
lauren| Yes I forgot my books at her place but I am stuck at work| [person:lauren f 1-1][person:lauren f 3-3][person:andrea f 6-6][location:place s 7-7][person:lauren f 9-9]
shawn| Ok|
lauren| Please help me pick them i will pass by your housr to get them| [person:lauren f 2-2][person:them g(shawn:andrea) 4-4][person:lauren f 5-5][person:lauren f 9-9][person:them g(shawn:andrea) 13-13]
shawn| Ok no worries share the locations| [location:locations g() 5-5]
lauren| I will im a few| [person:lauren f 0-0]
lauren| In|
shawn| Thank you Much appreciated| [person:lauren f 1-1]

conv:people_2019081902_1:aug_0:chat_0:chataug_0| angela denise| [person:angela f 0-0][person:denise f 1-1]
angela| Got a minute to talk I think we should discuss our plans for the trip| [person:angela f 5-5][person:we g(angela:denise) 7-7][person:we g(angela:denise) 10-10][location:trip s 14-14]
denise| That s a good idea You know you can never be too prepared| [person:angela f 5-5][person:angela f 7-7]
angela| Well for now let s decide who is buying each thing we need That way we ll know when we are ready to go| [person:we g(angela:denise) 11-11][person:we g(angela:denise) 15-15][person:we g(angela:denise) 19-19]
denise| Okay Let s start off with Bill What is he going to buy| [person:bill m 6-6][person:bill m 9-9]
angela| Bill said he would handle purchasing the tickets for the ride You know he received a bonus at work so he can afford it| [person:bill m 0-0][person:bill m 2-2][person:denise f 11-11][person:bill m 13-13][person:bill m 20-20]
denise| Right I remember that Well as far as I know Gloria and Danielle will be finding our rooms at the hotel| [person:denise f 1-1][person:denise f 8-8][person:gloria f 10-10][person:danielle f 12-12][person:we g(angela:denise) 16-16][location:hotel s 20-20]
angela| Okay good So that s our transportation and our lodging for the trip I ll be the one in charge of finding things for us to do| [person:we g(angela:denise) 5-5][person:we g(angela:denise) 8-8][location:trip s 12-12][person:angela f 13-13][person:we g(angela:denise) 24-24]
denise| What have you found so far We ll need things to do for around a week| [person:angela f 2-2][person:we g(angela:denise) 6-6]
angela| First there s the concert we are going to Then we ll visit an amusement park and the zoo as well I also found a lovely walking tour through the botanical gardens as well You and I will cover the cost of those things| [location:there u 1-1][location:concert s 4-4][person:we g(angela:denise) 5-5][person:we g(angela:denise) 10-10][person:angela f 21-21][person:denise f 34-34][person:angela f 36-36]
denise| That sounds lovely I ve found us some lovely restaurants to dine at during our trip I have already booked and reserved our reservations| [person:denise f 3-3][person:we g(angela:denise) 6-6][location:restaurants g() 9-9][person:we g(angela:denise) 14-14][person:denise f 16-16][person:we g(angela:denise) 22-22]
angela| Then I think we are all set We ll discuss them some more later after work okay| [person:angela f 1-1][person:we g(angela:denise) 3-3][person:we g(angela:denise) 7-7][person:them g(bill:gloria:danielle) 10-10]
denise| Sounds great to me I ll talk to you later on then| [person:denise f 3-3][person:denise f 4-4][person:angela f 8-8]

conv:people_2019081902_3:aug_0:chat_0:chataug_0| andrea martin| [person:andrea f 0-0][person:martin m 1-1]
andrea| hai martin today susan and joan are visiting our home what a pleasant surprise| [person:martin m 1-1][person:susan f 3-3][person:joan f 5-5][person:our g(andrea:martin) 8-8][location:home s 9-9]
martin| yes andrea its a surprise for us what are the plans do you have| [person:andrea f 1-1][person:our g(andrea:martin) 6-6][person:andrea f 12-12]
andrea| i am going to change the curtains cleaning the hall and cook some good food for them| [person:andrea f 0-0][location:hall s 9-9][person:them g(susan:joan) 16-16]
martin| wow such a great idea I will help you in cooking foods and cleaning the hall| [person:martin m 5-5][person:andrea f 8-8][location:hall s 15-15]
andrea| oh thanks martin you re such a wonderful person Please get me some vegetables| [person:martin m 2-2][person:martin m 3-3][person:andrea f 11-11]
martin| ok give me the list of items need to purchase apart from vegetables| [person:martin m 2-2]
andrea| some snacks and sweets like pizza chips and coke|
martin| whether any gifts you wish to give to them| [person:andrea f 3-3][person:them g(susan:joan) 8-8]
andrea| oh yes will you buy some fantastic gifts like watch for both of them| [person:martin m 3-3][person:them g(susan:joan) 13-13]
martin| ok thats great idea both of them will become happy to see the gifts| [person:them g(susan:joan) 6-6]

conv:people_2019081902_4:aug_0:chat_0:chataug_0| james lara| [person:james m 0-0][person:lara f 1-1]
james| We should arrange the get together so that everybody enjoys| [person:we g(james:lara) 0-0][person:everybody g() 8-8]
lara| you are right and we will list out the things for the lunch| [person:james m 0-0][person:we g(james:lara) 4-4]
james| You list out the things i should get while coming back from work| [person:lara f 0-0][person:james m 5-5]
lara| Okay that is perfect as i can proceed with house hold things| [person:lara f 5-5]
james| It would be better to consider each one s favourite while selecting items for lunch|
lara| They all like chicken dishes| [person:they g() 0-0]
james| okay will get some chicken dry items along with some food and burgers|
lara| That is fine and you better get some drinks along with that| [person:james m 4-4]
james| Okay fine everything is sorted out|
lara| okay then i will arrange for other things at home| [person:lara f 2-2][location:home s 9-9]

conv:people_2019081902_5:aug_0:chat_0:chataug_0| linda samuel| [person:linda f 0-0][person:samuel m 1-1]
samuel| Hi Linda Are you free now| [person:linda f 1-1][person:linda f 3-3]
linda| Yes dear I am free now Anything important| [person:linda f 2-2]
samuel| Yes Linda It is about get together with our friends| [person:linda f 1-1][person:our g(samuel:linda) 8-8][person:friends g() 9-9]
linda| Oh Good As we discussed earlier we already invited our friends Heather Derek Susie and Ron What is up| [person:our g(samuel:linda) 3-3][person:our g(samuel:linda) 6-6][person:our g(samuel:linda) 9-9][person:friends g() 10-10][person:heather f 11-11][person:derek m 12-12][person:susie f 13-13]
samuel| yes You are right The event will be on coming Sunday We need to make arrangements to make that event a memorable one| [person:linda f 1-1][person:our g(samuel:linda) 11-11]
linda| Yes dear It must be a ever memorable one What shall we do for that| [person:our g(samuel:linda) 11-11]
samuel| Shall we conduct some games on that day| [person:our g(samuel:linda) 1-1]
linda| It is really interesting Shall we have role play and singing event on that dayy| [person:our g(samuel:linda) 5-5]
samuel| Yes It will be a nice one Shall we purchase some snacks like potato chips cool drinks and pizza| [person:our g(samuel:linda) 8-8]
linda| Wow All are my favorite snacks items Yes we shall purchase all those things| [person:linda f 3-3][person:our g(samuel:linda) 8-8]
samuel| I will purchase all those things I will call you later Bye| [person:samuel m 0-0][person:samuel m 6-6][person:linda f 9-9]
linda| Bye dear|

conv:people_2019081902_7:aug_0:chat_0:chataug_0| howard joshua| [person:howard m 0-0][person:joshua m 1-1]
howard| Me Austin and Joe are going hiking this weekend Wanna come| [person:howard m 0-0][person:austin m 1-1][person:joe m 3-3]
joshua| It s a long weekend coming up|
howard| Yeah We re leaving Thursday night and coming back on Monday afternoon| [person:we g(howard:austin:joe) 1-1]
joshua| I don t know That s a long time to spend with people I don t know| [person:joshua m 0-0][person:joshua m 13-13]
howard| You know me| [person:joshua m 0-0][person:howard m 2-2]
joshua| Yeah but I don t really know Austin and Joe that well| [person:joshua m 2-2][person:austin m 7-7][person:joe m 9-9]
howard| You ll get to know them better if you come on this trip| [person:joshua m 0-0][person:them g(austin:joe) 5-5][person:joshua m 8-8][location:trip s 12-12]
joshua| I dunno| [person:joshua m 0-0]
howard| I went to college with Joe and practically grew up with Austin They re cool dudes bro| [person:howard m 0-0][location:college s 3-3][person:joe m 5-5][person:austin m 11-11][person:them g(austin:joe) 12-12]
joshua| I m not really outdoorsy like you guys| [person:joshua m 0-0][person:howard m 6-6]
howard| Austin isn t really outdoorsy either You have something in common| [person:austin m 0-0][person:joshua m 6-6]
joshua| Okay maybe I ll come| [person:joshua m 2-2]
howard| Joe brews his own craft beers and is bringing some samples for us to try out| [person:joe m 0-0][person:joe m 2-2][person:we g(howard:austin:joe) 12-12]
joshua| Okay Count me in| [person:joshua m 2-2]

conv:people_2019081902_9:aug_0:chat_0:chataug_0| gerald noah| [person:gerald m 0-0][person:noah m 1-1]
noah| Hey Gerald what s up| [person:gerald m 1-1]
gerald| Hey Noah nothing much anything exciting happening with you| [person:noah m 1-1][person:noah m 8-8]
noah| My brother Howard is going to be here with his buddy Martin We re going to the playoff game| [person:noah m 0-0][person:howard m 1-1][person:howard m 2-2][location:here u 7-7][person:howard m 9-9][person:martin m 10-10][person:martin m 11-11][person:we g(noah:howard:martin) 12-12]
gerald| That s sounds really awesome You guys must be so stoked| [person:we g(noah:howard:martin) 5-5]
noah| Yeah Since you live near the stadium do you have any recommendations for food| [person:gerald m 2-2][location:stadium s 6-6][person:gerald m 8-8]
gerald| Yeah there s a great steak place nearby Or if you want something quicker the Thai place is always good| [location:place s 1-1][location:place s 6-6][person:noah m 10-10][location:place s 16-16]
noah| Both sound good I also have another question| [person:noah m 3-3]
gerald| What else would you like to know| [person:noah m 3-3]
noah| Do you want to go to the game with us I have an extra ticket| [person:gerald m 1-1][person:we g(noah:howard:martin) 9-9][person:noah m 10-10]
gerald| That would be awesome I d love to go| [person:gerald m 4-4]
noah| Okay meet up at my place Then we can go and get something to eat before the game| [person:noah m 4-4][location:place s 5-5][person:we g(noah:howard:martin) 7-7]
gerald| Sounds good see you then| [person:noah m 3-3]

conv:people_2019081902_10:aug_0:chat_0:chataug_0| jeremy philip| [person:jeremy m 0-0][person:philip m 1-1]
jeremy| Hey Phillip the game is tonight Where should we meet| [person:philip m 1-1][person:we g(jeremy:philip) 8-8]
philip| Yo JMan how about you and I rendezvous at Chuglys Bar| [person:jeremy m 4-4][person:philip m 6-6]
jeremy| Well Jesse and Andy are coming And Andy needs fine cuisine| [person:jesse m 1-1][person:andy m 3-3][person:andy m 7-7]
philip| Oh crap I forgot about them Yeah Andy will have a fit if there are only burgers Gari Sushi has a TV at the Bar What do you think| [person:philip m 2-2][person:them g(jesse:andy) 5-5][person:andy m 7-7][location:bar s 24-24][person:jeremy m 27-27]
jeremy| I think thats too far for them and probably for me too You got a place closer to us| [person:jeremy m 0-0][person:them g(jesse:andy) 6-6][person:jeremy m 10-10][person:philip m 12-12][location:place s 15-15][person:us g(jeremy:philip:jesse:andy) 18-18]
philip| Well its got to pass Chef Andy s standards so I m at a loss Why don t you ask Jesse He knows Andy s tastes the best| [person:andy m 6-6][person:philip m 10-10][person:jeremy m 18-18][person:jesse m 20-20][person:jesse m 21-21][person:andy m 23-23]
jeremy| Maybe I should just ask Andy straight up| [person:jeremy m 1-1][person:andy m 5-5]
philip| Don t do that Man Andy has no idea what place has a TV big enough to watch a game When was the last time you saw him with a football| [person:andy m 5-5][location:place s 10-10][person:jeremy m 25-25][person:andy m 27-27]
jeremy| Good point Phil If I leave it up to him we ll be at a table wearing a suit and tie| [person:philip m 2-2][person:jeremy m 4-4][person:andy m 9-9][person:us g(jeremy:philip:jesse:andy) 10-10]
philip| Yeah Ask Jesse Let me know what you guys come up with I m flexible You know me| [person:jesse m 2-2][person:philip m 4-4][person:jeremy m 7-7][person:philip m 12-12][person:jeremy m 15-15][person:philip m 17-17]

conv:people_2019081902_11:aug_0:chat_0:chataug_0| lauren michael| [person:lauren f 0-0][person:michael m 1-1]
michael| I m so excited to see Samuel and Eva| [person:michael m 0-0][person:samuel m 6-6][person:eva f 8-8]
lauren| Me too I feel like it s been forever and I m so happy they re officially engaged| [person:lauren f 0-0][person:lauren f 2-2][person:lauren f 10-10][person:they g(samuel:eva) 14-14]
michael| Haha we all knew that was coming it was just a matter of time| [person:we g(michael:lauren) 1-1]
lauren| Where do you think we should take them to celebrate| [person:michael m 2-2][person:we g(michael:lauren) 4-4][person:them g(samuel:eva) 7-7]
michael| Honestly I was thinking we should hit up all the old places from when we were back in school| [person:michael m 1-1][person:we g(michael:lauren) 4-4][location:places g() 11-11][person:we g(michael:lauren) 14-14][location:school s 18-18]
lauren| You mean like the hangout spots The bars clubs and sporting events| [person:michael m 0-0][location:bars g() 7-7][location:clubs g() 8-8]
michael| Exactly first we ll pregame and tailgate then we ll go to the game then bar hop It will be exactly like old times| [person:we g(michael:lauren:samuel:eva) 2-2][person:we g(michael:lauren:samuel:eva) 8-8][location:bar s 15-15]
michael| And since they re getting married it will be the last time they can probably have fun like this without a huge amount of responsibility| [person:they g(samuel:eva) 2-2][person:they g(samuel:eva) 12-12]
lauren| Hahah ok That s the plan Looking forward to seeing them I wonder if they still have it when it comes to tailgating| [person:them g(samuel:eva) 10-10][person:lauren f 11-11][person:they g(samuel:eva) 14-14]
michael| Oh trust me Samuel and Eva still have it| [person:michael m 2-2][person:samuel m 3-3][person:eva f 5-5]
lauren| Haha ok we ll see| [person:we g(michael:lauren) 2-2]

conv:people_2019081902_13:aug_0:chat_0:chataug_0| ivan keith| [person:ivan m 0-0][person:keith m 1-1]
ivan| Hey Keith How are you buddy| [person:keith m 1-1][person:keith m 4-4][person:keith m 5-5]
keith| I am good What s the matter Ivan| [person:keith m 0-0][person:ivan m 7-7]
ivan| I need one favor from you My friends are visiting Los Vegas and I need your help| [person:ivan m 0-0][person:keith m 5-5][person:ivan m 6-6][person:friends g(keith:keith) 7-7][location:los_vegas s 10-11][person:keith m 13-13][person:keith m 15-15]
keith| That s nice Who are them Will I know them| [person:them g(keith:keith) 5-5][person:keith m 7-7][person:them g(keith:keith) 9-9]
ivan| Yes you already knew them They are Lawrence and Josh| [person:keith m 1-1][person:them g(keith:keith) 4-4][person:they g(keith:keith) 5-5][person:lawrence m 7-7][person:josh m 9-9]
keith| Oh Yes I know them I can definitely help them When are they going to visit here| [person:keith m 2-2][person:them g(keith:keith) 4-4][person:keith m 5-5][person:them g(keith:keith) 9-9][person:they g(keith:keith) 12-12][location:los_vegas s 16-16]
ivan| I don t know the exact date but I need you to take them around Las Vegas| [person:ivan m 0-0][person:ivan m 8-8][person:keith m 10-10][person:them g(keith:keith) 13-13][location:los_vegas s 15-16]
keith| Definitely do one thing Ask them about their favorite places| [person:them g(keith:keith) 5-5][person:them g(keith:keith) 7-7][location:places g() 9-9]
ivan| Okay will get information from them and let you know| [person:them g(keith:keith) 5-5][person:keith m 8-8]
keith| okay then let me know whether you are also coming along with them| [person:keith m 3-3][person:ivan m 6-6][person:them g(keith:keith) 12-12]
ivan| No Keith I have some work to do that s why I am asking your help| [person:keith m 1-1][person:ivan m 2-2][person:ivan m 11-11][person:keith m 14-14]
keith| Okay I will do it take care Bye| [person:keith m 1-1]

conv:people_2019081902_14:aug_0:chat_0:chataug_0| jen julia| [person:jen f 0-0][person:julia f 1-1]
julia| Hi I am so excited for the party aren t you| [person:julia f 1-1][person:jen f 10-10]
jen| I am as well How are we dividing up the planning responsibilities| [person:jen f 0-0][person:we g(julia:jen) 6-6]
