conv:chats_1126_306:aug_0:chat_0:chataug_0| philip sandy| [person:philip m 0-0][person:sandy f 1-1]
maddison| Okay then I will ask them to visit the house by Saturday evening Also I think they are the correct person to buy our house| [person:maddison f 2-2][person:they g(james:pamela) 5-5][person:maddison f 14-14][person:they g(james:pamela) 16-16][person:our g(maddison:charles) 23-23][location:house s 24-24]
charles| Okay Let them come by Saturday Even I think they are the right people to purchase our house| [person:they g(james:pamela) 2-2][person:charles m 7-7][person:they g(james:pamela) 9-9][person:our g(maddison:charles) 16-16][location:house s 17-17]

conv:chats_1126_308:aug_0:chat_0:chataug_0| jeffrey katy| [person:jeffrey m 0-0][person:katy f 1-1]
katy| Hey Jeffrey Have you heard about the news in the office| [person:jeffrey m 1-1][person:jeffrey m 3-3][location:office s 10-10]
jeffrey| Hi Katy it is too sad that we were unable to complete our last couple of projects Shall we work together so that we could finish our projects quickly| [person:katy f 1-1][person:katy___jeffrey g(katy:jeffrey) 7-7][person:katy___jeffrey g(katy:jeffrey) 12-12][person:katy___jeffrey g(katy:jeffrey) 18-18][person:katy___jeffrey g(katy:jeffrey) 26-26]
katy| I am talking about the previous projects which we did together Kristan and Duncan have reported us to the management for that I just can t believe that| [person:katy f 0-0][person:katy___jeffrey g(katy:jeffrey) 8-8][person:duncan m 13-13][person:katy___jeffrey g(katy:jeffrey) 16-16][person:katy f 22-22]
jeffrey| Yeah we trusted them so much but I couldn t believe my ears when I heard about it| [person:katy___jeffrey g(katy:jeffrey) 1-1][person:duncan___kristan g(duncan) 3-3][person:jeffrey m 7-7][person:jeffrey m 11-11][person:jeffrey m 14-14]
katy| Yeah But How did they know about it I never told about them| [person:duncan___kristan g(duncan) 4-4][person:katy f 8-8][person:duncan___kristan g(duncan) 12-12]
jeffrey| They used to follow Us every where and they might have collected information against Us They used it| [person:duncan___kristan g(duncan) 0-0][person:katy___jeffrey g(katy:jeffrey) 4-4][person:duncan___kristan g(duncan) 8-8][person:katy___jeffrey g(katy:jeffrey) 14-14][person:duncan___kristan g(duncan) 15-15]
katy| I don t know We should have been careful Leave it We won t repeat it again| [person:katy f 0-0][person:katy___jeffrey g(katy:jeffrey) 4-4][person:katy___jeffrey g(katy:jeffrey) 11-11]
jeffrey| Yeah we make sure we will submit the given project on time and we will prove Ourselves| [person:katy___jeffrey g(katy:jeffrey) 1-1][person:katy___jeffrey g(katy:jeffrey) 4-4][person:katy___jeffrey g(katy:jeffrey) 13-13]
katy| Okay bye for now We will meet in the office Have a nice day| [person:katy___jeffrey g(katy:jeffrey) 4-4][location:office s 9-9]
jeffrey| Yeah See you in the office Bye| [person:katy f 2-2][location:office s 5-5]

conv:chats_1126_310:aug_0:chat_0:chataug_0| bailey lucas| [person:bailey f 0-0][person:lucas m 1-1]
lucas| Hey Bailey Are you done with your homework Can we play football| [person:bailey f 1-1][person:bailey f 3-3][person:bailey f 6-6][person:we g(lucas:bailey) 9-9]
bailey| Sure I was also eagerly waiting for that Can I join one more member along with me in my team| [person:bailey f 1-1][person:bailey f 9-9][person:bailey f 16-16][person:bailey f 18-18][person:team g(bailey) 19-19]
lucas| Sure you can So your are bringing in foreign players to defeat me Who is going to join with you| [person:bailey f 1-1][person:bailey f 4-4][person:lucas m 12-12][person:bailey f 19-19]
bailey| It s not a foreign player It s our dad I think now the game will be equally poised| [person:we g(lucas:bailey) 8-8][person:dad m 9-9][person:bailey f 10-10]
lucas| Well in that case I am bringing in our Mom Doris as my main player How about that| [person:lucas m 4-4][person:we g(lucas:bailey) 8-8][person:mom f 9-9][person:mom f 10-10][person:lucas m 12-12]
bailey| This is very unfair I know very well that Mom is a very good basket ball player This is cheating| [person:bailey f 4-4][person:mom f 9-9]
lucas| How is this going to be cheating You should have opted for Mom if you are aware about it It s all your fault| [person:bailey f 7-7][person:mom f 12-12][person:bailey f 14-14][person:bailey f 22-22]
bailey| Alright I know how to play this game and I ll play accordingly Lets see who will be the looser| [person:bailey f 1-1][person:bailey f 9-9]
lucas| I am very happy that you are at least confident enough before the game It will start decreasing once the game progresses| [person:lucas m 0-0][person:bailey f 5-5]
bailey| It s not about spending your best player in the field It is about buying the best player from the opponent| [person:lucas m 5-5]

conv:chats_1126_311:aug_0:chat_0:chataug_0| josh stacey| [person:josh m 0-0][person:stacey f 1-1]
josh| Hey Stacy how s your exam prep going| [person:stacey f 1-1][person:stacey f 4-4]
stacey| It s aokay Josh not that good but okay How s yours| [person:josh m 3-3][person:josh m 11-11]
josh| Not that good Seriously It s the 25th time we re going through the notes| [person:we g(josh:stacey) 9-9]
stacey| Yeah but some concepts are confusing No matter how many times you read you can t understand them| [person:josh m 11-11][person:josh m 13-13]
josh| Maybe you got a point Shall we ask Dr Smith for guidance then| [person:stacey f 1-1][person:we g(josh:stacey) 6-6][person:smith m 9-9]
stacey| Maybe we should Send him a mail and see I m not sure he d respond in time| [person:we g(josh:stacey) 1-1][person:smith m 4-4][person:stacey f 9-9][person:smith m 13-13]
josh| Yeah Exam s tomorrow morning Let s also ask the TA Marcus too| [person:marcus m 11-11]
stacey| You want to ask Marcus at this time| [person:josh m 0-0][person:marcus m 4-4]
josh| Yeah why not I know him well and I think he ll respond sooner than Dr Smith| [person:josh m 3-3][person:marcus m 5-5][person:josh m 8-8][person:marcus m 10-10][person:smith m 16-16]
stacey| Suit yourself Try asking and let me know how it goes| [person:josh m 1-1][person:stacey f 6-6]

conv:chats_1126_312:aug_0:chat_0:chataug_0| diane paulo| [person:diane f 0-0][person:paulo m 1-1]
paulo| Hey Diane I m at the airport just returning from the work trip| [person:diane f 1-1][person:paulo m 2-2][location:trip s 12-12]
diane| Hey there Paulo it s great to have you back How was your trip| [person:paulo m 2-2][person:paulo m 8-8][person:paulo m 12-12][location:trip s 13-13]
paulo| It was good the clientele didn t cause too much trouble Wasn t too easy but went super smoothly|
diane| Okay good to see your efforts paid their worth then| [person:paulo m 4-4]
paulo| Yes they did Say Diane how are our children Larry and Rachel doing Did they miss me| [person:diane f 4-4][person:our g(paulo:diane) 7-7][person:larry m 9-9][person:rachel f 11-11][person:they g(larry:rachel) 14-14][person:paulo m 16-16]
diane| They re doing great They missed you a lot and can t wait to meet you again| [person:they g(larry:rachel) 0-0][person:they g(larry:rachel) 4-4][person:paulo m 6-6][person:paulo m 15-15]
paulo| Wow I m sure they ll be pleased to see me again Don t you think so| [person:paulo m 1-1][person:they g(larry:rachel) 4-4][person:paulo m 10-10][person:diane f 14-14]
diane| They sure will Look I m running late to greet you at the airport so please hurry up| [person:they g(larry:rachel) 0-0][person:diane f 4-4][person:paulo m 10-10][location:airport s 13-13]
paulo| All right all right no problem I ll be waiting here at the airport waiting rooms| [person:paulo m 6-6][location:airport s 10-10][location:airport s 13-13]
diane| Okay I ll be in just a while Paulo| [person:diane f 1-1][person:paulo m 8-8]

conv:chats_1126_315:aug_0:chat_0:chataug_0| josh stacey| [person:josh m 0-0][person:stacey f 1-1]
josh| Hey Stacey I m a bit tensed about tomorrow s midterm exam| [person:stacey f 1-1][person:josh m 2-2]
stacey| I am also stuck at the same position Josh I am sitting opposite to you in the library| [person:stacey f 0-0][person:josh m 8-8][person:stacey f 9-9][person:josh m 14-14]
josh| Stacey have you gone through the 3rd chapter I feel that chapter to be a bit complicated| [person:stacey f 0-0][person:stacey f 2-2][person:josh m 8-8]
stacey| Hey that s easy I think 2nd chapter is complicated than the 3rd chapter| [person:stacey f 4-4]
josh| I m going through the same material from which you re reading but I couldn t understand anything| [person:josh m 0-0][person:stacey f 9-9][person:josh m 13-13]
stacey| Yes I have gone through the material many times but I couldn t understand clearly| [person:stacey f 1-1][person:stacey f 10-10]
josh| Why don t we mail the material to Dr Smith and ask him for guidance| [person:we g(josh:stacey) 3-3][person:smith m 9-9][person:smith m 12-12]
stacey| I think Dr Smith won t respond so soon Why don t we mail the material to TA Marcus| [person:stacey f 0-0][person:smith m 3-3][person:we g(josh:stacey) 12-12][person:marcus m 18-18]
josh| Oh yeah I guess Marcus might respond sooner than Professor Smith| [person:josh m 2-2][person:marcus m 4-4][person:smith m 10-10]
stacey| Hurry up Josh the exam is tomorrow itself| [person:josh m 2-2]

conv:chats_1126_316:aug_0:chat_0:chataug_0| orlando tracy| [person:orlando m 0-0][person:tracy f 1-1]
orlando| Hi mom Where are you now Are you feeling unhappy| [person:tracy f 1-1][person:tracy f 4-4][person:tracy f 7-7]
tracy| Hi Orlando I am in the office No I am normal| [person:orlando m 1-1][person:tracy f 2-2][location:office s 6-6][person:tracy f 8-8]
orlando| No Mom my coach should not behave like this There is no mistake on you| [person:tracy f 1-1][person:orlando m 2-2][person:tracy f 14-14]
tracy| Yeah I know that there is no mistake on me You leave this matter and concentrate on your work| [person:tracy f 1-1][person:tracy f 9-9][person:orlando m 10-10][person:orlando m 17-17]
orlando| No mom I cannot live this just like that I am going to ask him why he done this to you| [person:tracy f 1-1][person:orlando m 2-2][person:orlando m 9-9][person:him m 14-14][person:him m 16-16][person:tracy f 20-20]
tracy| No Orlando Don t do like this He is just over reacting| [person:orlando m 1-1][person:him m 7-7]
orlando| Okay What do you want me to do know in this matter| [person:tracy f 3-3][person:orlando m 5-5]
tracy| Leave it That is his nature We cant change it and don t ask about this matter to him| [person:him m 4-4][person:we g(orlando:tracy) 6-6][person:him m 18-18]
orlando| Okay mom we will speak about this in home by evening Bye| [person:tracy f 1-1][person:we g(orlando:tracy) 2-2][location:home s 8-8]
tracy| Okay My dear son we will see in home| [person:tracy f 1-1][person:orlando m 3-3][person:we g(orlando:tracy) 4-4][location:home s 8-8]

conv:chats_1126_318:aug_0:chat_0:chataug_0| derek marilyn| [person:derek m 0-0][person:marilyn f 1-1]
derek| Hi Marilyn Have you noticed Cole s yard It looks horrible| [person:marilyn f 1-1][person:marilyn f 3-3][person:cole m 5-5]
marilyn| Yeah Cole never cleans his yard it is very dirty| [person:cole m 1-1][person:cole m 4-4]
derek| Exactly There are wild plants and insects growing in it|
marilyn| These insects might crawl into our yards and spoil them| [person:our g(derek:marilyn) 5-5]
derek| Imagine if that happens despite our efforts to keep a clean yard| [person:our g(derek:marilyn) 5-5]
marilyn| That is what I am worried about It will ruin all our hard work| [person:marilyn f 3-3][person:our g(derek:marilyn) 11-11]
derek| l think we should talk to him about his yard| [person:our g(derek:marilyn) 2-2][person:cole m 6-6][person:cole m 8-8]
marilyn| You are right we should definitely tell him the importance of a clean yard| [person:derek m 0-0][person:our g(derek:marilyn) 3-3][person:cole m 7-7]
derek| es He needs to know that his yard will only get worse with time| [person:cole m 1-1][person:cole m 6-6]
marilyn| Okay we will talk to him this Saturday| [person:our g(derek:marilyn) 1-1][person:cole m 5-5]

conv:chats_1126_319:aug_0:chat_0:chataug_0| fred madison| [person:fred m 0-0][person:madison f 1-1]
madison| Hey Fred I have got an issue and I need your help| [person:fred m 1-1][person:madison f 2-2][person:madison f 8-8][person:fred m 10-10]
fred| Yeah I surely will tell me what is it| [person:fred m 1-1][person:fred m 5-5]
madison| I have noticed Shane a student of mine seems a little withdrawn from the other students| [person:madison f 0-0][person:shane m 3-3][person:madison f 7-7]
fred| Okay how do you want me to help in this| [person:madison f 3-3][person:fred m 5-5]
madison| I want him to come over the situation Give me some advice to help him| [person:madison f 0-0][person:shane m 2-2][person:madison f 9-9][person:shane m 14-14]
fred| Try and notice if any of your students share common interests with Shane and try to introduce him to the other student| [person:madison f 6-6][person:shane m 12-12][person:shane m 17-17]
madison| That s a great idea And I know a student Clary who has the same interests| [person:madison f 6-6][person:clary f 10-10]
fred| Okay then make up a game and partner Shane with Clary then you ll be able to introduce them to each other| [person:shane m 8-8][person:clary f 10-10][person:madison f 12-12][person:them g(shane:clary) 18-18]
madison| Yeah Even I got the same idea I think it would work| [person:madison f 2-2][person:madison f 7-7]
fred| Great all the best and see you soon| [person:madison f 6-6]

conv:chats_1126_320:aug_0:chat_0:chataug_0| bailey chris| [person:bailey f 0-0][person:chris m 1-1]
chris| Hi Bailey it seems like you are disturbed Are you okay Is there a problem| [person:bailey f 1-1][person:chris m 5-5][person:bailey f 9-9]
bailey| I was expecting my baby sitter Mark I am getting late already| [person:bailey f 0-0][person:bailey f 3-3][person:mark m 6-6][person:bailey f 7-7]
chris| Don t worry Let me try to call him and speak Give me some time| [person:chris m 4-4][person:chris m 8-8][person:chris m 12-12]
bailey| I don t think he will pick your calls I think we should start thinking of some other alternative| [person:bailey f 0-0][person:mark m 4-4][person:chris m 7-7][person:bailey f 9-9][person:we g(chris:bailey:mark) 11-11]
chris| I ll do one thing Macy might have returned from her office by now Let me speak to her so that she can take care of your child| [person:chris m 0-0][person:macy f 5-5][person:bailey f 10-10][location:office s 11-11][person:chris m 15-15][person:bailey f 18-18][person:bailey f 21-21][person:bailey f 26-26]
bailey| I don t want to trouble Macy for this I know how hard it will be to take care of a child after returning from office| [person:bailey f 0-0][person:macy f 6-6][person:bailey f 9-9][location:office s 25-25]
chris| Alright Should I try to contact a new baby sitter Is that okay with you| [person:chris m 2-2][person:bailey f 14-14]
bailey| I am not happy with that I can t trust someone blindly and leave my child with them Though Mark was irregular he never broke my trust| [person:bailey f 0-0][person:bailey f 6-6][person:someone u 10-10][person:bailey f 14-14][person:them g() 17-17][person:mark m 19-19][person:chris m 22-22][person:bailey f 25-25]
chris| I do understand that You don t worry about it Macy will come right now to take care of your child If she is finding difficult I ll manage with that| [person:chris m 0-0][person:bailey f 4-4][person:macy f 10-10][person:bailey f 19-19][person:macy f 22-22][person:chris m 26-26]
bailey| Thank you so much Chris That s so kind of you both| [person:chris m 1-1][person:chris m 4-4][person:chris m 10-10]

conv:chats_1126_321:aug_0:chat_0:chataug_0| eduardo keira| [person:eduardo m 0-0][person:keira f 1-1]
keira| Eduardo have you packed your bags| [person:eduardo m 0-0][person:eduardo m 2-2][person:eduardo m 4-4]
eduardo| Yes Keira I m super excited| [person:keira f 1-1][person:eduardo m 2-2]
keira| But who will look after our home while we are away| [person:our g(keira:eduardo) 5-5][location:home s 6-6][person:our g(keira:eduardo) 8-8]
eduardo| Why don t we talk to our neighbors Pablo and Martha after getting home from work| [person:our g(keira:eduardo) 3-3][person:our g(keira:eduardo) 6-6][person:neighbors g() 7-7][person:pablo m 8-8][person:martha f 10-10][location:home s 13-13]
keira| I have planted beautiful saplings Shall I ask Martha to water our plants| [person:keira f 0-0][person:keira f 6-6][person:martha f 8-8][person:our g(keira:eduardo) 11-11]
eduardo| I think it would be rude to ask our neighbors to do so much| [person:eduardo m 0-0][person:our g(keira:eduardo) 8-8][person:neighbors g(pablo:martha) 9-9]
keira| We will get them a pretty gift in return| [person:our g(keira:eduardo) 0-0][person:neighbors g(pablo:martha) 3-3]
eduardo| Do you have anything in mind what to buy| [person:keira f 1-1]
keira| While travelling we will pick out something| [person:our g(keira:eduardo) 2-2]
eduardo| That sounds good We ll talk about this after returning home from work| [person:our g(keira:eduardo) 3-3][location:home s 10-10]

conv:chats_1126_322:aug_0:chat_0:chataug_0| june pierre| [person:june f 0-0][person:pierre m 1-1]
pierre| Hi mom I m walking back home You don t need to pick me| [person:june f 1-1][person:pierre m 2-2][location:home s 6-6][person:june f 7-7][person:pierre m 13-13]
june| Why is there a problem|
pierre| I m embarrassed about what happened in the field| [person:pierre m 0-0]
pierre| I don t like how coach Adam disrespected you| [person:pierre m 0-0][person:adam m 6-6][person:june f 8-8]
june| You do not need to worry about such small things| [person:pierre m 0-0]
pierre| But all my friends were laughing at me And the coach had a long discussion with me about this| [person:pierre m 2-2][person:friends g() 3-3][person:pierre m 7-7][person:pierre m 16-16]
june| What did the coach say about it|
pierre| He said that you were disturbing the practice| [person:adam m 0-0][person:june f 3-3]
june| I think Adam is just overreacting| [person:june f 0-0][person:adam m 2-2]
june| I will speak to him later| [person:june f 0-0][person:adam m 4-4]

conv:chats_1126_324:aug_0:chat_0:chataug_0| daniel nicole| [person:daniel m 0-0][person:nicole f 1-1]
nicole| Isaac I need to talk to you about two of my students Alan and Zoey| [person:nicole f 1-1][person:daniel m 6-6][person:nicole f 10-10][person:alan m 12-12][person:zoey f 14-14]
daniel| You are their teacher So by what means can I help you| [person:nicole f 0-0][person:alan_and_zoey g(alan:zoey) 2-2][person:daniel m 9-9][person:nicole f 11-11]
nicole| I have noticed that one of my student Alan is a little withdrawn from the rest of the students| [person:nicole f 0-0][person:nicole f 6-6][person:alan m 8-8]
daniel| Oh but why is he left isolated and not involved with the rest of the people| [person:alan m 4-4]
nicole| He separates himself from the rest of the class and remains in his own space| [person:alan m 0-0][person:alan m 2-2][person:alan m 12-12]
daniel| Why don t you involve all the students in such an activity so that they come out with their common interests| [person:nicole f 3-3][person:alan_and_zoey g(alan:zoey) 14-14][person:alan_and_zoey g(alan:zoey) 18-18]
nicole| That sounds good What to do next|
daniel| Have you found anybody else possessing the similar interests as Alan| [person:nicole f 1-1][person:anybody g() 3-3][person:alan m 10-10]
nicole| Yes there is a student Zoey who has similar interests and now I have to introduce them to each other So that they can find each other s company| [person:zoey f 5-5][person:nicole f 12-12][person:alan_and_zoey g(alan:zoey) 16-16][person:alan_and_zoey g(alan:zoey) 22-22]
daniel| See your a smart teacher you know how to take out the best out of your students| [person:nicole f 1-1][person:nicole f 5-5][person:nicole f 15-15]

conv:chats_1126_325:aug_0:chat_0:chataug_0| deborah willie| [person:deborah f 0-0][person:willie m 1-1]
deborah| Hey Willie I am done with this noise I can t hear anymore drums sound| [person:willie m 1-1][person:deborah f 2-2][person:deborah f 8-8]
willie| Why are you getting so irritated Deborah Just take it easy Children s are always like this only| [person:deborah f 2-2][person:deborah f 6-6]
deborah| I do know that But there is a limit for everything I d like to call my parents and scream at them for sending this| [person:deborah f 0-0][person:deborah f 11-11][person:deborah f 16-16][person:parents g() 17-17][person:parents g() 21-21]
willie| Please don t do anything stupid like that They have shown their affection by getting this to our children| [person:parents g() 8-8][person:parents g() 11-11][person:our g(deborah:willie) 17-17]
deborah| That s all fine But it s spoiling my mindset I don t want them to play before they learn| [person:deborah f 8-8][person:deborah f 10-10][person:them g() 14-14][person:them g() 18-18]
willie| That s a permanent solution What can we do for now Do you have anything on that| [person:our g(deborah:willie) 7-7][person:deborah f 12-12]
deborah| We can t avoid them easily We may have to hide it and come up with a story covering that| [person:our g(deborah:willie) 0-0][person:them g() 4-4][person:our g(deborah:willie) 6-6]
willie| We can say that the drums has been sent back to grand parents again| [person:our g(deborah:willie) 0-0][person:parents g() 12-12]
deborah| That s a good idea Also we may have to say that it will be serviced and sent back again within a fortnight| [person:our g(deborah:willie) 6-6]
willie| That sounds pretty convincing Alright we ll start moving the drums under ground Just give me a hand| [person:our g(deborah:willie) 5-5][person:willie m 15-15]

conv:chats_1126_326:aug_0:chat_0:chataug_0| alex michelle| [person:alex m 0-0][person:michelle f 1-1]
michelle| Hey Alex I am very excited to meet your parents next week| [person:alex m 1-1][person:michelle f 2-2][person:alex m 8-8][person:parents g() 9-9]
alex| My parents are also excited to meet you Michelle| [person:alex m 0-0][person:parents g() 1-1][person:michelle f 7-7][person:michelle f 8-8]
michelle| What your parents Karina and Christina would be like| [person:alex m 1-1][person:parents g() 2-2][person:karina f 3-3][person:christina f 5-5]
alex| They are very much open minded and joyful in nature| [person:they g(michelle:karina:christina) 0-0]
michelle| What types of desserts they would like to eat| [person:they g(michelle:karina:christina) 4-4]
alex| they are very much fond of desserts but I suggest you to not to stress yourself| [person:they g(michelle:karina:christina) 0-0][person:alex m 8-8][person:michelle f 10-10][person:alex m 15-15]
michelle| Okay Would you tell me something about your parents| [person:alex m 2-2][person:michelle f 4-4][person:alex m 7-7][person:parents g() 8-8]
alex| You need not bother about anything Michelle my parents just want to meet you that s it| [person:michelle f 0-0][person:michelle f 6-6][person:alex m 7-7][person:parents g() 8-8][person:michelle f 13-13]
michelle| I hope that it would be a memorable meet| [person:michelle f 0-0]
alex| Yes it will be a memorable meet and we ll have great fun| [person:we g(michelle:alex:karina:christina) 8-8]

conv:chats_1126_327:aug_0:chat_0:chataug_0| lori tania| [person:lori f 0-0][person:tania f 1-1]
lori| Hey Tania we had a great time today right| [person:tania f 1-1][person:tania_and_lori g(lori:tania) 2-2]
tania| Yes Lori I enjoyed a lot at out favorite spots| [person:lori f 1-1][person:tania f 2-2]
lori| It was fun catching up with Stephanie and Judy| [person:stephanie f 6-6][person:judy f 8-8]
tania| You are right I really like their company| [person:lori f 0-0][person:tania f 3-3][person:stephanie_and_judy g(stephanie:judy) 6-6]
lori| Did you notice that there were a lot of tourists looking lost| [person:tania f 1-1]
tania| Yes I noticed Especially Harold| [person:tania f 1-1][person:harold m 4-4]
lori| Yes I could not understand a word he spoke| [person:lori f 1-1][person:harold m 7-7]
tania| Exactly he had a weird accent| [person:harold m 1-1]
lori| Stephanie finally understood what he wanted and helped him| [person:stephanie f 0-0][person:harold m 4-4][person:harold m 8-8]
tania| It was a wonderful trip We should plan another soon| [person:tania_and_lori g(lori:tania) 5-5]

conv:chats_1126_329:aug_0:chat_0:chataug_0| christian madison| [person:christian m 0-0][person:madison f 1-1]
madison| Hello Christian need to talk with you are you busy| [person:christian m 1-1][person:christian m 6-6][person:christian m 8-8]
christian| Hi Maidson Yeah I am free to talk Tell me what is the issue| [person:christian m 3-3][person:christian m 9-9]
madison| Actually I got hospitalized today and need some help from you| [person:madison f 1-1][person:christian m 10-10]
christian| Oh my god what is the issue is any thing serious are you okay| [person:christian m 1-1][person:madison f 12-12]
madison| Nothing serious I m fine now My finger got injured and I got it dressed Everything is fine now| [person:madison f 2-2][person:madison f 6-6][person:madison f 11-11]
christian| Thank god and tell me how may I help you| [person:christian m 4-4][person:christian m 7-7][person:madison f 9-9]
madison| Its like I have meeting with our teacher Mr Derek now As I cant reach by the time can you explain the situation to Mr Derek and ask him to reschedule the meeting to afternoon| [person:madison f 2-2][person:our g(madison:christian) 6-6][person:derek m 9-9][person:madison f 12-12][person:madison f 19-19][person:madison f 25-25][person:derek m 28-28]
christian| Why not sure I will put a word to him about you do not worry| [person:christian m 3-3][person:derek m 9-9][person:madison f 11-11]
madison| Thank you for the help but I m worried how would he react and will he accept to reschedule the meeting| [person:christian m 1-1][person:madison f 6-6][person:derek m 11-11][person:derek m 15-15]
christian| Don t get panic I will explain him the situation and Mr Derek will accept for sure Take care of your self| [person:christian m 4-4][person:derek m 7-7][person:derek m 12-12][person:madison f 20-20]

conv:chats_1126_330:aug_0:chat_0:chataug_0| paulo rebecca| [person:paulo m 0-0][person:rebecca f 1-1]
rebecca| Hey Paulo how does a vacation to Europe sound| [person:paulo m 1-1][location:europe s 7-7]
paulo| That is a great idea can we take Kimberly with us| [person:rebecca_and_paulo g(rebecca:paulo) 6-6][person:kimberly f 8-8][person:rebecca_and_paulo g(rebecca:paulo) 10-10]
rebecca| But I don t think she s old enough to travel| [person:rebecca f 1-1][person:kimberly f 5-5]
paulo| I think she is but she may annoy the passengers on the plane| [person:paulo m 0-0][person:kimberly f 2-2][person:kimberly f 5-5]
rebecca| That s what I was thinking I don t want Kimberly to cry throughout the airplane ride and ruin Robert s first trip to Europe| [person:rebecca f 3-3][person:rebecca f 6-6][person:kimberly f 10-10][person:robert m 19-19][location:europe s 24-24]
paulo| Alright then we won t take her| [person:rebecca_and_paulo g(rebecca:paulo) 2-2][person:kimberly f 6-6]
rebecca| With whom should we leave her| [person:rebecca_and_paulo g(rebecca:paulo) 3-3][person:kimberly f 5-5]
paulo| We can leave her with my sister| [person:rebecca_and_paulo g(rebecca:paulo) 0-0][person:kimberly f 3-3][person:paulo m 5-5][person:sister f 6-6]
rebecca| Will she be okay with it| [person:kimberly f 1-1]
paulo| I am sure she will be happy to look after her niece| [person:paulo m 0-0][person:sister f 3-3][person:sister f 10-10]

conv:chats_1126_331:aug_0:chat_0:chataug_0| orlando tracy| [person:orlando m 0-0][person:tracy f 1-1]
orlando| Hi Tracy Where are you Are you coming to pick me| [person:tracy f 1-1][person:tracy f 4-4][person:tracy f 6-6][person:orlando m 10-10]
tracy| I am at home Orlando I don t feel good Can you come by yourself| [person:tracy f 0-0][location:home s 3-3][person:orlando m 4-4][person:tracy f 5-5][person:orlando m 11-11][person:orlando m 14-14]
orlando| Are you okay I felt very bad about what happened today I had a long chat with Adam also| [person:tracy f 1-1][person:orlando m 3-3][person:orlando m 11-11][person:adam m 17-17]
tracy| Why did you speak to him Did you fight with him Why are you doing this| [person:orlando m 2-2][person:adam m 5-5][person:orlando m 7-7][person:adam m 10-10][person:orlando m 13-13]
orlando| I didn t fight with him We just had a argument He was firmly saying that he was very right about his actions| [person:orlando m 0-0][person:adam m 5-5][person:we g(orlando:adam) 6-6][person:adam m 11-11][person:adam m 16-16][person:adam m 21-21]
tracy| Where are you now Have you started Please come home quickly I am getting scared| [person:orlando m 2-2][person:orlando m 5-5][location:home s 9-9][person:tracy f 11-11]
orlando| I am almost there Don t worry about me I am still thinking about Adam| [person:orlando m 0-0][location:home s 3-3][person:orlando m 8-8][person:orlando m 9-9][person:adam m 14-14]
tracy| Just leave this issue as of now Tomorrow I ll come myself and speak with Adam| [person:tracy f 8-8][person:tracy f 11-11][person:adam m 15-15]
orlando| I don t want you to come here and get embarrassed again I will never let you to do that| [person:orlando m 0-0][person:tracy f 4-4][location:here s 7-7][person:orlando m 12-12][person:tracy f 16-16]
tracy| Alright you just come home We can discuss about it Don t think too much about it| [person:orlando m 1-1][location:home s 4-4][person:we g(orlando:adam) 5-5]

conv:chats_1126_333:aug_0:chat_0:chataug_0| alex george| [person:alex m 0-0][person:george m 1-1]
alex| Hey George shall we go for school shopping this weekend| [person:george m 1-1][person:we g(alex:george) 3-3][location:school s 6-6]
