conv:people_1011_1528_50:aug_0:chat_0:chataug_0| bob dom| [person:bob m 0-0][person:dom m 1-1]
conv:people_1011_1528_53:aug_0:chat_0:chataug_0| arthur evelyn| [person:arthur m 0-0][person:evelyn f 1-1]
arthur| Hi just look at their decoration| [person:their g() 4-4]
evelyn| Yes this is looking just too good|
arthur| Should we also decorate our house like this or you want some additions| [person:we g(arthur:evelyn) 1-1][person:our g(arthur:evelyn) 4-4][person:evelyn f 9-9]
evelyn| This decoration is just too good But maybe we can add some less lighting so that we get the feel of halloween| [person:we g(arthur:evelyn) 8-8][person:we g(arthur:evelyn) 16-16]
arthur| Yes you are correct I will get in touch with decorator today| [person:evelyn f 1-1][person:arthur m 4-4]
evelyn| Please take a snap of this house decoration so that we can show it to decorator| [person:we g(arthur:evelyn) 10-10]
arthur| Nice idea I have taken the snap| [person:arthur m 2-2]
evelyn| Good Finally our house will also be decorated like this I am feeling so excited| [person:our g(arthur:evelyn) 2-2][person:evelyn f 10-10]
arthur| I am also feeling excited| [person:arthur m 0-0]
evelyn| Yes|
evelyn| Also please tell him to keep lighting low| [person:decorator m 3-3]

conv:people_1011_1528_54:aug_0:chat_0:chataug_0| cameron sara| [person:cameron f 0-0][person:sara f 1-1]
cameron| Sara which lawyer do you think is best| [person:sara f 0-0][person:lawyer u 2-2][person:sara f 4-4]
sara| I don t know We need someone who is really tough| [person:sara f 0-0][person:we g(cameron:sara) 4-4][person:someone u 6-6]
cameron| Yes we need a if the glove don t fit you must acquit moment| [person:we g(cameron:sara) 1-1][person:sara f 10-10]
sara| Yeah Zoey has a way with words| [person:zoey f 1-1]
cameron| She sure does But Susie has represented some real crooks| [person:zoey f 0-0][person:susie f 4-4]
sara| And we are real crooks| [person:we g(cameron:sara) 1-1]
cameron| We have a lot of money People hate that Susie has represented a lot of hated people| [person:we g(cameron:sara) 0-0][person:susie f 9-9]
sara| But Zoey can talk her way out of anything| [person:zoey f 1-1][person:zoey f 4-4]
cameron| So true I like the way she twists people s words| [person:cameron f 2-2][person:zoey f 6-6]
sara| You sound like such a criminal| [person:cameron f 0-0]
cameron| Your my partner in crime| [person:sara f 0-0][person:cameron f 1-1]

conv:people_1011_1528_55:aug_0:chat_0:chataug_0| brandon katy| [person:brandon m 0-0][person:katy f 1-1]
katy| Hi Brandon Are you there| [person:brandon m 1-1][person:brandon m 3-3]
brandon| Yes Katy I am here Anything important| [person:katy f 1-1][person:brandon m 2-2]
katy| Are you ready to come to library| [person:brandon m 1-1]
brandon| Yes I am getting ready dear| [person:brandon m 1-1]
katy| Oh good I am also getting ready| [person:katy f 2-2]
brandon| Katy do you remember a couple who are sitting next to us They are also regular visitors like us| [person:katy f 0-0][person:katy f 2-2][person:us g(katy:brandon) 11-11][person:they g() 12-12][person:us g(katy:brandon) 18-18]
katy| Yes They are Vince and Karina| [person:they g() 1-1][person:vince m 3-3][person:karina f 5-5]
brandon| How do you know them| [person:katy f 2-2][person:them g(vince:karina) 4-4]
katy| I talked to them once dear I inquired about a book| [person:katy f 0-0][person:them g(vince:karina) 3-3][person:katy f 6-6]
brandon| Good I have an idea dear| [person:brandon m 1-1]
katy| What dear|
brandon| Shall we invite them to our book club which is going to be started soon| [person:we g(katy:brandon) 1-1][person:them g(vince:karina) 3-3][person:our g(katy:brandon) 5-5][location:club s 7-7]
katy| Good idea dear But how to approach them| [person:them g(vince:karina) 7-7]
brandon| I too have the same question You talked to them once Is n t it| [person:brandon m 0-0][person:katy f 6-6][person:them g(vince:karina) 9-9]
katy| Yes dear About a book|
brandon| Once again you talk to them about the books they are interested in| [person:katy f 2-2][person:them g(vince:karina) 5-5][person:they g(vince:karina) 9-9]
katy| Why|
brandon| So that we can talk to them regarding their interest and at the same time we will invite them| [person:we g(katy:brandon) 2-2][person:them g(vince:karina) 6-6][person:their g(vince:karina) 8-8][person:we g(katy:brandon) 15-15][person:them g(vince:karina) 18-18]
katy| Nice idea I will talk to them today Meet you in the library Bye| [person:katy f 2-2][person:them g(vince:karina) 6-6][person:brandon m 9-9]
brandon| Bye dear|

conv:people_1011_1528_56:aug_0:chat_0:chataug_0| edward marilyn| [person:edward m 0-0][person:marilyn f 1-1]
marilyn| Hi dear how are you| [person:edward m 4-4]
edward| I am good dear What about you| [person:edward m 0-0][person:marilyn f 6-6]
marilyn| I am also good Anything important dear| [person:marilyn f 0-0]
edward| Nothing important Just I want to chat with you| [person:edward m 3-3][person:marilyn f 8-8]
marilyn| Good dear do you remember that we are going to fix our own garden| [person:edward m 3-3][person:we g(marilyn:edward) 6-6][person:our g(marilyn:edward) 11-11]
edward| Yes I remember it dear| [person:edward m 1-1]
marilyn| Troy and Maya are working in our garden They are maintaining the garden well They know each and every aspect about garden fixing and maintenance| [person:troy m 0-0][person:maya f 2-2][person:our g(marilyn:edward) 6-6][person:they g(troy:maya) 8-8][person:they g(troy:maya) 14-14]
edward| Oh Good|
marilyn| Shall we get their advice about our garden fixation| [person:we g(marilyn:edward) 1-1][person:their g(troy:maya) 3-3][person:our g(marilyn:edward) 6-6]
edward| Nice idea dear What are the information do you want to have from them| [person:marilyn f 8-8][person:them g(troy:maya) 13-13]
marilyn| I am going to ask about the type of plant and crops suitable for our soil way of plantation and maintenance usage of pesticides and the like| [person:marilyn f 0-0][person:our g(marilyn:edward) 14-14]
edward| Nice idea dear I am also very interested to know the facts I will get that from you later| [person:edward m 3-3][person:edward m 12-12][person:marilyn f 17-17]
marilyn| Sure dear Bye|

conv:people_1011_1528_57:aug_0:chat_0:chataug_0| lucy todd| [person:lucy f 0-0][person:todd m 1-1]
lucy| Hey Todd| [person:todd m 1-1]
todd| Hi Lucy| [person:lucy f 1-1]
lucy| So did you decide on which DJ to go with for our anniversary| [person:todd m 2-2][person:our g(lucy:todd) 11-11]
todd| No they re both awesome I m stuck| [person:they g() 1-1][person:todd m 5-5]
lucy| How about we flip a coin| [person:we g(lucy:todd) 2-2]
todd| Sure do you want to flip it| [person:lucy f 2-2]
lucy| Yeah sure Heads we go with DJ Cole tails we go with DJ Alex| [person:we g(lucy:todd) 3-3][person:cole m 7-7][person:we g(lucy:todd) 9-9][person:alex m 13-13]
todd| Ok let me know who we decide to go with| [person:todd m 2-2][person:we g(lucy:todd) 5-5]
lucy| I just flipped DJ Cole it is| [person:lucy f 0-0][person:cole m 4-4]
todd| Perfect I will call him tonight and set everything up| [person:todd m 1-1][person:cole m 4-4]
lucy| Cool let me know how everything goes| [person:lucy f 2-2]
todd| Definitely will I will see you later tonight honey| [person:todd m 2-2][person:lucy f 5-5]

conv:people_1011_1528_58:aug_0:chat_0:chataug_0| terry valentina| [person:terry m 0-0][person:valentina f 1-1]
valentina| Phew We re now on the last detail for our anniversary party| [person:we g(valentina:terry) 1-1][person:our g(valentina:terry) 9-9]
terry| Yep DJs We have DJ Dylan and DJ Kenneth| [person:we g(valentina:terry) 2-2][person:dylan m 5-5][person:kenneth m 8-8]
valentina| Everyone we talked to had great things about the both of them| [person:everyone g() 0-0][person:we g(valentina:terry) 1-1][person:them g(kenneth:dylan) 11-11]
terry| I know but we still have to choose one| [person:terry m 0-0][person:we g(valentina:terry) 3-3]
valentina| You re right DJ Kenneth is an allaround DJ| [person:terry m 0-0][person:kenneth m 4-4]
terry| And DJ Dylan is a disco DJ| [person:dylan m 2-2]
valentina| I think we should go with DJ Kenneth| [person:valentina f 0-0][person:we g(valentina:terry) 2-2][person:kenneth m 7-7]
terry| Why DJ Dylan s music brings back lots of memories We will definitely have us dancing all night| [person:dylan m 2-2][person:dylan m 10-10][person:us g(valentina:terry) 14-14]
valentina| That s true but remember we ll have about 4 generations attending our anniversary party| [person:we g(valentina:terry) 5-5][person:our g(valentina:terry) 12-12]
terry| You re absolutely right I was so caught up in our meetingatthedisco love story that I totally forgot that| [person:valentina f 0-0][person:terry m 4-4][person:our g(valentina:terry) 10-10][person:terry m 15-15]
valentina| You re as goofy as ever DJ Kenneth it is| [person:terry m 0-0][person:kenneth m 7-7]
terry| Yes darling Whatever you say| [person:valentina f 3-3]
valentina| That s why I still love you after all these years| [person:valentina f 3-3][person:terry m 6-6]

conv:people_1011_1528_59:aug_0:chat_0:chataug_0| catherine shane| [person:catherine f 0-0][person:shane m 1-1]
catherine| I saw Rusell and Stacy working in their garden this afternoon| [person:catherine f 0-0][person:rusell m 2-2][person:stacy f 4-4][person:their g(rusell:stacy) 7-7]
shane| Oh yeah What were they doing| [person:they g(rusell:stacy) 4-4]
catherine| Arranging some new flowers|
shane| That sounds nice|
catherine| I really think we need to do some work in our garden as well| [person:catherine f 0-0][person:we g(catherine:shane) 3-3][person:our g(catherine:shane) 10-10]
shane| I m not sure about that Our garden is pretty nice as it is| [person:shane m 0-0][person:our g(catherine:shane) 6-6]
catherine| I think we should plant some new shrubs| [person:catherine f 0-0][person:we g(catherine:shane) 2-2]
shane| That could make it look nice But what do you know about shrubs Which ones would you get| [person:catherine f 9-9][person:catherine f 16-16]
catherine| Well I can ask Stacy They re experts about this subject| [person:catherine f 1-1][person:stacy f 4-4][person:they g(rusell:stacy) 5-5]
shane| That s true Let me know| [person:shane m 4-4]
catherine| All right I ll talk to her Hopefully they have some easy advice| [person:catherine f 2-2][person:stacy f 6-6][person:they g(rusell:stacy) 8-8]
shane| Just don t expect me to work too hard| [person:shane m 4-4]

conv:people_1011_1528_60:aug_0:chat_0:chataug_0| gerald sharon| [person:gerald m 0-0][person:sharon f 1-1]
sharon| Aunt Maria called| [person:maria f 0-0][person:maria f 1-1]
gerald| What did she want| [person:maria f 2-2]
sharon| She wants us to be ready for back to school shopping| [person:maria f 0-0][person:us g(sharon:gerald) 2-2][location:school s 9-9]
gerald| What time is she coming| [person:maria f 3-3]
sharon| She ll be here at 4| [person:maria f 0-0][location:here s 3-3]
gerald| I love going shopping with her| [person:gerald m 0-0][person:maria f 5-5]
sharon| I look forward to it every year also| [person:sharon f 0-0]
gerald| She lets us get whatever we want| [person:maria f 0-0][person:us g(sharon:gerald) 2-2][person:we g(sharon:gerald) 5-5]
sharon| And Aunt Maria has such good taste| [person:maria f 1-1][person:maria f 2-2]
gerald| That s because she s so young| [person:maria f 3-3]
sharon| I m glad I ll see her soon| [person:sharon f 0-0][person:sharon f 3-3][person:maria f 6-6]

conv:people_1011_1528_62:aug_0:chat_0:chataug_0| paula stacey| [person:paula f 0-0][person:stacey f 1-1]
paula| What do you think we should do about Julie and Ben s retirement| [person:stacey f 2-2][person:we g(paula:stacey) 4-4][person:julie f 8-8][person:ben m 10-10]
stacey| I think a really nice joint party would be great| [person:stacey f 0-0]
paula| We can all pitch in on nice gifts too| [person:we g(paula:stacey) 0-0]
stacey| Great idea They are such a part of this place and will be missed| [person:they g(julie:ben) 2-2][location:place s 9-9]
paula| Let s have it before lunch|
stacey| Yes everyone is relaxed and happy the morning is over| [person:everyone g(julie:ben) 1-1]
paula| True and if we do it on Friday their will be that payday glow everyone has| [person:we g(paula:stacey) 3-3][person:everyone g(julie:ben) 14-14]
stacey| What type of cakes do they like| [person:they g(julie:ben) 5-5]
paula| Ben likes chocolate and we will have to ask julie| [person:ben m 0-0][person:we g(paula:stacey) 4-4][person:julie f 9-9]
stacey| Lets do one chocolate and one vanilla with strawberry marble swirls|

conv:people_1011_1528_67:aug_0:chat_0:chataug_0| sam wayne| [person:sam m 0-0][person:wayne m 1-1]
sam| Hey We won again| [person:we g(sam:wayne) 1-1]
wayne| Yeah but it was close|
sam| Can you believe Jasmine got a time out| [person:wayne m 1-1][person:jasmine f 3-3]
wayne| I was worried But thank goodness he came back and scored a touchdown| [person:wayne m 0-0][person:brian m 6-6]
sam| When brian dropped the ball I wanted to cry| [person:brian m 1-1][person:sam m 5-5]
wayne| He is still our best tackler| [person:brian m 0-0][person:our g(sam:wayne:jasmine:brian) 3-3]
sam| You are right| [person:wayne m 0-0]
wayne| Where s the celebration party|
sam| Coach is meeting us at Chilis| [person:us g(sam:wayne:jasmine:brian) 3-3]
wayne| That s right Thanks|
sam| See you there tonight| [person:wayne m 1-1][location:there s 2-2]
wayne| Wouldn t miss it|

conv:people_1011_1528_68:aug_0:chat_0:chataug_0| allison ron| [person:allison f 0-0][person:ron m 1-1]
allison| Hey Ron It is very unfortunate that our preparation got ruined because of bad weather| [person:ron m 1-1][person:our g(allison:ron) 7-7]
ron| Hey Allison Yeah that is really very unfortunate But we will continue our preparation for the celebration of 4th July| [person:allison f 1-1][person:we g(allison:ron) 9-9][person:our g(allison:ron) 12-12]
ron| There is a shortage of time So We need more hands to complete the preparation on time| [person:we g(allison:ron) 7-7]
allison| Actually This morning I saw our neighbors Eduardo and Olivia preparing for the celebration| [person:allison f 3-3][person:our g(allison:ron) 5-5][person:neighbors g() 6-6][person:eduardo m 7-7][person:olivia f 9-9]
allison| We can ask them to decide the work It will take less time and effort for them as well as for us| [person:we g(allison:ron) 0-0][person:them g(eduardo:olivia) 3-3][person:them g(eduardo:olivia) 16-16][person:us g(allison:ron) 21-21]
ron| Yeah That sounds nice So who is going to ask whom|
allison| I was thinking I will ask Olivia As I am very familiar with her And you talk to Eduardo| [person:allison f 0-0][person:allison f 3-3][person:olivia f 6-6][person:allison f 8-8][person:olivia f 13-13][person:ron m 15-15][person:eduardo m 18-18]
ron| Okay That sounds good to me I just hope they agree to our request| [person:ron m 5-5][person:ron m 6-6][person:they g(eduardo:olivia) 9-9][person:our g(allison:ron) 12-12]
allison| Yeah They will Don t worry Bye for now| [person:they g(eduardo:olivia) 1-1]
ron| Bye Have a nice day|

conv:people_1011_1528_69:aug_0:chat_0:chataug_0| april evelyn| [person:april f 0-0][person:evelyn f 1-1]
april| Hi Evelyn advanced birthday wishes dear| [person:evelyn f 1-1]
evelyn| Thank you so much dear I have already invited you to the party on a sailboat So please don t miss the party| [person:april f 1-1][person:evelyn f 5-5][person:april f 9-9][location:sailboat s 15-15]
april| Never miss it dear I will be there on time| [person:april f 4-4][location:sailboat s 7-7]
evelyn| I will be eagerly waiting for your arrival dear| [person:evelyn f 0-0][person:april f 6-6]
april| Sure dear As I promised I will be there| [person:april f 3-3][person:april f 5-5][location:sailboat s 8-8]
evelyn| You know that myself and Dwight are in dating I wish to share it with my family members| [person:april f 0-0][person:evelyn f 3-3][person:dwight m 5-5][person:evelyn f 9-9][person:evelyn f 15-15][person:family g() 16-16]
april| Oh But I think it is a bad idea dear| [person:april f 2-2]
evelyn| Why are you saying like this Anyway I have to tell it on one day Why not on my birthday| [person:april f 2-2][person:evelyn f 7-7][person:evelyn f 18-18]
april| You are correct But it is not the correct time| [person:evelyn f 0-0]
evelyn| Why dear|
april| On birthday party not only your family members but also all your close friends and relatives are going to attend it Isn t it| [person:evelyn f 5-5][person:family g() 6-6][person:evelyn f 11-11][person:friends g() 13-13][location:sailboat s 20-20]
evelyn| Yes You are correct| [person:april f 1-1]
april| If suppose your family members are not ready to accept it and scold you in front of others what will be your reaction| [person:evelyn f 2-2][person:family g() 3-3][person:evelyn f 13-13][person:others g() 17-17][person:evelyn f 21-21]
evelyn| I didn t expect it dear You are correct I shouldn t share in front of others Thank you for you suggestions dear| [person:evelyn f 0-0][person:april f 6-6][person:evelyn f 9-9][person:others g() 16-16][person:april f 18-18][person:april f 20-20]
april| Welcome dear|

conv:people_1011_1528_70:aug_0:chat_0:chataug_0| faith zoey| [person:faith f 0-0][person:zoey f 1-1]
zoey| I m so excited about this Friday I can t wait for the chance to blow off a little steam It s going to be so much fun| [person:zoey f 0-0][person:zoey f 7-7]
faith| Yes it s gonna be great You still want me to make lasagna right That s what I m planning| [person:zoey f 6-6][person:faith f 9-9][person:faith f 17-17]
zoey| I definitely do You know how much I love it I ll take care of the side dishes and you do is worry about the main course| [person:zoey f 0-0][person:faith f 3-3][person:zoey f 7-7][person:zoey f 10-10][person:faith f 19-19]
faith| Okay great I m going to download some new tunes so that we have some great music to listen to as well| [person:faith f 2-2][person:we g(zoey:faith) 12-12]
zoey| Great I have some good suggestions for that so remind me to give them to you The only thing I m worried about is Sydney next door You know how she gets with loud music| [person:zoey f 1-1][person:zoey f 10-10][person:faith f 15-15][person:zoey f 19-19][location:sydney s 24-24][person:faith f 27-27][person:sydney f 30-30]
faith| Yes that s definitely something to keep in mind I don t want to have to stifle our fun just so we don t bother her| [person:faith f 9-9][person:our g(zoey:faith) 17-17][person:we g(zoey:faith) 21-21][person:sydney f 25-25]
zoey| Neither do I That would put a real cramp in our evening Maybe we should warn her that there s going to be some noise that night| [person:zoey f 2-2][person:our g(zoey:faith) 10-10][person:we g(zoey:faith) 13-13][person:sydney f 16-16]
faith| That s possible I was also thinking maybe we should just invite her over and then we wouldn t have to worry about it at all| [person:faith f 3-3][person:we g(zoey:faith) 8-8][person:sydney f 12-12][person:we g(zoey:faith) 16-16]
zoey| That s not a bad idea But I m just wondering how much fun she would be in that kind of situation I mean I don t know because I don t really know her that well| [person:zoey f 7-7][person:sydney f 14-14][person:zoey f 22-22][person:zoey f 24-24][person:zoey f 29-29][person:sydney f 34-34]
faith| It might be worth a try She strikes me as kind of a lonely person which would explain why she s always complaining| [person:sydney f 6-6][person:faith f 8-8][person:sydney f 19-19]
zoey| Good point I will ask her over| [person:zoey f 2-2][person:sydney f 5-5]

conv:people_1011_1528_71:aug_0:chat_0:chataug_0| brittany thomas| [person:brittany f 0-0][person:thomas m 1-1]
thomas| Did you see the trash outside Claire s door| [person:brittany f 1-1][person:claire f 6-6]
brittany| How can you miss it| [person:thomas m 2-2][location:outside_claire_s_door s 4-4]
thomas| There were literally rats at the trash| [location:outside_claire_s_door s 0-0]
brittany| Should we do something about it| [person:we g(thomas:brittany) 1-1][location:outside_claire_s_door s 5-5]
thomas| I don t know I don t know her situation| [person:thomas m 0-0][person:thomas m 4-4][person:claire f 8-8]
brittany| We can do it while trying not to hurt her feelings| [person:we g(thomas:brittany) 0-0][person:claire f 9-9]
thomas| That s a good idea Be gentle with her| [person:claire f 8-8]
brittany| We don t want raccoons near the house| [person:we g(thomas:brittany) 0-0][location:outside_claire_s_door s 7-7]
thomas| Yeah I ll just tell her to take the trash out more often| [person:thomas m 1-1][person:claire f 5-5]
brittany| Hopefully she listens to you| [person:claire f 1-1][person:thomas m 4-4]

conv:people_1011_1528_73:aug_0:chat_0:chataug_0| andrew george| [person:andrew m 0-0][person:george m 1-1]
george| Yeah I m thinking about asking Natalie to the movies with the group on Friday night| [person:george m 1-1][person:natalie f 6-6]
andrew| Natalie from chemistry| [person:natalie f 0-0]
george| Yeah that Natalie I ve always thought she would be fun to be around She s got a great sense of humor| [person:natalie f 2-2][person:george m 3-3][person:natalie f 7-7][person:natalie f 14-14]
andrew| Yeah She s really nice But what about Sara You ve taken her out a few times| [person:natalie f 1-1][person:sara f 8-8][person:george m 9-9][person:sara f 12-12]
george| She s nice and all that but I thought I d really like to get to know Natalie| [person:sara f 0-0][person:george m 7-7][person:george m 9-9][person:natalie f 17-17]
andrew| Do you think she ll say yes| [person:george m 1-1][person:natalie f 3-3]
george| I guess so I don t really know Is there something you know that I don t know| [person:george m 0-0][person:george m 3-3][person:andrew m 11-11][person:george m 14-14]
andrew| Yeah I know she s really into that guy Chet| [person:chet m 0-0][person:andrew m 1-1][person:natalie f 3-3]
george| Chet He has no personality whatsoever I can t imagine them together| [person:chet m 1-1][person:george m 6-6][person:them g(natalie:chet) 10-10]
andrew| It s your call of course I just wanted to warn you that she may not say yes| [person:george m 2-2][person:andrew m 6-6][person:george m 11-11][person:natalie f 13-13]
george| I ll just make it sound like a casual date with the group No pressure I m sure once she goes out with me she ll forget all about him| [person:george m 0-0][person:george m 15-15][person:natalie f 19-19][person:george m 23-23][person:natalie f 24-24][person:chet m 29-29]
andrew| You wish But good luck man| [person:george m 0-0]
george| Thanks man I ll let you know what she says| [person:george m 2-2][person:andrew m 5-5][person:natalie f 8-8]
andrew| Talk to you later Bye| [person:george m 2-2]
george| Bye|

conv:people_1011_1528_74:aug_0:chat_0:chataug_0| kyle tyler| [person:kyle m 0-0][person:tyler m 1-1]
tyler| Hey Kyle Joseph and I are super stoked to go see you in Florida| [person:kyle m 1-1][person:joseph m 2-2][person:tyler m 4-4][person:kyle m 11-11][location:florida s 13-13]
kyle| Yeah we re super excited to have you guys Jason and I have been planning this for weeks as well| [person:we g(kyle) 1-1][person:tyler m 7-7][person:jason m 9-9][person:kyle m 11-11]
tyler| What do you think we re gonna do there Joseph is super particular and wants to pack the right stuff| [person:kyle m 2-2][person:we g(tyler:kyle:joseph:jason) 4-4][location:florida s 8-8][person:joseph m 9-9]
kyle| Well we ll probably hit the beach and go eat at a lot of places| [person:we g(tyler:kyle:joseph:jason) 1-1][location:places g() 14-14]
tyler| So I should tell him to pack sunblock and a lot of money yeah| [person:tyler m 1-1][person:joseph m 4-4]
kyle| Yes that sounds about right Florida is gonna be so fun| [location:florida s 5-5]
tyler| What else have you and Jason been up to over there| [person:kyle m 3-3][person:jason m 5-5][location:florida s 10-10]
kyle| We pretty much just hit the beach and hit on chicks all day| [person:we g(kyle:jason) 0-0][location:places g() 6-6]
tyler| That sounds like our kind of state see you soon man| [person:our g(tyler:kyle) 3-3][location:florida s 6-6][person:kyle m 8-8]
kyle| Can t wait to show you around take care| [person:tyler m 5-5]

conv:people_1011_1528_75:aug_0:chat_0:chataug_0| carolyn jacky| [person:carolyn f 0-0][person:jacky f 1-1]
carolyn| This is the first time I m dating someone I met this way feeling really nervous| [person:carolyn f 5-5][person:someone u 8-8][person:carolyn f 9-9]
jacky| So am I I know it s how things are done these days with everyone so busy and all But what if we run out of things to talk about| [person:jacky f 2-2][person:jacky f 3-3][person:everyone g() 14-14][person:we g(carolyn:jacky) 22-22]
carolyn| I know could be really awkward| [person:carolyn f 0-0]
jacky| What if we asked them to make it a double date That way we d have each other for support| [person:we g(carolyn:jacky) 2-2][person:them g() 4-4][person:we g(carolyn:jacky) 13-13]
carolyn| That would be great Do you think Rodger and Gabriel would go for it| [person:jacky f 5-5][person:rodger m 7-7][person:gabriel m 9-9]
jacky| I don t see why not it would make it easier for them too| [person:jacky f 0-0][person:them g(rodger:gabriel) 12-12]
carolyn| Your right and if they don t maybe we shouldn t go out with them| [person:jacky f 0-0][person:they g(rodger:gabriel) 4-4][person:we g(carolyn:jacky) 8-8][person:them g(rodger:gabriel) 14-14]
jacky| So what should we suggest doing that would be good for a double date| [person:we g(carolyn:jacky) 3-3]
carolyn| What about dancing|
jacky| No too noisy and crowded we want a chance to get to know them better| [person:we g(carolyn:jacky) 5-5][person:them g(rodger:gabriel) 13-13]
carolyn| How about bowling There s a lot of people around but it s still a good place to talk and we could get dinner there too| [location:there s 3-3][location:there s 11-11][location:there s 16-16][person:we g(carolyn:jacky) 20-20][location:there s 24-24]
jacky| That sounds like a great idea We can see if they are poor losers too LOL| [person:we g(carolyn:jacky) 6-6][person:they g(rodger:gabriel) 10-10]

conv:people_1011_1528_77:aug_0:chat_0:chataug_0| lance macy| [person:lance m 0-0][person:macy f 1-1]
lance| So you up for a flick tonight| [person:macy f 1-1]
macy| Yeah we should invite Kevin and Bonnie| [person:we g(lance:macy) 1-1][person:kevin m 4-4][person:bonnie f 6-6]
lance| But Kevin is such a cry baby He can t deal with scary movies| [person:kevin m 1-1][person:kevin m 7-7]
macy| Should we do another movie to accommodate him| [person:we g(lance:macy) 1-1][person:kevin m 7-7]
lance| We probably should Does he like chick flicks because Bonnie does| [person:we g(lance:macy) 0-0][person:kevin m 4-4][person:bonnie f 9-9]
macy| Yeah that sounds like something up his alley We could sip some cosmos beforehand| [person:kevin m 6-6][person:we g(lance:macy) 8-8]
