conv:chats_1126_86:aug_0:chat_0:chataug_0| mark rusell| [person:mark m 0-0][person:rusell m 1-1]
stella| Yes Mathew That would be a great idea When shall we plan the trip| [person:stella_and_matthew g(matthew:stella) 10-10]
matthew| We shall plan by this weekend Our children will also enjoy it| [person:stella_and_matthew g(matthew:stella) 0-0][person:stella_and_matthew g(matthew:stella) 6-6]
stella| Okay That s fine find the game that Sophia would like most| [person:sophia f 8-8]
matthew| Okay Let us play hide and seek Our children Elsa and Sophia both will like it| [person:family g(matthew:stella:sophia) 2-2][person:stella_and_matthew g(matthew:stella) 7-7][person:elsa f 9-9][person:sophia f 11-11]
stella| Yeah That would be a nice idea I bought a chocolate for Elsa Where is she| [person:stella f 7-7][person:elsa f 12-12][person:elsa f 15-15]
matthew| She went for the class Keep the chocolate a side Let her come and have it| [person:elsa f 0-0][location:class s 4-4][person:elsa f 11-11]
stella| Okay Then Let us plan for the trip by tomorrow evening| [person:stella_and_matthew g(matthew:stella) 3-3]
matthew| Fine I will be at home by 500 PM tomorrow| [person:matthew m 1-1][location:home s 5-5]
stella| Okay I will join you by tomorrow evening to make plan for the trip| [person:stella f 1-1][person:matthew m 4-4]

conv:chats_1126_109:aug_0:chat_0:chataug_0| joann marissa| [person:joann f 0-0][person:marissa f 1-1]
joann| Hey Marissa Are you interested in playing soccer now| [person:marissa f 1-1][person:marissa f 3-3]
marissa| Of course I would love to play that sport But I need to ask my Dad s permission for that| [person:marissa f 2-2][person:marissa f 10-10][person:marissa f 14-14][person:dad m 15-15]
joann| Fine then try to go and convince him Tell him that we are playing in my house and we ll be very careful| [person:dad m 7-7][person:dad m 9-9][person:we g(joann:marissa) 11-11][person:joann f 15-15][person:we g(joann:marissa) 18-18]
marissa| I have informed him and he has agreed for that I am very happy about it| [person:marissa f 0-0][person:dad m 3-3][person:dad m 5-5][person:marissa f 10-10]
joann| What did you ask to Roy Was he really happy about it| [person:marissa f 2-2][person:dad m 5-5][person:dad m 7-7]
marissa| I told him that I am going to play along with Joann at his home He was very normal about it| [person:marissa f 0-0][person:dad m 2-2][person:marissa f 4-4][person:joann f 11-11][person:dad m 13-13][location:home s 14-14][person:dad m 15-15]
joann| Did he give you any kind of warnings as all parents does| [person:dad m 1-1][person:marissa f 3-3][person:dad m 10-10]
marissa| Yes he told me to be careful and not to go outside your compound wall| [person:dad m 1-1][person:marissa f 3-3][person:joann f 12-12][location:compound_wall_ s 13-14]
joann| That s what I was wondering I d have really surprised if he d have forgotten those statements| [person:joann f 3-3][person:joann f 6-6][person:dad m 12-12]
marissa| Very funny Come let s go and play|

conv:chats_1126_110:aug_0:chat_0:chataug_0| alex george| [person:alex m 0-0][person:george m 1-1]
alex| Hey George Shall we go shopping for school| [person:george m 1-1][person:we g(alex:george) 3-3][location:school s 7-7]
george| That is a good idea Alex We could also invite Mary and Joseph It will be fun| [person:alex m 5-5][person:we g(alex:george) 6-6][person:mary f 10-10][person:joseph m 12-12]
alex| Oh I am even more excited to see Mary| [person:alex m 1-1][person:mary f 8-8]
george| Where do you want to go We should make sure Mary and Joseph will like the place too| [person:alex m 2-2][person:we g(alex:george) 6-6][person:mary f 10-10][person:joseph m 12-12][location:place s 16-16]
alex| We can go where we went last time I think both of them would like it| [person:we g(alex:george) 0-0][person:we g(alex:george) 4-4][person:alex m 8-8][person:them g(mary:joseph) 12-12]
george| I think it would be better to try a new place this time What do you think about the mall on the 12th street| [person:george m 0-0][location:place s 10-10][person:alex m 15-15][location:mall s 19-19][location:street s 23-23]
alex| It s too far What do you think of the one on 99th street| [person:george m 6-6][location:street s 13-13]
george| Okay Let s go with your choice You ask Mary if she s free to join us and I ll ask Joseph| [person:alex m 5-5][person:alex m 7-7][person:mary f 9-9][person:mary f 11-11][person:we g(alex:george) 16-16][person:george m 18-18][person:joseph m 21-21]
alex| Alright when do you think we should go| [person:george m 3-3][person:we g(alex:george) 5-5]
george| I think Sunday is good| [person:george m 0-0]

conv:chats_1126_113:aug_0:chat_0:chataug_0| clary jaime| [person:clary f 0-0][person:jaime m 1-1]
jaime| Hey Clary Are you still interested in defeating me Where are you| [person:clary f 1-1][person:clary f 3-3][person:jaime m 8-8][person:clary f 11-11]
clary| I am on my way to the court I am done playing singles with you Let s see in doubles| [person:clary f 0-0][person:clary f 3-3][person:clary f 8-8][person:jaime m 14-14]
jaime| Alright Do you really have a perfect partner who can tackle me| [person:clary f 2-2][person:jaime m 11-11]
clary| I have a lot of options Still I have not decided to go with whom exactly Do you have a pair| [person:clary f 0-0][person:clary f 7-7][person:jaime m 17-17]
jaime| I just spoke with Edward He ll be joining me within few minutes| [person:jaime m 0-0][person:edward m 4-4][person:edward m 5-5][person:jaime m 9-9]
clary| That s fine Let me speak with those people and decide Give me some time| [person:clary f 4-4][person:clary f 12-12]
jaime| Don t stress yourself I just spoke with Alexander He will be joining you| [person:clary f 3-3][person:jaime m 4-4][person:alexander m 8-8][person:alexander m 9-9][person:clary f 13-13]
clary| Really Why are you so worried about me| [person:jaime m 3-3][person:clary f 7-7]
jaime| I just want to know your capacity in doubles Let s see how well it goes| [person:jaime m 0-0][person:clary f 5-5]
clary| I ll try my best to defeat you at least in doubles Let s meet in the court All the best| [person:clary f 0-0][person:clary f 3-3][person:jaime m 7-7]

conv:chats_1126_114:aug_0:chat_0:chataug_0| betty james| [person:betty f 0-0][person:james m 1-1]
james| Hey Betty Where are you| [person:betty f 1-1][person:betty f 4-4]
betty| Hey James I am in my home What about you| [person:james m 1-1][person:betty f 2-2][person:betty f 5-5][location:home s 6-6][person:james m 9-9]
james| I am in office What about the Gym class| [person:james m 0-0][location:office s 3-3][location:gym s 7-7]
betty| Yeah I am going What about you| [person:betty f 1-1][person:james m 6-6]
james| I am also going I want you to join me for job hunting| [person:james m 0-0][person:james m 4-4][person:betty f 6-6][person:james m 9-9]
betty| Oh I see even I too wanted to work So I will definitely join with you| [person:betty f 1-1][person:betty f 4-4][person:betty f 10-10][person:james m 15-15]
james| Yes That s glad to hear from you I think that will inspire each other| [person:betty f 7-7][person:james m 8-8]
betty| I also wonder how we spent our time with gym mate s Laura and Victor| [person:betty f 0-0][person:james___betty g(james:betty) 4-4][person:james___betty g(james:betty) 6-6][location:gym s 9-9][person:laura f 12-12][person:victor m 14-14]
james| Yeah That was so memorable moments|
betty| I look forward in working with you see you soon| [person:betty f 0-0][person:james m 6-6][person:james m 8-8]

conv:chats_1126_115:aug_0:chat_0:chataug_0| arthur carol| [person:arthur m 0-0][person:carol f 1-1]
carol| Hey Arthur How do you think about a double date with Daniel and Paula alongside us| [person:arthur m 1-1][person:arthur m 4-4][person:daniel m 11-11][person:paula f 13-13][person:us g(carol:arthur) 15-15]
arthur| Who s Daniel Paula s new boyfriend I thought she was dating Tom| [person:daniel m 2-2][person:paula f 3-3][person:arthur m 7-7][person:paula f 9-9][person:tom m 12-12]
carol| Yeah Daniel is a great guy I met him last Sunday He is a great guy and I am sure that you would love him| [person:daniel m 1-1][person:carol f 6-6][person:daniel m 8-8][person:daniel m 11-11][person:carol f 17-17][person:arthur m 21-21][person:daniel m 24-24]
arthur| Carol you know how uncomfortable I get around your friends I don t think this a double date with them is a good idea| [person:carol f 0-0][person:carol f 1-1][person:arthur m 5-5][person:carol f 8-8][person:friends g(daniel:paula) 9-9][person:arthur m 10-10][person:friends g(daniel:paula) 19-19]
carol| I have been friend with Paula since past 5 years We had lots of fun many times I am sure you will never regret about this| [person:carol f 0-0][person:paula f 5-5][person:we g(carol:paula) 10-10][person:carol f 17-17][person:arthur m 20-20]
arthur| Well I do remember us having a great time last month with Paula and her old boyfriend Tom| [person:arthur m 1-1][person:us g(carol:arthur) 4-4][person:paula f 12-12][person:paula f 14-14][person:tom m 17-17]
carol| Daniel is someone better than Tom He is a great singer and a performer I wish you should meet him| [person:daniel m 0-0][person:daniel m 2-2][person:tom m 5-5][person:daniel m 6-6][person:carol f 14-14][person:arthur m 16-16][person:daniel m 19-19]
arthur| Alright Carol You always manage to convince me for such things When are we going| [person:carol f 1-1][person:carol f 2-2][person:arthur m 7-7][person:we g(carol:arthur:daniel:paula) 13-13]
carol| This weekend I am sure that I may have to convince you this time only You might be the one who takes all initiative next time| [person:carol f 2-2][person:carol f 6-6][person:arthur m 11-11][person:arthur m 15-15]
arthur| Haha We ll see about that See you this weekend then| [person:us g(carol:arthur) 1-1][person:carol f 7-7]

conv:chats_1126_118:aug_0:chat_0:chataug_0| sophia tania| [person:sophia f 0-0][person:tania f 1-1]
sophia| Hey Tania I think we need to go for shopping for upcoming Christmas Are you excited| [person:tania f 1-1][person:sophia f 2-2][person:we g(sophia:tania) 4-4][person:tania f 14-14]
