conv:people_2019082001_6:aug_0:chat_0:chataug_0| benjamin mike| [person:benjamin m 0-0][person:mike m 1-1]
chloe| Yes Could you be a doll and do that for me| [person:russell m 2-2][person:chloe f 10-10]
russell| I suppose I could swing by quickly on my way home from work| [person:russell m 0-0][person:russell m 2-2][person:russell m 8-8][location:home s 10-10]
chloe| Thank You so much| [person:russell m 1-1]
russell| Your welcome but you owe me one now| [person:chloe f 0-0][person:chloe f 3-3][person:russell m 5-5]

conv:people_2019082001_11:aug_0:chat_0:chataug_0| adam melinda| [person:adam m 0-0][person:melinda f 1-1]
adam| Melinda when will the train of Joyce arrive| [person:melinda f 0-0][person:joyce f 6-6]
melinda| It is at 4 o clok you have promised to pick her right| [person:adam m 6-6][person:joyce f 11-11]
adam| Yeah but I am stuck with some urgent work Can you pick her up| [person:adam m 2-2][person:joyce f 10-10][person:joyce f 12-12]
melinda| Ok I shall do it Then what about our movie| [person:melinda f 1-1][person:our g(adam:melinda:joyce) 8-8]
adam| Why not we are going to watch it with Tims family| [person:our g(adam:melinda:joyce) 2-2][person:tims_family g() 10-10]
melinda| I have agreed to shop for them If I go to station you have to do it| [person:melinda f 0-0][person:tims_family g() 6-6][person:melinda f 8-8][location:station s 11-11][person:adam m 12-12]
adam| Thats not a problem I shall do it What should be bought| [person:adam m 4-4]
melinda| Have you any idea about their taste| [person:adam m 1-1][person:tims_family g() 5-5]
adam| I think popcorn soda and chips will do| [person:adam m 0-0]
melinda| But you have to buy some special for Grace I like her very much| [person:adam m 1-1][person:grace f 8-8][person:melinda f 9-9][person:grace f 11-11]
adam| We shall get her some special pastry Ok| [person:our g(adam:melinda:joyce) 0-0][person:grace f 3-3]
melinda| Thats fine|

conv:people_2019082001_12:aug_0:chat_0:chataug_0| donald meredith| [person:donald m 0-0][person:meredith f 1-1]
meredith| Hey Donald Are you busy right now| [person:donald m 1-1][person:donald m 3-3]
donald| No I m just hanging out at the coffee shop What s up| [person:donald m 1-1][location:coffee_shop s 8-9]
meredith| I need a huge favor I left my bad at Shirley s place and I m stuck at the play school| [person:meredith f 0-0][person:meredith f 5-5][person:meredith f 7-7][person:shirley f 10-10][location:place s 12-12][person:meredith f 14-14][location:school s 20-20]
donald| And I m guessing you need me to pick it up for you| [person:donald m 1-1][person:meredith f 4-4][person:donald m 6-6][person:meredith f 12-12]
meredith| Yes you re such a dear You don t have to do it now but can you grab it on your way home| [person:donald m 1-1][person:donald m 6-6][person:donald m 16-16][person:donald m 20-20][location:home s 22-22]
donald| Yeah no problem Where does she live again| [person:shirley f 5-5]
meredith| Right over on Road Street Avenue It has that huge tree right in the middle of the lawn remember| [location:road s 3-3][location:street s 4-4]
donald| Yeah I remember now That thing is gigantic Will you shoot her a text and let her know I ll be by in about 15 minutes| [person:donald m 1-1][person:meredith f 9-9][person:shirley f 11-11][person:shirley f 16-16][person:donald m 18-18]
meredith| No problem I m texting her now And thank you so much Don| [person:meredith f 2-2][person:shirley f 5-5][person:donald m 9-9]
donald| You know I don t mind it haha I ll see you when you get home| [person:meredith f 0-0][person:donald m 2-2][person:donald m 8-8][person:meredith f 11-11][person:meredith f 13-13][location:home s 15-15]

conv:people_2019082001_13:aug_0:chat_0:chataug_0| lawrence walter| [person:lawrence m 0-0][person:walter m 1-1]
lawrence| Hey Walter| [person:walter m 1-1]
walter| Hi Lawrence| [person:lawrence m 1-1]
lawrence| What are you bringing to Greg s breakfast| [person:walter m 2-2][person:greg m 5-5]
walter| I am not sure| [person:walter m 0-0]
lawrence| Maybe you can ask Sean what Greg likes| [person:walter m 1-1][person:sean m 4-4][person:greg m 6-6]
walter| I will text him now| [person:walter m 0-0][person:sean m 3-3]
lawrence| Ask him what he likes to drink too| [person:sean m 1-1][person:sean m 3-3]
walter| Sean said he likes pancakes from IHOP| [person:sean m 0-0][person:sean m 2-2][location:ihop s 6-6]
lawrence| Oh I can get that since I live a block away from IHOP| [person:lawrence m 1-1][person:lawrence m 6-6][location:ihop s 12-12]
walter| He also likes fresh orange juice| [person:sean m 0-0]
lawrence| Oh go to BlackBear they squeeze daily| [location:blackbear s 3-3][person:they g() 4-4]
walter| Oh good I can get that then| [person:walter m 2-2]
lawrence| Sweet all set then|

conv:people_2019082001_14:aug_0:chat_0:chataug_0| jessica tara| [person:jessica f 0-0][person:tara f 1-1]
jessica| what places in New Orleans are interesting| [location:places g() 1-1][location:new_orleans s 3-4]
tara| There are lots of restaurants there| [location:restaurants g() 4-4][location:new_orleans s 5-5]
jessica| I am visiting with Sharon and Ellen| [person:jessica f 0-0][person:sharon f 4-4][person:ellen f 6-6]
tara| That sounds fun to me| [person:tara f 4-4]
jessica| It should be You should come to| [person:tara f 3-3]
tara| Maybe I will| [person:tara f 1-1]
jessica| Sharon and Ellen are big foodies| [person:sharon f 0-0][person:ellen f 2-2]
tara| There are plenty of good restaurants there| [location:restaurants g() 5-5][location:new_orleans s 6-6]
jessica| can you recommend anything else| [person:tara f 1-1]
tara| Not a lot as I am from LA| [person:tara f 4-4][location:la s 7-7]
jessica| Oh I thought you were from New Orleans| [person:jessica f 1-1][person:tara f 3-3][location:new_orleans s 6-7]

conv:people_2019082001_15:aug_0:chat_0:chataug_0| catherine david| [person:catherine f 0-0][person:david m 1-1]
david| Hey Catherine do you want to hang out with me and my friend this weekend| [person:catherine f 1-1][person:catherine f 3-3][person:david m 9-9][person:david m 11-11][person:friend g() 12-12]
catherine| I don t know Who all is going| [person:catherine f 0-0]
david| Evelyn Charlotte Sam and I| [person:evelyn f 0-0][person:sam m 2-2][person:david m 4-4]
catherine| I don t know them at all| [person:catherine f 0-0][person:friend g(evelyn:sam) 4-4]
david| That s ok They are all very kind Sam is a joker he iwll make you laugh| [person:friend g(evelyn:sam) 3-3][person:sam m 8-8][person:sam m 12-12][person:catherine f 15-15]
catherine| I would feel out of place| [person:catherine f 0-0][location:place s 5-5]
david| Evelyn and Charlotte don t know many around here so I m sure they would love to meet you| [person:evelyn f 0-0][location:here u 8-8][person:david m 10-10][person:they g(evelyn) 13-13][person:catherine f 18-18]
catherine| I don t know David I feel funny about it| [person:catherine f 0-0][person:david m 4-4][person:catherine f 5-5]
david| Oh come on it will be lots of fun I promise| [person:david m 9-9]
catherine| Well I guess it wouldn t hurt to give it a try| [person:catherine f 1-1]

conv:people_2019082001_16:aug_0:chat_0:chataug_0| douglas eddie| [person:douglas m 0-0][person:eddie m 1-1]
douglas| Hey Eddie you ready to grab that dinner| [person:eddie m 1-1][person:eddie m 2-2]
eddie| Yeah it s this Saturday I d almost forgotten Do you think we could invite Eric and Jack as well| [person:eddie m 5-5][person:douglas m 10-10][person:we g(douglas:eddie) 12-12][person:eric m 15-15][person:jack m 17-17]
douglas| Yeah sounds like fun If Jack comes there s strong chance that we end up eating Italian Food| [person:jack m 5-5][person:we g(douglas:eddie) 12-12]
eddie| Yeah you don t like Italian| [person:douglas m 1-1]
douglas| Could we just invite Eric we ll invite Jack some other day| [person:we g(douglas:eddie) 1-1][person:eric m 4-4][person:we g(douglas:eddie) 5-5][person:jack m 8-8]
eddie| Poor Jack i hope he understands Do you have any restaurant in mind| [person:jack m 1-1][person:eddie m 2-2][person:jack m 4-4][person:douglas m 7-7][location:restaurant s 10-10]
douglas| There s a new steak house that s opened on Baker s Street it s got good reviews| [location:steak_house s 4-5][location:street s 12-12]
eddie| Oh that one I ve crossed it while coming home It s always packed though| [person:eddie m 3-3][location:home s 9-9]
douglas| Don t worry about that i know the owner If I ask him i m sure he can spare a table| [person:douglas m 5-5][person:douglas m 10-10][person:jack m 12-12][person:douglas m 13-13][person:jack m 16-16]
eddie| Classic Douglas always knows the right people You should teach me how to do that Well I will let Eric know Cya soon| [person:douglas m 1-1][person:douglas m 7-7][person:eddie m 10-10][person:eddie m 16-16][person:eric m 19-19]
douglas| Don t flatter me like that Cya soon brother| [person:douglas m 3-3][person:eddie m 8-8]

conv:people_2019082001_17:aug_0:chat_0:chataug_0| dylan teresa| [person:dylan m 0-0][person:teresa f 1-1]
dylan| So your all set for the party this week at our place| [person:teresa f 1-1][person:our g(dylan:teresa) 10-10][location:place s 11-11]
teresa| Mostly ready we still haven t invited either the Bryants or the Winstons to the party| [person:our g(dylan:teresa) 2-2][person:bryants g() 9-9][person:winstons g() 12-12]
dylan| Oh I had almost forgotten I think they should be able to make it this weekend in the afternoon| [person:dylan m 1-1][person:dylan m 5-5][person:bryants g() 7-7]
teresa| If I recall correctly they don t work on the weekends usually unless they are called in for overtime| [person:teresa f 1-1][person:they g() 4-4][person:they g() 13-13]
dylan| Then they should have no problem making it for Saturday at 5 pm right| [person:they g() 1-1]
teresa| Sounds reasonable we should still invite them as soon as possible so they can make it to the party without much hassle| [person:our g(dylan:teresa) 2-2][person:they g() 6-6][person:they g() 12-12]
dylan| Agreed do you have their phone numbers or someway to contact them| [person:teresa f 2-2][person:they g() 4-4][person:they g() 11-11]
teresa| I do have the phone number of the Bryant s house I can call them later today to invite them to the party| [person:teresa f 0-0][person:bryants g() 8-8][person:teresa f 11-11][person:they g() 14-14][person:they g() 19-19]
dylan| In that case I will try to invite the Winstons today to the party I ll call them in the afternoon| [person:dylan m 3-3][person:winstons g() 9-9][person:dylan m 14-14][person:they g() 17-17]
teresa| Sounds good be sure to give them the details of the party and directions if they need it| [person:they g() 6-6][person:they g() 15-15]
dylan| Of course although I think they both should know how to get to our place with no problem whatsoever| [person:dylan m 3-3][person:they g() 5-5][person:our g(dylan:teresa) 13-13][location:place s 14-14]

conv:people_2019082001_18:aug_0:chat_0:chataug_0| alex terry| [person:alex m 0-0][person:terry m 1-1]
alex| Willie Joe and Raymond would be here soon so we better decide on the list| [person:willie m 0-0][person:joe m 1-1][person:raymond m 3-3][person:we g(alex:terry) 9-9]
terry| Sure What do you have in mind| [person:alex m 3-3]
alex| We need to decide who is bring the water and the camera| [person:we g(alex:terry) 0-0]
terry| I can do that What else| [person:terry m 0-0]
alex| And the emergency supplies|
terry| Can t you do that| [person:alex m 2-2]
alex| Of course What is left|
terry| Nothing really I guess those guys have it easy They do not have to bring anything| [person:terry m 2-2][person:they g(willie:joe:raymond) 9-9]
alex| Maybe some tylenol I get a headache whenever I feel too dehydrated| [person:alex m 3-3][person:alex m 8-8]
terry| Just add it to your list of emergency supplies| [person:alex m 4-4]
alex| That seems like a great idea|

conv:people_2019082001_19:aug_0:chat_0:chataug_0| andrea megan| [person:andrea f 0-0][person:megan f 1-1]
andrea| Hey Megan wutchu doin| [person:megan f 1-1]
megan| Oh just slaving away Ya know sigh|
andrea| Are you slaving too much to go climbing| [person:megan f 1-1]
megan| huh You mean like rock climbing| [person:andrea f 1-1]
andrea| Yeah What did you think ha ha| [person:megan f 3-3]
megan| Ugh I can t I have to work overtime all week I think Donna is on vacation since she s a teacher and doesn t have to work all summer| [person:megan f 1-1][person:megan f 4-4][person:megan f 11-11][person:donna f 13-13][person:donna f 18-18]
andrea| Now now she works summers just not as much as we have to| [person:donna f 2-2][person:we g(andrea:megan) 10-10]
megan| Well anyway I saw her at the mall the other day and she said she was gonna sun bath for the next three days so she clearly has time to spare| [person:megan f 2-2][person:donna f 4-4][location:mall s 7-7][person:donna f 12-12][person:donna f 14-14][person:donna f 25-25]
andrea| Okie doke Well I guess I ll ring her up Sorry you have to work| [person:andrea f 3-3][person:andrea f 5-5][person:donna f 8-8][person:megan f 11-11]
megan| Yeah I know Well tell her I said oof See ya girl friend| [person:megan f 1-1][person:donna f 5-5][person:megan f 6-6][person:friend u 12-12]
andrea| Ok see ya|

conv:people_2019082001_21:aug_0:chat_0:chataug_0| alan tyler| [person:alan m 0-0][person:tyler m 1-1]
tyler| Hey Alan| [person:alan m 1-1]
alan| Hello Tyler What is going on| [person:tyler m 1-1]
tyler| I was wondering if you wanted to go to the movies tomorrow with me| [person:tyler m 0-0][person:alan m 4-4][person:tyler m 13-13]
alan| That sounds like fun Do you mind if I invite our friends Anna and Barry to go too| [person:tyler m 5-5][person:alan m 8-8][person:our g(tyler:alan) 10-10][person:friends g() 11-11][person:anna f 12-12][person:barry m 14-14]
tyler| No I don t mind I enjoy hanging out with them| [person:tyler m 1-1][person:tyler m 5-5][person:friends g(anna:barry) 10-10]
alan| Great What movie theater did you have in mind| [person:tyler m 5-5]
tyler| I was thinking of going to Cinema 5 but that is kind of far away for Anna and Barry| [person:tyler m 0-0][person:anna f 16-16][person:barry m 18-18]
alan| Yeah we don t want to inconvenience them| [person:our g(tyler:alan) 1-1][person:friends g(anna:barry) 7-7]
tyler| What about the IMAX Theater That is close for everyone and we really enjoy that| [person:everyone g(tyler:alan:anna:barry) 9-9][person:our g(tyler:alan) 11-11]
alan| That sounds great i m sure our friends will like it too| [person:alan m 3-3][person:our g(tyler:alan) 6-6][person:friends g(anna:barry) 7-7]
tyler| All right See you tomorrow at 645 pm then at IMAX Theater| [person:alan m 3-3]

conv:people_2019082001_23:aug_0:chat_0:chataug_0| peter raymond| [person:peter m 0-0][person:raymond m 1-1]
peter| Hey Raymond We still on for lunch this afternoon| [person:raymond m 1-1][person:we g(peter:raymond) 2-2]
raymond| Hell yeah we are my dude I didn t get breakfast this morning so I m really hungry| [person:we g(peter:raymond) 2-2][person:raymond m 4-4][person:raymond m 6-6][person:raymond m 14-14]
peter| Same here man So I ll see you there at 1230| [person:peter m 4-4][person:raymond m 7-7][location:there u 8-8]
raymond| For sure And hey can we invite Eddie and Ivan We haven t hung out with them in a while| [person:we g(peter:raymond) 5-5][person:eddie m 7-7][person:ivan m 9-9][person:we g(peter:raymond) 10-10][person:them g(eddie:ivan) 16-16]
peter| I don t know man Ivan is cool but Eddie has a weird obsession with burgers| [person:peter m 0-0][person:ivan m 5-5][person:eddie m 9-9]
raymond| What s wrong with that Burgers are tasty as hell|
peter| No man He s REALLY weird about it Like he refuses to eat anything but burgers and when he does he looks like he wants to make love to it| [person:eddie m 2-2][person:eddie m 9-9][person:eddie m 18-18][person:eddie m 20-20][person:eddie m 23-23]
raymond| Hahaha you re kidding I HAVE to see this for myself Let s hit up that new burger spot on Road Street Lane| [person:peter m 1-1][person:raymond m 4-4][person:raymond m 10-10][location:road s 20-20][location:street s 21-21]
peter| Alright Ray but don t say I didn t warn you See you then| [person:peter m 6-6][person:raymond m 10-10][person:raymond m 12-12]
raymond| Lol I m not sure if I believe you I guess we ll find out See you| [person:raymond m 1-1][person:raymond m 6-6][person:peter m 8-8][person:raymond m 9-9][person:we g(peter:raymond) 11-11][person:peter m 16-16]

conv:people_2019082001_26:aug_0:chat_0:chataug_0| joshua william| [person:joshua m 0-0][person:william m 1-1]
joshua| Hey william do you have any idea what we should bring tomorrow| [person:william m 1-1][person:william m 3-3][person:we g(joshua:william) 8-8]
william| I have no clue brother i was thinking to bring a costco roast chicken| [person:william m 0-0][person:joshua m 4-4][person:william m 5-5]
joshua| Hmm that sounds delicious but i am unsure if they will like that| [person:joshua m 5-5][person:they g() 9-9]
william| What about i order some 12 in pizza from costco| [person:william m 2-2]
joshua| no i dont think pizza from costco is a good idea| [person:joshua m 1-1]
william| Maybe we should just ask Jim what Smith likes| [person:we g(joshua:william) 1-1][person:jim m 5-5][person:smith m 7-7]
joshua| yeah i think that would be a good idea| [person:joshua m 1-1]
william| Yea since Jim knows Smith better it will be a good idea to ask Jim| [person:jim m 2-2][person:smith m 4-4][person:jim m 14-14]
joshua| ok that sounds like a plan Should i ask Jim or you are ok with askimg him| [person:joshua m 7-7][person:jim m 9-9][person:william m 11-11][person:jim m 16-16]
william| Oh i can ask Jim no problem| [person:william m 1-1][person:jim m 4-4]
joshua| Ok cool go ask him and let me know how it goes| [person:jim m 4-4][person:joshua m 7-7]
william| No problem i will let you nkow| [person:william m 2-2][person:joshua m 5-5]

conv:people_2019082001_28:aug_0:chat_0:chataug_0| abigail lara| [person:abigail f 0-0][person:lara f 1-1]
lara| I am struggling with painting Can you help me sometime| [person:lara f 0-0][person:abigail f 6-6][person:lara f 8-8]
abigail| of course I can help you| [person:abigail f 2-2][person:lara f 5-5]
lara| You are a great painter| [person:abigail f 0-0]
abigail| Thanks Let s go to the park after class| [location:park s 6-6]
lara| sounds good to me| [person:lara f 3-3]
abigail| maybe Madison Eve and Barbara wanna go too| [person:madison f 1-1][person:barbara f 4-4]
lara| I will ask them after class| [person:lara f 0-0][person:them g(madison:barbara) 3-3]
abigail| I really enjoy the class| [person:abigail f 0-0]
lara| Oh so do I| [person:lara f 3-3]
abigail| I appreciate you asking| [person:abigail f 0-0][person:lara f 2-2]
lara| Yeah I really need to get help in this area| [person:lara f 1-1]

conv:people_2019082001_29:aug_0:chat_0:chataug_0| debra katherine| [person:debra f 0-0][person:katherine f 1-1]
katherine| Whew I had a great weekend playing soccer with Maria and Lara| [person:katherine f 1-1][person:maria f 9-9][person:lara f 11-11]
debra| That s so fun I would love to join you| [person:debra f 4-4][person:katherine f 9-9]
katherine| Yeah sure That would be great for you to join us| [person:debra f 7-7][person:us g(katherine:maria:lara) 10-10]
debra| Cool Can I also bring my friend Ashley| [person:debra f 2-2][person:debra f 5-5][person:ashley f 6-6][person:ashley f 7-7]
katherine| Sure|
debra| Just a heads up She s new at this and might worry about the others being too good at soccer| [person:ashley f 4-4][person:others g() 14-14]
katherine| Don t worry Maria and Lara are also learning to play so Ashley will fit right in| [person:maria f 3-3][person:lara f 5-5][person:ashley f 12-12]
debra| That s great then I ll let her know and will bring her next time| [person:debra f 4-4][person:ashley f 7-7][person:ashley f 12-12]
katherine| Sure We ll be meeting next Saturday at 10am| [person:we g(katherine:debra:maria:lara:ashley) 1-1]
debra| Sounds good I ll let Ashley know| [person:debra f 2-2][person:ashley f 5-5]
katherine| No problem|
debra| Yay So excited|
katherine| I ll let the girls know We ll probably just kick around and maybe play a fun game| [person:katherine f 0-0][person:girls g() 4-4][person:we g(katherine:debra:maria:lara:ashley) 6-6]

conv:people_2019082001_30:aug_0:chat_0:chataug_0| clyde jennifer| [person:clyde m 0-0][person:jennifer f 1-1]
clyde| Hey Jen did you invite everyone for dinner tomorrow already| [person:jennifer f 1-1][person:jennifer f 3-3][person:everyone g(clyde:jennifer) 5-5]
jennifer| Yeah I did they ll all be coming| [person:jennifer f 1-1][person:everyone g(clyde:jennifer) 3-3]
clyde| Cool do you know what you want to make| [person:jennifer f 2-2][person:jennifer f 5-5]
jennifer| Alexis is vegan so I was thinking about making a vegan dish of some kind| [person:alexis f 0-0][person:jennifer f 4-4]
clyde| Ok I ll get something with meat for the others if they don t like vegan| [person:clyde m 1-1][person:alexis f 9-9][person:alexis f 11-11]
jennifer| How about snacks You bringing any| [person:clyde m 3-3]
clyde| Yeah I m bringing fries| [person:clyde m 1-1]
jennifer| Do you have everything we need to cook| [person:clyde m 1-1][person:we g(clyde:jennifer) 4-4]
clyde| For my part yes but if you need anything I can grab stuff at the store for you when I get off work| [person:clyde m 1-1][person:jennifer f 6-6][person:clyde m 9-9][person:jennifer f 17-17][person:clyde m 19-19]
jennifer| Cool can you get me some almond milk and salad greens| [person:clyde m 2-2][person:jennifer f 4-4]
clyde| Sure will see you when I get home| [person:jennifer f 3-3][person:clyde m 5-5][location:home s 7-7]

conv:people_2019082001_33:aug_0:chat_0:chataug_0| martin wilson| [person:martin m 0-0][person:wilson m 1-1]
martin| Hey Wilson how about seeing Spider Man this week You free| [person:wilson m 1-1][person:wilson m 9-9]
wilson| Sure Man Anytime after Tuesday But I don t know about Doris She wants to see it too| [person:wilson m 6-6][person:doris f 11-11][person:doris f 12-12]
martin| Yeah Henry was talking about it too We should all see it as a group you know That would be fun| [person:henry m 1-1][person:we g(martin:wilson) 7-7][person:wilson m 15-15]
wilson| Yeah I m good on Thursday What about you| [person:wilson m 1-1][person:martin m 8-8]
martin| That s cool for me Now we got to figure Doris and Henry s schedule They are always busy| [person:martin m 4-4][person:we g(martin:wilson) 6-6][person:doris f 10-10][person:henry m 12-12][person:they g(doris:henry) 15-15]
wilson| I know They work too much I ve barely seen Doris this week| [person:wilson m 0-0][person:they g(doris:henry) 2-2][person:wilson m 6-6][person:doris f 10-10]
martin| Why don t we plan on Saturday night then Nobody has any work so they have no excuse| [person:we g(martin:wilson) 3-3][person:they g(doris:henry) 14-14]
wilson| That s good with me I ll ask Doris| [person:wilson m 4-4][person:wilson m 5-5][person:doris f 8-8]
martin| OK I will get in touch with Henry| [person:martin m 1-1][person:henry m 7-7]
wilson| Lets grab some brews beforehand Everyone will be relaxed This should be a blast| [person:everyone g(martin:wilson:doris:henry) 5-5]
martin| Good idea I ll make sure Henry reserves the time| [person:martin m 2-2][person:henry m 6-6]

conv:people_2019082001_34:aug_0:chat_0:chataug_0| jeremy walter| [person:jeremy m 0-0][person:walter m 1-1]
walter| You want to go on a hiking trip| [person:jeremy m 0-0]
jeremy| Sure why not Just the two of us| [person:us g(walter:jeremy) 7-7]
walter| No I also invited Wayne and Peter| [person:walter m 1-1][person:wayne m 4-4][person:peter m 6-6]
jeremy| Are they your friends from work| [person:they g(wayne:peter) 1-1][person:walter m 2-2][person:they g(wayne:peter) 3-3]
walter| Yes they are You would like them| [person:they g(wayne:peter) 1-1][person:jeremy m 3-3][person:they g(wayne:peter) 6-6]
jeremy| How are you so sure I hardly know them| [person:walter m 2-2][person:jeremy m 5-5][person:they g(wayne:peter) 8-8]
walter| Well they are both into cars like you are| [person:they g(wayne:peter) 1-1][person:jeremy m 7-7]
jeremy| Well at least we do have something in common| [person:us g(walter:jeremy) 3-3]
walter| And I think they are both in need of a new mechanic You could get some new business| [person:walter m 1-1][person:they g(wayne:peter) 3-3][person:jeremy m 12-12]
jeremy| Well you do not have to convince me any longer| [person:walter m 1-1][person:jeremy m 7-7]
walter| See you on Saturday| [person:jeremy m 1-1]
jeremy| You bet| [person:walter m 0-0]

conv:people_2019082001_36:aug_0:chat_0:chataug_0| linda theresa| [person:linda f 0-0][person:theresa f 1-1]
theresa| Are you having a good time with Olivia and Jessica| [person:linda f 1-1][person:olivia f 7-7][person:jessica f 9-9]
linda| Sort of I am not sure where we should go| [person:linda f 2-2][person:we g(theresa:linda:olivia:jessica) 7-7]
theresa| New York is a big city There should should be a lot of attractions| [location:new_york s 0-1][location:city s 5-5]
linda| That is the problem There are so many that we can t decide where to go| [person:we g(theresa:linda:olivia:jessica) 9-9]
theresa| Have you googled anything| [person:linda f 1-1]
linda| Yes but that doesn t help too much|
theresa| Maybe you should try a tour or something| [person:linda f 1-1]
linda| That seems like a good idea I will ask someone at the hotel for a recommendation| [person:linda f 6-6][person:someone u 9-9][location:hotel s 12-12]
theresa| Great Take a lot of pictures|
linda| I will put them on Instagram when I am done| [person:linda f 0-0][person:them g(theresa:linda:olivia:jessica:someone) 3-3][person:linda f 7-7]

conv:people_2019082001_38:aug_0:chat_0:chataug_0| bill joe| [person:bill m 0-0][person:joe m 1-1]
joe| Hey Bill it s good to see you man How you been| [person:bill m 1-1][person:bill m 7-7][person:bill m 10-10]
bill| Man good to see you I ve bee doing real good Just busy finishing up a work project but finally got it finished yesterday| [person:joe m 4-4][person:bill m 5-5]
joe| That s awesome Hey man we should celebrate Peter is coming over my house next weekend We re going to grill out and swim Why don t you and Tiffany come Are y all free next Saturday| [person:we g(joe:bill) 5-5][person:peter m 8-8][person:joe m 12-12][person:we g(joe:bill) 16-16][person:bill m 27-27][person:tiffany f 29-29]
bill| I finally will have some free time on the weekends I m not sure about Tiffany Let me text her real quick and find out| [person:bill m 0-0][person:bill m 10-10][person:tiffany f 15-15][person:bill m 17-17][person:tiffany f 19-19]
joe| Alright sounds good I ve been drooling for some grilled Lobster I ll throw some steaks on there too It s going to be delicious| [person:joe m 3-3][person:joe m 11-11][location:there u 17-17]
bill| You re making my mouth water man Tiffany texted and said she would be free after 5 pm next Saturday| [person:joe m 0-0][person:bill m 3-3][person:tiffany f 7-7][person:tiffany f 11-11]
joe| Alright that sounds great How about 7 pm|
bill| Sounds great Can we bring something Maybe a bottle of wine or dessert| [person:we g(joe:bill) 3-3]
joe| Man you just bring whatever you like Surprise me| [person:bill m 1-1][person:bill m 5-5][person:joe m 8-8]
bill| You got it See you next Saturday| [person:joe m 0-0][person:joe m 4-4]

conv:people_2019082001_40:aug_0:chat_0:chataug_0| craig sean| [person:craig m 0-0][person:sean m 1-1]
craig| Hey are you up for a movie tomorrow| [person:sean m 2-2]
sean| Yeah for sure What do you want to see| [person:craig m 5-5]
craig| I still haven t seen Once Upon A Time in Hollywood so I was thinking that| [person:craig m 0-0][person:craig m 12-12]
sean| Oh that s a great film I ve seen it but would love to see it again Is anyone else coming| [person:sean m 6-6][person:anyone g() 18-18]
craig| I haven t invited anyone else yet Do you know anyone who wants to see the film| [person:craig m 0-0][person:anyone g() 4-4][person:sean m 8-8][person:anyone g() 10-10]
sean| Yeah I was telling Rebecca and Brian about it the other night and they really want to see it| [person:sean m 1-1][person:rebecca f 4-4][person:brian m 6-6][person:they g(rebecca:brian) 13-13]
craig| Okay sounds good I think it s playing in a couple different theaters| [person:craig m 3-3]
sean| It is It s at the AMC the Landmark and also the Music Box|
craig| Oh we should see it at the Music Box I heard they have it in 70mm| [person:we g(craig:sean) 1-1][person:craig m 9-9]
sean| Wow that s awesome I didn t know that Yes let s do that| [person:sean m 4-4]
craig| Okay call the others and reserve tickets for whatever time works best Just text me the info| [person:others g(rebecca:brian) 3-3][person:craig m 14-14]
sean| Okay done|

conv:people_2019082001_43:aug_0:chat_0:chataug_0| derrick marcus| [person:derrick m 0-0][person:marcus m 1-1]
derrick| Hey Marcus are you still up for the picnic tomorrow| [person:marcus m 1-1][person:marcus m 3-3]
marcus| Yeah I m looking forward to it Who else is coming| [person:marcus m 1-1]
derrick| I invited all the guys Darren Nate and Jesse| [person:derrick m 0-0][person:darren m 5-5][person:nate m 6-6][person:jesse m 8-8]
