conv:people_2019081201_158:aug_0:chat_0:chataug_0| jerry timothy| [person:jerry m 0-0][person:timothy m 1-1]
jeffrey| Hey Douglas How are you Long time no talk| [person:douglas m 1-1][person:douglas m 4-4]
douglas| I am pretty good Thanks for asking How about yourself| [person:douglas m 0-0][person:douglas m 9-9]
jeffrey| I am swell So I was planning to get some drink with my friends Albert and Gerald I was wondering if you d like to join| [person:jeffrey m 0-0][person:jeffrey m 4-4][person:jeffrey m 12-12][person:friends g() 13-13][person:albert m 14-14][person:gerald m 16-16][person:jeffrey m 17-17][person:douglas m 21-21]
douglas| That sounds like a great idea Where were you thinking of going| [person:jeffrey m 8-8]
jeffrey| That is where I was hoping you d help me They work around your area and I was hoping you could suggest a spot| [person:jeffrey m 3-3][person:douglas m 6-6][person:jeffrey m 9-9][person:friends g(albert:gerald) 10-10][person:douglas m 13-13][person:jeffrey m 16-16][person:douglas m 19-19]
douglas| Of course There s twin peaks old sheleigh and bdubs|
jeffrey| Twin peaks has the hot chicks so lets go there|
douglas| Great What time will you be going there| [person:jeffrey m 4-4]
jeffrey| We are going after work so 7 p m Is that OK| [person:we g(jeffrey:douglas) 0-0]
douglas| That works for me See you soon Jeffrey| [person:douglas m 3-3][person:jeffrey m 5-5][person:jeffrey m 7-7]

conv:people_2019081201_165:aug_0:chat_0:chataug_0| bryan frances| [person:bryan m 0-0][person:frances f 1-1]
bryan| hey frances what s up| [person:frances f 1-1]
frances| hey man i m fine what about you| [person:bryan m 2-2][person:bryan m 7-7]
bryan| i m fine too hope you ve not forgotten about game night| [person:bryan m 0-0][person:bryan m 5-5]
frances| not at all man i just spoke with Hannah and Cheryl few moments ago| [person:frances f 4-4][person:hannah f 8-8][person:cheryl f 10-10]
bryan| oh that s cool so what are the games you have in mind| [person:bryan m 9-9]
frances| i still feel a i m not very ready for tonight s game| [person:frances f 0-0][person:frances f 4-4]
bryan| hey don t worry everything will be alright just stay calm|
frances| i just called adam and he s delighted that he s invited to come over| [person:frances f 0-0][person:adam m 3-3][person:bryan m 5-5][person:bryan m 9-9]
bryan| well i have some games selections like puzzles truth or dare guess the sound| [person:bryan m 1-1]
frances| oh the same was going through my mind but we can also include video games or what do you think| [person:frances f 6-6][person:we g(bryan:frances:frances:hannah:cheryl:adam) 9-9][person:bryan m 18-18]
bryan| yea i think it will be nice to include video games too| [person:bryan m 1-1]
frances| ok looking forward for tonioght s|
bryan| ok i ll be expecting you guys| [person:bryan m 1-1][person:frances f 5-5]

conv:people_2019081201_166:aug_0:chat_0:chataug_0| brenda jacqueline| [person:brenda f 0-0][person:jacqueline f 1-1]
jacqueline| Brenda I have bad news about our breakfast with the Clarks nest week| [person:brenda f 0-0][person:jacqueline f 1-1][person:our g(jacqueline:brenda) 6-6]
brenda| Wow let me guess Julie does not feel good again| [person:brenda f 2-2][person:julie f 4-4]
jacqueline| Yes Iran into Clyde this morning and he told me that they cannot make it because Julie has the flu| [person:clyde m 3-3][person:clyde m 7-7][person:jacqueline f 9-9][person:they g(julie:clyde) 11-11][person:julie f 16-16]
brenda| She always has something wrong with her whenever we want to hang out with them I am done trying tom make this work| [person:julie f 0-0][person:julie f 6-6][person:we g(jacqueline:brenda:julie:clyde) 8-8][person:they g(julie:clyde) 14-14][person:brenda f 15-15]
jacqueline| Brenda we ve gone over this before and you know we have to hang out with them| [person:brenda f 0-0][person:our g(jacqueline:brenda) 1-1][person:brenda f 8-8][person:our g(jacqueline:brenda) 10-10][person:they g(julie:clyde) 16-16]
brenda| OK fine When can they actually hang out with us then| [person:they g(julie:clyde) 4-4][person:our g(jacqueline:brenda) 9-9]
jacqueline| Lets tell them next Sunday at noon Will that work for you| [person:they g(julie:clyde) 2-2][person:brenda f 11-11]
brenda| Every time works for me Im willing to bet I should keep my options open for next Sunday though I know they ll cancel| [person:brenda f 4-4][person:brenda f 9-9][person:brenda f 12-12][person:brenda f 19-19][person:they g(julie:clyde) 21-21]
jacqueline| If they cancel then so be it At least I tried| [person:they g(julie:clyde) 1-1][person:jacqueline f 9-9]
brenda| OK well I am ready for whatever Just let me know| [person:brenda f 2-2][person:brenda f 9-9]

conv:people_2019081201_169:aug_0:chat_0:chataug_0| bobby george| [person:bobby m 0-0][person:george m 1-1]
bobby| Hey George| [person:bobby m 1-1]
george| What s up Bobby| [person:george m 3-3]
bobby| I m thinking of having a house warming party next week| [person:george m 0-0][location:party s 8-8]
george| Oh that sounds fun What day|
bobby| Well that s what I wanted to talk to you about What s the best day for you and Judy| [person:george m 4-4][person:george m 9-9][person:george m 17-17][person:george m 19-19]
george| Well the weekend is best for us Are you inviting Doug too| [person:george m 6-6][person:george m 8-8][person:george m 10-10]
bobby| Of course But he can change his work schedule whenever he wants so it s no problem| [person:george m 3-3][person:george m 6-6][person:george m 10-10]
george| Well how about Saturday then Judy has yoga in the morning but then we re both free| [person:george m 5-5][person:george m 13-13]
bobby| Excellent Around 7ish okay with you| [person:george m 5-5]
george| Yup I ll write it down| [person:george m 1-1]
bobby| Okay see you guys then| [person:george m 2-2]
george| Okay tell Doug I said hi| [person:george m 2-2][person:george m 3-3]

conv:people_2019081201_170:aug_0:chat_0:chataug_0| pedro tony| [person:pedro m 0-0][person:tony m 1-1]
pedro| Hey Tony hows it going| [person:tony m 1-1]
tony| I m doing pretty good How about you| [person:tony m 0-0][person:pedro m 7-7]
pedro| Good good I m excited for the Super Bowl this year| [person:pedro m 2-2]
tony| Yeah it s coming up soon i think in 2 weeks from Sunday| [person:tony m 6-6]
tony| Gabriel and Derrick are coming into town and they want to watch the game with us| [person:gabriel m 0-0][person:derrick m 2-2][location:town s 6-6][person:they g(gabriel:derrick) 8-8][person:us g(pedro:tony) 15-15]
pedro| That s awesome I haven t seen those 2 in a while| [person:pedro m 3-3]
pedro| Want to watch at my house or head to a bar or something| [person:pedro m 4-4][location:bar s 10-10]
tony| My opinion is we hang at your house and order food in| [person:tony m 0-0][person:we g(tony:gabriel:derrick) 3-3][person:pedro m 6-6]
pedro| Alright that works for me I ll text Gabriel and Derrick to let them know| [person:pedro m 4-4][person:pedro m 5-5][person:gabriel m 8-8][person:derrick m 10-10][person:they g(gabriel:derrick) 13-13]
tony| That sounds good let me know if I can bring anything on game day| [person:tony m 4-4][person:tony m 7-7]

conv:people_2019081201_171:aug_0:chat_0:chataug_0| judith pete| [person:judith f 0-0][person:pete m 1-1]
pete| So when did you think we should invitie the Watsons and the Brians over| [person:judith f 3-3][person:we g(pete:judith) 5-5][person:watsons g() 9-9][person:brians g() 12-12]
judith| Well I have class every evening this week except Friday| [person:judith f 1-1]
pete| I have my big presentation on Friday night| [person:pete m 0-0][person:pete m 2-2]
judith| What about Monday night I am free all next week| [person:judith f 4-4]
pete| Sure that works for me I ll be done with all of my stuff by then as well| [person:pete m 4-4][person:pete m 5-5][person:pete m 12-12]
judith| OK Did you want to invite the Brians over I think you get along much better with them than I do| [person:pete m 2-2][person:brians g() 7-7][person:judith f 9-9][person:pete m 11-11][person:them g(pete:judith) 17-17][person:judith f 19-19]
pete| Sure I d be able to do that| [person:pete m 1-1]
pete| You re going to invitie the Watsons| [person:judith f 0-0][person:watsons g() 6-6]
judith| Yep Sounds like a good plan|
pete| All right It s all settled then|
judith| I ll be looking forward to it| [person:judith f 0-0]

conv:people_2019081201_174:aug_0:chat_0:chataug_0| dwayne tim| [person:dwayne m 0-0][person:tim m 1-1]
tim| Dwayne you should come with us| [person:dwayne m 0-0][person:dwayne m 1-1][person:us g(tim) 5-5]
dwayne| I don t know Dave and Billy well| [person:dwayne m 0-0][person:dave m 4-4][person:billy m 6-6]
tim| They are good guys What would you like to know| [person:they g(dave:billy) 0-0][person:dwayne m 6-6]
dwayne| Where are they from| [person:they g(dave:billy) 2-2]
tim| They are from Wisconsin| [person:they g(dave:billy) 0-0]
dwayne| Where do they work| [person:they g(dave:billy) 2-2]
tim| They are both farmers| [person:they g(dave:billy) 0-0]
dwayne| Do they live in big houses| [person:they g(dave:billy) 1-1]
tim| They are the same size at ours Come along please| [person:they g(dave:billy) 0-0][person:ours g(tim:dwayne) 6-6]
dwayne| I will come with you| [person:dwayne m 0-0][person:tim m 4-4]

conv:people_2019081201_176:aug_0:chat_0:chataug_0| barbara madison| [person:barbara f 0-0][person:madison f 1-1]
madison| I m visiting New Orleans with Rachel and April| [person:madison f 0-0][location:new_orleans s 3-4][person:madison f 6-6][person:madison f 8-8]
barbara| That sounds like fun|
madison| It should be Can you recommend any places we should visit| [person:madison f 4-4][location:places g() 7-7][person:madison f 8-8]
barbara| What are some of their interests| [person:madison f 4-4]
madison| April loves history and Rachel adores animals| [person:madison f 0-0][person:madison f 4-4]
barbara| I d recommend taking a walking tour of the Garden District and also going to the zoo| [person:madison f 0-0][location:zoo s 16-16]
madison| Sounds great Thanks|
barbara| You re welcome I hope you all have fun| [person:madison f 0-0][person:madison f 3-3][person:madison f 5-5]
madison| We should I wish you could join us| [person:madison f 0-0][person:madison f 2-2][person:madison f 4-4][person:madison f 7-7]
barbara| I wish I could too| [person:madison f 0-0][person:madison f 2-2]
madison| I ll let you know the next time we plan a trip| [person:madison f 0-0][person:madison f 3-3][person:madison f 8-8]
barbara| That sounds good I love to travel| [person:madison f 3-3]

conv:people_2019081201_177:aug_0:chat_0:chataug_0| diana paul| [person:diana f 0-0][person:paul m 1-1]
paul| Hey Diana how are you| [person:diana f 1-1][person:diana f 4-4]
paul| i miss you| [person:paul m 0-0][person:diana f 2-2]
diana| Hey Paul I am so good| [person:paul m 1-1][person:diana f 2-2]
diana| I have been thinking about you funny you messaged me| [person:diana f 0-0][person:paul m 5-5][person:paul m 7-7][person:diana f 9-9]
diana| I left my bag at Stephanies place| [person:diana f 0-0][person:diana f 2-2][location:place s 6-6]
diana| you busy i am stuck at play school| [person:paul m 0-0][person:diana f 2-2][location:school s 7-7]
diana| can you grab it| [person:paul m 1-1]
paul| Sounds like you are using me to get your your bag| [person:diana f 2-2][person:paul m 5-5][person:diana f 8-8][person:diana f 9-9]
paul| but I can get it| [person:paul m 1-1]
paul| I think stephanie is cute anyways| [person:paul m 0-0][person:stephanie f 2-2]
paul| maybe I will get a kiss| [person:paul m 1-1]

conv:people_2019081201_180:aug_0:chat_0:chataug_0| jackie stanley| [person:jackie f 0-0][person:stanley m 1-1]
stanley| Come on you ll love Joyce Ellen and Bill I ve told them so much about you| [person:jackie f 2-2][person:joyce f 5-5][person:ellen f 6-6][person:bill m 8-8][person:stanley m 9-9][person:them g(joyce:ellen:bill) 12-12][person:jackie f 16-16]
stanley| I think if you come youll relaly enjoy yourself| [person:stanley m 0-0][person:jackie f 3-3][person:jackie f 8-8]
jackie| I am not so sure stanley I didn t really think they liked me| [person:jackie f 0-0][person:stanley m 5-5][person:jackie f 6-6][person:them g(joyce:ellen:bill) 11-11][person:jackie f 13-13]
stanley| What do you mean what would give you that impression| [person:jackie f 2-2][person:jackie f 7-7]
jackie| Well we ve never all hung out together before I thought they weren t interested in hanging out with me| [person:we g(stanley:jackie:joyce:ellen:bill) 1-1][person:jackie f 9-9][person:them g(joyce:ellen:bill) 11-11][person:jackie f 19-19]
stanley| Thats not true Joyce and ellen were telling me how excited they were to finally meet you| [person:joyce f 3-3][person:ellen f 5-5][person:stanley m 8-8][person:they g(joyce:ellen) 11-11][person:jackie f 16-16]
jackie| If that is the case what do you want to do this weekend| [person:stanley m 7-7]
stanley| I thought we might all go out for drinks or a movie| [person:stanley m 0-0][person:we g(stanley:jackie:joyce:ellen:bill) 2-2]
jackie| A movie sounds good and we can go for drinks after depending on how we fell| [person:we g(stanley:jackie:joyce:ellen:bill) 5-5][person:we g(stanley:jackie:joyce:ellen:bill) 14-14]
stanley| sounds good Jackie is 8 oclock okay| [person:jackie f 2-2]
jackie| 8 sounds perfect|

conv:people_2019081201_181:aug_0:chat_0:chataug_0| eugene phil| [person:eugene m 0-0][person:phil m 1-1]
phil| Hi Eugene whats sup| [person:eugene m 1-1]
eugene| Hi Phil how you doing| [person:phil m 1-1][person:eugene m 3-3]
phil| Doing good man|
eugene| Same here|
phil| Any fun activities|
eugene| Yea Albert and his friend Barry is planning something| [person:albert m 1-1][person:albert m 3-3][person:barry m 4-4][person:barry m 5-5]
phil| Oh yea I heard about this Albert and Barry are planning to visit me| [person:phil m 2-2][person:albert m 6-6][person:barry m 8-8][person:phil m 13-13]
eugene| nice any good location in mind|
phil| what about the we watch the world series at a bar| [person:we g(phil:eugene:albert:barry) 3-3][location:bar s 10-10]
eugene| Sounds good what about we watch it at the bar around the corner near by| [person:we g(phil:eugene:albert:barry) 4-4][location:bar s 9-9]
phil| Sounds great|
phil| any other recommendations for which place to go| [location:place s 5-5]
eugene| What about at the restaurant downstairs of me| [location:restaurant s 4-4][person:eugene m 7-7]
phil| Sounds great|
phil| you know you are welcome to join too| [person:eugene m 0-0][person:eugene m 2-2]
eugene| nice I will come too then| [person:eugene m 1-1]

conv:people_2019081201_182:aug_0:chat_0:chataug_0| heather helen| [person:heather f 0-0][person:helen f 1-1]
helen| Hey Need your help| [person:heather f 2-2]
heather| Is everything ok What s going on|
helen| DO you remember my friend Ruth She is coming to visit but I can t pick her up Are you free today at 3| [person:heather f 1-1][person:helen f 3-3][person:ruth f 4-4][person:ruth f 5-5][person:ruth f 6-6][person:helen f 12-12][person:ruth f 16-16][person:heather f 19-19]
heather| Oh Helen I am so sorry I have a meeting with Christian at that time| [person:helen f 1-1][person:heather f 2-2][person:heather f 6-6][person:christian m 11-11]
helen| She is so scared to get an Uber Please I will do anything| [person:ruth f 0-0][person:helen f 9-9]
heather| Ok I ll reschedule my meeting but Christian is NOT going to be happy| [person:heather f 1-1][person:heather f 4-4][person:christian m 7-7]
helen| I know I am so sorry I owe you one I ll let Ruth know you ll be there| [person:helen f 0-0][person:helen f 2-2][person:helen f 6-6][person:heather f 8-8][person:helen f 10-10][person:ruth f 13-13][person:heather f 15-15]
heather| Cathernie will be there at 3pm to get her I ll text you when Ruth gets in| [person:ruth f 8-8][person:heather f 9-9][person:helen f 12-12][person:ruth f 14-14]
helen| You re a life saver Please apologize to Christian for me| [person:heather f 0-0][person:christian m 8-8][person:helen f 10-10]
heather| I will Talk soon| [person:heather f 0-0]

conv:people_2019081201_183:aug_0:chat_0:chataug_0| carolyn walter| [person:carolyn f 0-0][person:walter m 1-1]
walter| Hey Carolyn| [person:carolyn f 1-1]
carolyn| What s up Walter| [person:walter m 3-3]
walter| I m heading to Vegas this weekend I m so excited but don t know what casino to go to| [person:walter m 0-0][location:vegas s 4-4][person:walter m 7-7]
carolyn| Oh I was just there with Tony and Stella| [person:carolyn f 1-1][person:tony m 6-6][person:stella f 8-8]
walter| I know I was hoping you could give me some recommendations| [person:walter m 0-0][person:walter m 2-2][person:carolyn f 5-5][person:walter m 8-8]
carolyn| Well if you re staying downtown the Golden Nugget is nice| [person:walter m 2-2][location:downtown s 5-5]
walter| Oh I ll be on the strip| [person:walter m 1-1]
carolyn| Oh well we went to quite a few down there too What do you like to play| [person:we g(carolyn:tony:stella) 2-2][person:walter m 13-13]
walter| I like craps| [person:walter m 0-0]
carolyn| Me too Well if you want something not too expensive O Sheas is always fun If it s nice out they open the side so it s like you re outdoors| [person:carolyn f 0-0][person:walter m 4-4][person:walter m 28-28]
walter| That sounds fun What about the bigger ones|
carolyn| Well Tony and Stella played blackjack at Bellagio and said it was really nice inside not too smokey| [person:tony m 1-1][person:stella f 3-3][location:bellagio s 7-7]
walter| Anywhere else|
carolyn| I preferred Bally s which was the original MGM back in the day It still has that cool old Las Vegas feel Not too many families running around| [person:carolyn f 0-0][location:las_vegas s 19-20]
walter| Oh that sounds perfect Thanks|
carolyn| Have a great trip|

conv:people_2019081201_185:aug_0:chat_0:chataug_0| kathryn randy| [person:kathryn f 0-0][person:randy m 1-1]
randy| Hey Kathryn how are you| [person:kathryn f 1-1][person:kathryn f 4-4]
randy| it has been a while|
randy| I was just talking to Elizabeth| [person:randy m 0-0][person:elizabeth f 5-5]
kathryn| Hey Randy| [person:randy m 1-1]
kathryn| that is funny I was just talking with her also| [person:kathryn f 3-3][person:elizabeth f 8-8]
kathryn| lets go to a work event together|
kathryn| I left my bag actually at her house| [person:kathryn f 0-0][person:kathryn f 2-2][person:elizabeth f 6-6]
kathryn| can you pick it up for me and hang out later| [person:randy m 1-1][person:kathryn f 6-6]
randy| yes I can I will do it for you| [person:randy m 1-1][person:randy m 3-3][person:kathryn f 8-8]
randy| for a kiss|
randy| sound good|
kathryn| works for me| [person:kathryn f 2-2]
kathryn| I will see you soon| [person:kathryn f 0-0][person:randy m 3-3]

conv:people_2019081201_186:aug_0:chat_0:chataug_0| pete susan| [person:pete m 0-0][person:susan f 1-1]
pete| Hi just talked to Susan and all the guys are coming to dinner tonight Did you decide what you were going to cook| [person:susan f 4-4][person:susan f 15-15][person:susan f 18-18]
susan| Yeah I talked to Nicole and Benjamin and they both agreed on Chicken But Malcolm has been trying to go vegan so I thought I d do stir fry as a side dish That way Malcolm could have a choice| [person:susan f 1-1][person:nicole f 4-4][person:benjamin m 6-6][person:malcolm m 14-14][person:susan f 22-22][person:susan f 24-24][person:malcolm m 35-35]
pete| Excellent Should I stop for dessert on the way home| [person:pete m 2-2][location:home s 9-9]
susan| Yeah but get vegan ice cream Stop at Whole Foods and they ll have it I need a couple of other things too| [person:susan f 15-15]
pete| Make a list and I can get everything Do you need anything for the stir fry| [person:pete m 4-4][person:susan f 9-9]
susan| Yeah I ll need mushrooms and green onions Maybe a tomato for a sliced cucumber and tomato plate Any appetizers| [person:susan f 1-1]
pete| We can do just crackers and cheese with some wine I ll pick it all up| [person:we g(pete:susan:nicole:benjamin:malcolm) 0-0][person:pete m 10-10]
susan| Ok get an artichoke too we can add that to the appetizers| [person:we g(pete:susan:nicole:benjamin:malcolm) 5-5]
pete| I ll just get a can of artichoke hearts and we can put them out with the crackers Let s not go nuts| [person:pete m 0-0][person:we g(pete:susan:nicole:benjamin:malcolm) 10-10][person:we g(pete:susan:nicole:benjamin:malcolm) 13-13]
susan| Oh get some nuts too|
pete| You re nuts don t worry I ll get it all and be home in plenty of time| [person:susan f 0-0][person:susan f 6-6][location:home s 13-13]
susan| K see you then| [person:pete m 2-2]

conv:people_2019081201_187:aug_0:chat_0:chataug_0| andrea danielle| [person:andrea f 0-0][person:danielle f 1-1]
andrea| Hi Danielle My aunt and uncle are visiting new orleans soon adn was wondering if you knew any hot spots i can recommend to them| [person:danielle f 1-1][person:andrea f 2-2][person:aunt_beverly f 3-3][location:new_orleans s 8-9][person:danielle f 15-15][person:andrea f 20-20][person:aunt___uncle g() 24-24]
danielle| Of course What kind of stuff do they like to do| [person:aunt___uncle g() 7-7]
andrea| My aunt beverly really likes to see local restaurants and drive around my uncle is more of a golfer| [person:andrea f 0-0][person:aunt_beverly f 1-1][person:aunt_beverly f 2-2][location:restaurants g() 8-8][person:andrea f 12-12]
danielle| Oh ok That sounds fun I know a lot of little restaurants she would probably like one of my favorites is aunt bettys home cookin its cute| [person:danielle f 5-5][location:restaurants g() 11-11][person:aunt_beverly f 12-12][person:danielle f 18-18][person:aunt_beverly f 21-21][location:home s 23-23]
andrea| Sounds amazing What kind of food do they serve| [person:aunt___uncle g() 7-7]
danielle| Its mostly breakfast stuff because its a morning restaurant but its all kinds of breakfast stuff| [location:restaurant s 8-8]
danielle| I can actually meet you there for breakfast if you woudl like to shouwl your uncle some of the best golf courses in town My husband is an avid player and knows all of the good spots| [person:danielle f 0-0][person:andrea f 4-4][person:andrea f 9-9][person:andrea f 14-14][location:town s 23-23][person:danielle f 24-24][person:danielle_s_husband m 25-25]
andrea| OMG that would be absolutely amazing I cant wait to tell them Thank you so much| [person:andrea f 6-6][person:aunt___uncle g() 11-11][person:danielle f 13-13]
danielle| Def not a prob Cant wait to see them Let me know if you have any other questions| [person:aunt___uncle g() 8-8][person:danielle f 10-10][person:andrea f 13-13]
andrea| Ok great Thank you again| [person:danielle f 3-3]

conv:people_2019081201_188:aug_0:chat_0:chataug_0| greg josh| [person:greg m 0-0][person:josh m 1-1]
josh| hi greg| [person:greg m 1-1]
greg| hi josh| [person:josh m 1-1]
josh| my brother austin is visiting| [person:josh m 0-0][person:austin m 1-1][location:austin s 2-2]
greg| that sounds nice|
josh| his friend randy is joining us as well| [person:austin m 0-0][person:randy m 1-1][person:randy m 2-2][person:us g(josh:austin) 5-5]
greg| sounds fun|
josh| they want to watch a soccer game at some sport bar nearby| [person:they g(austin:randy) 0-0][location:bar s 10-10]
greg| that is a good way to spend some time|
josh| do you have a place to reccomend| [person:greg m 1-1][location:place s 4-4]
greg| of course the one near the corner of the street by your house is pretty fun| [location:street s 9-9][person:josh m 11-11]
josh| thanks you want to join us| [person:greg m 1-1][person:us g(josh:austin) 5-5]
greg| ok I can| [person:greg m 1-1]
josh| see you in an hour at my place| [person:greg m 1-1][person:josh m 6-6][location:place s 7-7]
greg| see you| [person:josh m 1-1]
josh| you are welcome to bring friends as well| [person:greg m 0-0][person:friends g() 5-5]
greg| ok I may ask someone to come along| [person:greg m 1-1][person:someone u 4-4]

conv:people_2019081201_189:aug_0:chat_0:chataug_0| phil tom| [person:phil m 0-0][person:tom m 1-1]
phil| Hey Tom how s it going with you| [person:tom m 1-1][person:tom m 7-7]
tom| Great Phil Are you watching the basketball game tonight| [person:phil m 1-1][person:phil m 3-3]
phil| Yes and my brother Scott and his friend Adam are coming to visit to see the game| [person:phil m 2-2][person:brother m 3-3][person:scott m 4-4][person:phil m 6-6][person:friend u 7-7][person:adam m 8-8]
tom| That sounds very cool Can I join you for the game| [person:tom m 5-5][person:phil m 7-7]
phil| Sure Tom Where do you want to go| [person:tom m 1-1][person:tom m 4-4]
tom| How about a near by Buffalo Wild Wings| [location:buffalo u 5-5]
phil| Yes that would be cool I like their wings a lot| [person:phil m 5-5][person:their g(phil:tom:tom:brother:scott:friend:adam) 7-7]
tom| Which one should we go to| [person:we g(phil:tom:tom:brother:scott:friend:adam) 3-3]
phil| How about the one on 4th street near Kmart We can meet there at 400 PM tonight| [location:street s 6-6][person:we g(phil:tom:tom:brother:scott:friend:adam) 9-9]
tom| Sounds good See you then| [person:phil m 3-3]

conv:people_2019081201_190:aug_0:chat_0:chataug_0| cathy susan| [person:cathy f 0-0][person:susan f 1-1]
susan| Hello Cathy the Watsons and Murpheys should be here around 8 pm tomorrow| [person:cathy f 1-1][person:everyone g(susan:cathy) 3-3][person:everyone g(susan:cathy) 5-5]
cathy| That sounds great I m really looking forward to getting everyone together| [person:cathy f 3-3][person:everyone g(susan:cathy) 10-10]
susan| I know the Watsons are picky but really enjoy pizza and pasta Do you know what the Murpheys like to eat| [person:susan f 0-0][person:them g() 3-3][person:cathy f 13-13][person:them g() 17-17]
cathy| I know the Murpheys will eat just about anything they are college students after all I wouldn t be too concerned about appeasing them| [person:cathy f 0-0][person:murpheys g() 3-3][person:murpheys g() 9-9][person:cathy f 15-15][person:murpheys g() 23-23]
susan| Perfect I think we should cook spaghetti and garlic bread| [person:susan f 1-1][person:we g(susan:cathy) 3-3]
cathy| I agree that should be easy to do I ll pick up some spaghetti sauce and noodles later today can you get the garlic bread| [person:cathy f 0-0][person:cathy f 8-8][person:susan f 20-20]
susan| Yes I can do that Bring the food over to my house tomorrow afternoon and we can cook everything together while we get the house ready for them| [person:susan f 1-1][person:susan f 10-10][person:we g(susan:cathy) 15-15][person:we g(susan:cathy) 21-21][person:them g() 27-27]
cathy| Okay I ll head over at 3 pm is that okay How many jars of spaghetti sauce and boxes of noodles do we need| [person:cathy f 1-1][person:we g(susan:cathy) 22-22]
susan| Yep 3 is great I would get 2 of each that should be enough for everyone I ll be getting 2 bags of garlic bread Worst case I can eat the leftovers later this week| [person:susan f 4-4][person:everyone g(susan:cathy) 15-15][person:susan f 16-16][person:susan f 27-27]
cathy| Cool I ll buy two of each and will see you tomorrow Bye| [person:cathy f 1-1][person:susan f 10-10]
susan| Goodbye|

conv:people_2019081201_192:aug_0:chat_0:chataug_0| janet maria| [person:janet f 0-0][person:maria f 1-1]
janet| Hey the Bryants just called and said they could make it for dinner Did the Campbells say yes| [person:bryants g() 2-2][person:bryants g() 7-7][person:campbells g() 15-15]
maria| Yeah I just saw them outside They re coming Did you think about what we should cook| [person:maria f 1-1][person:campbells g() 4-4][person:campbells g() 6-6][person:janet f 10-10][person:we g(janet:maria) 14-14]
janet| I thought chicken but then remembered that the Bryants are vegan How about chicken and a vegan entree too| [person:janet f 0-0][person:bryants g() 8-8]
maria| Sounds great You make that really good curry dish and it could be an entree or a side| [person:maria f 2-2]
janet| Yeah and if we did rice and a big salad that should get everyone taken care of| [person:we g(janet:maria) 3-3][person:everyone g(janet:maria) 13-13]
maria| Just remember no cheese on the salad and we have to get dressings that are vegan| [person:we g(janet:maria) 8-8]
