conv:people_chats_0628_15:aug_0:chat_0:chataug_0| charlie emmett| [person:charlie f 0-0][person:emmett m 1-1]
jasmine| Me too| [person:jasmine f 0-0]
george| Why do you think they are leaving| [person:jasmine f 2-2][person:them g(kacie:mike) 4-4]
jasmine| Kacie mentioned something She told me it never felt like home for her here| [person:kacie f 0-0][person:kacie f 3-3][person:jasmine f 5-5][location:home s 10-10][person:kacie f 12-12][location:home s 13-13]

conv:people_chats_0628_21:aug_0:chat_0:chataug_0| harley serena| [person:harley m 0-0][person:serena f 1-1]
serena| we should do a family reunion| [person:sh g(serena:harley) 0-0][person:family g() 4-4]
harley| oh that is nice|
serena| i text Miranda to ask if she will be available| [person:serena f 0-0][person:miranda f 2-2][person:miranda f 6-6]
serena| you know she travels a lot and might be booked already| [person:harley m 0-0][person:miranda f 2-2]
harley| oh that is true|
harley| i will call her to find out| [person:harley m 0-0][person:miranda f 3-3]
serena| i have spoken with jason| [person:serena f 0-0][person:jason m 4-4]
serena| he said he will be coming| [person:jason m 0-0][person:jason m 2-2]
harley| i love that| [person:harley m 0-0]
serena| he s so excited to get the kids together| [person:jason m 0-0][person:kids g() 7-7]
harley| should i book one large beach house| [person:harley m 1-1][location:beach_house s 5-5]
harley| or each family should find their own lodging| [person:family g() 2-2][person:family g() 5-5]

conv:people_chats_0628_23:aug_0:chat_0:chataug_0| blake megan| [person:blake m 0-0][person:megan f 1-1]
blake| Hello how are you doing today Megan| [person:megan f 3-3][person:megan f 6-6]
megan| I am doing good Blake| [person:megan f 0-0][person:blake m 4-4]
blake| I need a favor Megan please| [person:blake m 0-0][person:megan f 4-4]
megan| What is the favor|
blake| Can you give me a ride back to my house My car is in the shop being fixed| [person:megan f 1-1][person:blake m 3-3][person:blake m 8-8][person:blake m 10-10]
megan| Yes I can give you a ride| [person:megan f 1-1][person:blake m 4-4]
blake| Thanks I appreciate it| [person:blake m 1-1]
megan| It might be about ten minutes Trina and I have to clean the break room| [person:trina f 6-6][person:megan f 8-8]
megan| It is our day today to clean it| [person:our g(megan:trina) 2-2]
blake| That s ok I will call my son Mack while I am waiting| [person:blake m 3-3][person:blake m 6-6][person:son m 7-7][person:mack m 8-8][person:blake m 10-10]
blake| It has been awhile since we have talked| [person:we g(blake:megan) 5-5]
megan| Ok Blake see you in a few minutes| [person:blake m 1-1][person:blake m 3-3]
blake| Alright Megan Thank you| [person:megan f 1-1][person:megan f 3-3]
megan| Your welcome| [person:blake m 0-0]

conv:people_chats_0628_25:aug_0:chat_0:chataug_0| anna erik| [person:anna f 0-0][person:erik m 1-1]
anna| Hii friend| [person:erik m 1-1]
anna| How are you| [person:erik m 2-2]
erik| Hello|
anna| Hi fine|
erik| You how| [person:anna f 0-0]
erik| I m good| [person:erik m 0-0]
anna| Oh really very nice|
erik| What are you doing| [person:anna f 2-2]
anna| I m chatting with you| [person:anna f 0-0][person:erik m 4-4]
erik| Where are you now| [person:anna f 2-2]
anna| In my home| [person:anna f 1-1][location:home s 2-2]
erik| What about you| [person:anna f 2-2]
anna| Nothing|
anna| Anything special today|
erik| Nothing friend| [person:anna f 1-1]
anna| I will enjoing today| [person:anna f 0-0]
erik| Oh really very nice|

conv:people_chats_0628_26:aug_0:chat_0:chataug_0| grant pamela| [person:grant m 0-0][person:pamela f 1-1]
grant| Hey is Lisa is still having those vivid night terrors| [person:lisa f 2-2]
pamela| Yes she still is having them actually| [person:lisa f 1-1]
grant| Do you think she could be cursed or even possessed| [person:pamela f 1-1][person:lisa f 3-3]
grant| How can you not believe it Her head spun a threehundred sixty degrees| [person:pamela f 2-2][person:lisa f 6-6]
pamela| Well my husband Vick drank Crisper juice and has owl DNA now so just leave it alone| [person:pamela f 1-1][person:vick m 2-2][person:vick m 3-3]
pamela| I don t believe in that stuff| [person:pamela f 0-0]
grant| Okay I m sorry how s your husband anyway| [person:grant m 1-1][person:pamela f 6-6][person:vick m 7-7]
pamela| He is doing okay except the pellets are bothering him| [person:vick m 0-0][person:vick m 9-9]
grant| Well what do you expect He has owl DNA| [person:pamela f 3-3][person:vick m 5-5]
grant| He looks and eats like an owl| [person:vick m 0-0]
pamela| This is not entirely wrong I guess| [person:pamela f 5-5]

conv:people_chats_0628_27:aug_0:chat_0:chataug_0| blake megan| [person:blake m 0-0][person:megan f 1-1]
blake| Hello how are you doing today Megan| [person:megan f 3-3][person:megan f 6-6]
megan| I am doing good Blake| [person:megan f 0-0][person:blake m 4-4]
blake| I need a favor Megan please| [person:blake m 0-0][person:megan f 4-4]
megan| What is the favor|
blake| Can you give me a ride back to my house My car is in the shop being fixed| [person:megan f 1-1][person:blake m 3-3][person:blake m 8-8][person:blake m 10-10]
megan| Yes I can give you a ride| [person:megan f 1-1][person:blake m 4-4]
blake| Thanks I appreciate it| [person:blake m 1-1]
megan| It might be about ten minutes Trina and I have to clean the break room| [person:trina f 6-6][person:megan f 8-8]
megan| It is our day today to clean it| [person:our g(megan:trina) 2-2]
blake| That s ok I will call my son Mack while I am waiting| [person:blake m 3-3][person:blake m 6-6][person:son m 7-7][person:mack m 8-8][person:blake m 10-10]
blake| It has been awhile since we have talked| [person:we g(blake:megan) 5-5]
megan| Ok Blake see you in a few minutes| [person:blake m 1-1][person:blake m 3-3]
blake| Alright Megan Thank you| [person:megan f 1-1][person:megan f 3-3]
megan| Your welcome| [person:blake m 0-0]

conv:people_chats_0628_29:aug_0:chat_0:chataug_0| jonas reed| [person:jonas m 0-0][person:reed m 1-1]
reed| Hey man I wanted to check if we re still rehearsing tomorrow night Are we still on for 600 at your place| [person:reed m 2-2][person:reed_and_jonas g(reed:jonas) 7-7][person:reed_and_jonas g(reed:jonas) 14-14][person:jonas m 20-20]
jonas| For sure but 600 isn t going to work anymore It ll have to be pushed back to 700 I totally forgot that Andrea and Skye don t have a ride so I ll need time to go get them before we start| [person:jonas m 19-19][person:andrea f 23-23][person:skye f 25-25][person:jonas m 32-32][person:adrea_and_skye g(andrea:skye) 39-39]
reed| Don t have a ride Did something happen to Andrea s car| [person:andrea f 9-9]
jonas| You didn t hear She got hit by a drunk driver a couple days ago nearly totaled the thing Thankfully Andrea was fine which is probably why you didn t know| [person:reed m 0-0][person:andrea f 4-4][person:andrea f 20-20][person:reed m 27-27]
reed| Geez that s a mess You know I could pick them up instead if that would help Maybe we could still start at 600 then I want to make sure we have enough time| [person:jonas m 5-5][person:reed m 7-7][person:adrea_and_skye g(andrea:skye) 10-10][person:reed_and_jonas g(reed:jonas) 18-18][person:reed m 25-25][person:reed_and_jonas g(reed:jonas) 30-30]
jonas| I didn t even think to ask that would be great Thanks for offering| [person:jonas m 0-0]
reed| No problem at all I ll get in touch with them in a bit and let them know so don t worry about that either| [person:reed m 4-4][person:adrea_and_skye g(andrea:skye) 10-10][person:adrea_and_skye g(andrea:skye) 16-16]
jonas| You are a lifesaver Now if only you could figure out why my amp is on the fritz hah Hoping the stupid thing doesn t cause trouble when we re trying to rehearse| [person:reed m 0-0][person:reed m 7-7][person:jonas m 12-12][person:reed_and_jonas g(reed:jonas) 28-28]
reed| Actually I m probably useless trying to fix the thing but I DO have an old amp stashed in my closet somewhere that I could bring just in case| [person:reed m 1-1][person:reed m 11-11][person:reed m 19-19][person:reed m 23-23]
jonas| Dude you are on a role Did I mention that you re a lifesaver| [person:reed m 1-1][person:jonas m 7-7][person:reed m 10-10]
reed| You know I m pretty sure you did but I don t mind hearing it again poses| [person:jonas m 0-0][person:reed m 2-2][person:jonas m 6-6][person:reed m 9-9]
jonas| Dork Look forward to seeing you tomorrow it s been too long Thanks again for all of your help| [person:reed m 5-5][person:reed m 17-17]
reed| No worries man All in a day s work right I ll see you then Can t wait to make music again| [person:reed m 10-10][person:jonas m 13-13]

conv:people_chats_0628_30:aug_0:chat_0:chataug_0| cindy kim| [person:cindy f 0-0][person:kim f 1-1]
cindy| Good day Kim| [person:kim f 2-2]
cindy| How are you doing today How s school| [person:kim f 2-2][location:school s 7-7]
kim| Hi Mom Good day| [person:cindy f 1-1]
kim| So far good|
kim| I have three tests today| [person:kim f 0-0]
kim| I m anxious| [person:kim f 0-0]
kim| Bordy was supposed to help me out with them but they didn t| [person:kim f 5-5][person:them g() 8-8][person:they g() 10-10]
kim| They kept playing a stupid video game| [person:they g() 0-0]
cindy| Oh that s not nice at all|
cindy| I hope you pass anyway| [person:cindy f 0-0][person:kim f 2-2]
cindy| Studying should be your priority not the Brodys of this world and their games| [person:kim f 3-3][person:they g() 12-12]
cindy| Eric was studying away last night in his room| [person:eric m 0-0][person:eric m 7-7]
kim| Really|
cindy| Really Kim| [person:kim f 1-1]
cindy| He is being super responsible| [person:eric m 0-0]
cindy| You could learn a thing or two from him| [person:kim f 0-0][person:eric m 8-8]

conv:people_chats_0628_32:aug_0:chat_0:chataug_0| antoine geraldine| [person:antoine m 0-0][person:geraldine f 1-1]
geraldine| Hey Antoine I need a favor| [person:antoine m 1-1][person:geraldine f 2-2]
geraldine| I m at Macy s shopping for the kids but I need some help| [person:geraldine f 0-0][person:kids g() 8-8][person:geraldine f 10-10]
geraldine| Can you go into the bedroom grab one of their shirts and tell me what size they are| [person:antoine m 1-1][location:bedroom s 5-5][person:kids g() 9-9][person:geraldine f 13-13][person:kids g() 16-16]
antoine| Sure does it matter which shirt|
geraldine| No doesn t matter Any shirt|
antoine| Ok so it looks like Morgan is a T4 and Micha is an 8| [person:morgan m 5-5][person:micha m 10-10]
antoine| Wow I can t believe how big they are getting| [person:antoine m 1-1][person:kids g(morgan:micha) 7-7]
geraldine| I know I can t believe it either| [person:geraldine f 0-0][person:geraldine f 2-2]
antoine| Their shoes look a bit worn Doesn t look like they have presentable ones anymore| [person:kids g(morgan:micha) 0-0][person:kids g(morgan:micha) 10-10]
antoine| Do you want their shoe sizes too| [person:geraldine f 1-1][person:kids g(morgan:micha) 3-3]
geraldine| No not right now That s next trip haha|
antoine| Ok sounds good|
geraldine| Thanks Antoine| [person:antoine m 1-1]
antoine| You re welcome kisses| [person:geraldine f 0-0]

conv:people_chats_0628_33:aug_0:chat_0:chataug_0| carmen jezebel| [person:carmen f 0-0][person:jezebel f 1-1]
jezebel| Have you been to the abandoned insane asylum| [person:carmen f 1-1][location:insane_asylum s 6-7]
carmen| No I haven not been there yet| [person:carmen f 1-1][location:insane_asylum s 5-5]
jezebel| Jason and Devon went there the other day and checked it out They took several pictures| [person:jason m 0-0][person:devon m 2-2][location:insane_asylum s 4-4][location:insane_asylum s 10-10][person:they g(devon) 12-12]
carmen| Oh really They must have enjoyed it| [person:they g(devon) 2-2][location:insane_asylum s 6-6]
jezebel| Well they did say it was rather eerie and it was obvious that people had been hanging out in there| [person:they g(devon) 1-1][location:insane_asylum s 19-19]
carmen| I m not sure about going there| [person:carmen f 0-0][location:insane_asylum s 6-6]
jezebel| I d like to go and they said when they go again they will let me know| [person:jezebel f 0-0][person:they g(devon) 6-6][person:they g(devon) 9-9][person:they g(devon) 12-12][person:jezebel f 15-15]
carmen| I m really not interested in going there| [person:carmen f 0-0][location:insane_asylum s 7-7]
jezebel| Why wouldn t you want to go| [person:carmen f 3-3]
carmen| It could be dangerous and you don t know who you are going to run into It would be rather scary| [location:insane_asylum s 0-0][person:jezebel f 5-5][person:jezebel f 10-10][location:insane_asylum s 16-16]
jezebel| OK I just wanted to chat with you about it Have a good day| [person:jezebel f 1-1][person:carmen f 7-7][location:insane_asylum s 9-9]
carmen| OK You too I ll chat with you later Bye| [person:jezebel f 1-1][person:carmen f 3-3][person:jezebel f 7-7]

conv:people_chats_0628_34:aug_0:chat_0:chataug_0| george melissa| [person:george m 0-0][person:melissa f 1-1]
george| Hello|
melissa| Hey George wha ts up| [person:george m 1-1]
george| Nothing much I just wanna ask if you saw BillyBob s latest video| [person:george m 2-2][person:melissa f 7-7]
melissa| No I haven t saw him yet Who is he anyway| [person:melissa f 1-1][person:billybob m 5-5][person:billybob m 9-9]
george| He s one of my favorite streamers He plays Ultra Bash Ssters online against his rival Sonia| [person:billybob m 0-0][person:george m 4-4][person:billybob m 7-7][person:billybob m 14-14][person:sonia f 16-16]
melissa| That sounds fun Does he beat her at that game| [person:billybob m 4-4][person:sonia f 6-6]
george| No he doesn t But the reactions against her are pretty funny| [person:billybob m 1-1][person:sonia f 8-8]
george| They both sound like they re equally terrible when they re playing| [person:artists g(billybob:sonia) 0-0][person:artists g(billybob:sonia) 4-4][person:artists g(billybob:sonia) 9-9]
melissa| It sounds like the whole thing is scripted if you ask me| [person:george m 9-9][person:melissa f 11-11]
george| I wouldn t beilive it if I wasn t aware that Shmintendo s console has all the matchmaking capability of a dead fish| [person:george m 0-0][person:george m 6-6]
melissa| If they re so popular why is their connectivity so bad| [person:artists g(billybob:sonia) 1-1][person:artists g(billybob:sonia) 7-7]
george| I m sure it s because more people are using| [person:george m 0-0]

conv:people_chats_0628_36:aug_0:chat_0:chataug_0| max vivianne| [person:max m 0-0][person:vivianne f 1-1]
vivianne| Hey|
vivianne| How are you| [person:max m 2-2]
max| Hello|
max| What is going on with you| [person:vivianne f 5-5]
max| I am good| [person:max m 0-0]
vivianne| I was just wondering if you had practice after school today| [person:vivianne f 0-0][person:max m 5-5][location:school s 9-9]
max| Ya I do| [person:max m 1-1]
vivianne| Who is your ride home| [person:max m 2-2][location:home s 4-4]
max| Taylor| [person:taylor m 0-0]
max| Why|
vivianne| Just wondering|
max| Taylor already told me he could drop him off today| [person:taylor m 0-0][person:max m 3-3][person:taylor m 4-4][person:taylor m 7-7]
vivianne| Have you talked to my sis| [person:max m 1-1][person:vivianne f 4-4]
max| Who|
vivianne| Paula| [person:paula f 0-0]
vivianne| You know her| [person:max m 0-0][person:paula f 2-2]
max| Oh ya ya|
max| I just saw her| [person:max m 0-0][person:paula f 3-3]
vivianne| Does he need a ride| [person:paula f 1-1]
vivianne| I mean she| [person:max m 0-0][person:paula f 2-2]
max| I think she is just taking the bus but she better text her and ask to be sure| [person:max m 0-0][person:paula f 2-2][person:vivianne f 9-9][person:paula f 12-12]

conv:people_chats_0628_37:aug_0:chat_0:chataug_0| andrew joey| [person:andrew m 0-0][person:joey m 1-1]
andrew| hello|
andrew| would you like to grill tonight for dinner| [person:joey m 1-1]
joey| I would like to grill| [person:joey m 0-0]
joey| But I am taking out Lisa tonight| [person:joey m 1-1][person:lisa f 5-5]
andrew| I have an idea| [person:andrew m 0-0]
andrew| How about coming over and bringing Lisa along| [person:lisa f 6-6]
andrew| I can ask Lucinda to come over and make it a foursome| [person:andrew m 0-0][person:lucinda f 3-3]
joey| Ok I will ask Lisa| [person:joey m 1-1][person:lisa f 4-4]
joey| I dont though she wanted have sushi tonight| [person:joey m 0-0][person:lisa f 3-3]
andrew| See what you can do to change her mind| [person:joey m 2-2][person:lisa f 7-7]
andrew| We will have a great time| [person:we g(andrew:joey:lisa:lucinda) 0-0]
joey| Ok I will try to get her to agree| [person:joey m 1-1][person:lisa f 6-6]
joey| I will tell Lisa that I will take her for sushi next time we go out| [person:joey m 0-0][person:lisa f 3-3][person:joey m 5-5][person:lisa f 8-8][person:we g(joey:lisa) 13-13]

conv:people_chats_0628_38:aug_0:chat_0:chataug_0| robert taylor| [person:robert m 0-0][person:taylor m 1-1]
taylor| hi|
taylor| how are you| [person:taylor m 2-2]
taylor| what about you| [person:robert m 2-2]
robert| hi|
robert| i am fine| [person:robert m 0-0]
robert| i am in my home| [person:robert m 0-0][person:robert m 3-3][location:home s 4-4]
robert| and you| [person:taylor m 1-1]
taylor| same|
taylor| i am in my home| [person:taylor m 0-0][person:taylor m 3-3][location:home s 4-4]
taylor| big problem in world|
taylor| covid19|
taylor| how many members in your home| [person:robert m 4-4][location:home s 5-5]
robert| 3 members|
robert| and you| [person:taylor m 1-1]
taylor| 4 members|
taylor| what are you doing now| [person:robert m 2-2]
robert| i am in my home| [person:robert m 0-0][person:robert m 3-3][location:home s 4-4]
robert| and you| [person:taylor m 1-1]
taylor| same|
taylor| in my home| [person:taylor m 1-1][location:home s 2-2]
taylor| and gaming in my mobile pghone| [person:taylor m 3-3]

conv:people_chats_0628_40:aug_0:chat_0:chataug_0| eddie hope| [person:eddie m 0-0][person:hope f 1-1]
hope| Hey|
hope| Happy birthday Eddie| [person:eddie m 2-2]
eddie| Thank you so much| [person:hope f 1-1]
hope| Have you had a good birthday| [person:eddie m 1-1]
eddie| Yup|
eddie| Henna and Issac surprised me this morning| [person:they g() 0-0][person:they g() 2-2][person:eddie m 4-4]
hope| Who are they| [person:henna_and_issac g() 2-2]
eddie| My roomates| [person:eddie m 0-0]
eddie| They filled the whole house with baloons| [person:henna_and_issac g() 0-0][location:house s 4-4]
hope| That is so sweet|
eddie| They did even more| [person:henna_and_issac g() 0-0]
eddie| They made me my favorite breakfast| [person:henna_and_issac g() 0-0][person:eddie m 2-2][person:eddie m 3-3]
hope| cool|
hope| what else|
eddie| They are going to take him out to dinner tonight| [person:henna_and_issac g() 0-0][person:henna_and_issac g() 5-5]
hope| What is your favorite breakfast| [person:eddie m 2-2]

conv:people_chats_0628_41:aug_0:chat_0:chataug_0| andrea linda| [person:andrea f 0-0][person:linda f 1-1]
linda| Hey girl|
linda| Are you taking the boys to the circus tmw| [person:andrea f 1-1][person:boys g() 4-4]
andrea| No neither Parker Logan nor myself will be attending those anymore| [person:parker m 2-2][person:logan m 3-3][person:andrea f 5-5]
linda| Why|
andrea| They are cruel|
andrea| Those poor animals live a horrible life its not worth it for cheap entertainment|
linda| Oh wow Yeah I ve read that online too How did the boys take it| [person:linda f 3-3][person:boys g(parker:logan) 12-12]
andrea| I m not sure At first they begged to go but I told them no matter how much they beg and plead its not happening| [person:andrea f 0-0][person:boys g(parker:logan) 6-6][person:andrea f 11-11][person:boys g(parker:logan) 13-13][person:boys g(parker:logan) 18-18]
andrea| I tried to explain why in a way they could understand without being too graphic but I don t think they really get it yet| [person:andrea f 0-0][person:boys g(parker:logan) 8-8][person:andrea f 16-16][person:boys g(parker:logan) 20-20]
linda| Its a mixed bag for sure So many parents still take their kids though I would hate for your boys to feel left out| [person:parents g() 8-8][person:kids g() 12-12][person:linda f 14-14][person:andrea f 18-18][person:boys g(parker:logan) 19-19]
andrea| Honestly them learning the importance of doing the right thing matters much more to me than them feeling left out I m raising responsible empathetic young men I would suggest you try to do the same| [person:boys g(parker:logan) 1-1][person:andrea f 14-14][person:boys g(parker:logan) 16-16][person:andrea f 20-20][person:men m 26-26][person:andrea f 27-27][person:linda f 30-30]
linda| Well you ve got a point there| [person:andrea f 1-1]
linda| I will be having the talk with my children tonight as well| [person:linda f 0-0][person:linda f 7-7]
andrea| Oh that is wonderful to hear|

conv:people_chats_0628_42:aug_0:chat_0:chataug_0| cody samirah| [person:cody m 0-0][person:samirah f 1-1]
samirah| hi|
samirah| hey cody I m working from home today| [person:cody m 1-1][person:samirah f 2-2][location:home s 6-6]
samirah| if you need something right away you can reach out to my assistant AnnaMarie She will be in during regular work hours| [person:cody m 1-1][person:cody m 6-6][person:samirah f 11-11][person:anna_marie f 13-13][person:anna_marie f 14-14]
cody| Okay thanks Samirah| [person:samirah f 2-2]
samirah| If AnnaMarie is out during her lunch break then you could reach out to Allen He comes in a little later so there s always someone available to help you| [person:anna_marie f 1-1][person:anna_marie f 5-5][person:cody m 9-9][person:allen m 14-14][person:allen m 15-15][person:someon g() 25-25][person:cody m 29-29]
cody| Awesome I appreciate it Everything going okay| [person:cody m 1-1]
cody| end conversation|
samirah| End Conversation|
cody| Why are you saying end conversation That s kind of weird| [person:samirah f 2-2]
samirah| I know I must not have fully understood the situation lol| [person:samirah f 0-0][person:samirah f 2-2]
cody| ahh yeah I completely understand| [person:cody m 2-2]
samirah| well anyway I hope you re doing okay| [person:cody m 2-2][person:cody m 4-4]
cody| I m doing great| [person:cody m 0-0]
cody| thanks for asking|
cody| end conversation|

conv:people_chats_0628_45:aug_0:chat_0:chataug_0| beth phillian| [person:beth f 0-0][person:phillian m 1-1]
phillian| Hello Beth| [person:beth f 1-1]
beth| Hey Phillian How are you| [person:phillian m 1-1][person:phillian m 4-4]
phillian| I m doing well I was just wondering why the floor under the kitchen sink s cabinets were replaced with some sort of floorifice| [person:phillian m 0-0][person:phillian m 4-4][location:kitchen s 13-13]
beth| Floorifice|
phillian| Ugh I mean gurgling orifice I dropped a glowstick in it and it completely disappeared| [person:phillian m 1-1][person:phillian m 5-5]
beth| Dude you re exaggerating That floorifice is a garbage disposal that Chuck installed last time he came over| [person:phillian m 1-1][person:chuck m 11-11][person:chuck m 15-15]
phillian| What was it installed with a copy of necronomicon or what|
beth| Stop it he literally got it from Home Depot| [person:chuck m 2-2][location:home s 7-7]
phillian| Psh I highly doubt that I have never in my life seen an indescribable alien entity like that for sale at any Home Depot I know| [person:phillian m 1-1][person:phillian m 5-5][person:phillian m 9-9][location:home s 22-22][person:phillian m 24-24]
beth| Well that s cause you never do stuff around the house anyways| [person:phillian m 4-4]
phillian| You re mad if you think that thing under our sink looks normal| [person:beth f 0-0][person:beth f 4-4][person:our g(phillian:beth) 9-9]
phillian| I m going to call Barbie and update her about this and to talk to you about this| [person:phillian m 0-0][person:barbie f 5-5][person:barbie f 8-8][person:beth f 15-15]
beth| Okay but you re just going to make yourself look bad| [person:phillian m 2-2][person:phillian m 8-8]
phillian| I highly doubt that| [person:phillian m 0-0]
