conv:task_oriented_1231_amt_22:aug_0:chat_0:chataug_0| margaret nicole| [person:margaret f 0-0][person:nicole f 1-1]
conv:task_oriented_1231_amt_26:aug_0:chat_0:chataug_0| sandra stacey| [person:sandra f 0-0][person:stacey f 1-1]
sandra| Hey Stacey Let s go to a concert on Friday| [person:stacey f 1-1]
stacey| Sure Sandra How are you planning to go out| [person:sandra f 1-1][person:sandra f 4-4]
sandra| I was thinking to sneak out| [person:sandra f 0-0]
stacey| How shall we sneak out if our parents are awake| [person:we g(sandra:stacey) 2-2][person:our g(sandra:stacey) 6-6][person:parents g() 7-7]
sandra| Most probably our parents will be asleep by 10 pm so there won t be any difficulty| [person:our g(sandra:stacey) 2-2][person:parents g() 3-3]
stacey| From where shall we sneak out through the basement or the window| [person:we g(sandra:stacey) 3-3]
sandra| If we go out of windows we might probably end up hurting ourselves| [person:we g(sandra:stacey) 1-1][person:we g(sandra:stacey) 6-6]
stacey| Yeah you are right Let s sneak out from basement| [person:sandra f 1-1]
sandra| Yeah it will be easy also for us to get back into the house through basement| [person:us g(sandra:stacey) 7-7]
stacey| Okay we will have a great fun there| [person:we g(sandra:stacey) 1-1]

conv:task_oriented_1231_amt_28:aug_0:chat_0:chataug_0| athena natasha| [person:athena f 0-0][person:natasha f 1-1]
athena| Natasha where are you I need your help as I have locked the key in the car| [person:natasha f 0-0][person:natasha f 3-3][person:athena f 4-4][person:natasha f 6-6][person:athena f 9-9]
natasha| Oh my god I just returned home Where are you| [person:natasha f 1-1][person:natasha f 3-3][location:home s 6-6][person:athena f 9-9]
athena| I am in the gas station near our home Can you bring the spare set it s inside my cupboard| [person:athena f 0-0][location:gas_station s 4-5][location:gas_station s 5-5][person:our g(athena:natasha) 7-7][location:home s 8-8][person:natasha f 10-10][person:athena f 18-18]
natasha| I ll be there in 10 minutes| [person:natasha f 0-0][location:gas_station s 3-3]
athena| I met Simon and Amber here Let s have a game night at our place| [person:athena f 0-0][person:simon m 2-2][person:amber f 4-4][location:gas_station s 5-5][person:our g(athena:natasha) 13-13][location:home s 14-14]
athena| Will you help me to plan and arrange everything for it| [person:natasha f 1-1][person:athena f 3-3]
natasha| Well I will definitely help you| [person:natasha f 1-1][person:athena f 5-5]
natasha| After reaching there we can plan and start to execute it| [location:gas_station s 2-2][person:our g(athena:natasha) 3-3]
athena| Okay I am inviting them tonight| [person:athena f 1-1][person:them g(simon:amber) 4-4]
natasha| Yeah They always bring great food for sharing| [person:them g(simon:amber) 1-1]

conv:task_oriented_1231_amt_30:aug_0:chat_0:chataug_0| joan mark| [person:joan f 0-0][person:mark m 1-1]
joan| Hey Mark I want to get my nails done today Do you want to come along| [person:mark m 1-1][person:joan f 2-2][person:joan f 6-6][person:mark m 11-11]
mark| Hey Mark I would love to come along with you| [person:mark m 1-1][person:mark m 2-2][person:joan f 9-9]
joan| Great We shall go after school is done| [person:we g(joan:mark) 1-1][location:school s 5-5]
mark| Sounds good to me I m not sure what colors to get though| [person:mark m 3-3][person:mark m 4-4]
joan| Me neither We should talk to Russell and his girlfriend Betty about the colors| [person:joan f 0-0][person:we g(joan:mark) 2-2][person:russell m 6-6][person:russell m 8-8][person:betty f 9-9][person:betty f 10-10]
mark| Okay Why do you think they can help us with that| [person:joan f 3-3][person:they g(russell:betty) 5-5][person:us g(russell:betty) 8-8]
joan| They both dress very well and are always in pretty colored clothes| [person:they g(russell:betty) 0-0]
mark| Sounds great to me When are you going to ask them| [person:mark m 3-3][person:joan f 6-6][person:them g(russell:betty) 10-10]
joan| They are in the next class with us We can do that then| [person:they g(russell:betty) 0-0][location:class s 5-5][person:us g(russell:betty) 7-7][person:we g(joan:mark) 8-8]
mark| Okay I m really excited about getting our nails done later| [person:mark m 1-1][person:our g(joan:mark:russell:betty) 7-7]

conv:task_oriented_1231_amt_31:aug_0:chat_0:chataug_0| faith lance| [person:faith f 0-0][person:lance m 1-1]
lance| Faith there s something that is deeply hurting me and I need to tell that to you| [person:faith f 0-0][person:lance m 8-8][person:lance m 10-10][person:faith f 16-16]
faith| what happened Lance Is everything okay| [person:lance m 2-2]
lance| I feel that Diana s boyfriend Roy isn t a good guy and he might end up hurting our daughter s feelings| [person:lance m 0-0][person:diana f 3-3][person:roy m 6-6][person:roy m 13-13][person:our g(lance:faith) 18-18][person:daughter f 19-19]
faith| Why do you think like that Lance| [person:lance m 2-2][person:lance m 6-6]
lance| I don t know it is just my inner feelings about him| [person:lance m 0-0][person:lance m 7-7][person:roy m 11-11]
faith| I understand that being a father you think about our daughter s safety and happiness But I think Diana is pretty much matured and she can take her life decisions quite well| [person:faith f 0-0][person:lance m 6-6][person:our g(lance:faith) 9-9][person:daughter f 10-10][person:faith f 16-16][person:diana f 18-18][person:diana f 24-24][person:diana f 27-27]
lance| What do you mean by that Faith| [person:faith f 2-2][person:faith f 6-6]
faith| I mean let her decide if Roy is good for her or not and let us not involve in their matter| [person:faith f 0-0][person:diana f 3-3][person:roy m 6-6][person:diana f 10-10][person:us g(lance:faith) 15-15][person:their g(diana:roy) 19-19]
lance| Okay fine let s see what future brings to us and our daughter| [person:us g(lance:faith) 9-9][person:our g(lance:faith) 11-11][person:daughter f 12-12]
faith| Yeah that s good just keep your spirits high| [person:lance m 6-6]

conv:task_oriented_1231_amt_32:aug_0:chat_0:chataug_0| gene nick| [person:gene f 0-0][person:nick m 1-1]
nick| Hi Gene are you done with your schoolwork| [person:gene f 1-1][person:gene f 3-3][person:gene f 6-6]
gene| Hello Nick I m almost done with the work What about you| [person:nick m 1-1][person:gene f 2-2][person:nick m 11-11]
nick| Yes I am even done with the work Can I ask you something if you don t mind| [person:nick m 1-1][person:nick m 9-9][person:gene f 11-11][person:gene f 14-14]
gene| Sure ask me I don t mind What is the matter| [person:gene f 2-2][person:gene f 3-3]
nick| You look very sad during class May I know the reason| [person:gene f 0-0][person:nick m 7-7]
gene| Our classmates Brooklyn and Jonah were very mean to me and I didn t like it that s the reason I was sad| [person:our g(nick:gene) 0-0][person:classmates g() 1-1][person:brooklyn f 2-2][person:jonah m 4-4][person:gene f 9-9][person:gene f 11-11][person:gene f 20-20]
nick| Yes I even noticed it earlier They were mean because they are jealous of your good scores| [person:nick m 1-1][location:brooklyn s 4-4][person:classmates g(brooklyn:jonah) 6-6][person:classmates g(brooklyn:jonah) 10-10][person:gene f 14-14]
gene| But that s not my fault they should improve themselves| [person:gene f 4-4][person:classmates g(brooklyn:jonah) 6-6][person:classmates g(brooklyn:jonah) 9-9]
nick| Yes you are right Make a report against them if they continue the same| [person:gene f 1-1][person:classmates g(brooklyn:jonah) 8-8][person:classmates g(brooklyn:jonah) 10-10]
gene| Okay I will do it if they repeat it| [person:gene f 1-1][location:brooklyn s 4-4][person:classmates g(brooklyn:jonah) 6-6][location:brooklyn s 8-8]

conv:task_oriented_1231_amt_33:aug_0:chat_0:chataug_0| ben diego| [person:ben m 0-0][person:diego m 1-1]
ben| Diego are you busy I need to talk to you regarding our game strategy| [person:diego m 0-0][person:diego m 2-2][person:ben m 4-4][person:diego m 9-9][person:our g(ben:diego) 11-11]
diego| I also want a discussion regarding our next basketball match| [person:diego m 0-0][person:our g(ben:diego) 6-6]
ben| I think Philip and Pablo should get more chances| [person:ben m 0-0][person:philip m 2-2][person:pablo m 4-4]
diego| Do you think so| [person:ben m 1-1]
ben| I do and I want confirmation from you about this as well| [person:ben m 0-0][person:ben m 3-3][person:diego m 7-7]
diego| But I think if we have to win the game I need to take more shots| [person:diego m 1-1][person:our g(ben:diego) 4-4][person:diego m 10-10]
ben| Might be but they both should get the ball a bit more from the next time| [person:they g(philip:pablo) 3-3]
diego| Well I will try my best from my end But I don t agree with your thought| [person:diego m 1-1][person:diego m 4-4][person:diego m 7-7][person:diego m 10-10][person:ben m 15-15]
ben| We need to win with everyone s contribution for that they need the chance| [person:our g(ben:diego) 0-0][person:everyone g(ben:diego:philip:pablo) 5-5][person:they g(philip:pablo) 10-10]
diego| I think they should make out their chance Anyways all that we want is to win the game| [person:diego m 0-0][person:they g(philip:pablo) 2-2][person:they g(philip:pablo) 6-6][person:our g(ben:diego) 11-11]

conv:task_oriented_1231_amt_34:aug_0:chat_0:chataug_0| olivia randy| [person:olivia f 0-0][person:randy m 1-1]
olivia| Hey Randy It s been so long that we spoke to each other How are you doing| [person:randy m 1-1][person:we g(olivia:randy) 8-8][person:randy m 15-15]
randy| I m good Olivia but a little stressed| [person:randy m 0-0][person:olivia f 3-3]
olivia| Why are you stressed Is everything alright| [person:randy m 2-2]
randy| I m helping my parents to take care of them now that they are getting older| [person:randy m 0-0][person:randy m 3-3][person:parents g() 4-4][person:parents g() 9-9][person:parents g() 12-12]
olivia| That s sweet How are they doing| [person:parents g() 5-5]
randy| My mom is losing her sight and dad s memory is failing half the time he doesn t even know who I am| [person:randy m 0-0][person:mom f 1-1][person:mom f 4-4][person:dad m 7-7][person:dad m 15-15][person:randy m 21-21]
olivia| That is very sad Have you thought about putting them in a home| [person:randy m 5-5][person:parents g(mom:dad) 9-9]
randy| I want to but my siblings are opposed to it| [person:randy m 0-0][person:randy m 4-4]
olivia| Why is that so Why don t you try talking to them once| [person:randy m 7-7][person:parents g(mom:dad) 11-11]
randy| I have tried But even I am concerned about my dad getting lost and not knowing how to get himself home| [person:randy m 0-0][person:randy m 5-5][person:randy m 9-9][person:dad m 10-10][person:dad m 19-19]
olivia| Your concerns are in the right place Take care of them| [person:randy m 0-0][person:parents g(mom:dad) 10-10]

conv:task_oriented_1231_amt_37:aug_0:chat_0:chataug_0| beverly jane| [person:beverly f 0-0][person:jane f 1-1]
jane| Hello Beverly are you busy Want some help from you| [person:beverly f 1-1][person:beverly f 3-3][person:beverly f 9-9]
beverly| Just came from office If I can I will definitely do it| [location:office s 3-3][person:beverly f 5-5][person:beverly f 7-7]
jane| Day after tomorrow is Stephan s birthday I want to plan a surprise for him Give me some suggestions about the plan| [person:stephan m 4-4][person:jane f 7-7][person:him m 14-14][person:jane f 16-16]
beverly| Wow that really great that you are planning a surprise birthday for him| [person:jane f 5-5][person:him m 12-12]
jane| Yeah This is the first time I am planning for him So it should have to be very special| [person:jane f 6-6][person:him m 10-10]
beverly| Well then you should plan a candle night dinner just beside the pool at Sasha s place| [person:jane f 2-2][person:sasha f 14-14][location:place s 16-16]
jane| That s not at all a good idea because Stephan don t like her| [person:stephan m 9-9][person:beverly f 13-13]
beverly| But why Last time when we all went together for movie and they both where interacting properly| [person:we g(jane:beverly:stephan) 5-5][person:they g() 12-12]
jane| That s true but after that meeting Stephan told me that he was not comfortable with Sasha| [person:stephan m 7-7][person:jane f 9-9][person:stephan m 11-11][person:sasha f 16-16]
beverly| Okay then we have to think about some other place for the dinner| [person:we g(jane:beverly:stephan) 2-2][location:place s 9-9][location:place s 12-12]

conv:task_oriented_1231_amt_38:aug_0:chat_0:chataug_0| andrea maddie| [person:andrea f 0-0][person:maddie f 1-1]
andrea| Hey Maddie please drop all your plans for the weekend I have something exciting to tell you| [person:maddie f 1-1][person:maddie f 5-5][person:andrea f 10-10][person:maddie f 16-16]
maddie| What are talking you about Hope you are not going to tell me about the camping| [person:andrea f 3-3][person:andrea f 6-6][person:maddie f 12-12]
andrea| Your so smart You have already sensed what I was about to talk to you Yes we are going for the camping| [person:maddie f 0-0][person:maddie f 3-3][person:andrea f 8-8][person:maddie f 14-14][person:we g(andrea:maddie) 16-16]
maddie| I am your sister don t forgot that But it s not possible mom and dad won t agree to it Still I will try to convince them Please don t plan any blunder before it| [person:maddie f 0-0][person:andrea f 2-2][person:andrea f 3-3][person:mom f 13-13][person:dad m 15-15][person:maddie f 22-22][person:them g(mom:dad) 27-27]
andrea| I swear mom dad are not going to let us go Please don t tell them I ve another plan| [person:andrea f 0-0][person:mom f 2-2][person:mom f 3-3][person:us g(andrea:maddie) 9-9][person:them g(mom:dad) 15-15][person:andrea f 16-16]
maddie| I can convince them by telling that there will be adult chaperone present| [person:maddie f 0-0][person:them g(mom:dad) 3-3]
andrea| I don t want to lie them If we re caught they re never going to trust us anymore| [person:andrea f 0-0][person:them g(mom:dad) 6-6][person:us g(andrea:maddie) 8-8][person:them g(mom:dad) 11-11][person:us g(andrea:maddie) 17-17]
maddie| We need to figure out some other plan think about it as soon as possible we don t have much time| [person:us g(andrea:maddie) 0-0][person:us g(andrea:maddie) 15-15]
andrea| Why don t we involve them in our plan Neither there will be any tension for getting permission nor we ll have to worry about our safety| [person:us g(andrea:maddie) 3-3][person:them g(mom:dad) 5-5][person:us g(andrea:maddie) 7-7][person:us g(andrea:maddie) 19-19][person:us g(andrea:maddie) 25-25]
maddie| It would be a crazy idea to take our parents in camping| [person:us g(andrea:maddie) 8-8][person:them g(mom:dad) 9-9]

conv:task_oriented_1231_amt_39:aug_0:chat_0:chataug_0| cindy tara| [person:cindy f 0-0][person:tara f 1-1]
cindy| Hi Tara What game should we play during game night this week| [person:tara f 1-1][person:we g(cindy:tara) 5-5]
tara| Hey Cindy I think Crib would be great Remember how much fun we had last time| [person:cindy f 1-1][person:tara f 2-2][person:we g(cindy:tara) 12-12]
cindy| Yes I enjoyed that game very much But would Jimmy and Allen like it| [person:cindy f 1-1][person:jimmy m 9-9][person:allen m 11-11]
tara| Actually I think they would much rather play a game of strategy| [person:tara f 1-1][person:they g(jimmy:allen) 3-3]
cindy| Yes that means we can t play Crib Suggest some other game| [person:we g(cindy:tara) 3-3]
tara| How about Monopoly I think it s a nice compromise| [person:tara f 3-3]
cindy| Are you sure I thought you didn t like that game| [person:tara f 1-1][person:cindy f 3-3][person:tara f 5-5]
tara| You re right I really don t like it I think a cardbased game would be better| [person:cindy f 0-0][person:tara f 3-3][person:tara f 9-9]
cindy| Yes I think Poker and Rummy would be fun| [person:cindy f 1-1]
tara| Yes everybody would enjoy that| [person:everybody g() 1-1]

conv:task_oriented_1231_amt_41:aug_0:chat_0:chataug_0| denise faith| [person:denise f 0-0][person:faith f 1-1]
denise| Hi Faith are you free now I want to talk to you| [person:faith f 1-1][person:faith f 3-3][person:denise f 6-6][person:faith f 11-11]
faith| Hello Denise yes I am free tell me what is the matter| [person:denise f 1-1][person:faith f 3-3][person:faith f 7-7]
denise| Shall we go out camping this summer| [person:we g(denise:faith) 1-1]
faith| Wow That is a nice idea we will go but I don t know anything about camping| [person:we g(denise:faith) 6-6][person:faith f 10-10]
denise| Even I too don t know anything so shall we take our friends Caleb and Rob with us| [person:denise f 1-1][person:we g(denise:faith) 9-9][person:we g(denise:faith) 11-11][person:friends g() 12-12][person:caleb m 13-13][person:rob m 15-15][person:we g(denise:faith) 17-17]
faith| Yeah you are right because they both have a good experience in camping| [person:denise f 1-1][person:friends g(caleb:rob) 5-5]
denise| Okay then I will ask them and let you know| [person:denise f 2-2][person:friends g(caleb:rob) 5-5][person:faith f 8-8]
faith| Okay also ask them what are all the things that needed for camping| [person:friends g(caleb:rob) 3-3]
denise| Okay I will ask them and give you the list by Friday| [person:denise f 1-1][person:friends g(caleb:rob) 4-4][person:faith f 7-7]
faith| That s fine I am waiting for your positive reply| [person:faith f 3-3][person:denise f 7-7]

conv:task_oriented_1231_amt_42:aug_0:chat_0:chataug_0| gene martha| [person:gene f 0-0][person:martha f 1-1]
gene| Martha I was thinking of planning for a family trip| [person:martha f 0-0][person:gene f 1-1][person:family g() 8-8]
martha| That is a great idea But the destination will be of my choice| [person:martha f 11-11]
gene| Well I was thinking of going to any of the tropical destinations| [person:gene f 1-1]
martha| Either destination will be of my choice or else I won t join you all| [person:martha f 5-5][person:martha f 9-9][person:gene f 13-13]
gene| Okay let s ask Carolyn and Beverly about this We can choose according to their choice| [person:carolyn f 4-4][person:beverly f 6-6][person:we g(gene:martha) 9-9][person:their g(carolyn:beverly) 14-14]
martha| There is no doubt that they will go with you| [person:their g(carolyn:beverly) 5-5][person:gene f 9-9]
gene| Let s select a few places of our choice Then we can select the final one| [location:places g() 5-5][person:we g(gene:martha) 7-7][person:we g(gene:martha) 10-10]
martha| Cool I will let you know my choice by tomorrow| [person:martha f 1-1][person:gene f 4-4][person:martha f 6-6]
gene| You will plan the whole trip We enjoy traveling according to your plan| [person:martha f 0-0][person:we g(gene:martha) 6-6][person:martha f 11-11]
martha| Thank you for the compliment I would love to do that| [person:gene f 1-1][person:martha f 5-5]

conv:task_oriented_1231_amt_43:aug_0:chat_0:chataug_0| ann joan| [person:ann f 0-0][person:joan f 1-1]
ann| Joan did you find any good place for body building| [person:joan f 0-0][person:joan f 2-2][location:place s 6-6][location:building s 9-9]
joan| Yeah I have found one but as we don t have much idea about the body building we need to check with the trainers| [person:joan f 1-1][person:we g(ann:joan) 7-7][location:building s 16-16][person:we g(ann:joan) 17-17]
ann| Yeah who are the trainers at the gym and what are you willing to ask them| [person:trainers g() 4-4][location:gym s 7-7][person:joan f 11-11][person:trainers g() 15-15]
joan| Anne and Ana are the gym trainers and I would ask them if their gym is perfect for us or not| [person:anne f 0-0][person:ana f 2-2][location:gym s 5-5][person:joan f 8-8][person:trainers g(anne:ana) 11-11][person:trainers g(anne:ana) 13-13][person:we g(ann:joan) 18-18]
ann| But I think they ll convince us by saying good things about their gym as they work on commission| [person:ann f 1-1][person:trainers g(anne:ana) 3-3][person:we g(ann:joan) 6-6][person:trainers g(anne:ana) 12-12][location:gym s 13-13][person:trainers g(anne:ana) 15-15]
joan| What shall we do about it then| [person:we g(ann:joan) 2-2][location:it s 5-5]
ann| I think we should plan on how to talk to them about the gym| [person:ann f 0-0][person:we g(ann:joan) 2-2][person:trainers g(anne:ana) 10-10][location:gym s 13-13]
joan| Yeah that s great idea do you have any plan in your mind| [person:ann f 6-6][person:ann f 11-11]
ann| No I ll think of it and then we ll talk to them and get a good picture of how their gym is| [person:ann f 1-1][location:it s 5-5][person:we g(ann:joan) 8-8][person:trainers g(anne:ana) 12-12][person:trainers g(anne:ana) 20-20][location:gym s 21-21]
joan| Yeah sure let s think about it and decide whether their classes will be useful for us or not| [location:it s 6-6][person:trainers g(anne:ana) 10-10][person:we g(ann:joan) 16-16]

conv:task_oriented_1231_amt_44:aug_0:chat_0:chataug_0| nina stanley| [person:nina f 0-0][person:stanley m 1-1]
nina| Hi Stanley I want to ask you something| [person:stanley m 1-1][person:nina f 2-2][person:stanley m 6-6]
stanley| Yes Nina tell me what is the matter| [person:nina f 1-1][person:stanley m 3-3]
nina| I am busy in the office today so can you pick up Ronald and Victor from karate class at 6 pm| [person:nina f 0-0][location:office s 5-5][person:stanley m 9-9][person:ronald m 12-12][person:victor m 14-14]
stanley| Sure I will pick them and offers to make dinner| [person:stanley m 1-1][person:them g(ronald:victor) 4-4]
nina| I think I will be home in time to help with Ronald s homework| [person:nina f 0-0][person:nina f 2-2][location:home s 5-5][person:ronald m 11-11]
stanley| Okay then I will prepare the dinner for you also| [person:stanley m 2-2][person:nina f 8-8]
nina| No need I will have my dinner in my office canteen| [person:nina f 2-2][person:nina f 5-5][person:nina f 8-8][location:office s 9-9][location:canteen s 10-10]
stanley| Okay I will pick them and I will ping you in the what s app| [person:stanley m 1-1][person:them g(ronald:victor) 4-4][person:stanley m 6-6][person:nina f 9-9]
nina| Okay That s fine also buy some vegetables from the market|
stanley| Oh sure we will be waiting for you in the home| [person:we g(stanley:ronald:victor) 2-2][person:nina f 7-7][location:home s 10-10]

conv:task_oriented_1231_amt_45:aug_0:chat_0:chataug_0| meredith suzy| [person:meredith f 0-0][person:suzy f 1-1]
suzy| Hey Meredith Are we all set for the launch of our cosmetics project| [person:meredith f 1-1][person:we g(suzy:meredith) 3-3][person:our g(suzy:meredith) 10-10]
meredith| Hi Suzy yes we have made all the preparations| [person:suzy f 1-1][person:we g(suzy:meredith) 3-3]
suzy| I m very nervous about the launch| [person:suzy f 0-0]
meredith| Yeah me too Whom should we invite| [person:meredith f 1-1][person:we g(suzy:meredith) 5-5]
suzy| I think we should invite Marie and Sonia| [person:suzy f 0-0][person:we g(suzy:meredith) 2-2][person:marie f 5-5][person:sonia f 7-7]
meredith| That is not a good idea and I do not want to involve them| [person:meredith f 7-7][person:them g(marie:sonia) 13-13]
suzy| Why don t you want them to join us| [person:meredith f 3-3][person:them g(marie:sonia) 5-5][person:us g(suzy:meredith) 8-8]
meredith| They have a lot of projects in process already| [person:they g(marie:sonia) 0-0]
suzy| Alright let s not invite them| [person:them g(marie:sonia) 5-5]
meredith| Okay see you on the day of the launch| [person:suzy f 2-2]

conv:task_oriented_1231_amt_47:aug_0:chat_0:chataug_0| chad paul| [person:chad m 0-0][person:paul m 1-1]
paul| Hey Chad what are your plans for the next week| [person:chad m 1-1][person:chad m 4-4]
chad| Hey Paul I haven t made any plans yet What about you| [person:paul m 1-1][person:chad m 2-2][person:paul m 11-11]
paul| How about we plan a day trip| [person:we g(paul:chad) 2-2][location:trip s 6-6]
chad| That sounds like a nice idea Where shall we go| [person:we g(paul:chad) 8-8]
paul| I think we should go either to Georgetown or Dripping Springs| [person:paul m 0-0][person:we g(paul:chad) 2-2]
chad| We went to Georgetown last time Let s go to Dripping Springs this time| [person:we g(paul:chad) 0-0]
paul| Okay then whom should we invite| [person:we g(paul:chad) 4-4]
chad| Let s invite Ellie and Andrea| [person:ellie f 3-3][person:andrea f 5-5]
paul| Yeah I think they will enjoy going to a wine tasting| [person:paul m 1-1][person:they g(ellie:andrea) 3-3]
chad| Yes I m sure We ll have a lot of fun I m really looking forward to this trip| [person:chad m 1-1][person:we g(paul:chad) 4-4][person:chad m 11-11][location:trip s 18-18]

conv:task_oriented_1231_amt_48:aug_0:chat_0:chataug_0| kim steven| [person:kim f 0-0][person:steven m 1-1]
kim| Steven I was planning for dinner Would you like to join us| [person:steven m 0-0][person:kim f 1-1][person:steven m 7-7][person:us g(kim:steven) 11-11]
steven| That s a great idea Even I was also thinking of dinner with Jeffrey and Elsa| [person:steven m 6-6][person:jeffrey m 13-13][person:elsa f 15-15]
kim| Let s call them and we can select places of their choices| [person:them g(jeffrey:elsa) 3-3][person:we g(kim:steven) 5-5][location:restaurants g() 8-8][person:their g(jeffrey:elsa) 10-10]
steven| I will select a unique place that we never went to earlier| [person:steven m 0-0][location:new_restaurant s 5-5][person:we g(kim:steven) 7-7]
kim| Hope you remember that they both like BBQ Try to find out accordingly| [person:steven m 1-1][person:they g(jeffrey:elsa) 4-4]
steven| Well the place I was thinking of won t be having a BBQ| [location:new_restaurant s 2-2][person:steven m 3-3]
kim| Let s not waste time thinking all these We will go to a BBQ place| [person:we g(kim:steven) 8-8][location:bbq_restaurant s 14-14]
steven| After having dinner we will go to the local bakery| [person:we g(kim:steven) 3-3][location:bakery s 9-9]
steven| Elsa loves to have cookies| [person:elsa f 0-0]
kim| Great plan I ll see you all on Sunday Kindly invite them| [person:kim f 2-2][person:steven m 5-5][person:them g(jeffrey:elsa) 11-11]

conv:task_oriented_1231_amt_51:aug_0:chat_0:chataug_0| caleb kelly| [person:caleb m 0-0][person:kelly f 1-1]
kelly| Hi Caleb What are you doing| [person:caleb m 1-1][person:caleb m 4-4]
caleb| Guess what I got another girl s number today and her name is Tania| [person:caleb m 2-2][person:tania f 10-10][person:tania f 13-13]
kelly| I thought you were talking to another girl you met at the bar recently What happened to her| [person:kelly f 0-0][person:caleb m 2-2][person:caleb m 8-8][location:bar s 12-12][person:her f 17-17]
caleb| Yes I am talking to her and now I m going to message Tania as well| [person:caleb m 1-1][person:her f 5-5][person:caleb m 8-8][person:tania f 13-13]
kelly| I m fed up of you always talking to so many girls at the same time| [person:kelly f 0-0][person:caleb m 5-5][person:girls g(tania:her) 11-11]
caleb| Why What is wrong with that|
kelly| Everything is wrong with that You should be like Jake instead| [person:caleb m 5-5][person:jake m 9-9]
caleb| Why are you comparing me with Jake now| [person:kelly f 2-2][person:caleb m 4-4][person:jake m 6-6]
