conv:people_2019082201_69:aug_0:chat_0:chataug_0| ivan lawrence| [person:ivan m 0-0][person:lawrence m 1-1]
melissa| Oh sorry dear I have to meet Christian at that time| [person:melissa f 3-3][person:christian m 7-7]
rebecca| Please Rebecca reshedule that meeting for me| [person:rebecca f 1-1][person:rebecca f 6-6]
melissa| please excuse me dear I have promised her and it is very urgent| [person:melissa f 2-2][person:melissa f 4-4][person:alexis f 7-7]
rebecca| It will take your half an hour only You meet her at 2 pm please dear| [person:melissa f 3-3][person:melissa f 8-8][person:alexis f 10-10]
melissa| Ok How can I turn back to your request I shall pick her| [person:melissa f 3-3][person:rebecca f 7-7][person:melissa f 9-9][person:alexis f 12-12]
rebecca| Thank you dear I am now relaxed| [person:melissa f 1-1][person:rebecca f 3-3]

conv:people_2019082201_75:aug_0:chat_0:chataug_0| andrea dorothy| [person:andrea f 0-0][person:dorothy f 1-1]
dorothy| Hey i am visiting New Orleans next week| [person:dorothy f 1-1][location:new_orleans s 4-5]
andrea| I know i can t wait to see you| [person:andrea f 0-0][person:andrea f 2-2][person:dorothy f 8-8]
dorothy| Me too i am also wanting to meet with Stella Walter and jeff| [person:dorothy f 0-0][person:dorothy f 2-2][person:stella f 9-9][person:walter m 10-10][person:jeff m 12-12]
andrea| that soud be fun too|
dorothy| Where do you think i should meet them| [person:andrea f 2-2][person:dorothy f 4-4][person:them g(stella:walter:jeff) 7-7]
andrea| I know that Walter doesn t like to drive too far so maybe somewhere that is close to everyone| [person:andrea f 0-0][person:walter m 3-3][person:everyone g(dorothy:andrea:stella:walter:jeff) 18-18]
dorothy| Yea i am down for that but where do you suggest| [person:dorothy f 1-1][person:andrea f 9-9]
andrea| I suggest that Starbucks near the highway of 35 and Westhimer This is close to every body| [person:andrea f 0-0][location:starbucks s 3-3][location:highway_of_35 s 6-8][location:westhimer s 10-10]
dorothy| Ok i can do that| [person:dorothy f 1-1]
andrea| Cool i will send you the address and we can all set up a time to meet there| [person:andrea f 1-1][person:dorothy f 4-4][person:we g(dorothy:andrea) 8-8][location:starbucks s 17-17]
dorothy| sounds great i will see you guys there then| [person:dorothy f 2-2][person:andrea f 5-5][location:starbucks s 7-7]
andrea| Perfect|

conv:people_2019082201_76:aug_0:chat_0:chataug_0| sharon theresa| [person:sharon f 0-0][person:theresa f 1-1]
sharon| Hi Theresa| [person:theresa f 1-1]
theresa| Hi Sharon| [person:sharon f 1-1]
sharon| Wanna go to a picnic with me| [person:sharon f 6-6]
theresa| When is it|
sharon| This Saturday|
theresa| What time|
sharon| 1 pm to 3 pm|
theresa| Oh I am sorry I work 126pm that day| [person:theresa f 1-1][person:theresa f 4-4]
sharon| No way to get it off|
theresa| No we are short handed| [person:we g(theresa) 1-1]
sharon| Oh I am bummed| [person:sharon f 1-1]
theresa| How about Stella she loves picnics| [person:stella f 2-2][person:stella f 3-3]
sharon| Oh yes|
theresa| Lemme text you her number| [person:sharon f 2-2][person:stella f 3-3]
sharon| Ok I will call her| [person:sharon f 1-1][person:stella f 4-4]
theresa| I am sure she is free| [person:theresa f 0-0][person:stella f 3-3]
sharon| Awesome she said yes and thanks| [person:stella f 1-1]

conv:people_2019082201_77:aug_0:chat_0:chataug_0| martha mary| [person:martha f 0-0][person:mary f 1-1]
martha| Hi Mary i m having a bit of trouble| [person:mary f 1-1][person:martha f 2-2]
mary| What s up|
martha| Well I was supposed to take Zachary and Randy out for the day but i m held up at work could you be a friend and help| [person:martha f 1-1][person:zachary m 6-6][person:randy m 8-8][person:martha f 14-14][person:mary f 21-21]
mary| You want me to take them out| [person:martha f 0-0][person:mary f 2-2][person:them g(zachary:randy) 5-5]
martha| That d be amazing I can help you plan something| [person:martha f 4-4][person:mary f 7-7]
mary| Okay so what do they like| [person:them g(zachary:randy) 4-4]
martha| Well Randy he Loooooves sports Real into the games and the players everything He also likes cars| [person:randy m 1-1][person:randy m 2-2][person:randy m 13-13]
mary| Okay so that s him What about Zachary| [person:randy m 4-4][person:zachary m 7-7]
martha| He s a bit different He s not as big on sports though he does like cars just as much I think he s a big fan of theater and musicals especially| [person:zachary m 0-0][person:zachary m 5-5][person:zachary m 13-13][person:martha f 20-20][person:zachary m 22-22]
mary| They sound a bit diametrically opposed but I think I can figure something out Maybe a car show then we can go see the baseball hall of fame| [person:them g(zachary:randy) 0-0][person:mary f 7-7][person:mary f 9-9][person:we g(mary:zachary:randy) 19-19]
martha| Yeah I think that d be great they d really like it| [person:martha f 1-1][person:them g(zachary:randy) 7-7]
mary| Awesome I ll go grab them Later| [person:mary f 1-1][person:them g(zachary:randy) 5-5]
martha| you re a lifesaver thanks| [person:mary f 0-0]

conv:people_2019082201_78:aug_0:chat_0:chataug_0| michael michelle| [person:michael m 0-0][person:michelle f 1-1]
michelle| Hi Michael| [person:michael m 1-1]
michael| Hello Michelle what can I do for you| [person:michelle f 1-1][person:michael m 4-4][person:michelle f 7-7]
michelle| Well I m having lunch with Robert next week and wanted to know if you could join us| [person:michelle f 1-1][person:robert m 6-6][person:michael m 14-14][person:us g(michelle:robert) 17-17]
michael| Yeah I would love to it s been a long while since I ve seen him| [person:michael m 1-1][person:michael m 12-12][person:robert m 15-15]
michelle| OK let s make it happen|
michael| I just realized that my friend Christian is also going to be in town Do you think he could tag along even if he doesn t know you guys| [person:michael m 0-0][person:michael m 4-4][person:christian m 5-5][person:christian m 6-6][person:michelle f 15-15][person:christian m 17-17][person:christian m 23-23][person:us g(michelle:robert) 27-27]
michelle| Yeah I don t bite And you know that Robert is a great people person| [person:michelle f 1-1][person:michael m 6-6][person:robert m 9-9]
michael| Great I thought it would be awkward for you So shall we say this Thursday at noon| [person:michael m 1-1][person:michelle f 8-8][person:we g(michelle:michael:robert:christian) 11-11]
michelle| Sure thing we ll see you there can t wait| [person:us g(michelle:robert) 2-2][person:michael m 5-5]
michael| Same here have a great day and see you then| [person:michelle f 8-8]
michelle| Bye take care always Michael| [person:michael m 4-4]

conv:people_2019082201_79:aug_0:chat_0:chataug_0| emma helen| [person:emma f 0-0][person:helen f 1-1]
helen| Hi Emma I have arrived| [person:emma f 1-1][person:helen f 2-2]
emma| Great we are all eager to get together| [person:we g(helen:emma) 1-1]
helen| So where does everyone live and where should we go for dinner| [person:everyone g() 3-3][person:we g(helen:emma) 8-8]
emma| Pam and Andrew live in my area and Aaron lives in the city| [person:pam f 0-0][person:andrew m 2-2][person:emma f 5-5][person:aaron m 8-8][location:city s 12-12]
helen| You tell me where everyone prefers and I ll work with it| [person:emma f 0-0][person:helen f 2-2][person:everyone g(emma:pam:andrew:aaron) 4-4][person:helen f 7-7]
emma| Since Aaron hates to drive we could eat in the city| [person:aaron m 1-1][person:we g(helen:emma) 5-5][location:city s 10-10]
helen| That would be great but isn t that far for you| [person:emma f 10-10]
emma| No only about 30 minutes so not too bad at all I think you will enjoy the restaurant I have picked out| [person:emma f 11-11][person:helen f 13-13][location:restaurant s 17-17][person:emma f 18-18]
helen| Can t wait Do you want me to take a cab or am I on the way| [person:emma f 4-4][person:helen f 6-6][person:helen f 13-13]
emma| Even if you weren t on the way I would pick you up How about 630 p m| [person:helen f 2-2][person:emma f 8-8][person:helen f 11-11]
helen| I ll be here See you soon| [person:helen f 0-0][person:emma f 5-5]

conv:people_2019082201_81:aug_0:chat_0:chataug_0| donald meredith| [person:donald m 0-0][person:meredith f 1-1]
meredith| Hey Donald Are you busy right now| [person:donald m 1-1][person:donald m 3-3]
donald| No I m just hanging out at the coffee shop What s up| [person:donald m 1-1][location:coffee_shop s 8-9]
meredith| I need a huge favor I left my bad at Shirley s place and I m stuck at the play school| [person:meredith f 0-0][person:meredith f 5-5][person:meredith f 7-7][person:shirley f 10-10][location:place s 12-12][person:meredith f 14-14][location:school s 20-20]
donald| And I m guessing you need me to pick it up for you| [person:donald m 1-1][person:meredith f 4-4][person:donald m 6-6][person:meredith f 12-12]
meredith| Yes you re such a dear You don t have to do it now but can you grab it on your way home| [person:donald m 1-1][person:donald m 6-6][person:donald m 16-16][person:donald m 20-20][location:home s 22-22]
donald| Yeah no problem Where does she live again| [person:shirley f 5-5]
meredith| Right over on Road Street Avenue It has that huge tree right in the middle of the lawn remember| [location:lawn s 17-17]
donald| Yeah I remember now That thing is gigantic Will you shoot her a text and let her know I ll be by in about 15 minutes| [person:donald m 1-1][person:meredith f 9-9][person:shirley f 11-11][person:shirley f 16-16][person:donald m 18-18]
meredith| No problem I m texting her now And thank you so much Don| [person:meredith f 2-2][person:shirley f 5-5][person:donald m 9-9]
donald| You know I don t mind it haha I ll see you when you get home| [person:meredith f 0-0][person:donald m 2-2][person:donald m 8-8][person:meredith f 11-11][person:meredith f 13-13][location:home s 15-15]

conv:people_2019082201_83:aug_0:chat_0:chataug_0| april melinda| [person:april f 0-0][person:melinda f 1-1]
melinda| Hi April I met Malcolm this morning| [person:april f 1-1][person:melinda f 2-2][person:malcolm m 4-4]
melinda| I invited him and Meredith for breakfast but he told me that they cannot make it| [person:melinda f 0-0][person:malcolm m 2-2][person:meredith f 4-4][person:malcolm m 8-8][person:melinda f 10-10][person:they g(malcolm:meredith) 12-12]
april| Hi Melinda What a pity So no more breakfast all together| [person:melinda f 1-1]
melinda| Maybe breakfast is just delayed Do you think the Clarks will be free the following week| [person:april f 6-6]
april| I have many days off next week so that s fine with me| [person:april f 0-0][person:april f 12-12]
april| I know Meredith will work until Thursday so she ll be free on the weekend| [person:april f 0-0][person:meredith f 2-2][person:meredith f 8-8]
melinda| Very well I hope Malcom is free too| [person:melinda f 2-2]
april| I m not sure but I think he will be free on Saturday| [person:april f 0-0][person:april f 5-5][person:malcolm m 7-7]
melinda| So we can meet for breakfast next Saturday The appointment is always at our favorite bistro| [person:we g(melinda:april:malcolm:meredith) 1-1][person:we g(melinda:april:malcolm:meredith) 13-13]
april| All right Do I contact the Clarks| [person:april f 3-3]
melinda| Yes please See you soon| [person:april f 3-3]

conv:people_2019082201_84:aug_0:chat_0:chataug_0| diana douglas| [person:diana f 0-0][person:douglas m 1-1]
douglas| Hey I m going to be held up at the meeting today can you pick up Emma| [person:douglas m 1-1][person:diana f 13-13][person:emma f 16-16]
diana| Sure I m actually getting off early Will you make it to the brunch with Larry and Ashley| [person:diana f 1-1][person:douglas m 8-8][person:larry m 15-15][person:ashley f 17-17]
douglas| Yes I ll be there Did we decide what we re bringing| [person:douglas m 1-1][person:we g(douglas:diana) 6-6][person:we g(douglas:diana) 9-9]
diana| I got everything except the vegetables and ice cream| [person:diana f 0-0]
douglas| Ok I can get those What vegetables and ice cream| [person:douglas m 1-1]
diana| Any ice cream you like and carrots celery and beets for the veggies| [person:douglas m 3-3]
douglas| Alright I ll try to find something natural with less sugar| [person:douglas m 1-1]
diana| Sounds good Martha had her first filling so they ll appreciate that| [person:martha f 2-2][person:martha f 4-4][person:they g(emma:larry:ashley) 8-8]
douglas| I hope so I ll see you soon| [person:douglas m 0-0][person:douglas m 3-3][person:diana f 6-6]
diana| See you Try to get more things that you know Larry Ashley and Martha would like| [person:douglas m 1-1][person:douglas m 8-8][person:larry m 10-10][person:ashley f 11-11][person:martha f 13-13]

conv:people_2019082201_86:aug_0:chat_0:chataug_0| jessica ricky| [person:jessica f 0-0][person:ricky m 1-1]
jessica| So what should we do with Pam and Tiffany when they finally get here| [person:we g(jessica:ricky) 3-3][person:pam f 6-6][person:tiffany f 8-8][person:they g(pam:tiffany) 10-10]
ricky| I don t know I guess try to show them why we commute two hours each way instead of taking an apartment in the city that is close to work| [person:ricky m 0-0][person:ricky m 4-4][person:they g(pam:tiffany) 9-9][person:we g(jessica:ricky) 11-11][location:apartment s 21-21][location:city s 24-24]
jessica| That s a good idea they probably think we are crazy commuting that many hours but it is worth it| [person:they g(pam:tiffany) 5-5][person:we g(jessica:ricky) 8-8]
ricky| We can start with a tour of the house a house this big in the city would be unattainably expensive unless you were the CEO or something| [person:we g(jessica:ricky) 0-0][location:city s 15-15][person:jessica f 21-21]
jessica| That s true and even then it wouldn t come with enough room for a big garden like we have We can show them the vegetable garden and the flower garden and where we are planning the zen garden| [person:we g(jessica:ricky) 18-18][person:we g(jessica:ricky) 20-20][person:they g(pam:tiffany) 23-23][person:we g(jessica:ricky) 33-33]
ricky| We could even let them pick out the vegies for dinner from the garden at least from the ones that are ready| [person:we g(jessica:ricky) 0-0][person:they g(pam:tiffany) 4-4]
jessica| That s a good idea what do we do when they ask to move in| [person:we g(jessica:ricky) 7-7][person:they g(pam:tiffany) 10-10]
ricky| We tell them to go get their own garden and start commuting| [person:we g(jessica:ricky) 0-0][person:they g(pam:tiffany) 2-2][person:they g(pam:tiffany) 6-6]
jessica| And we can take them for a drive and watch the sunset off that hill that is so beautiful| [person:we g(jessica:ricky) 1-1][person:they g(pam:tiffany) 4-4]
ricky| And haul them out of bed early to see the sunrise like we do every morning before we head to work| [person:they g(pam:tiffany) 2-2][person:we g(jessica:ricky) 12-12][person:we g(jessica:ricky) 17-17]

conv:people_2019082201_87:aug_0:chat_0:chataug_0| clyde helen| [person:clyde m 0-0][person:helen f 1-1]
clyde| Hi Helen Hey the UFC has a Pay Per View coming up and I was thinking of watching it Do you know any good sports bars| [person:helen f 1-1][person:clyde m 13-13][person:helen f 20-20][location:bars g() 25-25]
helen| I think I might Brandon and Megan and I have been at some lately| [person:helen f 0-0][person:helen f 2-2][person:brandon m 4-4][person:megan f 6-6][person:helen f 8-8]
clyde| Were all of them nice| [person:them g(brandon:megan) 3-3]
helen| No I would avoid Wally s we didn t really like it it was not very clean there| [person:helen f 1-1][person:them g(brandon:megan) 6-6][location:wally_s s 17-17]
clyde| Was there one with good food| [location:wally_s s 1-1]
helen| Barry s had the best food We got these great potato skins and everything was good| [person:barry m 0-0][person:them g(brandon:megan) 6-6]
clyde| Could you see the event best at Barry s too| [person:helen f 1-1][person:barry m 7-7]
helen| It was ok but the best views of the sporting events were at Home Run bar The food there was not bad| [location:home_run_bar s 13-15][location:bar s 15-15][location:home_run_bar s 18-18]
helen| I think I ll go to that one| [person:helen f 0-0][person:helen f 2-2]
clyde| Me too maybe we can share a table| [person:clyde m 0-0][person:them g(brandon:megan) 3-3]

conv:people_2019082201_88:aug_0:chat_0:chataug_0| alan melinda| [person:alan m 0-0][person:melinda f 1-1]
melinda| Hey Alan You remember that Marilyn and Ann will be coming to visit us right| [person:alan m 1-1][person:alan m 2-2][person:marilyn f 5-5][person:ann f 7-7][person:melinda___alan g(melinda:alan) 13-13]
alan| Hello Melinda Of course I remember how could I forget| [person:melinda f 1-1][person:alan m 4-4][person:alan m 8-8]
melinda| Though I am not sure what we can do with our pals| [person:melinda f 1-1][person:melinda___alan g(melinda:alan) 6-6][person:melinda___alan g(melinda:alan) 10-10]
alan| Well it s not that hard to have a good time when we are all together| [person:melinda___alan g(melinda:alan) 12-12]
melinda| Do you have any idea then| [person:alan m 1-1]
alan| I was thinking maybe we go by a swimming pool have some drinks and a swim| [person:alan m 0-0][person:melinda___alan g(melinda:alan) 4-4]
melinda| That would be relaxing and fun for sure|
alan| Then maybe we can go at a pub during the evening to dance and drink again| [person:melinda___alan g(melinda:alan) 2-2]
melinda| I think going to the pub and drinking again would be a nice closure for the day| [person:melinda f 0-0]
alan| I knew you would agree| [person:alan m 0-0][person:melinda f 2-2]
melinda| Okay then Alan we will be seeing each other Can t wait| [person:alan m 2-2][person:melinda___alan g(melinda:alan) 3-3]
alan| See you Melinda| [person:melinda f 1-1][person:melinda f 2-2]

conv:people_2019082201_91:aug_0:chat_0:chataug_0| denise natalie| [person:denise f 0-0][person:natalie f 1-1]
natalie| are you ready for the trip| [person:denise f 1-1]
denise| Of course I cannot wait| [person:denise f 2-2]
denise| we gotta make sure to bring plenty of supplies| [person:we g(natalie:denise) 0-0]
natalie| yes let s figure out who brings what|
denise| I will bring plenty of water| [person:denise f 0-0]
natalie| I will bring some snacks and beverages| [person:natalie f 0-0]
denise| let s have everyone bring their own snacks too| [person:everyone g() 3-3][person:everyone g() 5-5]
natalie| yes and let s make sure Anthony Jennifer and Eva know to bring some cash| [person:anthony m 6-6][person:jennifer f 7-7][person:eva f 9-9]
denise| that is all we need| [person:we g(natalie:denise:anthony:jennifer:eva) 3-3]
natalie| yes let s tell everyone| [person:everyone g(anthony:jennifer:eva) 4-4]

conv:people_2019082201_94:aug_0:chat_0:chataug_0| edward nick| [person:edward m 0-0][person:nick m 1-1]
nick| Have you invited our friends David and Jordan to play touch football next week| [person:edward m 1-1][person:our g(nick:edward) 3-3][person:friends g() 4-4][person:david m 5-5][person:jordan m 7-7]
edward| Yes Jordan is okay with it But David have some work in the morning| [person:jordan m 1-1][person:david m 7-7]
nick| At what time he can come to play with us| [person:david m 3-3][person:us g(nick:edward:jordan) 9-9]
edward| I think he could come to the place after 6 pm only He informed so| [person:edward m 0-0][person:david m 2-2][location:place s 7-7][person:david m 12-12]
nick| Oh Did you ask him for any alternate possible time before that as that court will be closed at 6 in the evening| [person:edward m 2-2][person:david m 4-4][location:court s 14-14]
edward| Ya already checked and no possibilities for him to come before| [person:david m 7-7]
nick| So we have decide about another place to play after 6 in the evening| [person:we g(nick:david:jordan) 1-1][location:place s 6-6]
edward| Do you know any other court that is convenient for all of us| [person:nick m 1-1][location:court s 5-5][person:us g(nick:edward:jordan:david) 12-12]
nick| Yes I have one choice What about a court near to Jordan s place It will be available for long time| [person:nick m 1-1][location:court s 8-8][person:jordan m 11-11][location:place s 13-13][location:place s 14-14]
edward| It is very far from you place How can you manage| [location:court s 0-0][person:nick m 5-5][location:place s 6-6][person:nick m 9-9]
nick| That is okay for me You inform David to come to that court| [person:nick m 4-4][person:edward m 5-5][person:david m 7-7]
edward| Okay done|

conv:people_2019082201_95:aug_0:chat_0:chataug_0| evan tom| [person:evan m 0-0][person:tom m 1-1]
evan| Hey tom you excited for dance class| [person:tom m 1-1][person:tom m 2-2]
tom| Hey Evan yeah I m pretty excited But I think we re in need of some supplies| [person:evan m 1-1][person:tom m 3-3][person:tom m 8-8][person:we g(evan:tom) 10-10]
evan| Really Like what|
tom| Well I was talking to Jerry Ricky and Matthew and they mentioned that we could all use some dance shoes and some nice clothes too| [person:tom m 1-1][person:jerry m 5-5][person:ricky m 6-6][person:matthew m 8-8][person:they g(jerry:ricky:matthew) 10-10][person:we g(evan:tom) 13-13]
evan| Oh geez did they say anything else| [person:they g(jerry:ricky:matthew) 3-3]
tom| Well Jerry has the most experience and he also recommended we bring some water bottles and extra deoderant too| [person:jerry m 1-1][person:jerry m 7-7][person:we g(evan:tom) 10-10]
evan| Yeah that s a good idea i m sure it ll get hot and sweaty| [person:evan m 6-6]
tom| definitely So how do you wanna divvy up the purchasing| [person:evan m 4-4]
evan| Well the clothes and shoes will be the most expensive part so maybe we have them split up the cost for those 3 and you and I handle the rest| [person:we g(evan:tom) 13-13][person:them g(jerry:ricky:matthew) 15-15][person:tom m 24-24][person:evan m 26-26]
tom| Sure that sounds good Which do you want deoderant or water bottles| [person:evan m 6-6]
evan| I think I should pick up the deoderant I m not sure exactly what type of bottle they prefer| [person:evan m 0-0][person:evan m 2-2][person:evan m 8-8][person:they g(jerry:ricky:matthew) 17-17]
tom| Good point i ll grab water bottles for us all then| [person:tom m 2-2][person:us g(evan:tom) 8-8]
evan| it s a plan see ya there|
tom| See ya|

conv:people_2019082201_96:aug_0:chat_0:chataug_0| olivia susie| [person:olivia f 0-0][person:susie f 1-1]
susie| i m excited to see the Brians and the Parkers tomorrow| [person:susie f 0-0][person:brians g() 6-6][person:parkers g() 9-9]
olivia| Me too What should we make| [person:olivia f 0-0][person:we g(susie:olivia) 4-4]
susie| I was thinking Mexican I know the Parkers like that| [person:susie f 0-0][person:susie f 4-4][person:parkers g() 7-7]
olivia| Okay sounds good What about tacos I have heaps of lettuce i need to use| [person:olivia f 6-6][person:olivia f 11-11]
susie| Okay cool Remember the Brians are vegetarian so we need to make them some chilli black beans| [person:brians g() 4-4][person:we g(susie:olivia) 8-8][person:brians g() 12-12]
olivia| Are you able to get cheese and ground beef I amd heading to the market tomorrow and can get tomatos and other vegetables| [person:susie f 1-1][person:olivia f 9-9]
susie| What sort of cheese do you want me to get| [person:olivia f 5-5][person:susie f 7-7]
olivia| Can you get some cheddar and some queso fresco| [person:susie f 1-1]
susie| Sounds good Can you text the Brians and ask if black beans are okay with them| [person:olivia f 3-3][person:brians g() 6-6][person:brians g() 15-15]
olivia| Yes I can do that You should text the parkers and see if they can bring some salsa they make great salsa| [person:olivia f 1-1][person:susie f 5-5][person:parkers g() 9-9][person:parkers g() 13-13][person:parkers g() 18-18]

conv:people_2019082201_97:aug_0:chat_0:chataug_0| cathy shirley| [person:cathy f 0-0][person:shirley f 1-1]
shirley| Hey Cathy| [person:cathy f 1-1]
cathy| What s up|
shirley| Nothing I ve been thinking about getting a little more music practice in before class Would you wanna joib| [person:shirley f 1-1][person:cathy f 16-16]
shirley| Oops join|
cathy| I d love to get more practice in actually| [person:cathy f 0-0]
shirley| Cool could you meet sometime this week| [person:cathy f 2-2]
cathy| I m available Thursday and Friday| [person:cathy f 0-0]
cathy| Should we see if Alexis Eve or Jean wants to join| [person:we g(shirley:cathy) 1-1][person:alexis f 4-4][person:jean f 7-7]
shirley| That s a good idea Jean lives right near the music school so she would probably be able to meet us somewhere near there but I m not sure about the other girls| [person:jean f 5-5][location:school s 11-11][person:jean f 13-13][person:we g(shirley:cathy) 20-20][location:school s 23-23][person:shirley f 25-25][person:girls g(alexis) 32-32]
cathy| Alexis lives around the block from me| [person:alexis f 0-0][person:cathy f 6-6]
cathy| And I think Eve is near Jean too| [person:cathy f 1-1][person:jean f 6-6]
shirley| Okay perfect Maybe we could try to meet up at the school then in a practice studio| [person:we g(shirley:cathy) 3-3][location:school s 11-11][location:studio s 16-16]
cathy| Awesome I can start a group chat to ask them if they can join us on Thursday| [person:cathy f 1-1][person:them g(shirley:alexis:jean) 9-9][person:them g(shirley:alexis:jean) 11-11][person:we g(shirley:cathy) 14-14]
shirley| Great I m so glad we re making this work| [person:shirley f 1-1][person:we g(shirley:cathy) 5-5]

conv:people_2019082201_98:aug_0:chat_0:chataug_0| pedro roy| [person:pedro m 0-0][person:roy m 1-1]
roy| There are five of us going hiking Do you think we should split supplies| [person:us g(roy:pedro) 4-4][person:pedro m 8-8][person:us g(roy:pedro) 10-10]
pedro| I think that s a great idea What do we need| [person:pedro m 0-0][person:us g(roy:pedro) 9-9]
roy| We need food water tents firewood and matches and a first aid kit| [person:us g(roy:pedro) 0-0]
pedro| I ll volunteer to get all the water and beverages| [person:pedro m 0-0]
roy| Okay and I can definitely get the tents I already have two I can just go pick up the third Three is enough| [person:roy m 2-2][person:roy m 8-8][person:roy m 12-12]
pedro| Should we ask the others what they want to volunteer to bring| [person:we g(roy:pedro) 1-1][person:others g() 4-4][person:others g() 6-6]
roy| Nah that will probably take up time Let s just assign them each something to get this planned out quicker| [person:others g() 11-11]
pedro| Jeremy can bring all the food since he has a Costco membership| [person:jeremy m 0-0][person:jeremy m 7-7]
roy| Great then Harry will get the first aid kit and that leaves the firewood and matches to Stephan| [person:harry m 2-2][person:stephan m 17-17]
pedro| That sounds good to me Settled| [person:pedro m 4-4]

conv:people_2019082201_99:aug_0:chat_0:chataug_0| eugene lucy| [person:eugene m 0-0][person:lucy f 1-1]
eugene| Hey baby I m stuck at work It shouldn t take more than an hour but I won t be there to get Lauren on time Can you go pick her up| [person:eugene m 2-2][person:eugene m 16-16][person:lauren f 23-23][person:lucy f 27-27][person:lauren f 30-30]
lucy| Yeah I can Can you run by the grocery store when you get out of work then| [person:lucy f 1-1][person:eugene m 4-4][location:store s 9-9][person:eugene m 11-11]
eugene| Definitely What did you have planned| [person:lucy f 3-3]
lucy| Well I was going to make some grilled chicken tenders but since we re going to be late it should be something quick and simple| [person:lucy f 1-1][person:we g(eugene:lucy) 12-12]
eugene| Alright so are sandwiches ok Do we have bread| [person:we g(eugene:lucy) 6-6]
lucy| Eugene are you kidding me No this is Dave and Mary we re talking about We need to do something less plain| [person:eugene m 0-0][person:eugene m 2-2][person:lucy f 4-4][person:dave m 8-8][person:mary f 10-10][person:we g(eugene:lucy) 11-11][person:we g(eugene:lucy) 15-15]
eugene| Well what do they like Dave told me that Anna is a picky eater Do you think they d like my famous french toast| [person:they g(dave:mary) 3-3][person:dave m 5-5][person:eugene m 7-7][person:mary f 9-9][person:lucy f 15-15][person:they g(dave:mary) 17-17][person:eugene m 20-20]
