conv:people_chats_0520_54:aug_0:chat_0:chataug_0| edgar juan| [person:edgar m 0-0][person:juan m 1-1]
dakota| And I just checked and the weather in Europe isn t great right now| [person:dakota f 1-1][location:europe s 8-8]
frank| Exactly Jack and Amanda can tell us what places to avoid in hawaii also| [person:jack m 1-1][person:amanda f 3-3][person:we g(frank:dakota) 6-6][location:hawaii s 12-12]
frank| And they recommended some great restaurants to check out| [person:we g(frank:dakota) 1-1][location:restaurants g() 5-5]
dakota| That s true|
dakota| Since we re getting such a good deal it would be stupid not to take this offer| [person:we g(frank:dakota) 1-1]
frank| We can go to Europe next year I think| [person:we g(frank:dakota) 0-0][location:europe s 4-4][person:frank m 7-7]
dakota| That would give us more time to save up and do all the things I want to do there| [person:we g(frank:dakota) 3-3][person:dakota f 14-14][location:europe s 18-18]
frank| Very true so should I take the deal| [person:frank m 4-4]
dakota| Order those tickets tropical beaches here we come| [location:tropical_beaches g() 3-3][person:we g(frank:dakota) 6-6]

conv:people_chats_0520_59:aug_0:chat_0:chataug_0| lara remy| [person:lara f 0-0][person:remy m 1-1]
lara| Hey Remy| [person:remy m 1-1]
remy| Hi Lara what s up| [person:lara f 1-1]
lara| I wanted to talk to you more about selling the family car| [person:lara f 0-0][person:remy m 5-5][person:lara_and_remy_s_family g(lara:remy) 10-10]
remy| Ok I ve been meaning to tell you that I ve got a friend who s interested| [person:remy m 1-1][person:lara f 7-7][person:remy m 9-9][person:brooklyn f 13-13]
lara| Who is it|
remy| Brooklyn Her car broke down and she needs a new one I was hoping we could sell it to her| [person:brooklyn f 0-0][person:brooklyn f 1-1][person:brooklyn f 6-6][person:remy m 11-11][person:we g(lara:remy) 14-14][person:brooklyn f 19-19]
lara| I don t know I prefer to sell to Roy| [person:lara f 0-0][person:lara f 4-4][person:roy m 9-9]
remy| You only say that because he s your best friend Brooklyn needs it more| [person:lara f 0-0][person:roy m 5-5][person:lara f 7-7][person:roy m 9-9][person:brooklyn f 10-10]
lara| To be fair Roy was the first to make an offer| [person:roy m 3-3]
remy| I still think Brooklyn needs it more| [person:remy m 0-0][person:brooklyn f 3-3]
lara| Alright well clearly we got to figure this out| [person:we g(lara:remy) 3-3]

conv:people_chats_0520_60:aug_0:chat_0:chataug_0| janice richie| [person:janice f 0-0][person:richie f 1-1]
richie| Hey hun|
richie| I was thinking about Christmas dinner and Uncle Richard| [person:richie f 0-0][person:richard m 8-8]
janice| He s always drinking And he can be creepy| [person:richard m 0-0][person:richard m 5-5]
janice| Do we have to invite him this year| [person:we g(richie:janice) 1-1][person:richard m 5-5]
richie| I dont know he is family| [person:richie f 0-0][person:richard m 3-3]
richie| And then there s his wife Narma| [person:richard m 4-4][person:narma f 5-5][person:narma f 6-6]
richie| I like her| [person:richie f 0-0][person:narma f 2-2]
janice| Ya Narma is cool|
janice| What if we just invite her| [person:we g(richie:janice) 2-2][person:narma f 5-5]
richie| That s not a bad idea|
richie| But i think it would cause a lot of drama| [person:richie f 1-1]
richie| And I dont want to deal with that around Christmas| [person:richie f 1-1]
janice| Ya it could be risky just inviting her| [person:narma f 7-7]
richie| Let s ask our other family members| [person:we g(richie:janice) 3-3]

conv:people_chats_0520_62:aug_0:chat_0:chataug_0| damien jon| [person:damien m 0-0][person:jon m 1-1]
jon| Hey Damien| [person:damien m 1-1]
jon| How you doing| [person:damien m 1-1]
damien| Hi Jon I am doing well whatsup| [person:jon m 1-1][person:damien m 2-2]
jon| I was hoping i could discuss something with you I am overwhelmed and i need to get it off my chest| [person:jon m 0-0][person:jon m 3-3][person:damien m 8-8][person:jon m 9-9][person:jon m 13-13][person:jon m 19-19]
damien| Oh sure please go ahead|
jon| I just lost my job and as you know the rent for this month will be due soon but i wont be able to pay cause i lost my job| [person:jon m 0-0][person:jon m 3-3][person:damien m 7-7][person:jon m 19-19][person:jon m 26-26][person:jon m 28-28]
damien| OHH I am so sorry to hear this| [person:damien m 1-1]
damien| How have you been holding up| [person:jon m 2-2]
damien| About the rent I think you should have that conversation with Gerald and Chad I mean we all should be able to work something out| [person:damien m 3-3][person:jon m 5-5][person:gerald m 11-11][person:chad m 13-13][person:damien m 14-14][person:we g(jon:damien:gerald:chad) 16-16]
damien| I do not mind paying extra fee so as to cover for you i hope Gerald and Chad won t mind that too| [person:damien m 0-0][person:jon m 12-12][person:damien m 13-13][person:gerald m 15-15][person:chad m 17-17]
jon| Thank you Damien I do not think i can do that| [person:damien m 1-1][person:damien m 2-2][person:jon m 3-3][person:jon m 7-7]
jon| I don t feel comfortable borrowing money from people especially not my roommates| [person:jon m 0-0][person:jon m 11-11][person:roommates g(damien:gerald:chad) 12-12]
damien| I understand and i hear you| [person:damien m 0-0][person:damien m 3-3][person:jon m 5-5]

conv:people_chats_0520_63:aug_0:chat_0:chataug_0| ron victor| [person:ron m 0-0][person:victor m 1-1]
ron| Hey you on the way| [person:victor m 1-1]
victor| Walking out the door as we speak| [person:victor_and_ron g(ron:victor) 5-5]
ron| Sweet Hey did you get anything for Pam| [person:victor m 3-3][person:pam f 7-7]
victor| Yeah I stopped at the Hallmark store on my way home from work I saw this cute teddy bear with a pretend cast on it s leg Thought that d be cute for her| [person:victor m 1-1][location:hallmark_store s 5-5][person:victor m 8-8][location:home s 10-10][person:victor m 13-13][person:pam f 33-33]
ron| Uh no that s a bad bad idea|
victor| What do you mean| [person:ron m 2-2]
ron| I was just talking with Ria early today you know Pam s friend from Iowa| [person:ron m 0-0][person:ria f 5-5][person:victor m 8-8][person:pam f 10-10][person:ria f 12-12][location:iowa s 14-14]
victor| Yeah and|
ron| She was saying that Pam is SUPER self conscious about her cast She really feels like she was a total klutz about the skateboard accident| [person:ria f 0-0][person:pam f 4-4][person:pam f 10-10][person:pam f 12-12][person:pam f 16-16]
victor| Oh|
ron| Yeah she s super embarrassed about it| [person:pam f 1-1]
victor| Oh crap I didn t know| [person:victor m 2-2]
ron| Yeah well given that a bear with a cast Probably a no go|
victor| Oh definitely But we shouldn t go empty handed to see her either| [person:victor_and_ron g(ron:victor) 3-3][person:pam f 11-11]
victor| You got an ideas| [person:ron m 0-0]
ron| I m horrible at these things you know that But I can text Ria and see if she s got any suggestions| [person:ron m 0-0][person:victor m 6-6][person:ron m 10-10][person:ria f 13-13][person:ria f 17-17]
victor| Yeah do that then I ll come over and pick you up now We can swing by the store on the way to the hospital Get a card and a gift there| [person:victor m 4-4][person:ron m 10-10][person:victor_and_ron g(ron:victor) 13-13][location:store s 18-18][location:hospital s 24-24][location:store s 31-31]
ron| Okay cool that sounds good|
victor| Alright I m gonna run to the Hallmark store and return this bear first Be at your place in like 30 minutes| [person:victor m 1-1][location:hallmark_store s 7-7][person:ron m 16-16][location:place s 17-17]
ron| Alright see you soon| [person:victor m 2-2]

conv:people_chats_0520_64:aug_0:chat_0:chataug_0| josh mia| [person:josh m 0-0][person:mia f 1-1]
josh| Hi Mia what do you think about the car| [person:mia f 1-1][person:mia f 4-4]
mia| Well I have a mix feeling about the car| [person:mia f 1-1]
josh| Really Why so Can you help me understand| [person:mia f 4-4][person:josh m 6-6]
mia| My friends Gladis and Lorry have the same car and told me that it needs too much mainteancne| [person:mia f 0-0][person:friends g() 1-1][person:gladis f 2-2][person:lorry f 4-4][person:mia f 11-11]
josh| What do you mean too much maintenance| [person:mia f 2-2]
mia| I meant tehy had to spend lot of money keep fixing the car| [person:mia f 0-0]
josh| I see do you know how old are their cars| [person:josh m 0-0][person:mia f 3-3][person:friends g(gladis:lorry) 8-8]
mia| I believe those are couple of years older than this model| [person:mia f 0-0]
josh| See that makes a big difference|
mia| How so Can you help me understand| [person:josh m 3-3][person:mia f 5-5]
josh| They have older models while those have some issues in this newer model those issues are address| [person:friends g(gladis:lorry) 0-0]
josh| I suggest you have a test drive and then make your decision| [person:josh m 0-0][person:mia f 2-2][person:mia f 10-10]
mia| Sure I can do that| [person:mia f 1-1]

conv:people_chats_0520_65:aug_0:chat_0:chataug_0| clyde martin| [person:clyde m 0-0][person:martin m 1-1]
martin| Yo whats up|
clyde| Been a hot minute since we last talked everything okay| [person:mc g(martin:clyde) 5-5]
martin| Oh yeah it s all good|
martin| Wanted to ask you a quick question about Maddie s birthday| [person:clyde m 3-3][person:maddie f 8-8]
clyde| Can you just call her mom Dude using her actual name is so weird| [person:martin m 1-1][person:maddie f 4-4][person:maddie f 5-5][person:maddie f 8-8]
martin| Okay yeah sure Mom s birthday| [person:maddie f 3-3]
martin| Been trying to get her to give me a date for us to take her out but she never picks up| [person:maddie f 4-4][person:martin m 7-7][person:mc g(martin:clyde) 11-11][person:maddie f 14-14][person:maddie f 17-17]
martin| And I have texted her like 10 times| [person:martin m 1-1][person:maddie f 4-4]
clyde| Weird she is like glued to her phone Let me call dad real quick| [person:maddie f 1-1][person:maddie f 6-6][person:clyde m 9-9][person:dad m 11-11]
clyde| Or as you like to call him apparently Mark| [person:martin m 2-2][person:dad m 6-6][person:dad m 8-8]
martin| Oh haha we got a comedian over here| [person:mc g(martin:clyde) 2-2]
clyde| Dad says she is in Mexico for a week| [person:dad m 0-0][person:maddie f 2-2]
martin| By herself Weird but sure| [person:maddie f 1-1]
clyde| He says it is for a work thing but she should be able to talk next week when she gets back| [person:dad m 0-0][person:maddie f 9-9][person:maddie f 18-18]
martin| Oh well okay cool glad she isn t dead or anything| [person:maddie f 5-5]
clyde| Always the optimist Martin| [person:martin m 3-3]
martin| Jerk|

conv:people_chats_0520_66:aug_0:chat_0:chataug_0| andrew donald| [person:andrew m 0-0][person:donald m 1-1]
andrew| I m hungry Donald How about you| [person:andrew m 0-0][person:donald m 3-3][person:donald m 6-6]
donald| Not so much Are you looking to go out| [person:andrew m 4-4]
andrew| Yeah but I m too tired Think you could drive me| [person:andrew m 2-2][person:donald m 7-7][person:andrew m 10-10]
donald| Gee I would But I m a little wrecked too| [person:donald m 1-1][person:donald m 4-4]
andrew| That s okay|
donald| How about Ashley and Mary They around| [person:ashley f 2-2][person:mary f 4-4][person:ashleyandmary g(ashley:mary) 5-5]
andrew| Nah they re on vacation| [person:ashleyandmary g(ashley:mary) 1-1]
donald| Oh that s a tough break|
andrew| Yeah it ll be a while before they re home| [person:ashleyandmary g(ashley:mary) 7-7][location:home s 9-9]
donald| Okay well I guess I could drive you| [person:donald m 2-2][person:donald m 4-4][person:andrew m 7-7]
andrew| I d really appreciate that| [person:andrew m 0-0]
donald| Okay let s go|

conv:people_chats_0520_67:aug_0:chat_0:chataug_0| carla danny| [person:carla f 0-0][person:danny m 1-1]
danny| I have so many library fees And there s no way I m going to pay them| [person:danny m 0-0][person:danny m 11-11]
carla| Really How much do you owe| [person:danny m 4-4]
danny| 3 000 And there s no way I can pay that| [person:danny m 7-7]
carla| Why not ask David the Librarian if they e willing to settle Nina did this and only ended up having to pay half of what she owed| [person:david m 3-3][person:david m 7-7][person:nina f 12-12][person:nina f 25-25]
danny| No thanks That s still more than I m willing to pay| [person:danny m 7-7]
danny| I think I ll see if lester will check out books for me That way I can read without ever having to pay| [person:danny m 0-0][person:danny m 2-2][person:lester m 6-6][person:danny m 12-12][person:danny m 15-15]
carla| Thats not a good idea especially with his abominable track record| [person:lester m 7-7]
danny| I know I know but it s my only option| [person:danny m 0-0][person:danny m 2-2][person:danny m 7-7]
carla| Danny think about what youre doing You could end up getting into trouble if you don t pay| [person:danny m 0-0][person:danny m 4-4][person:danny m 6-6][person:danny m 14-14]
danny| That s a risk I m willing to take I can t even afford to pay my bills right now| [person:danny m 4-4][person:danny m 9-9][person:danny m 16-16]
carla| O well I guess there s no getting through to you| [person:carla f 2-2][person:danny m 10-10]
carla| Maybe one day you ll come around| [person:danny m 3-3]
danny| Maybe one day|

conv:people_chats_0520_69:aug_0:chat_0:chataug_0| jonathan paige| [person:jonathan m 0-0][person:paige f 1-1]
jonathan| paige i need to go out on a work trip| [person:paige f 0-0][person:jonathan m 1-1]
jonathan| so we need to trade days with the children Jonah and Lawrence| [person:we g(jonathan:paige) 1-1][person:jonah m 9-9][person:lawrence m 11-11]
paige| what about 19th of may|
jonathan| okay that is fine|
paige| oh|
paige| jonah has a science project during that time| [person:jonah m 0-0]
paige| he still needs to pick a topic| [person:jonah m 0-0]
jonathan| okay|
paige| lawrence also have a cooking project| [person:lawrence m 0-0]
paige| you will need to make sure the project gets completed| [person:jonathan m 0-0]
jonathan| okay|
jonathan| that is fine|
paige| so we need to change the date| [person:we g(jonathan:paige) 1-1]
jonathan| yes|

conv:people_chats_0520_70:aug_0:chat_0:chataug_0| beatrice tom| [person:beatrice f 0-0][person:tom m 1-1]
tom| Hey we need a place for the dog once we go to Georgia| [person:tom_beatrice g(tom:beatrice) 1-1][location:place s 4-4][person:tom_beatrice g(tom:beatrice) 9-9][location:georgia s 12-12]
beatrice| Yeah it s coming up in just a week we really need to find a place for the dog| [person:tom_beatrice g(tom:beatrice) 9-9][location:place s 15-15]
tom| Who do you think we should ask| [person:beatrice f 2-2][person:tom_beatrice g(tom:beatrice) 4-4]
beatrice| I think Matt or Debra might be willing to take in our dog| [person:beatrice f 0-0][person:matt m 2-2][person:debra f 4-4][person:tom_beatrice g(tom:beatrice) 11-11]
tom| Ok I just got done talking with Debra She said that she s going to be away too so that s a nogo What did Matt say| [person:tom m 1-1][person:debra f 7-7][person:debra f 8-8][person:debra f 11-11][person:matt m 25-25]
beatrice| Matt said he d be willing to take in the dog| [person:matt m 0-0][person:matt m 2-2]
tom| Cool When do you think we should stop by to drop the dog off| [person:beatrice f 3-3][person:tom_beatrice g(tom:beatrice) 5-5]
beatrice| Well he said he d ask his wife when she gets back| [person:matt m 1-1][person:matt m 3-3][person:matt m 6-6][person:matt_s_wife f 7-7][person:matt_s_wife f 9-9]
tom| I really like Matt but his wife can be annoying sometimes Do you think she ll say yes| [person:tom m 0-0][person:matt m 3-3][person:matt m 5-5][person:matt_s_wife f 6-6][person:beatrice f 12-12][person:matt_s_wife f 14-14]
beatrice| Yeah on second thought I m not sure if his wife will say yes Do you have any other ideas in case his wife says no| [person:beatrice f 4-4][person:matt m 9-9][person:matt_s_wife f 10-10][person:tom m 15-15][person:matt m 22-22][person:matt_s_wife f 23-23]
tom| Hmm I m not sure Oh I just got a text Matt said his wife said it was ok| [person:tom m 1-1][person:tom m 6-6][person:matt m 11-11][person:matt m 13-13][person:matt_s_wife f 14-14]
beatrice| Great I think we ll just drop the dog off on our way to the airport| [person:beatrice f 1-1][person:tom_beatrice g(tom:beatrice) 3-3][person:tom_beatrice g(tom:beatrice) 11-11][location:airport s 15-15]

conv:people_chats_0520_71:aug_0:chat_0:chataug_0| scotty tommy| [person:scotty m 0-0][person:tommy m 1-1]
tommy| Hey should we get lunch before or after the beach| [person:we g(tommy:scotty) 2-2][location:beach s 9-9]
scotty| Uh maybe before Destiny is coming right after school so she will be hungry| [person:destiny f 3-3][location:school s 8-8][person:destiny f 10-10]
tommy| Oh ok Mackenzie doesn t want to swim on a full stomach| [person:destiny f 2-2]
tommy| So maybe we can get a snack for Destiny| [person:we g(tommy:scotty) 2-2][person:destiny f 8-8]
scotty| Yeah or we could eat something light| [person:we g(tommy:scotty:destiny) 2-2]
tommy| Like a salad What is light lol|
scotty| Yeah lol|
scotty| Nah we can just pack some snacks for Destiny| [person:we g(tommy:scotty) 1-1][person:destiny f 8-8]
tommy| Bet|
scotty| You want me to get anything for you and Mackenzie| [person:tommy m 0-0][person:scotty m 2-2][person:tommy m 7-7][person:destiny f 9-9]
tommy| Yeah maybe some chips and drink|
tommy| Um does a sandwhich place sound good| [location:sandwich_place s 4-4]
scotty| Yeah and we can figure out where after the beach| [person:we g(tommy:scotty:destiny) 2-2][location:beach s 9-9]

conv:people_chats_0520_72:aug_0:chat_0:chataug_0| evelyn ronnie| [person:evelyn f 0-0][person:ronnie m 1-1]
ronnie| Hey Evelyn I am so excited about Thanksgiving dinner| [person:evelyn f 1-1][person:ronnie m 2-2]
evelyn| Hey Ronnie Me too I really want to invite Cara and Jacoby to dinner if that sounds okay with you| [person:ronnie m 1-1][person:evelyn f 2-2][person:evelyn f 4-4][person:cara f 9-9][person:jacoby m 11-11][person:ronnie m 19-19]
ronnie| Of course I think that sounds like a great idea I d love for them to join in on the family festivities| [person:ronnie m 2-2][person:ronnie m 10-10][person:cj g(cara:jacoby) 14-14][person:family g() 20-20]
ronnie| Maybe you should call Cara and see if they would be interested| [person:evelyn f 1-1][person:cara f 4-4][person:cj g(cara:jacoby) 8-8]
evelyn| Okay I ll call her right now| [person:evelyn f 1-1][person:cara f 4-4]
evelyn| Cara didn t answer her phone Maybe you could call Jacoby| [person:cara f 0-0][person:cara f 4-4][person:ronnie m 7-7][person:jacoby m 10-10]
ronnie| Sounds good Calling him now| [person:jacoby m 3-3]
ronnie| Jacoby also didn t answer his phone I wonder what they re up to| [person:jacoby m 0-0][person:jacoby m 5-5][person:ronnie m 7-7][person:cj g(cara:jacoby) 10-10]
evelyn| Oh my goodness I just remembered that Cara and Jacoby are on vacation| [person:evelyn f 1-1][person:evelyn f 3-3][person:cara f 7-7][person:jacoby m 9-9]
ronnie| No wonder they didn t answer their phones| [person:cj g(cara:jacoby) 2-2][person:cj g(cara:jacoby) 6-6]
evelyn| Silly us| [person:us g(ronnie:evelyn) 1-1]
ronnie| No worries I m sure we can get a hold of them once they return| [person:ronnie m 2-2][person:us g(ronnie:evelyn) 5-5][person:cj g(cara:jacoby) 11-11][person:cj g(cara:jacoby) 13-13]
evelyn| Sounds good Thanks Ronnie| [person:ronnie m 3-3]

conv:people_chats_0520_73:aug_0:chat_0:chataug_0| eva karina| [person:eva f 0-0][person:karina f 1-1]
karina| Hey do you know if Jeff s in yet| [person:eva f 2-2][person:jeff m 5-5]
eva| No I haven t seen him Why| [person:eva f 1-1][person:jeff m 5-5]
karina| Well I know this is going to sound bad but here me out| [person:karina f 1-1][person:karina f 11-11]
karina| I think Shane s clocking him in| [person:karina f 0-0][person:shane m 2-2][person:jeff m 5-5]
eva| Wait why do you think that| [person:karina f 3-3]
karina| Well I think I ve seen some strange things with the times but I m not sure yet Can you help me out| [person:karina f 1-1][person:karina f 3-3][person:karina f 13-13][person:eva f 19-19][person:karina f 21-21]
eva| Sure what do you need| [person:karina f 3-3]
karina| I need you to write down the times Jeff gets in| [person:karina f 0-0][person:eva f 2-2][person:jeff m 8-8]
eva| I don t think I want to do that I have a good working relationship with Jeff and I don t really want to trouble that I d rather not get involved| [person:eva f 0-0][person:eva f 4-4][person:eva f 9-9][person:jeff m 16-16][person:eva f 18-18][person:eva f 26-26]
karina| I understand that but who knows if Shane and Jeff agreed to do this| [person:karina f 0-0][person:shane m 7-7][person:jeff m 9-9]
eva| I really think Shane s a decent guy I don t think he d do that though| [person:eva f 0-0][person:shane m 3-3][person:eva f 8-8][person:shane m 12-12]
eva| But I do see where you re coming from on Jeff though I ve had my suspicions too| [person:eva f 1-1][person:karina f 5-5][person:jeff m 10-10][person:eva f 12-12][person:eva f 15-15]
karina| Yeah I just can t see how Jeff s really getting all those hours I hardly see him in the first hour anymore| [person:karina f 1-1][person:jeff m 7-7][person:karina f 14-14][person:jeff m 17-17]
eva| Yeah there s no way he s getting all those hours| [person:jeff m 5-5]

conv:people_chats_0520_74:aug_0:chat_0:chataug_0| jane lauren| [person:jane f 0-0][person:lauren f 1-1]
lauren| Hey Lauren How s it going| [person:lauren f 1-1]
jane| It s going well Anything new happening with you| [person:lauren f 8-8]
lauren| Yeah actually yeah Marcus proposed last night| [person:marcus m 3-3]
lauren| I m engaged| [person:lauren f 0-0]
jane| Oh my goodness Wow That s great So when is the wedding| [person:jane f 1-1]
lauren| We were thinking of having a destination wedding| [person:we g(lauren:marcus) 0-0]
jane| Wow Where would you want to go| [person:lauren f 3-3]
lauren| Either Paris or Rome| [location:paris s 1-1][location:rome s 3-3]
jane| Ooh so fancy I ll have to save up for that I am invited aren t I| [person:jane f 3-3][person:jane f 11-11][person:jane f 16-16]
lauren| It seems you ve already invited yourself even though I was going to invite you| [person:jane f 2-2][person:jane f 6-6][person:lauren f 9-9][person:jane f 14-14]
jane| OHHH my bad I guess I kind of jumped the gun I was just so excited for you| [person:jane f 1-1][person:jane f 3-3][person:jane f 5-5][person:jane f 11-11][person:lauren f 17-17]
lauren| t s okay I understand| [person:lauren f 3-3]
jane| When were you guys planning the wedding for| [person:we g(lauren:marcus) 2-2]
lauren| Most likely in the fall or winter so that it ll be summer wherever we end up going| [person:we g(lauren:marcus) 14-14]
jane| Ah Good thinking let me know how it all goes or if you need any help planning Just keep me posted| [person:jane f 4-4][person:lauren f 12-12][person:jane f 19-19]
lauren| Sure you got it| [person:jane f 1-1]

conv:people_chats_0520_76:aug_0:chat_0:chataug_0| elena jasmine| [person:elena f 0-0][person:jasmine f 1-1]
elena| Hey I m running a bit late| [person:elena f 1-1]
jasmine| Is everything ok|
elena| Yeah just waiting on Thomas to pick up Carla He s late| [person:thomas m 4-4][person:carla f 8-8][person:thomas m 9-9]
jasmine| Again I m not surprised| [person:jasmine f 1-1]
jasmine| How s Carla doing| [person:carla f 2-2]
jasmine| I understand why you re running late no worries| [person:jasmine f 0-0][person:elena f 3-3]
elena| She s great her usual bubbly self| [person:carla f 0-0][person:carla f 3-3]
elena| But I m looking forward to some adult time lol| [person:elena f 1-1]
jasmine| When do you think you ll get here| [person:elena f 2-2][person:elena f 4-4]
elena| Whenever Thomas gets here Hopefully 30 minutes or so| [person:thomas m 1-1]
jasmine| Ok no problem See you soon| [person:elena f 4-4]

conv:people_chats_0520_77:aug_0:chat_0:chataug_0| candice linda| [person:candice f 0-0][person:linda f 1-1]
linda| hey candice we finally settled on a wedding date| [person:candice f 1-1][person:linda_and_her_partner g(linda) 2-2]
candice| wow thats really awesome when is it|
linda| in a months tie and we settled on a destination wedding| [person:linda_and_her_partner g(linda) 5-5]
linda| this is my offciial invite for you and your boyfriend| [person:linda f 2-2][person:candice f 6-6][person:candice_s_boyfriend m 8-9]
candice| i am so happy for you guys| [person:candice f 0-0][person:linda_and_her_partner g(linda) 5-5]
candice| where is the location to be|
linda| we decided on bali| [person:linda_and_her_partner g(linda) 0-0][location:bali s 3-3]
linda| i also understand travel could be a bit inconviniencing so if you cant make it that will still be okay| [person:linda f 0-0][person:candice f 11-11]
candice| come on linda i wouldnt miss your wedding for the world| [person:linda f 2-2][person:candice f 3-3][person:linda f 6-6]
candice| bali it is ill start parking| [location:bali s 0-0]
linda| im really glad you can come| [person:candice f 3-3]
candice| ill inform Antonio so that we can make travel plans| [person:candice_s_boyfriend m 2-2][person:we g(candice) 5-5]
linda| no problem youll tell how it goes|
candice| ill hit you up with an update soon| [person:linda f 2-2]

conv:people_chats_0520_78:aug_0:chat_0:chataug_0| alison magan| [person:alison f 0-0][person:magan f 1-1]
magan| I m so excited let s tell Paul and Chris about the wearing shirts to get them signed| [person:magan f 0-0][person:paul m 7-7][person:chris m 9-9][person:them g(paul:chris) 16-16]
alison| Absolutely This concert is going to be fantastic they guys are going to freak| [location:concert s 2-2][person:them g(paul:chris) 8-8]
magan| The band is both Paul and Chris favorite how in the world did you get back stage passes| [person:band g() 1-1][person:paul m 4-4][person:chris m 6-6][person:alison f 13-13][location:back_stage s 16-16]
alison| My older brother works for the arena and part of his perks are getting passes| [person:alison f 0-0][person:brother m 2-2][location:arena s 6-6][person:brother m 10-10]
magan| Paul is friends with your brother as well I wonder if he knows already| [person:paul m 0-0][person:friends g(paul:brother) 2-2][person:alison f 4-4][person:brother m 5-5][person:magan f 8-8][person:paul m 11-11]
alison| Nope there s no way Paul knows my brother just called to tell me about the passes| [person:paul m 5-5][person:alison f 7-7][person:brother m 8-8][person:alison f 13-13]
magan| Tell him not to call Paul so you can be the one to surprise him| [person:brother m 1-1][person:paul m 5-5][person:alison f 7-7][person:paul m 14-14]
alison| I ve already told my brother not to call Paul nor Chris| [person:alison f 0-0][person:alison f 4-4][person:brother m 5-5][person:paul m 9-9][person:chris m 11-11]
magan| What shirt should I wear I have three from the band| [person:magan f 3-3][person:magan f 5-5]
alison| Let s all wear different ones I will let Paul and Chris know which ones to wear why don t you wear their first album t shirt| [person:alison f 6-6][person:paul m 9-9][person:chris m 11-11][person:magan f 20-20][person:band g() 22-22]
magan| That sounds like a great plan we ll all be different| [person:we g(magan:alison:paul:chris) 6-6]
alison| Magan you call Chris and I ll call Paul ok| [person:magan f 0-0][person:magan f 1-1][person:chris m 3-3][person:alison f 5-5][person:paul m 8-8]
magan| Ok let s do it right now shall we| [person:we2 g(magan:alison) 8-8]
alison| Yep I ve got Chris number in m phone if you need it| [person:alison f 1-1][person:chris m 4-4][person:magan f 10-10]
magan| No I ve got it in my phone| [person:magan f 1-1][person:magan f 6-6]
alison| Don t forget to him them about the tshirt plan| [person:chris m 4-4][person:them g(paul:chris) 5-5]

conv:people_chats_0520_80:aug_0:chat_0:chataug_0| natalie paul| [person:natalie f 0-0][person:paul m 1-1]
natalie| Good morning I left before you and Emily and Peter were awake this morning| [person:natalie f 2-2][person:paul m 5-5][person:emily f 7-7][person:peter m 9-9]
paul| Good morning to you Emily and Peter are up dressed fed and are outside waiting for me to take them to school| [person:natalie f 3-3][person:emily f 4-4][person:peter m 6-6][person:paul m 16-16][person:kids g(emily:peter) 19-19]
