conv:people_0909_1734_1:aug_0:chat_0:chataug_0| christine eva| [person:christine f 0-0][person:eva f 1-1]
caroline| Well I am an Administrative Assistant for a company called MultiMax I have done a little training but I do not know what the full job entails From what I have seen it is mostly inputting data into the computer and following up on customers orders| [person:caroline f 1-1][location:multi_max s 10-10][person:caroline f 11-11][person:caroline f 18-18][person:caroline f 29-29]
brian| Oh that sounds pretty easy When did you start this new job| [person:caroline f 7-7][location:multi_max g() 10-11]
caroline| k Bye|

conv:people_0909_1734_7:aug_0:chat_0:chataug_0| danielle jack| [person:danielle f 0-0][person:jack m 1-1]
jack| So what are your plans for this weekend| [person:danielle f 3-3]
danielle| I don t know Do you want to get together or something| [person:danielle f 0-0][person:jack m 5-5]
jack| How about going to see a movie Cinemax 26 on Carson Boulevard is showing Enchanted| [location:carson_boulevard s 10-11]
danielle| That sounds like a good idea Maybe we should go out to eat beforehand| [person:we g(jack:danielle) 7-7]
jack| It is fine with me Where do you want to meet| [person:jack m 4-4][person:danielle f 7-7]
danielle| Let s meet at Summer Pizza House I have not gone there for a long time| [location:summer_pizza_house s 4-6][person:danielle f 7-7][location:summer_pizza_house s 11-11]
jack| Good idea again I heard they just came up with a new pizza It should be good because Summer Pizza House always has the best pizza in town| [person:jack m 3-3][location:summer_pizza_house s 5-5][location:summer_pizza_house s 18-20][location:town s 27-27]
danielle| When should we meet| [person:we g(jack:danielle) 2-2]
jack| Well the movie is shown at 200PM 400PM 600PM and 800PM|
danielle| Why don t we go to the 200PM show We can meet at Summer Pizza House at noon That will give us plenty of time to enjoy our pizza| [person:we g(jack:danielle) 3-3][person:we g(jack:danielle) 9-9][person:we g(jack:danielle) 21-21][person:we g(jack:danielle) 27-27]
jack| My cousin Karen is in town Can I bring her along I hate to leave her home alone| [person:jack m 0-0][person:cousin f 1-1][person:cousin f 2-2][location:town s 5-5][person:jack m 7-7][person:cousin f 9-9][person:jack m 11-11][person:cousin f 15-15]
danielle| k bye|
jack| Bye|

conv:people_0909_1734_9:aug_0:chat_0:chataug_0| kyle martha| [person:kyle m 0-0][person:martha f 1-1]
kyle| Hey honey how s it going at work|
martha| I m going to pull all my hair out| [person:martha f 0-0][person:martha f 6-6]
kyle| Tell me what s going on at good old LoHi Corp| [person:kyle m 1-1]
martha| Well you know Chloe Well she s really doing a bad job mishandling customer accounts| [person:kyle m 1-1][person:chloe f 3-3][person:chloe f 5-5]
kyle| Why hasn t anything been done with her| [person:chloe f 7-7]
martha| My manager Roger doesn t know| [person:martha f 0-0][person:manager m 1-1][person:manager m 2-2]
kyle| Why doesn t he know| [person:manager m 3-3]
martha| Well I ve been fixing things behind the scenes Chloe s a good person But it s really starting to get to me| [person:martha f 1-1][person:chloe f 9-9][location:it g() 15-15][person:martha f 22-22]
kyle| I don t think that s the right solution since this is causing you problems now| [person:kyle m 0-0][person:martha f 13-13]
martha| What do you think I should do| [person:kyle m 2-2][person:martha f 4-4]
kyle| I think you should request a team meeting and bring up the problems They can train Chloe to perform better and you ll be way less stressed| [person:kyle m 0-0][person:martha f 2-2][person:they g() 13-13][person:chloe f 16-16][person:martha f 21-21]
martha| I think I ll do that Thanks for talking to me love you| [person:martha f 0-0][person:martha f 2-2][person:martha f 10-10][person:kyle m 12-12]

conv:people_0909_1734_10:aug_0:chat_0:chataug_0| joyce steve| [person:joyce f 0-0][person:steve m 1-1]
steve| Hey Joyce what s shakin| [person:joyce f 1-1]
joyce| Not much what s up with you| [person:steve m 6-6]
steve| I m thinking of moms Birthday| [person:steve m 0-0][person:moms f 4-4]
steve| Did you get anything for her yet| [person:joyce f 1-1][person:moms f 5-5]
joyce| No you| [person:steve m 1-1]
joyce| I m not sure what I should do| [person:joyce f 0-0][person:joyce f 5-5]
joyce| It s always hard to get stuff for mom| [person:moms f 8-8]
steve| Me neither I feel the same| [person:steve m 0-0][person:steve m 2-2]
joyce| She always wants to do for other people Never does anything nice for herself| [person:moms f 0-0][person:moms f 13-13]
joyce| How about we change that| [person:we g(steve:joyce) 2-2]
steve| I m wondering about Some activity we could do together| [person:steve m 0-0][person:we g(steve:joyce:moms) 6-6]
joyce| Good idea How about a cooking class or something to do as a team|
steve| good idea I m a horrible cook How about learning chinese| [person:steve m 2-2]
joyce| You mean cooking right not the language| [person:steve m 0-0]
steve| Ha ha yes cooking Speaking it is hella hard|
steve| Let s look into this and present it together we can pick her up before the class and spend time with her| [person:we g(steve:joyce) 9-9][person:moms f 12-12][person:moms f 21-21]
joyce| I love it Let s do| [person:joyce f 0-0]

conv:people_0909_1734_11:aug_0:chat_0:chataug_0| joyce steve| [person:joyce f 0-0][person:steve m 1-1]
steve| Hey Joyce what s shakin| [person:joyce f 1-1]
joyce| Not much what s up with you| [person:steve m 6-6]
steve| I m thinking of moms Birthday| [person:steve m 0-0][person:moms f 4-4]
steve| Did you get anything for her yet| [person:joyce f 1-1][person:moms f 5-5]
joyce| No you| [person:steve m 1-1]
joyce| I m not sure what I should do| [person:joyce f 0-0][person:joyce f 5-5]
joyce| It s always hard to get stuff for mom| [location:it s 0-0][person:moms f 8-8]
steve| Me neither I feel the same| [person:steve m 0-0][person:steve m 2-2]
joyce| She always wants to do for other people Never does anything nice for herself| [person:moms f 0-0][person:moms f 13-13]
joyce| How about we change that| [person:we g(steve:joyce) 2-2]
steve| I m wondering about Some activity we could do together| [person:steve m 0-0][person:we g(steve:joyce:moms) 6-6]
joyce| Good idea How about a cooking class or something to do as a team|
steve| good idea I m a horrible cook How about learning chinese| [person:steve m 2-2]
joyce| You mean cooking right not the language| [person:steve m 0-0]
steve| Ha ha yes cooking Speaking it is hella hard| [location:it s 5-5]
steve| Let s look into this and present it together we can pick her up before the class and spend time with her| [location:it s 7-7][person:we g(steve:joyce) 9-9][person:moms f 12-12][person:moms f 21-21]
joyce| I love it Let s do| [person:joyce f 0-0][location:it s 2-2]

conv:people_0909_1734_12:aug_0:chat_0:chataug_0| karan kate| [person:karan m 0-0][person:kate f 1-1]
kate| Hey did you already get a present for Laura| [person:karan m 2-2][person:laura f 8-8]
karan| No why would I get her a present| [person:karan m 3-3][person:laura f 5-5]
kate| Well she s your mother and it s her birthday| [person:laura f 1-1][person:karan m 3-3][person:laura f 8-8]
karan| Oh my gosh How could I have forgotten| [person:karan m 1-1][person:karan m 5-5]
kate| I have no idea I was thinking about getting her a new tablet Would you want to go in on it with me| [person:kate f 0-0][person:kate f 4-4][person:laura f 9-9][person:karan m 14-14][person:kate f 22-22]
karan| Maybe that might be good Or we could maybe send her on a weekend getaway I m sure she could use a relaxer| [person:we g(kate:karan) 6-6][person:laura f 10-10][person:karan m 15-15][person:laura f 18-18]
kate| That s a good idea too I know she was also talking about getting a new blender but that isn t very exciting| [person:kate f 6-6][person:laura f 8-8]
karan| No not at all She can get that for herself| [person:laura f 4-4][person:laura f 9-9]
kate| Yeah or dad can get it for her Speaking of him maybe we should ask old Louis if he has any ideas| [person:dad m 2-2][person:laura f 7-7][person:dad m 10-10][person:we g(kate:karan) 12-12][person:louis m 16-16][person:louis m 18-18]
karan| That sounds like a good idea I ll call him and ask him| [person:karan m 6-6][person:louis m 9-9][person:louis m 12-12]

conv:people_0909_1734_13:aug_0:chat_0:chataug_0| joyce steve| [person:joyce f 0-0][person:steve m 1-1]
steve| Hey Joyce what s shakin| [person:joyce f 1-1]
joyce| Not much what s up with you| [person:steve m 6-6]
steve| I m thinking of moms Birthday| [person:steve m 0-0][person:mom f 4-4]
steve| Did you get anything for her yet| [person:joyce f 1-1][person:mom f 5-5]
joyce| No you| [person:steve m 1-1]
joyce| I m not sure what I should do| [person:joyce f 0-0][person:joyce f 5-5]
joyce| It s always hard to get stuff for mom| [person:mom f 8-8]
steve| Me neither I feel the same| [person:steve m 0-0][person:steve m 2-2]
joyce| She always wants to do for other people Never does anything nice for herself| [person:mom f 0-0][person:mom f 13-13]
joyce| How about we change that| [person:we g(steve:joyce) 2-2]
steve| I m wondering about Some activity we could do together| [person:steve m 0-0][person:we_all g(steve:joyce:mom) 6-6]
joyce| Good idea How about a cooking class or something to do as a team|
steve| good idea I m a horrible cook How about learning chinese| [person:steve m 2-2]
joyce| You mean cooking right not the language| [person:steve m 0-0]
steve| Ha ha yes cooking Speaking it is hella hard|
steve| Let s look into this and present it together we can pick her up before the class and spend time with her| [person:we g(steve:joyce) 9-9][person:mom f 12-12][person:mom f 21-21]
joyce| I love it Let s do| [person:joyce f 0-0]

conv:people_0909_1734_15:aug_0:chat_0:chataug_0| douglas janet| [person:douglas m 0-0][person:janet f 1-1]
janet| Work has been so frustrating lately|
douglas| I m sorry to hear that What s been going on| [person:douglas m 0-0]
janet| It just feels like everything s been piiling up against me And I work so hard for nothing| [person:janet f 10-10][person:janet f 12-12]
janet| Jen keeps refusing to actually work and constantly messes up customer accounts| [person:jen f 0-0]
douglas| That s horrible Have your bosses noticied at all| [person:janet f 4-4]
janet| Of course not I fix so many of her mistakes quietly behind the scenes So somehow they all think she s doing great| [person:janet f 3-3][person:jen f 8-8][person:they g() 16-16][person:jen f 19-19]
douglas| That is stressful I hate being in that situation| [person:douglas m 3-3]
janet| I just don t know what to do I feel like I m at the end of my rope with her| [person:janet f 0-0][person:janet f 8-8][person:janet f 11-11][person:janet f 17-17][person:jen f 20-20]
douglas| Well remember to breath first of all Going crazy won t help this situation at all|
janet| You re right I don t know how you always stay so calm| [person:douglas m 0-0][person:janet f 3-3][person:douglas m 8-8]
douglas| I just plan way too far ahead I still get frustrated anyway| [person:douglas m 0-0][person:douglas m 7-7]
douglas| But you have a team meeting coming up right| [person:janet f 1-1]
janet| Yeah|
douglas| I think that would give you the perfect opportunity to bring this situation up and get some attention on it| [person:douglas m 0-0][person:janet f 5-5]
janet| That sounds like a good idea I ll try it| [person:janet f 6-6]
janet| Thanks for listening to me| [person:janet f 4-4]
douglas| No problem Any time|

conv:people_0909_1734_18:aug_0:chat_0:chataug_0| jen madison| [person:jen f 0-0][person:madison f 1-1]
jen| Hello How are u| [person:madison f 3-3]
madison| FIne|
jen| may I borrow your cell phone to call my mother after we finish lunch| [person:jen f 1-1][person:madison f 3-3][person:jen f 8-8][person:we g(jen:madison) 11-11]
madison| Yes of course Jane And please do not forget to ask your mother whether you may go to the movies with us afterwards| [person:jen f 3-3][person:jen f 11-11][person:jen f 14-14][person:us g(madison) 21-21]
jen| could you pass the salt please| [person:madison f 1-1]
madison| Sure here you are| [person:jen f 2-2]
jen| And the pepper too please Thank you| [person:madison f 6-6]
madison| You are welcome| [person:jen f 0-0]
jen| Would both of you mind if I stop by Marcus bookstore on our way to the movie| [person:madison f 3-3][person:jen f 6-6][person:marcus m 9-9][person:our g(jen:madison) 12-12]
madison| No not at all|
jen| I would love to look at their New Book selection So I would like to stop there also| [person:jen f 0-0][person:jen f 11-11][location:there s 16-16]
madison| Would both of you like to go shopping after the movie| [person:jen f 3-3]
jen| Maybe some other time I need to be home by 500 o clock| [person:jen f 4-4][location:home s 8-8]
jen| k bye take care|

conv:people_0909_1734_20:aug_0:chat_0:chataug_0| ashley paul| [person:ashley f 0-0][person:paul m 1-1]
paul| Hey Ashley I had a question about the homework for Prof Wittgen s class| [person:ashley f 1-1][person:paul m 2-2]
ashley| I was just thinking about that class what is it| [person:ashley f 0-0]
paul| On exercise 3 are we supposed to use the graph to solve the problem| [person:we g(paul:ashley) 4-4]
ashley| I haven t started that yet but let me take a look| [person:ashley f 0-0][person:ashley f 8-8]
paul| Okay I was really confused| [person:paul m 1-1]
ashley| Oh gosh this makes no sense at all|
paul| I know right I don t get it at all| [person:paul m 0-0][person:paul m 3-3]
ashley| Prof Wittgen really doesn t know how to do task descriptions He s spent way too much time doing his own research and not enough time connecting with his students| [person:prof_wittigen m 11-11][person:prof_wittigen m 19-19][person:prof_wittigen m 28-28]
paul| Do you know anyone else who can help us| [person:ashley f 1-1][person:anyone u 3-3][person:we g(paul:ashley) 8-8]
ashley| Megan probably can She s in our class too and really smart| [person:megan f 0-0][person:megan f 3-3][person:we g(paul:ashley) 6-6]
paul| Okay can you talk to her| [person:ashley f 2-2][person:megan f 5-5]
ashley| Of course she lives down the hall We ll figure this out in no time| [person:megan f 2-2][person:we g(paul:ashley) 7-7]

conv:people_0909_1734_21:aug_0:chat_0:chataug_0| abigail teresa| [person:abigail f 0-0][person:teresa f 1-1]
teresa| ready for the event|
abigail| yeah the church one| [location:church s 2-2]
teresa| Yes the one Steve set up| [person:steve m 3-3]
abigail| Yes of course I am| [person:abigail f 3-3]
teresa| I was thinking of asking Lisa for her list| [person:teresa f 0-0][person:lisa f 5-5][person:lisa f 7-7]
abigail| Yeah that is a good idea|
teresa| Or maybe she is too busy| [person:lisa f 2-2]
abigail| maybe we can call others on the phone| [person:we g(teresa:abigail) 1-1][person:others g() 4-4]
teresa| that is a lot of people|
abigail| yes but we can do it| [person:we g(teresa:abigail) 2-2]

conv:people_0909_1734_22:aug_0:chat_0:chataug_0| sarah steve| [person:sarah f 0-0][person:steve m 1-1]
steve| Hi|
sarah| Hi Steve| [person:steve m 1-1]
steve| Yesterday it was my birthday party| [person:steve m 3-3]
sarah| Yes i know it| [person:sarah f 1-1]
steve| I had invited you and your parents for the party Then why don t you came for the party| [person:steve m 0-0][person:sarah f 3-3][person:sarah f 5-5][person:parents g() 6-6][person:sarah f 14-14]
sarah| I was not feeling well So I decided not to attend the party| [person:sarah f 0-0][person:sarah f 6-6]
steve| Anyway are you feeling well now| [person:sarah f 2-2]
sarah| Ya of course|
steve| Cool|
sarah| Say about your birthday party yaar| [person:steve m 2-2]
steve| Ah i forgot it| [person:steve m 1-1]
sarah| Say now|
steve| The party was so nice and awesome The party was arranged by my cousins sisters and parents| [person:steve m 12-12][person:cousins g() 13-13][person:sisters f 14-14][person:parents g() 16-16]
sarah| Ok then|
steve| K bye see u later| [person:sarah f 3-3]
sarah| k Bye take care|

conv:people_0909_1734_23:aug_0:chat_0:chataug_0| joseph lori| [person:joseph m 0-0][person:lori f 1-1]
lori| Hey Joseph have you gotten anything for Helen yet| [location:joseph s 1-1][person:joseph m 3-3][person:helen f 7-7]
joseph| Which Helen are you talking about| [person:helen f 1-1][person:lori f 3-3][location:talking s 4-4]
lori| Helen as in Helen and Scott our parents| [person:helen f 0-0][person:helen f 3-3][person:scott m 5-5][person:our g(lori:joseph) 6-6][person:parents g(helen:scott) 7-7]
joseph| Lori it s weird that you call them that| [location:lori s 0-0][person:lori f 5-5][person:parents g(helen:scott) 7-7]
lori| Fine I ll call them mom and dad So did you get anything for mom| [person:lori f 1-1][person:parents g(helen:scott) 4-4][person:helen f 5-5][person:scott m 7-7][person:joseph m 10-10][person:helen f 14-14]
joseph| Not yet I don t know what she d like| [person:joseph m 2-2][person:helen f 7-7]
lori| I was thinking of gardening stuff but she doesn t like that anymore| [person:lori f 0-0][person:helen f 7-7]
joseph| I was thinking clothes but she has so many already| [person:joseph m 0-0][location:thinking s 2-2][location:clothes s 3-3][person:helen f 5-5]
lori| Yeah she has too many plates and silverware too| [person:helen f 1-1][location:plates s 5-5]
joseph| How about we ask dad what she likes to do now| [location:how u 0-0][person:our g(lori:joseph) 2-2][person:scott m 4-4][person:helen f 6-6]
lori| Yeah let s do that Scott will know| [person:scott m 5-5][location:know s 7-7]
joseph| Lori I told you that s weird| [person:lori f 0-0][person:joseph m 1-1][person:lori f 3-3][location:weird s 6-6]
lori| Okay I ll call dad and get back to you Talk to you later| [person:lori f 1-1][person:scott m 4-4][location:how g() 7-7][person:joseph m 9-9][person:joseph m 12-12]

conv:people_0909_1734_24:aug_0:chat_0:chataug_0| ashley walter| [person:ashley f 0-0][person:walter m 1-1]
walter| Hey Ashley how s it going| [person:ashley f 1-1]
ashley| Good Walter how about you| [person:walter m 1-1][person:walter m 4-4]
walter| I m good I wanted to check up on mom and dad| [person:walter m 0-0][person:walter m 3-3][person:mom f 9-9][person:dad m 11-11]
ashley| They got into a huge fight last week on the way to Uncle Ben s| [person:they g(mom:dad) 0-0][person:ben m 13-13]
walter| Why what happened between them| [person:they g(mom:dad) 4-4]
ashley| I m not sure they were just in the car and started going crazy| [person:ashley f 0-0][person:they g(mom:dad) 4-4]
walter| Wow did anything else happen|
ashley| Not that I know of things just escalated really fast| [person:ashley f 2-2]
walter| Ok I ll call Randy later today then| [person:walter m 1-1][person:randy m 4-4]
ashley| Thank you I really appreciate it| [person:walter m 1-1][person:ashley f 2-2]

conv:people_0909_1734_25:aug_0:chat_0:chataug_0| katherine richard| [person:katherine f 0-0][person:richard m 1-1]
richard| good afternoon|
richard| Do you think we should share Karen s car again| [person:katherine f 1-1][person:we g(richard:katherine) 3-3][person:karen f 6-6]
katherine| Yes I think that would work best because of the soccer game Remember Karen s kid is playing| [person:katherine f 1-1][person:karen f 13-13]
katherine| Oh remember nate will probably join us too right| [person:nate m 2-2][person:we g(richard:katherine) 6-6]
richard| Where do you think we should actually go for the Sunday Hike| [person:katherine f 2-2][person:we g(richard:katherine) 4-4]
richard| I think Nate likes that trailhead as Steelhead beach where you can dip your toes in the river| [person:richard m 0-0][person:nate m 2-2][location:trailhead s 5-5][location:steelhead_beach s 7-8][person:katherine f 10-10][person:katherine f 13-13]
katherine| Maybe that place scares me though There was a rattler there once| [location:steelhead_beach s 2-2][person:katherine f 4-4][location:steelhead_beach s 10-10]
richard| Ugh really You know you can hear them rattling and just take off right| [person:katherine f 2-2][person:katherine f 4-4]
richard| You realize if Karen comes and drives she s going to have to leave so early to get to the soccer game| [person:katherine f 0-0][person:karen f 3-3][person:karen f 7-7]
katherine| You re right Maybe we should just do a quick loop and have a stretch before the game How about just going to sunrise beach| [person:richard m 0-0][person:we g(richard:katherine) 4-4]
richard| That s fine I think Dan is going to chicken out though| [person:richard m 3-3][person:dan m 5-5]
katherine| Why do you think that| [person:richard m 2-2]
richard| Ugh you know he ll want to do the Manly he hike| [person:katherine f 1-1][person:dan m 3-3][person:dan m 10-10]
katherine| Fine I ll text him next to be sure Anyway We ll just swing by and pick you up ok| [person:katherine f 1-1][person:dan m 4-4][person:we g(katherine:dan) 10-10][person:richard m 17-17]
richard| That s fine I get tired of his competitiveness anyway| [person:richard m 3-3][person:dan m 7-7]
richard| I know we still love him though right| [person:richard m 0-0][person:we g(richard:katherine) 2-2][person:dan m 5-5]
katherine| I concur Thanks for letting me get all this off my chest too These hikes and logistics are a lot right| [person:katherine f 0-0][person:katherine f 5-5][person:katherine f 10-10]
richard| Right but I love spending time with you and seeing you| [person:richard m 2-2][person:katherine f 7-7][person:katherine f 10-10]
richard| Toodles see you soon| [person:katherine f 2-2]
katherine| Fine I m by the door See you in a bit| [person:katherine f 1-1][person:richard m 7-7]

conv:people_0909_1734_26:aug_0:chat_0:chataug_0| billy joshua| [person:billy m 0-0][person:joshua m 1-1]
billy| The Greenhawks are amazing|
joshua| Yes I love their games| [person:joshua m 1-1]
billy| what are you a big fan of| [person:joshua m 2-2]
joshua| Ben Parker is really good| [person:ben_parker m 0-0][person:ben_parker m 1-1]
billy| I agree with you| [person:billy m 0-0][person:joshua m 3-3]
joshua| He always makes the right choices| [person:ben_parker m 0-0]
billy| I like Harold Mitt and Bob Kracht too| [person:billy m 0-0][person:harold m 2-2][person:bob m 5-5]
joshua| They are all stars| [person:they g(harold:bob) 0-0]
billy| when is their next game| [person:they g(harold:bob) 2-2]
joshua| It will be soon|

conv:people_0909_1734_27:aug_0:chat_0:chataug_0| karen ralph| [person:karen f 0-0][person:ralph m 1-1]
ralph| Hello Karen| [person:karen f 1-1]
karen| Hey Ralph| [person:ralph m 1-1]
ralph| I wanted to ask you about our parents| [person:ralph m 0-0][person:karen f 4-4][person:our g(ralph:karen) 6-6][person:parents g() 7-7]
karen| Well they got into a fight last week during the drive to uncle Ben| [person:parents g() 1-1][person:ben m 13-13]
ralph| Damn That is bad|
karen| Sure is|
ralph| How come they got into a fight| [person:parents g() 2-2]
karen| Well mostly they were yelling about expenses and money problems| [person:parents g() 2-2]
ralph| But they do not have money problems so why would they fight| [person:parents g() 1-1][person:parents g() 10-10]
karen| I know I do not understand it either| [person:karen f 0-0][person:karen f 2-2][location:it s 6-6]
ralph| Was it jealousy about cheating maybe| [location:it s 1-1]
karen| No since they were mostly just would argue over expenses no jealousy things| [person:parents g() 2-2]
ralph| I really don t get it I will call Andy later today| [person:ralph m 0-0][location:it s 5-5][person:ralph m 6-6][person:andy m 9-9]
karen| Alright you do that maybe you will be more clear| [person:ralph m 1-1][person:ralph m 5-5]
ralph| Bye Karen| [person:karen f 1-1]
karen| Bye Ralph| [person:ralph m 1-1]

conv:people_0909_1734_29:aug_0:chat_0:chataug_0| anthony maria| [person:anthony m 0-0][person:maria f 1-1]
maria| Hey Anthony long time since we talked| [person:anthony m 1-1][person:we g(maria:anthony) 5-5]
anthony| Yes indeed It s been a few months|
maria| What have you been up to| [person:anthony m 2-2]
anthony| I am working on a project right now creating a new program for my company and also trying to have fun| [person:anthony m 0-0][person:anthony m 13-13]
maria| That is great|
anthony| What about you Maria| [person:maria f 2-2][person:maria f 3-3]
maria| Well I have been taking dancing classes and I will be performing in a show soon| [person:maria f 1-1][person:maria f 8-8]
anthony| That is amazing So how come you wrote to me| [person:maria f 6-6][person:anthony m 9-9]
maria| I was thinking about buying a new computer for my dad Jim and I am not sure what to buy| [person:maria f 0-0][person:maria f 9-9][person:dad m 10-10][person:jim m 11-11][person:maria f 13-13]
anthony| Well I know he is an engineer so he will need it to make designs and such| [person:anthony m 1-1][person:jim m 3-3][person:jim m 8-8]
maria| Yes He actually needs something which has a good cpu and a good graphics card| [person:dad m 1-1]
anthony| Definitely he needs at least an i7 core then with 4gb dedicated graphic cards| [person:jim m 1-1]
maria| Yes Actually my mother Christine will be using it too sometimes and she also needs good specifications| [person:maria f 2-2][person:christine f 4-4][person:maria f 12-12]
anthony| Check out the Schnell computer online then|
maria| Alright I just checked and it seems as what I wanted| [person:maria f 1-1][person:maria f 9-9]
anthony| Nice That is great|
maria| Thank you for your help Anthony| [person:anthony m 1-1][person:anthony m 3-3][person:anthony m 5-5]
anthony| No worries Anytime Maria| [person:maria f 3-3]

conv:people_0909_1734_31:aug_0:chat_0:chataug_0| jose sam| [person:jose m 0-0][person:sam m 1-1]
jose| Yo Sam that Greenhawks game was crazy last night| [person:sam m 1-1]
sam| Yeah it was I was sitting on the edge of my seat| [person:sam m 3-3][person:sam m 10-10]
jose| That play by Richard Kracht on the bottom of the ninth wow| [person:richard m 3-3]
sam| I can t believe how far he dove to catch the ball and then managed to throw it all the way home to get the out| [person:sam m 0-0][person:richard m 6-6][location:home s 21-21]
jose| I was screaming at my TV| [person:jose m 0-0][person:jose m 4-4]
