conv:people_chats_04182020_468:aug_0:chat_0:chataug_0| evelyn ronnie| [person:evelyn f 0-0][person:ronnie m 1-1]
macy| Yeah okay I ll report the driver| [person:macy f 2-2]
philip| Also call my mom Carol As she is panicking and talk to her about other things which might divert her mind| [person:philip m 2-2][person:carol f 4-4][person:carol f 6-6][person:carol f 12-12][person:carol f 19-19]
macy| Okay I ll do that Just reach home safely| [person:macy f 1-1][location:home s 7-7]

conv:people_chats_04182020_472:aug_0:chat_0:chataug_0| karina kevin| [person:karina f 0-0][person:kevin m 1-1]
karina| This night out is really fun Kevin I really enjoyed it| [person:kevin m 6-6][person:karina f 7-7]
kevin| Yeah I too enjoyed it very much We should do this more often| [person:kevin m 1-1][person:we g(karina:kevin) 7-7]
karina| That s a good idea Hey is that our neighbors Martin and Clary s house| [person:we g(karina:kevin) 8-8][person:neighbors g() 9-9][person:martin m 10-10][person:clary f 12-12][location:house s 14-14]
kevin| Yes and look they have already decorated their house for Halloween| [person:neighbors g(martin:clary) 3-3][person:neighbors g(martin:clary) 7-7][location:house s 8-8]
karina| Yeah the decoration is really awesome we should adopt some ideas from their decoration What do u think| [person:we g(karina:kevin) 6-6][person:neighbors g(martin:clary) 12-12][person:kevin m 16-16]
kevin| You are right Look at the spiders hanging in the patio they look really spooky| [person:karina f 0-0]
karina| Even the lighting is different we can use that also in our decoration| [person:we g(karina:kevin) 5-5][person:we g(karina:kevin) 11-11]
kevin| We should start shopping for the decorations I can buy the material for it| [person:we g(karina:kevin) 0-0][person:kevin m 7-7]
karina| Yeah get the material and we ll get started with our decorations| [person:we g(karina:kevin) 5-5][person:we g(karina:kevin) 10-10]
kevin| Okay I will make sure to get it done by the evening Then we can start putting up the decorations| [person:kevin m 1-1][person:we g(karina:kevin) 13-13]

conv:people_chats_04182020_473:aug_0:chat_0:chataug_0| brian luis| [person:brian m 0-0][person:luis m 1-1]
brian| Hi Luis I am planning for a tour in the month of January| [person:luis m 1-1][person:brian m 2-2]
luis| Hello Brain Wow that s nice to hear but where you are planning to go| [person:brian m 10-10]
brian| Actually Christopher and me were planning to drive to Florida| [person:christopher m 1-1][person:brian m 3-3][location:florida s 9-9]
luis| Oh That s great shall I invite Todd to join with us in this trip| [person:luis m 5-5][person:todd m 7-7][person:us g(brian:luis:christopher) 11-11][location:florida s 14-14]
brian| For sure We were actually planning to tell Todd about the trip as he is also in Florida| [person:us g(brian:luis:christopher) 2-2][person:todd m 8-8][location:florida s 11-11][person:todd m 13-13]
luis| OK Don t worry I will inform about this to Todd by this evening| [person:luis m 4-4][person:todd m 10-10]
brian| What are all the things we need to pack for the trip| [person:us g(brian:luis:christopher) 5-5][location:florida s 11-11]
luis| Don t carry much But make sure that don t forget your jackets to bring| [person:brian m 11-11]
brian| OK Once we reach there we shall plan what all places to visit in Florida| [person:we g(brian:luis:christopher:todd) 2-2][location:florida s 4-4][person:we g(brian:luis:christopher:todd) 5-5][location:places g() 10-10][location:florida s 14-14]
luis| That s fine we shall plan according to the time available for you| [person:we g(brian:luis:christopher:todd) 3-3][person:brian m 12-12]

conv:people_chats_04182020_474:aug_0:chat_0:chataug_0| brittany edward| [person:brittany f 0-0][person:edward m 1-1]
brittany| Hey Edward Who do you think is the best rap artist I think Drake is best because he can sing melodies| [person:edward m 1-1][person:edward m 4-4][person:brittany f 11-11][person:drake m 17-17]
edward| I don t agree with you I believe Lil Wayne is the best because he taught Drake how to make music| [person:edward m 0-0][person:brittany f 5-5][person:edward m 6-6][person:lil__wayne m 9-9][person:lil__wayne m 14-14]
brittany| I think we should ask Allen about this situation as he can settle our debate| [person:brittany f 0-0][person:we g(brittany:edward) 2-2][person:allen m 5-5][person:allen m 10-10][person:we g(brittany:edward) 13-13]
edward| Yes that s a good idea He has great taste in music he can definitely help us out| [person:allen m 6-6][person:allen m 12-12][person:we g(brittany:edward) 16-16]
brittany| Allen is telling that we both are wrong and he says that JayZ is actually the best rap artist as he has been around the longest| [person:allen m 0-0][person:we g(brittany:edward) 4-4][person:allen m 9-9][person:jayz m 20-20]
edward| I m not satisfied with his reply| [person:edward m 0-0][person:allen m 5-5]
brittany| Okay what shall we do in order to settle our debate| [person:we g(brittany:edward) 3-3][person:we g(brittany:edward) 9-9]
edward| I ll ask Gerald about it Let s see what he has to say about this| [person:edward m 0-0][person:gerald m 3-3][person:gerald m 10-10]
brittany| Yeah go ahead and ask him about the best rap artist| [person:gerald m 5-5]
edward| Gerald agreed with me He said that Lil Wayne is the best| [person:gerald m 0-0][person:edward m 3-3][person:gerald m 4-4][person:lil__wayne m 8-8]

conv:people_chats_04182020_476:aug_0:chat_0:chataug_0| briana simon| [person:briana f 0-0][person:simon m 1-1]
simon| Hey Briana Are you going to Jordan s party tonight| [person:briana f 1-1][person:briana f 3-3][person:jordan m 6-6]
briana| I am going but only if Jonathan is going to be there| [person:briana f 0-0][person:jonathan m 6-6]
simon| I don t understand Why you even like him| [person:simon m 0-0][person:briana f 5-5][person:jonathan m 8-8]
simon| He is selfcentered and has a lot of attitude| [person:jonathan m 0-0]
briana| I don t care what you think about him| [person:briana f 0-0][person:simon m 5-5][person:jonathan m 8-8]
briana| Are you bringing the stuff for karaoke| [person:simon m 1-1]
simon| I am bringing it and I m going to drop it off early But do you think that my stuff will be safe there| [person:simon m 0-0][person:simon m 5-5][person:briana f 15-15][person:simon m 18-18][location:there u 23-23]
briana| Jordan is really trustworthy and you shouldn t worry about it| [person:jordan m 0-0][person:simon m 5-5]
simon| Okay I ll meet you at his place then| [person:simon m 1-1][person:briana f 4-4][person:jordan m 6-6][location:place s 7-7]
briana| Yeah sure I will be waiting for you| [person:briana f 2-2][person:simon m 7-7]

conv:people_chats_04182020_477:aug_0:chat_0:chataug_0| amber bill| [person:amber f 0-0][person:bill m 1-1]
amber| Hello Bill are you done with your work| [person:bill m 1-1][person:bill m 3-3][person:bill m 6-6]
bill| Hey Amber I m almost done Tell me how may I help you| [person:amber f 1-1][person:bill m 2-2][person:bill m 7-7][person:bill m 10-10][person:amber f 12-12]
amber| Can you help me out with Christmas decorations So that it can be finished soon| [person:bill m 1-1][person:amber f 3-3]
bill| Why not dear I will help you for sure tell me what should I do| [person:bill m 3-3][person:amber f 6-6][person:bill m 10-10][person:bill m 13-13]
amber| Thank you for taking the time to help me Shall we call our friends Bailey Donna so that it can be done more easily and early| [person:bill m 1-1][person:amber f 8-8][person:we g(amber:bill) 10-10][person:we g(amber:bill) 12-12][person:friends g() 13-13][person:bailey f 14-14][person:donna f 15-15]
bill| Good idea by the way let s proceed the way you said| [person:amber f 10-10]
amber| I shall call Bailey and ask her to get a ladder and Donna to get snacks| [person:amber f 0-0][person:bailey f 3-3][person:bailey f 6-6][person:donna f 12-12]
bill| That s okay but does it look good if we ask them to bring all those| [person:we g(amber:bill) 9-9][person:friends g(bailey:donna) 11-11]
amber| Let s present them beautiful gifts at the party so that they even feel happy about that| [person:friends g(bailey:donna) 3-3][person:friends g(bailey:donna) 11-11]
bill| Cool that sounds good Let s proceed and start Christmas decorations|

conv:people_chats_04182020_478:aug_0:chat_0:chataug_0| brooklyn timothy| [person:brooklyn f 0-0][person:timothy m 1-1]
brooklyn| Hey Timothy How you doing Do you have a few minutes to spare| [person:timothy m 1-1][person:timothy m 3-3][person:timothy m 6-6]
timothy| Hey Brooklyn I am fine Of course what s the matter| [person:brooklyn f 1-1][person:timothy m 2-2]
brooklyn| If you don t mind I need your advice on something| [person:timothy m 1-1][person:brooklyn f 5-5][person:timothy m 7-7]
timothy| No problem You can talk to me about anything| [person:brooklyn f 2-2][person:timothy m 6-6]
brooklyn| I had a small dispute with our friends Walt and Shelly and I don t know how to go about fixing it Can you help me| [person:brooklyn f 0-0][person:our g(brooklyn:timothy) 6-6][person:friends g() 7-7][person:walt m 8-8][person:shelly f 10-10][person:brooklyn f 12-12][person:timothy m 23-23]
timothy| Don t worry about it Brooklyn You should talk to them about it| [person:brooklyn f 5-5][person:brooklyn f 6-6][person:friends g(walt:shelly) 10-10]
brooklyn| Okay but I m really nervous and can t work up the nerve to have a conversation with them about our fight| [person:brooklyn f 2-2][person:friends g(walt:shelly) 18-18][person:our g(brooklyn:walt:shelly) 20-20]
timothy| Don t stress about it They are very understanding people and will listen to whatever you have to say| [person:they g(walt:shelly) 5-5][person:brooklyn f 15-15]
brooklyn| Alright I ll head over to their place right now Thank for the advice Timothy I owe you one| [person:brooklyn f 1-1][person:their g(walt:shelly) 6-6][location:place s 7-7][person:timothy m 14-14][person:brooklyn f 15-15][person:timothy m 17-17]
timothy| You re welcome I m sure that the matter will be resolved in no time| [person:brooklyn f 0-0][person:timothy m 3-3]

conv:people_chats_04182020_482:aug_0:chat_0:chataug_0| daria sedan| [person:daria f 0-0][person:sedan m 1-1]
sedan| Hey Daria are you trying for jobs| [person:daria f 1-1][person:daria f 3-3]
daria| Yeah Sedan I am looking for a job for a long time| [person:sedan m 1-1][person:daria f 2-2]
daria| Are you trying the same Tell me which stream you want to work on| [person:sedan m 1-1][person:daria f 6-6][person:sedan m 9-9]
sedan| Even I am looking for jobs in the business field What about you| [person:sedan m 1-1][person:daria f 12-12]
daria| Okay I want to work in IT field| [person:daria f 1-1]
sedan| Well I was searching through many websites Do you know any other way| [person:sedan m 1-1][person:daria f 8-8]
daria| My friends Selina and Omar invited me for a job fair They told that the couple will be able to get into the event for free| [person:daria f 0-0][person:friends g() 1-1][person:selina f 2-2][person:omar m 4-4][person:daria f 6-6][person:friends g(selina:omar) 11-11]
daria| Why can t you join me for the event| [person:sedan m 3-3][person:daria f 5-5]
sedan| Yeah sure I would like to join you| [person:sedan m 2-2][person:daria f 7-7]
sedan| Just inform me about the time and venue of the fair| [person:sedan m 2-2]
daria| Okay I will text you the detaills of the fair| [person:daria f 1-1][person:sedan m 4-4]
sedan| It would be really great to meet with real employers|
daria| Yeah I will meet on the day of the event| [person:daria f 1-1]
sedan| Well I don t know whether I will be free on the day of the event| [person:sedan m 1-1][person:sedan m 6-6]

conv:people_chats_04182020_483:aug_0:chat_0:chataug_0| jessica lana| [person:jessica f 0-0][person:lana f 1-1]
lana| Hey how you did build your house s fast| [person:jessica f 2-2][person:jessica f 5-5]
jessica| Hi it was easy my brother Chester knew how to build it fast and simple| [person:jessica f 4-4][person:chester m 5-5][person:chester m 6-6]
lana| But it s a solid house right|
jessica| Yes he knows how build houses from scratch| [person:chester m 1-1]
jessica| Why you are asking about it| [person:lana f 1-1]
lana| Well I m thinking to build one My husband Lester is experienced as well| [person:lana f 1-1][person:lana f 7-7][person:lester m 8-8][person:lester m 9-9]
lana| Do you think its a good idea to let him build it| [person:jessica f 1-1][person:lester m 9-9]
jessica| I don t know how good your husband is at building But I think it s better to look for a professional| [person:jessica f 0-0][person:lana f 6-6][person:lester m 7-7][location:building s 10-10][person:jessica f 12-12]
jessica| And should know something contractors are expensive|
lana| I know about it He told me he can build it but I m afraid it will be weak| [person:lana f 0-0][person:lester m 4-4][person:lana f 6-6][person:lester m 7-7][person:lana f 12-12]
lana| My husband isn t that smart as yours You know that he told me he don t like to expend money| [person:lana f 0-0][person:lester m 1-1][person:jessica f 7-7][person:jessica f 8-8][person:lester m 11-11][person:lana f 13-13][person:lester m 14-14]
jessica| He sounds like a cheap husband| [person:lester m 0-0][person:lester m 5-5]
lana| I should ve marry someone like yours husband Jessica what I do| [person:lana f 0-0][person:chester m 4-4][person:jessica f 6-6][person:chester m 7-7][person:jessica f 8-8][person:lana f 10-10]
jessica| Just tell him you dont fell safe giving him the house building house task And you want hire a professional| [person:lester m 2-2][person:lana f 3-3][person:lester m 8-8][person:lana f 15-15]
lana| Ok I will do thanks| [person:lana f 1-1]

conv:people_chats_04182020_486:aug_0:chat_0:chataug_0| debra paul| [person:debra f 0-0][person:paul m 1-1]
paul| Debra Have you thought about dad s birthday celebration this year| [person:debra f 0-0][person:debra f 2-2][person:dad m 5-5]
debra| I was about tot say you Paul He had a tough year So we should plan something big| [person:debra f 0-0][person:paul m 5-5][person:paul m 6-6][person:dad m 7-7][person:we g(paul:debra) 13-13]
paul| Yes We should make him feel happy with our gifts and arrangements| [person:we g(paul:debra) 1-1][person:dad m 4-4][person:we g(paul:debra) 8-8]
debra| I think it would me much better if we discuss with Larry and John| [person:debra f 0-0][person:we g(paul:debra) 8-8][person:larry m 11-11][person:john m 13-13]
paul| I would like to gift him a golden watch Last time when we went on a window shopping he showed lot of interest in this watch I have decided by that time itself| [person:paul m 0-0][person:dad m 5-5][person:paul_and_dad g(paul:dad) 12-12][person:dad m 18-18][person:paul m 26-26]
debra| That s great I would get him some new pair of clothes He will never buy for himself| [person:debra f 3-3][person:dad m 6-6][person:dad m 12-12][person:dad m 17-17]
paul| We will inform Larry also to get him something| [person:we g(paul:debra) 0-0][person:larry m 3-3][person:dad m 7-7]
debra| What about John He is very good at giving birthday presents| [person:john m 2-2][person:john m 3-3]
paul| I am aware of that He already discussed with me way long back I think he is planing something big that would surprise us all| [person:paul m 0-0][person:john m 5-5][person:paul m 9-9][person:paul m 13-13][person:john m 15-15][person:us g(paul:debra:dad:larry) 23-23]
debra| Fine Then we will plan in such a way that he should forget all his hard days this year| [person:we g(paul:debra) 2-2][person:dad m 10-10][person:dad m 14-14]

conv:people_chats_04182020_487:aug_0:chat_0:chataug_0| pam stephen| [person:pam f 0-0][person:stephen m 1-1]
pam| Stephen I think we should tell Sarah what we saw today| [person:stephen m 0-0][person:pam f 1-1][person:we g(pam:stephen) 3-3][person:sarah f 6-6][person:we g(pam:stephen) 8-8]
stephen| Yes Pam I thought that the trash bags outside of her doors were making noises until I realized that there were rats in it| [person:pam f 1-1][person:stephen m 2-2][person:sarah f 10-10][person:stephen m 16-16]
pam| Yes It was absolutely disgusting|
stephen| I was okay with all the trash before not after the rats we saw today| [person:stephen m 0-0][person:we g(pam:stephen) 12-12]
pam| What if those rats enter our house| [person:our g(pam:stephen) 5-5]
stephen| I would go crazy and never enter our apartment again| [person:stephen m 0-0][person:our g(pam:stephen) 7-7][location:apartment s 8-8]
pam| Let s talk to Sarah about this| [person:sarah f 4-4]
stephen| How should we tell her| [person:we g(pam:stephen) 2-2]
pam| We ll tell her it s unhygienic to keep trash this way and that she should take it to the dumpster more often| [person:we g(pam:stephen) 0-0][person:sarah f 3-3][person:sarah f 14-14]
stephen| Okay we ll talk to her tomorrow| [person:we g(pam:stephen) 1-1][person:sarah f 5-5]

conv:people_chats_04182020_490:aug_0:chat_0:chataug_0| dira emma| [person:dira f 0-0][person:emma f 1-1]
dira| Hello Emma how are you doing| [person:emma f 1-1][person:emma f 4-4]
emma| I am fine what about you| [person:emma f 0-0][person:dira f 5-5]
dira| I am very frustrated with our real estate agents| [person:dira f 0-0][person:dira_and_emma g(dira:emma) 5-5][person:real_estate_agents g() 6-8]
emma| What about them| [person:real_estate_agents g() 2-2]
dira| They are very lazy and have unprofessional behavior| [person:real_estate_agents g() 0-0]
emma| Well I got the same feeling but I thought it was just me thinking that| [person:emma f 1-1][person:emma f 7-7][person:emma f 12-12]
dira| They actually pretty much do not give any efforts at work and when I criticize them they get annoyed and try to push me off| [person:real_estate_agents g() 0-0][person:dira f 13-13][person:real_estate_agents g() 15-15][person:real_estate_agents g() 16-16][person:dira f 23-23]
emma| Well we should do something about this right| [person:dira_and_emma g(dira:emma) 1-1]
dira| We should but we have to remember that we have a contract with them| [person:dira_and_emma g(dira:emma) 0-0][person:dira_and_emma g(dira:emma) 3-3][person:dira_and_emma g(dira:emma) 8-8][person:real_estate_agents g() 13-13]
emma| You are right so we must consider if it is worthy to break the contract with them| [person:dira f 0-0][person:dira_and_emma g(dira:emma) 4-4][person:real_estate_agents g() 16-16]
dira| The only way to break the contract without the costs being a burden upon us is to take legal actions on them| [person:dira_and_emma g(dira:emma) 14-14][person:real_estate_agents g() 21-21]
emma| Taking legal actions might make it possible for us to lay them off without paying them for the broken contract| [person:dira_and_emma g(dira:emma) 8-8][person:real_estate_agents g() 11-11][person:real_estate_agents g() 15-15]
dira| Alright Emma we will meet later today and we talk in person about this| [person:emma f 1-1][person:dira_and_emma g(dira:emma) 2-2][person:dira_and_emma g(dira:emma) 8-8]
emma| Alright Dira we will see each other later then| [person:dira f 1-1][person:dira_and_emma g(dira:emma) 2-2]
dira| I will bring their contracts with me so we can analyse those together| [person:dira f 0-0][person:real_estate_agents g() 3-3][person:dira f 6-6][person:dira_and_emma g(dira:emma) 8-8]
emma| Alright catch to you later then| [person:dira f 3-3]

conv:people_chats_04182020_493:aug_0:chat_0:chataug_0| angela carmen| [person:angela f 0-0][person:carmen f 1-1]
angela| Hi Carmen are you free to talk now| [person:carmen f 1-1][person:carmen f 3-3]
carmen| Hello Angela yes I am free now tell me what is the matter to discuss| [person:angela f 1-1][person:carmen f 3-3][person:carmen f 8-8]
angela| Shall we launch a cosmetics project together| [person:we g(angela:carmen) 1-1]
carmen| Yes that is a nice idea we also should invite Stacey and Casper to join us| [person:we g(angela:carmen) 6-6][person:stacey f 10-10][person:casper f 12-12][person:we g(angela:carmen) 15-15]
angela| No I do not want them involved in the project because they have a lot of projects in process already| [person:angela f 1-1][person:them g(stacey:casper) 5-5][person:them g(stacey:casper) 11-11]
carmen| Okay Then at least we can ask the suggestion with them| [person:we g(angela:carmen) 4-4][person:them g(stacey:casper) 10-10]
angela| Yeah That sounds good We will do that| [person:we g(angela:carmen) 4-4]
carmen| Okay we will meet them and we will discuss this by tomorrow| [person:we g(angela:carmen) 1-1][person:them g(stacey:casper) 4-4][person:we g(angela:carmen) 6-6]
angela| Okay I will ask them and let you know the timings| [person:angela f 1-1][person:them g(stacey:casper) 4-4][person:carmen f 7-7]
carmen| Okay I will be waiting for your positive reply| [person:carmen f 1-1][person:angela f 6-6]

conv:people_chats_04182020_496:aug_0:chat_0:chataug_0| mellisa mindy| [person:mellisa f 0-0][person:mindy f 1-1]
mindy| Hello Mellisa are you at home| [person:mellisa f 1-1][person:mellisa f 3-3][location:home s 5-5]
mellisa| Yeah I am leaving now for the exam| [person:mellisa f 1-1]
mindy| Great can you please bring extra pencils for me for the exam| [person:mellisa f 2-2][person:mindy f 8-8]
mellisa| I already left home while talking to you You forgot to take| [person:mellisa f 0-0][location:home s 3-3][person:mindy f 7-7][person:mindy f 8-8]
mindy| No actually I went to the store but it was closed so I couldn t buy| [person:mindy f 2-2][location:store s 6-6][person:mindy f 12-12]
mellisa| Why don t you tell Bernard or Grace They are your classmates right| [person:mindy f 3-3][person:bernard m 5-5][person:grace f 7-7][person:they g(bernard:grace) 8-8][person:mindy f 10-10][person:classmates g(bernard:grace) 11-11]
mindy| I already asked Grace she told that she has only one| [person:mindy f 0-0][person:grace f 3-3][person:grace f 4-4][person:grace f 7-7]
mellisa| And what about Bernard| [person:bernard m 3-3]
mindy| Well I don t like interacting with him so I won t ask him| [person:mindy f 1-1][person:bernard m 7-7][person:mindy f 9-9][person:bernard m 13-13]
mellisa| I need to check whether I am having extra or not Then only I can help you with one| [person:mellisa f 0-0][person:mellisa f 5-5][person:mellisa f 13-13][person:mindy f 16-16]

conv:people_chats_04182020_498:aug_0:chat_0:chataug_0| cole lorenzo| [person:cole m 0-0][person:lorenzo m 1-1]
lorenzo| Hey Cole I am inviting you to attend to my birthday party at school| [person:cole m 1-1][person:lorenzo m 2-2][person:cole m 5-5][person:lorenzo m 9-9][location:school s 13-13]
cole| Hey Lorenzo That was happy to attend your birthday party| [person:lorenzo m 1-1][person:lorenzo m 7-7]
lorenzo| I am inviting all my closest school friends to the party You should definitely attend the party| [person:lorenzo m 0-0][person:lorenzo m 4-4][person:lorenzo_s_friends g(cole) 7-7][person:cole m 11-11]
cole| Yeah Sure I will attend I want you to invite some of my friends| [person:cole m 2-2][person:cole m 5-5][person:lorenzo m 7-7][person:cole m 12-12][person:cole_s_friends g() 13-13]
lorenzo| That is Okay Tell me who are those friends you are insisting me| [person:lorenzo m 4-4][person:cole_s_friends g() 8-8][person:cole m 9-9][person:lorenzo m 12-12]
cole| Those are Macy and Rachel You might have heard about I want you to invite them also to the party| [person:macy f 2-2][person:rachel f 4-4][person:lorenzo m 5-5][person:cole m 10-10][person:lorenzo m 12-12][person:cole_s_friends g(macy:rachel) 15-15]
lorenzo| Not a problem Cole I will invite accordingly| [person:cole m 3-3][person:lorenzo m 4-4]
cole| Thank you Lorenzo For listening me and giving value to my words| [person:lorenzo m 1-1][person:lorenzo m 2-2][person:cole m 5-5][person:cole m 10-10]
lorenzo| You are Welcome Cole That is not a big deal What else with the other friends then| [person:cole m 0-0][person:cole m 3-3][person:other_friends g() 15-15]
cole| Okay I don t know I think the remaining were busy with their work| [person:cole m 1-1][person:cole m 5-5][person:other_friends g() 12-12]

conv:people_chats_04182020_499:aug_0:chat_0:chataug_0| amber charles| [person:amber f 0-0][person:charles m 1-1]
amber| Hi Charles Are you ready for the upcoming trip| [person:charles m 1-1][person:charles m 3-3][location:trip s 8-8]
charles| Hello Amber Yes I am ready for the upcoming trip| [person:amber f 1-1][person:charles m 3-3][location:trip s 9-9]
amber| I have been trying to get in contact with Meredith and Craig but I could not reach them| [person:amber f 0-0][person:meredith f 9-9][person:craig m 11-11][person:amber f 13-13][person:them g(craig:meredith) 17-17]
charles| I saw them together yesterday in the evening| [person:charles m 0-0][person:them g(craig:meredith) 2-2]
amber| Oh Did you speak to them about the planned trip| [person:charles m 2-2][person:them g(craig:meredith) 5-5][location:trip s 9-9]
charles| No I didn t speak to them because I was busy at that time| [person:charles m 1-1][person:them g(craig:meredith) 6-6][person:charles m 8-8]
amber| Do you have of contact numbers of Meredith and Craig| [person:charles m 1-1][person:meredith f 7-7][person:craig m 9-9]
charles| Yes I have their contact numbers But I couldn t contact them| [person:charles m 1-1][person:them g(craig:meredith) 3-3][person:charles m 7-7][person:them g(craig:meredith) 11-11]
amber| Ok Wait for me in Meredith and Craig s house after leaving from the work| [person:amber f 3-3][person:meredith f 5-5][person:craig m 7-7][location:house s 9-9]
charles| Ok I will be waiting for you in their house| [person:charles m 1-1][person:amber f 6-6][person:them g(craig:meredith) 8-8][location:house s 9-9]

conv:people_chats_04182020_500:aug_0:chat_0:chataug_0| moiz sabrina| [person:moiz m 0-0][person:sabrina f 1-1]
sabrina| Hey Moiz want to tell you something| [person:moiz m 1-1][person:moiz m 5-5]
moiz| Yeah tell Sabrina| [person:sabrina f 2-2]
sabrina| Shall we make a plan to avoid the morning chaos| [person:we g(sabrina:moiz) 1-1]
moiz| You mean the daily morning problem we face because of lack of time| [person:sabrina f 0-0][person:we g(sabrina:moiz) 6-6]
moiz| Yeah sure we have to find a way about that| [person:we g(sabrina:moiz) 2-2]
sabrina| Its really getting me headache| [person:sabrina f 3-3]
sabrina| I am wondering how we can solve it| [person:sabrina f 0-0][person:we g(sabrina:moiz) 4-4]
moiz| For that Sabrina We have to get help from Nat and Nick| [person:sabrina f 2-2][person:we g(sabrina:moiz) 3-3][person:nat m 9-9][person:nick m 11-11]
