conv:people_2019082201_262:aug_0:chat_0:chataug_0| abigail lara| [person:abigail f 0-0][person:lara f 1-1]
carol| Sophia may be working though on the West side| [person:sophia f 0-0]
jackie| Hmm where are you coming from| [person:carol f 3-3]
carol| I am smack dab in the middle| [person:carol f 0-0]
jackie| Well let me find out if Sophia can either come to you or more South| [person:jackie f 2-2][person:sophia f 6-6][person:carol f 11-11]
carol| OK either works for me| [person:carol f 4-4]
jackie| I spoke to Sophia and she i head home soon so Central is on her way Sounds like a plan| [person:jackie f 0-0][person:sophia f 3-3][person:sophia f 5-5][person:jackie f 6-6][location:home s 8-8][location:central s 11-11][person:sophia f 14-14]
carol| Want to meet at the usual coffee place on Main Street then| [location:place s 7-7][location:street s 10-10]
jackie| That sounds good See you soon| [person:carol f 4-4]

conv:people_2019082201_266:aug_0:chat_0:chataug_0| lori stephanie| [person:lori f 0-0][person:stephanie f 1-1]
stephanie| Hi Lori| [person:lori f 1-1]
lori| Hey Stephanie| [person:stephanie f 1-1]
stephanie| We need to plan our Thanksgiving trip| [person:we g(stephanie:lori) 0-0][person:we g(stephanie:lori) 4-4][location:trip s 6-6]
lori| Yes we do| [person:we g(stephanie:lori) 1-1]
stephanie| Amy Melissa and Sophia are going this year| [person:amy f 0-0][person:melissa f 1-1][person:sophia f 3-3]
lori| Yes do you know if they have a preference| [person:stephanie f 2-2][person:they g(amy:melissa:sophia) 5-5]
stephanie| Amy and Melissa like skiing and Sophia likes to shop| [person:amy f 0-0][person:melissa f 2-2][person:sophia f 6-6]
lori| Oh I was thinking of going skiing in Big Bear which has a lot of shops too| [person:lori f 1-1][location:shops g() 15-15]
stephanie| Oh that sound neat to me too| [person:stephanie f 5-5]
lori| Ok lets do it|
stephanie| I will let everyone know by text now| [person:stephanie f 0-0][person:everyone g(amy:melissa:sophia) 3-3]
lori| Tell them we leave Weds| [person:they g(amy:melissa:sophia) 1-1][person:we g(stephanie:lori) 2-2]
stephanie| Ok I will| [person:stephanie f 1-1]
lori| We can take my SUV| [person:we g(stephanie:lori) 0-0][person:lori f 3-3]
stephanie| Ok everyone said yes and will be ready Weds| [person:everyone g(amy:melissa:sophia) 1-1]

conv:people_2019082201_267:aug_0:chat_0:chataug_0| judith kathleen| [person:judith f 0-0][person:kathleen f 1-1]
judith| Hey I m planning to workout tomorrow morning do you want to come with me| [person:judith f 1-1][person:kathleen f 9-9][person:judith f 14-14]
kathleen| I wish I could But I have to work| [person:kathleen f 0-0][person:kathleen f 2-2][person:kathleen f 5-5]
judith| We could go really early before work| [person:we g(judith:kathleen) 0-0]
kathleen| I really don t want to get up that early Have you asked Doris| [person:kathleen f 0-0][person:judith f 11-11][person:doris f 13-13]
judith| I don t have her number Does she like to work out| [person:judith f 0-0][person:doris f 4-4][person:doris f 7-7]
kathleen| Yeah she goes every day Her number is 5552212 you should text her| [person:doris f 1-1][person:doris f 5-5][person:judith f 9-9][person:doris f 12-12]
judith| Maybe I will Thanks for the suggestion| [person:judith f 1-1]
kathleen| No problem Wish I could join but you guys will have fun| [person:kathleen f 3-3][person:judith f 7-7]
judith| Well have fun at work|
kathleen| I always do haha| [person:kathleen f 0-0]

conv:people_2019082201_268:aug_0:chat_0:chataug_0| jesse ron| [person:jesse m 0-0][person:ron m 1-1]
ron| You available to watch a movie some time this week| [person:jesse m 0-0]
jesse| I should be I don t have anything scheduled apart from work| [person:jesse m 0-0][person:jesse m 3-3]
ron| That s great what about Walt and Brenda do you know if they are available this week| [person:walt m 5-5][person:brenda f 7-7][person:jesse m 9-9][person:they g(walt:brenda) 12-12]
jesse| I know they have work from 8 to 5 but they don t tend to do anything in the evening| [person:jesse m 0-0][person:they g(walt:brenda) 2-2][person:they g(walt:brenda) 10-10]
ron| So watching a movie from 68 pm would be ideal for everyone then| [person:everyon g(jesse:walt:brenda) 11-11]
jesse| I think they can make it to 7 pm as for the day I would say Friday as their off from work on Saturday| [person:jesse m 0-0][person:they g(walt:brenda) 2-2][person:jesse m 13-13][person:they g(walt:brenda) 18-18]
ron| So we should all get together to watch a movie at my place at 7 pm this Friday then| [person:we g(ron:jesse:walt:brenda) 1-1][person:ron m 11-11][location:place s 12-12]
jesse| Sounds good I ll go ahead and tell Walt and Brenda about it so they can make it on time| [person:jesse m 2-2][person:walt m 8-8][person:brenda f 10-10][person:they g(walt:brenda) 14-14]
ron| Alright I ll decide on the movie and prepare some snacks and food for the occasion| [person:ron m 1-1]
jesse| I ll bring something along as well and hopefully they will bring something too| [person:jesse m 0-0][person:they g(walt:brenda) 9-9]

conv:people_2019082201_270:aug_0:chat_0:chataug_0| andrea katherine| [person:andrea f 0-0][person:katherine f 1-1]
katherine| Hi Andrea| [person:andrea f 1-1]
andrea| Hi Katherine| [person:katherine f 1-1]
katherine| I am planning the dinner and need to know what Julia Brittany and Monica like| [person:katherine f 0-0][person:julia f 10-10][person:brittany f 11-11][person:monica f 13-13]
andrea| That is easy Julia and Monica like Steak and Brittany likes burgers| [person:andrea f 3-3][person:andrea f 5-5][person:brittany f 9-9]
katherine| Oh good I like steak and burger both| [person:katherine f 2-2]
andrea| I am good with both too| [person:andrea f 0-0]
katherine| I will buy both burger patties and steaks and we can bbq| [person:katherine f 0-0][person:we g(katherine:andrea) 9-9]
andrea| A bbq sounds great|
katherine| Yes and everyone gets what they like| [person:everyone g() 2-2][person:they g(julia:brittany:monica) 5-5]
andrea| Yes everyone will be happy| [person:everyone g() 1-1]
katherine| Cool tell them 6pm then| [person:them g(julia:brittany:monica) 2-2]
andrea| I will sent out invites| [person:andrea f 0-0]

conv:people_2019082201_273:aug_0:chat_0:chataug_0| april karen| [person:april f 0-0][person:karen f 1-1]
karen| Hi April all set for dinner tonight| [person:april f 1-1]
april| Yes Karen Can t wait to meet Alice and Abigail| [person:karen f 1-1][person:alice f 7-7][person:abigail f 9-9]
karen| I m excited as well So where are we going| [person:karen f 0-0][person:we g(karen:april) 8-8]
april| That s the part we need to decide Alice loves Chinese food while Abigail is fond of Indian cuisine| [person:we g(karen:april) 4-4][person:alice f 8-8][person:abigail f 13-13][location:indian s 17-17]
karen| I vote for Indian as well It s been long since I had a spicy curry| [person:karen f 0-0][location:indian s 3-3][person:karen f 11-11]
april| Okay go ahead and convince Alice and Indian it will be| [person:alice f 5-5][location:indian s 7-7]
karen| I ll do that She ll understand We can trying Chinese some other time| [person:karen f 0-0][person:abigail f 4-4][person:we g(karen:april) 7-7]
april| Sounds good See you at the Indian restaurant close to your place then| [person:karen f 3-3][location:indian s 6-6][location:restaurant s 7-7][person:karen f 10-10][location:place s 11-11]
karen| Okay It will be convenient for Alice and Abigail as well as they stay nearby| [person:alice f 6-6][person:abigail f 8-8][person:we g(karen:april) 12-12]
april| That s good So we are all set Bye| [person:we g(karen:april) 4-4]
karen| Bye and take care See you soon| [person:april f 5-5]

conv:people_2019082201_274:aug_0:chat_0:chataug_0| adam melinda| [person:adam m 0-0][person:melinda f 1-1]
adam| Melinda when will the train of Joyce arrive| [person:melinda f 0-0][person:joyce f 6-6]
melinda| It is at 4 o clok you have promised to pick her right| [person:adam m 6-6][person:joyce f 11-11]
adam| Yeah but I am stuck with some urgent work Can you pick her up| [person:adam m 2-2][person:melinda f 10-10][person:joyce f 12-12]
melinda| Ok I shall do it Then what about our movie| [person:melinda f 1-1][person:our g(adam:melinda) 8-8]
adam| Why not we are going to watch it with Tims family| [person:we g(adam:melinda) 2-2][person:family g() 10-10]
melinda| I have agreed to shop for them If I go to station you have to do it| [person:melinda f 0-0][person:family g() 6-6][person:melinda f 8-8][location:station s 11-11][person:adam m 12-12]
adam| Thats not a problem I shall do it What should be bought| [person:adam m 4-4]
melinda| Have you any idea about their taste| [person:melinda f 1-1][person:family g() 5-5]
adam| I think popcorn soda and chips will do| [person:adam m 0-0]
melinda| But you have to buy some special for Grace I like her very much| [person:adam m 1-1][person:grace f 8-8][person:melinda f 9-9][person:grace f 11-11]
adam| We shall get her some special pastry Ok| [person:we g(adam:melinda) 0-0][person:grace f 3-3]
melinda| Thats fine|

conv:people_2019082201_275:aug_0:chat_0:chataug_0| anna karen| [person:anna f 0-0][person:karen f 1-1]
anna| Hi Karen| [person:karen f 1-1]
karen| Hi Anna| [person:anna f 1-1]
anna| Do you get ready to go to campbells place| [person:karen f 1-1][person:campbells g() 7-7][location:place s 8-8]
karen| Yes I am ready| [person:karen f 1-1]
anna| I am really excited to see about them| [person:anna f 0-0][person:campbells g() 7-7]
karen| I am also We should buy something for them| [person:karen f 0-0][person:we g(anna:karen) 3-3][person:campbells g() 8-8]
anna| Definitely Do you have any ideas| [person:karen f 2-2]
karen| I want to buy Tshirt for Joshua| [person:karen f 0-0][person:joshu f 6-6]
anna| Cynthia always asking me for a ring So I will bring it to her| [person:cynthia f 0-0][person:anna f 3-3][person:anna f 8-8][person:cynthia f 13-13]
karen| Thats awesome|
anna| For Willie we can buy books to read He is interested in it| [person:willie m 1-1][person:we g(anna:karen) 2-2][person:willie m 8-8]
karen| Sure We should also buy some sweets and fruits to meet them| [person:we g(anna:karen) 1-1][person:campbells g() 11-11]
anna| Definitely|
karen| So when we are going to shopping for these things| [person:we g(anna:karen) 2-2]
anna| Shall we go now| [person:we g(anna:karen) 1-1]
karen| Sure|

conv:people_2019082201_276:aug_0:chat_0:chataug_0| alice evelyn| [person:alice f 0-0][person:evelyn f 1-1]
alice| Hey Evelyn are you excited for the dinner party| [person:evelyn f 1-1][person:evelyn f 3-3]
evelyn| Yeah do you know what you ll be making Do you need any help with it| [person:alice f 2-2][person:alice f 5-5][person:alice f 10-10]
alice| I m not quite sure what everyone likes Do you have anything you prefer| [person:alice f 0-0][person:everyone g(evelyn) 6-6][person:evelyn f 9-9][person:evelyn f 12-12]
evelyn| I m good with anything I know that Diana and Nancy like Italian Food| [person:evelyn f 0-0][person:evelyn f 5-5][person:diana f 8-8][person:nancy f 10-10]
alice| Do you know what Julia likes| [person:evelyn f 1-1][person:julia f 4-4]
evelyn| Julia really likes Mexican food It s her favorite| [person:julia f 0-0][person:julia f 7-7]
alice| I can make a few different things What do you think about chicken parm as well as steak fajitas| [person:alice f 0-0][person:evelyn f 9-9]
evelyn| I think that would make everyone happy I can come by early to help you out| [person:evelyn f 0-0][person:everyone g(evelyn:diana:nancy:julia) 5-5][person:evelyn f 7-7][person:alice f 14-14]
alice| You re a life saver Evelyn I ll see you before the party| [person:evelyn f 0-0][person:evelyn f 5-5][person:alice f 6-6][person:evelyn f 9-9]
evelyn| Okay I ll see you then We ll make the best food ever| [person:evelyn f 1-1][person:alice f 4-4][person:we g(alice:evelyn) 6-6]

conv:people_2019082201_277:aug_0:chat_0:chataug_0| craig ivan| [person:craig m 0-0][person:ivan m 1-1]
ivan| Hey are we on for soccer tomorrow afternoon| [person:we g(ivan:craig) 2-2]
craig| Hi I m ready to play anytime but doug told me he can only play after 6 p m| [person:craig m 1-1][person:doug m 8-8][person:craig m 10-10][person:doug m 11-11]
craig| That s ok for time we can go get burgers first but the courts are all booked up from 6 til 10 p m every night this month remember| [person:we g(ivan:craig:doug) 5-5]
ivan| Yeah I remember they ve got that league thing Do you know if there s anyplace else How about the high school| [person:ivan m 1-1][person:craig m 10-10][location:high_school s 20-21]
craig| They have the open fields but no light Maybe I should ask Doug if he knows anyplace| [person:craig m 9-9][person:doug m 12-12][person:doug m 14-14]
ivan| Maybe we should just forget it till next month when the league finishes up| [person:we g(ivan:craig:doug) 1-1]
craig| I don t want to wait that long Wait James just walked in maybe he has an idea| [person:craig m 0-0][person:james m 9-9][person:james m 14-14]
ivan| Ask him if he knows of anyplace that has lights so we can play after 6 p m| [person:james m 1-1][person:james m 3-3][person:we g(ivan:craig:doug:james) 11-11]
craig| James says there s a field behind his apartments that s open till 11 p m It s kind of far for you to drive though| [person:james m 0-0][person:james m 7-7][location:apartments g() 8-8][person:ivan m 22-22]
ivan| That s great I can pick you guys up and we can go to James and be playing by 630 Tell Doug about it| [person:ivan m 3-3][person:us g(craig:doug) 6-6][person:we g(ivan:craig:doug:james) 10-10][person:james m 14-14][person:doug m 21-21]
craig| Great I ll make sure Doug knows and you can pick us both up at his place anytime after 6| [person:craig m 1-1][person:doug m 5-5][person:ivan m 8-8][person:us g(craig:doug) 11-11][person:doug m 15-15][location:place s 16-16]
ivan| Works for me I ll see you then| [person:ivan m 2-2][person:ivan m 3-3][person:craig m 6-6]

conv:people_2019082201_278:aug_0:chat_0:chataug_0| grace lisa| [person:grace f 0-0][person:lisa f 1-1]
grace| Hey Lisa when can we get together with Susie Kate and Anna to plan the party| [person:lisa f 1-1][person:we g(grace:lisa) 4-4][person:susie f 8-8][person:kate f 9-9][person:anna f 11-11]
lisa| Tomorrow works for me What all do we need| [person:lisa f 3-3][person:we g(grace:lisa:susie:kate:anna) 7-7]
grace| We need drinks food music a sound system and more drinks| [person:we g(grace:lisa:susie:kate:anna) 0-0]
lisa| Oh you re right We do need all those things Who should bring what| [person:grace f 1-1][person:we g(grace:lisa:susie:kate:anna) 4-4]
grace| I think Kate said she could bring the beer| [person:grace f 0-0][person:kate f 2-2][person:kate f 4-4]
lisa| Yeah I remember that Susie should bring snacks and finger food| [person:lisa f 1-1][person:susie f 4-4]
grace| Oh that sounds good Anna could bring the sound system that she has and her DJ brother| [person:anna f 4-4][person:anna f 11-11][person:anna f 14-14][person:brother m 16-16]
lisa| This party is going to be awesome I ll bring some additional beer and desserts| [person:lisa f 7-7]
grace| Okay sounds great I ll bring the people I guess| [person:grace f 3-3][person:grace f 8-8]
lisa| Can t wait See you then| [person:grace f 4-4]

conv:people_2019082201_279:aug_0:chat_0:chataug_0| judy lori| [person:judy f 0-0][person:lori f 1-1]
lori| I can t wait for the trip with Aaron Ruth and Pam| [person:lori f 0-0][person:aaron m 8-8][person:ruth f 9-9][person:pam f 11-11]
judy| Me too It will be so exciting| [person:judy f 0-0]
lori| I think we should divide what we should buy for the long trip| [person:lori f 0-0][person:we g(lori:judy) 2-2][person:we g(lori:judy) 6-6]
judy| That sounds like a great idea Do you want to get the drinks| [person:lori f 7-7]
lori| Sure can you get some chips and pretzels| [person:judy f 2-2]
judy| Definitely I can ask Aaron to bring the meats for sandwiches| [person:judy f 1-1][person:aaron m 4-4]
lori| I ll tell Ruth and Pam to bring some cheese and condiments| [person:lori f 0-0][person:ruth f 3-3][person:pam f 5-5]
judy| Is there anything else you can think of| [person:lori f 4-4]
lori| Can you bring some fresh fruit for the trip| [person:judy f 1-1]
judy| Sure I ll bring some oranges and apples| [person:judy f 1-1]
judy| Excellent I can t wait for the trip| [person:judy f 1-1]

conv:people_2019082201_280:aug_0:chat_0:chataug_0| anthony tyler| [person:anthony m 0-0][person:tyler m 1-1]
anthony| Hey are you interested in going for drinks tomorrow night| [person:tyler m 2-2]
tyler| Sure That sounds like fun|
tyler| Can we invite Sophia and Jeremy along| [person:we g(anthony:tyler) 1-1][person:sophia f 3-3][person:jeremy m 5-5]
anthony| That works for me| [person:anthony m 3-3]
anthony| What pub do you think we should go to| [person:tyler m 3-3][person:we g(anthony:tyler) 5-5]
tyler| What about Ludlow s They re having specials|
anthony| I remember Sophia having a bad experience there once| [person:anthony m 0-0][person:sophia f 2-2]
tyler| Oh yeah I forgot| [person:tyler m 2-2]
tyler| There s always Sophia s| [person:sophia f 3-3]
anthony| I ve heard about that place| [person:anthony m 0-0][location:place s 5-5]
anthony| It seems good They re just always so busy|
anthony| Can you make a reservation for us| [person:tyler m 1-1][person:we g(anthony:tyler) 6-6]
tyler| Sure no problem|
anthony| Great I look forward to it| [person:anthony m 1-1]

conv:people_2019082201_283:aug_0:chat_0:chataug_0| lori susie| [person:lori f 0-0][person:susie f 1-1]
lori| Hey Susie| [person:susie f 1-1]
susie| Hello Lori What s up| [person:lori f 1-1]
lori| I wanted to know if you had a place in mind for us to meet Pamela and Jessica after work for drinks| [person:lori f 0-0][person:susie f 5-5][location:place s 8-8][person:us g(lori) 12-12][person:pamela f 15-15][person:jessica f 17-17]
susie| I didn t have any particular place in mind| [person:susie f 0-0][location:place s 6-6]
lori| Well Pamela likes Margaritas| [person:pamela f 1-1]
susie| Jessica likes all kinds of mixed drinks| [person:jessica f 0-0]
lori| Both of us like our beer| [person:us g(lori:susie) 2-2][person:us g(lori:susie) 4-4]
susie| Yes we have to have our beers| [person:us g(lori:susie) 1-1][person:us g(lori:susie) 5-5]
lori| The Thirst should work for everyone They have a great menu of drinks| [person:they g(pamela:jessica) 6-6]
susie| I love that place| [person:susie f 0-0][location:place s 3-3]
lori| I do too and I think our friends do as well| [person:lori f 0-0][person:lori f 4-4][person:us g(lori:susie) 6-6][person:they g(pamela:jessica) 7-7]

conv:people_2019082201_284:aug_0:chat_0:chataug_0| doug jordan| [person:doug m 0-0][person:jordan m 1-1]
doug| Hi Jordan do you recall that we talked about having an amazing movie night at our place last week| [person:jordan m 1-1][person:jordan m 3-3][person:we g(doug:jordan) 6-6][person:our g(doug) 15-15][location:place s 16-16]
jordan| Oh gosh yes When will this be happening I have been wanting to watch a movie for awhile now| [person:jordan m 8-8]
doug| Most likely some time next week Who do you think we should invite Karan Daniel and Andy| [person:jordan m 8-8][person:we g(doug:jordan) 10-10][person:karan m 13-13][person:daniel m 14-14][person:andy m 16-16]
jordan| Let s not invite Karan he s quite irritating sometimes I am fine with the rest| [person:karan m 4-4][person:karan m 5-5][person:jordan m 10-10]
doug| What if he finds out that we did not invite him| [person:karan m 2-2][person:we g(doug:jordan) 6-6][person:karan m 10-10]
jordan| Fine let s invite him then You will contact him since you suggested it| [person:karan m 4-4][person:doug m 6-6][person:karan m 9-9][person:doug m 11-11]
doug| No problem they you contact the other two boys okay| [person:they g(karan:daniel:andy) 2-2][person:jordan m 3-3][person:boys g(karan:daniel:andy) 8-8]
jordan| Sure can t wait to finally watch a movie with you guys| [person:doug m 10-10]
doug| Me too See you guys Can t wait for it| [person:doug m 0-0][person:jordan m 3-3]
jordan| Anyway get the irritating Karan to pick up some DVDs while on his way here then Make himself useful| [person:karan m 4-4][person:karan m 12-12][person:jordan m 17-17]

conv:people_2019082201_285:aug_0:chat_0:chataug_0| matt tom| [person:matt m 0-0][person:tom m 1-1]
tom| Hey Matt how about we host a movie a night| [person:matt m 1-1][person:we g(tom:matt) 4-4]
matt| That sounds like a good idea I m free this weekend| [person:matt m 6-6]
tom| Henry Howard Ben and Gerald are all free also Do you think they re down for a movie night| [person:henry m 0-0][person:howard m 1-1][person:ben m 2-2][person:gerald m 4-4][person:matt m 10-10][person:they g(henry:howard:ben:gerald) 12-12]
matt| Henry Howard and Ben should be good Gerald hates watching movies so maybe don t invite him| [person:henry m 0-0][person:howard m 1-1][person:ben m 3-3][person:gerald m 7-7][person:gerald m 16-16]
tom| Okay Gerald s out Ben and Howard have been mentioning that new super hero movie to go watch But Henry only like old action movies| [person:gerald m 1-1][person:ben m 4-4][person:howard m 6-6][person:henry m 19-19]
matt| I have the big screen at my place if you want to watch a blu ray But I want to watch the new super hero movie too| [person:matt m 0-0][person:matt m 6-6][location:place s 7-7][person:tom m 9-9][person:matt m 17-17]
tom| I m leaning towards the super hero movie too We can all go to the theater and get some food afterwards| [person:tom m 0-0][person:we g(tom:matt:henry:howard:ben) 9-9]
matt| Yeah we can still invite Henry but it ll be up to him if he wants to go| [person:we g(tom:matt) 1-1][person:henry m 5-5][person:henry m 12-12][person:henry m 14-14]
tom| Yeah that sounds good Let s do this for Saturday|
matt| Yeah Saturday works for me and we can invite everyone else| [person:matt m 4-4][person:we g(tom:matt) 6-6][person:we g(tom:matt:henry:howard:ben) 9-9]
tom| Okay talk to you later| [person:matt m 3-3]

conv:people_2019082201_286:aug_0:chat_0:chataug_0| daniel eduardo| [person:daniel m 0-0][person:eduardo m 1-1]
daniel| Eduardo my buddy I think you will actually love Bob and Mark| [person:eduardo m 0-0][person:daniel m 1-1][person:eduardo m 2-2][person:daniel m 3-3][person:eduardo m 5-5][person:bob m 9-9][person:mark m 11-11]
daniel| They both love UFC and they gym everyday just like us| [person:they g(bob:mark) 0-0][person:they g(bob:mark) 5-5][location:gym s 6-6][person:us g(daniel:eduardo) 10-10]
eduardo| That sounds cool Where are they from though in terms of which city| [person:they g(bob:mark) 5-5][location:city s 12-12]
daniel| So Bob is from San Diego like us and Mark actually just moved here from LA| [person:bob m 1-1][location:san_diego s 4-5][person:us g(daniel:eduardo) 7-7][person:mark m 9-9][location:la s 15-15]
eduardo| Oh sick Did they graduate from UC| [person:they g(bob:mark) 3-3]
daniel| Yeah man I actually met both of them while we were all at UCSD They both were Biology majors and so we re all pretty much alike in a lot of ways They re so much fun man| [person:daniel m 2-2][person:they g(bob:mark) 7-7][person:us g(daniel:eduardo) 9-9][person:they g(bob:mark) 14-14][person:us g(daniel:eduardo) 21-21][person:they g(bob:mark) 32-32]
daniel| Mark s whole family moved here from LA but he decided to live by himself because he actually just got a job in hospital administration| [person:mark m 0-0][person:mark m 3-3][location:la s 7-7][person:mark m 9-9][person:mark m 14-14][person:mark m 16-16][location:hospital s 23-23]
eduardo| Which company does Mark work for| [person:mark m 3-3]
daniel| He works at Scripps He applied and they offered him a really good job actually and he wants to get promoted to a senior role within a few years| [person:mark m 0-0][person:mark m 4-4][person:mark m 7-7][person:mark m 9-9][person:mark m 16-16]
eduardo| I definitely want to go on this vacation now Let s book it have a good time and make plans for our futures| [person:eduardo m 0-0][person:us g(daniel:eduardo) 21-21]
daniel| Haha I know you will love them I ll let them know that we re booking the tickets now| [person:daniel m 1-1][person:eduardo m 3-3][person:they g(bob:mark) 6-6][person:daniel m 7-7][person:they g(bob:mark) 10-10][person:us g(daniel:eduardo) 13-13]
daniel| Let s make a group chat and discuss all the details tomorrow man Good night|
eduardo| Sounds good bro Night|

conv:people_2019082201_287:aug_0:chat_0:chataug_0| cathy shirley| [person:cathy f 0-0][person:shirley f 1-1]
shirley| Hi Cathy how are you doing today| [person:cathy f 1-1][person:cathy f 4-4]
cathy| Doing great Cathy thanks for asking How are you| [person:cathy f 2-2][person:shirley f 8-8]
shirley| I m doing great I actually am feeling extra motivated and wanted to know if you wanted to practice our music together| [person:shirley f 0-0][person:shirley f 4-4][person:cathy f 15-15][person:our g(shirley:cathy) 19-19]
cathy| You know that I m always game for extra practice as they say practice makes perfect| [person:shirley f 0-0][person:cathy f 3-3][person:they g() 11-11]
shirley| Exactly music school is tough as it is we need all the practice we can get| [location:school s 2-2][person:our g(shirley:cathy) 8-8][person:our g(shirley:cathy) 13-13]
cathy| I agree do you think we should invite others Maybe Alexis Eve and Jean They always seem to be practicing in their spare time| [person:cathy f 0-0][person:shirley f 3-3][person:our g(shirley:cathy) 5-5][person:alexis f 10-10][person:jean f 13-13][person:they g(alexis:jean) 14-14][person:they g(alexis:jean) 21-21]
shirley| Yeah that sounds good I think we can all really learn a lot from each other| [person:shirley f 4-4][person:we g(shirley:cathy:alexis:jean) 6-6]
cathy| And I think we can all push each other to succeed too So let s meet up around 6PM tonight Your place I ll let them know| [person:cathy f 1-1][person:we g(shirley:cathy:alexis:jean) 3-3][person:shirley f 20-20][location:place s 21-21][person:cathy f 22-22][person:they g(alexis:jean) 25-25]
shirley| Sounds good I ll be ready then looking forward to it See ya| [person:shirley f 2-2]
cathy| Alright can t wait to see how much we improve see you| [person:we g(shirley:cathy:alexis:jean) 8-8][person:shirley f 11-11]

conv:people_2019082201_288:aug_0:chat_0:chataug_0| johnny sam| [person:johnny m 0-0][person:sam m 1-1]
johnny| Hey Sam did you decide which concert we will go to| [person:sam m 1-1][person:sam m 3-3][person:we g(johnny:sam) 7-7]
sam| I don t know man it s really upto you guys| [person:sam m 0-0][person:johnny m 9-9]
johnny| We can t seem to come to an agreement for some reason| [person:we g(johnny:sam) 0-0]
sam| I do realise that I just hope i don t get caught in the crossfire Have we atleast set a day| [person:sam m 0-0][person:sam m 4-4][person:sam m 7-7][person:we g(johnny:sam) 16-16]
johnny| Yes I ve spoken to Nicholas and Jon We ve decided on Thursday evening Jon had to reschedule one of his clients| [person:johnny m 1-1][person:nicholas m 5-5][person:jon m 7-7][person:we g(johnny:sam) 8-8][person:jon m 14-14][person:nicholas m 20-20][person:clients g() 21-21]
sam| Great that s a start Any clues as to which concert we will be going to| [person:we g(johnny:sam) 11-11]
johnny| None i m afraid I want to go to watch some jazz while Nicholas and Jon are set on hip hop music| [person:johnny m 1-1][person:johnny m 4-4][person:nicholas m 13-13][person:jon m 15-15]
sam| I just want to go out with you guys Is this jazz concert important| [person:sam m 0-0][person:johnny m 7-7]
johnny| It most definitely is They are gonna be here all month| [person:they g(nicholas:jon) 4-4]
sam| Great there you have it Let s just go to this hip hop concert for Nicholas and Jon You and I could go to the Jazz concert later this month my treat| [person:johnny m 2-2][person:nicholas m 15-15][person:jon m 17-17][person:johnny m 18-18][person:sam m 20-20][person:sam m 30-30]
johnny| That does sound like fun You ve always been so good at this sort of thing Alright later then have a nice day| [person:sam m 5-5]
sam| Glad to be of service Have a nice day too|

conv:people_2019082201_290:aug_0:chat_0:chataug_0| emily keith| [person:emily f 0-0][person:keith m 1-1]
keith| Hey Emily| [person:emily f 1-1]
emily| Hi Keith you all set to visit Clyde and Shirley| [person:keith m 1-1][person:keith m 2-2][person:clyde m 7-7][person:shirley f 9-9]
