conv:people_chats_0629_123:aug_0:chat_0:chataug_0| dominic sylvia| [person:dominic m 0-0][person:sylvia f 1-1]
arnold| Sure but i need to get it from my storage locker| [person:arnold m 2-2][person:arnold m 8-8]
daina| That s good because i need to get my children Hillary and Tye ready for the photo shoo| [person:daina f 4-4][person:daina f 8-8][person:hillary f 10-10][person:tye m 12-12]
arnold| OK that s good|
arnold| Are they excited| [person:they g(hillary:tye) 1-1]
daina| They don t want to take family photos and aren t in great moods| [person:they g(hillary:tye) 0-0][person:family g(daina:hillary:tye) 6-6]
daina| I hope they will cheer up by the time you are here| [person:daina f 0-0][person:they g(hillary:tye) 2-2][person:arnold m 9-9][location:studio s 11-11]
arnold| Can i bring fun props to help keep them interested| [person:arnold m 1-1][person:they g(hillary:tye) 8-8]
daina| Ya sure|
arnold| Ok sure i will try to bring it| [person:arnold m 2-2]
arnold| Get ready i will be there in an hour| [person:arnold m 2-2][location:studio s 5-5]

conv:people_chats_0629_128:aug_0:chat_0:chataug_0| alana martina| [person:alana f 0-0][person:martina f 1-1]
alana| martina have you seen mark in the gym lately| [person:martina f 0-0][person:martina f 2-2][person:mark m 4-4][location:gym s 7-7]
martina| i saw him yesterday| [person:martina f 0-0][person:mark m 2-2]
martina| He was there working with Pete| [person:mark m 0-0][location:gym s 2-2][person:pete m 5-5]
martina| They had been there for a couple hours| [person:co_workers g() 0-0][location:gym s 3-3]
alana| i have not seen him in a while| [person:alana f 0-0][person:mark m 4-4]
alana| i ran into him the other day| [person:alana f 0-0][person:pete m 3-3]
alana| and i was surprised by how muscular he is now| [person:alana f 1-1][person:pete m 7-7]
alana| He looked good and he isn t the skinny beanpole he used to be| [person:pete m 0-0][person:pete m 4-4][person:pete m 10-10]
martina| lol|
martina| no he s not| [person:pete m 1-1]
alana| how is pete doing though| [person:pete m 2-2]
martina| good|

conv:people_chats_0629_130:aug_0:chat_0:chataug_0| devon vivian| [person:devon m 0-0][person:vivian f 1-1]
devon| Vivian did you know that your family has a well on the property| [person:vivian f 0-0][person:vivian f 2-2][person:vivian f 5-5][person:family g() 6-6]
vivian| I am acutely aware of that well in fact| [person:vivian f 0-0]
devon| lol why the strong reaction it s just a well|
vivian| My younger brother Hector fell down it a few years ago| [person:vivian f 0-0][person:hector m 2-2][person:hector m 3-3]
devon| I didn t know you had a brother Why didn t you tell me sooner| [person:devon m 0-0][person:vivian f 4-4][person:hector m 7-7][person:vivian f 11-11][person:devon m 13-13]
vivian| well the whole well thing happened|
devon| Man oh man My condolences I had no idea my dude| [person:devon m 3-3][person:devon m 5-5][person:devon m 9-9]
vivian| Yeah I m surprised they haven t filled in the well| [person:vivian f 1-1][person:family g(hector) 4-4]
devon| You know I actually had a sister named Anaise that fell to a similar incident| [person:vivian f 0-0][person:devon m 2-2][person:anaise f 6-6][person:anaise f 8-8]
vivian| uh how similar could that be|
devon| she was wandering in the desert a few years back and fell in one of the toothed pits| [person:anaise f 0-0][location:desert s 5-5]
vivian| How could she possibly fall in something so welldefined and horrific as a massive toothed hole| [person:anaise f 2-2]
vivian| Sorry that was insensitive but|
devon| yeah I get that a lot I m gonna go cry now| [person:devon m 1-1][person:devon m 6-6]

conv:people_chats_0629_133:aug_0:chat_0:chataug_0| karen reggy| [person:karen f 0-0][person:reggy m 1-1]
reggy| Hello|
karen| Hello|
reggy| How are you| [person:karen f 2-2]
karen| I am good| [person:karen f 0-0]
karen| What about you| [person:reggy m 2-2]
reggy| I am fine| [person:reggy m 0-0]
reggy| Do you know about Julian Della| [person:karen f 1-1][person:julian m 4-4][person:della f 5-5]
karen| I don t know| [person:karen f 0-0]
reggy| Do you have any close friend| [person:karen f 1-1][person:friend u 5-5]
karen| Yes i have| [person:karen f 1-1]
reggy| What is your friend name| [person:karen f 2-2][person:friend m 3-3]
karen| David| [person:david m 0-0]
reggy| What he doing| [person:david m 1-1]
karen| He doing business| [person:david m 0-0]

conv:people_chats_0629_137:aug_0:chat_0:chataug_0| lorry stephen| [person:lorry f 0-0][person:stephen m 1-1]
stephen| Hey Lorry It s your night to chase the chanting kids away| [person:lorry f 1-1][person:lorry f 4-4][person:kids g() 10-10]
lorry| Hey Stephen I talked to Pam the other day and I switched nights with her| [person:stephen m 1-1][person:lorry f 2-2][person:pam f 5-5][person:lorry f 10-10][person:pam f 14-14]
lorry| I want to go to a concert| [person:lorry f 0-0]
stephen| Ok the kids are outside right now though| [person:kids g() 2-2]
stephen| I don t really care whether it s you or Pam but one of you has to do it before they attract something more dangerous| [person:stephen m 0-0][person:lorry f 8-8][person:pam f 10-10][person:lorry f 14-14][person:kids g() 20-20]
lorry| Fine I ll do it Where are the chainmail mittens| [person:lorry f 1-1]
stephen| They are hanging from the coat rack like always| [person:kids g() 0-0]
lorry| Nope I looked they aren t there| [person:lorry f 1-1][person:kids g() 3-3]
stephen| That s impossible unless|
lorry| Unless what|
stephen| I dropped them of at the smithy You know Charles place I wanted to get them shined up but I forgot to pick them up| [person:stephen m 0-0][person:kids g() 2-2][person:lorry f 7-7][person:charles m 9-9][person:stephen m 11-11][person:kids g() 15-15][person:stephen m 19-19][person:kids g() 23-23]
lorry| Well then I guess you better go get them and disperse the kids yourself| [person:stephen m 2-2][person:stephen m 4-4][person:kids g() 8-8][person:kids g() 12-12][person:stephen m 13-13]
stephen| That s fair I guess Wish me luck wading through all the little blighters so I can make it to the shop| [person:stephen m 3-3][person:stephen m 6-6][person:stephen m 15-15]
lorry| Just sprint to the car you will be fine| [person:lorry f 5-5]
stephen| How likely is it that they will follow the car| [person:kids g() 5-5]

conv:people_chats_0629_139:aug_0:chat_0:chataug_0| aspen finnbar| [person:aspen f 0-0][person:finnbar m 1-1]
finnbar| Hey What did you do to my Minecraft home| [person:aspen f 3-3][person:finnbar u 6-6][location:home s 8-8]
aspen| Huh What are you talking about| [person:finnbar u 3-3]
finnbar| The roof It s been replaced with an orange white and green pattern It looks HORRIBLE|
finnbar| And all of my stuff was stolen| [person:finnbar u 3-3]
aspen| Are you sure it wasn t Jack It seems more like something he would do| [person:finnbar u 1-1][person:jack m 6-6][person:jack m 12-12]
finnbar| What makes you say that| [person:aspen f 2-2]
aspen| Those colors are from his country s flag| [person:jack m 4-4][location:country s 5-5]
aspen| and he posted a video on YouTube of him doing it| [person:jack m 1-1][person:jack m 8-8]
finnbar| I knew I was right not to trust that guy| [person:finnbar u 0-0][person:finnbar u 2-2]
finnbar| Were any other players in on it|
aspen| I heard Matilda was a part of it| [person:aspen f 0-0][person:matilda f 2-2]
aspen| She helped him steal your stuff| [person:matilda f 0-0][person:jack m 2-2][person:finnbar u 4-4]
finnbar| What s her player ID Maybe we can ban them both and prevent this from happening again| [person:matilda f 2-2][person:finnbar g(aspen) 6-6][person:finnbar g(aspen:jack:matilda) 9-9]

conv:people_chats_0629_140:aug_0:chat_0:chataug_0| gil ryan| [person:gil f 0-0][person:ryan m 1-1]
gil| Hi Ryan we need to plan for a training to the sales team| [person:ryan m 1-1][person:we g(gil:ryan) 2-2][person:sales_team g() 12-12]
ryan| Thats an awesome idea can we plan any meeting for today| [person:we g(gil:ryan) 5-5]
gil| Do you have any sales associate ready for training sessions| [person:ryan m 1-1]
ryan| Yes Bill I do have couple of team members ready| [person:gil f 1-1][person:ryan m 2-2][person:sales_team g() 7-7]
gil| Who are they| [person:they g() 2-2]
ryan| One is Kelsey and Other is Samuel| [person:kelsey f 2-2][person:samuel m 6-6]
gil| Do you need any more persons| [person:ryan m 1-1]
ryan| I think for a start we can have only these two peoples| [person:ryan m 0-0][person:we g(gil:ryan) 5-5]
gil| Among Kelsey and Samuel who seems to be more experience| [person:kelsey f 1-1][person:samuel m 3-3]
ryan| Samuel is the senior but both have a good company to start with| [person:samuel m 0-0]
gil| Ok set up a meeting at their convenient time| [person:they g(kelsey:samuel) 6-6]
ryan| They are out in the field until 3 hence I will schedule at 4| [person:they g(kelsey:samuel) 0-0][person:ryan m 9-9]
gil| Set up the available conference room as well|
ryan| Sure will do|

conv:people_chats_0629_141:aug_0:chat_0:chataug_0| griffith philipa| [person:griffith m 0-0][person:philipa f 1-1]
philipa| Hey how s Orngar doing| [person:orngar m 3-3]
philipa| how are you doing too lol| [person:philipa f 2-2]
griffith| eh he s been better| [person:griffith m 1-1]
griffith| throwing up in my shoes a lot and now he s been asleep all morning| [person:griffith m 3-3][person:griffith m 9-9]
philipa| oh no poor thing is he sick| [person:griffith m 5-5]
griffith| lol I don t think so this is just normal for him| [person:griffith m 1-1][person:griffith m 11-11]
philipa| ummm that s not normal Cleopatra never just vomits for no reason| [person:cleopatra f 5-5]
griffith| Oh I didn t say there was no reason I know exactly why I just don t know how to stop it| [person:griffith m 1-1][person:griffith m 9-9][person:griffith m 13-13]
griffith| He keeps finding little bits of plastic and stuff like that and eating it| [person:griffith m 0-0]
griffith| and I can t figure out how to make him stop| [person:griffith m 1-1][person:griffith m 9-9]
philipa| Oh I had that too for a bit with Cleopatra but we fixed it| [person:griffith m 1-1][person:cleopatra f 9-9][person:we g(philipa:cleopatra) 11-11]
griffith| wait actually How|
philipa| Maybe I intentionally a few extra pieces of plastic on the floor around the house just with the extra addition of hot sauce| [person:philipa f 1-1]
philipa| It was not fun to be around for like a day but then it got better real quick|
griffith| wait seriously|
griffith| did you find some special catsafe hot sauce| [person:philipa f 1-1]

conv:people_chats_0629_143:aug_0:chat_0:chataug_0| demmi drederick| [person:demmi f 0-0][person:drederick m 1-1]
demmi| Hello How are you| [person:drederick m 3-3]
drederick| I m very good thanks| [person:drederick m 0-0]
demmi| How you think about planr ning a Picnic for our Family| [person:drederick m 1-1][person:our g(demmi:drederick) 9-9][person:family g(demmi:drederick) 10-10]
drederick| Sound really good for us| [person:family g(demmi:drederick) 4-4]
demmi| What we could buy at Walrmat| [person:our g(demmi:drederick) 1-1]
drederick| Well I don t know if Paola and Burt like strawberry or grape jelly| [person:drederick m 1-1][person:paola f 6-6][person:burt m 8-8]
demmi| I think they currently prefer strawberries| [person:demmi f 0-0][person:they g(paola:burt) 2-2]
demmi| Maybe we could get both to be on the safe side| [person:our g(demmi:drederick) 1-1]
drederick| Okay lets buy both and buy some burgers and soda|
demmi| Very good we try for us some box of beers| [person:our g(demmi:drederick) 2-2][person:our g(demmi:drederick) 5-5]
drederick| Really well go ahead|
demmi| We will be traveling early morning| [person:our g(demmi:drederick) 0-0]
drederick| Okay we will be ready at 7am| [person:our g(demmi:drederick) 1-1]
demmi| sounds really good at that time|

conv:people_chats_0629_144:aug_0:chat_0:chataug_0| aubrey simon| [person:aubrey f 0-0][person:simon m 1-1]
aubrey| Hey|
simon| Hey Aubrey how are you| [person:aubrey f 1-1][person:aubrey f 4-4]
aubrey| Good hungry want to meet at the cafeteria for lunch| [location:cafeteria s 7-7]
aubrey| I am not going home today for lunch| [person:aubrey f 0-0][location:home s 4-4]
simon| Im actually going to an Italian restaurant down the street with Gordon and Manda| [location:restaurant s 6-6][person:gordon m 11-11][person:manda f 13-13]
simon| Do you wanna come and meet up with us| [person:aubrey f 1-1][person:us g(simon:gordon:manda) 8-8]
simon| They have really good pasta| [person:they g() 0-0]
aubrey| LOL|
aubrey| Sure I will come and head over with you guys| [person:aubrey f 1-1][person:simon m 8-8]
aubrey| Who is driving over there| [location:restaurant s 4-4]
simon| Ok awesome glad you can come| [person:aubrey f 3-3]
simon| I will let you know now who is driving| [person:simon m 0-0][person:aubrey f 3-3]

conv:people_chats_0629_146:aug_0:chat_0:chataug_0| keisha yani| [person:keisha f 0-0][person:yani m 1-1]
yani| hi Keisha| [person:keisha f 1-1]
yani| why is the floor under the kitchen sink s cabinets appears to have been replaced with some sort of floorifice| [location:kitchen s 6-6]
keisha| what do you mean by floorifice| [person:yani m 2-2]
yani| i mean the gurgling orifice| [person:yani m 0-0]
keisha| stop being ridiculous the floorifice is just the garbage disposal my friend Chuck installed on his last visit| [person:keisha f 10-10][person:chuck m 11-11][person:chuck m 12-12][person:chuck m 15-15]
yani| Did he installed it with a copy of the necronomicon or what| [person:chuck m 1-1]
keisha| he picked it up at the local Home Depot| [person:chuck m 0-0][location:home s 7-7]
yani| I very much doubt that| [person:yani m 0-0]
yani| i have not even once seen an indescribable alien entity for sale at any home improvement retailer| [person:yani m 0-0][location:home s 14-14]
keisha| that s because he doesn t do any of the housework himself| [person:chuck m 3-3][person:chuck m 11-11]
yani| she s mad if she thinks the horrible thing below their sink is normal| [person:keisha f 0-0][person:keisha f 4-4][person:their g(keisha) 10-10]
yani| i am goign to call Barbie to her what happen| [person:yani m 0-0][person:barbie f 5-5][person:barbie f 7-7]
keisha| you going to make me look ridiculous in front of her| [person:yani m 0-0][person:keisha f 4-4][person:barbie f 10-10]

conv:people_chats_0629_147:aug_0:chat_0:chataug_0| brtiney samuel| [person:brtiney f 0-0][person:samuel m 1-1]
samuel| Hey Mom just wanted to check in and seeing how you re doing| [person:brtiney f 1-1][person:brtiney f 10-10]
brtiney| Oh honey I m doing alright thank you| [person:brtiney f 2-2][person:samuel m 7-7]
brtiney| I am so bored though My neighbors Oscar and Betty moved away an now I have no one to visit with or invite for dinner| [person:brtiney f 0-0][person:brtiney f 5-5][person:neighbors g() 6-6][person:oscar m 7-7][person:betty f 9-9][person:brtiney f 14-14]
samuel| Are those the neighbors you ve been talking about for a little while now| [person:neighbors g(oscar:betty) 3-3][person:brtiney f 4-4]
brtiney| Yes and they were such nice people to everyone and they were so good to me all the time checking up on me and what not| [person:neighbors g(oscar:betty) 2-2][person:everyone g() 8-8][person:neighbors g(oscar:betty) 10-10][person:brtiney f 15-15][person:brtiney f 22-22]
samuel| I m sorry mom Well hey why don t you come up to my place some time soon You can stay the weekend at my place and we ll have a great time| [person:samuel m 0-0][person:brtiney f 3-3][person:brtiney f 9-9][person:samuel m 13-13][person:brtiney f 18-18][person:samuel m 24-24][person:we g(samuel:brtiney) 27-27]
brtiney| Oh that would be wonderful|
brtiney| Are you sure I won t be in the way| [person:samuel m 1-1][person:brtiney f 3-3]
samuel| No Mom I would love to have you plus I could really use a pro s touch with my garden and of course that s you| [person:brtiney f 1-1][person:samuel m 2-2][person:brtiney f 7-7][person:samuel m 9-9][person:samuel m 18-18][person:brtiney f 25-25]
brtiney| I would love to I ll bring my tools too Can t wait| [person:brtiney f 0-0][person:brtiney f 4-4][person:brtiney f 7-7]
samuel| Same here mom See you soon| [person:brtiney f 2-2][person:brtiney f 4-4]

conv:people_chats_0629_148:aug_0:chat_0:chataug_0| kimberly min| [person:kimberly f 0-0][person:min m 1-1]
kimberly| Hi Min what s up| [person:min m 1-1]
min| Nothing much Kim What do you want to know from me| [person:kimberly f 2-2][person:kimberly f 5-5][person:min m 10-10]
kimberly| Kim are you going out for the dinner| [person:kimberly f 0-0][person:min m 2-2]
min| Am not sure about the outside dinner today with my friends| [person:min m 9-9][person:friends g() 10-10]
kimberly| Yasmine and Karim wants you to take out for the dinner tonight for your belated birthday| [person:yasmine f 0-0][person:karim m 2-2][person:min m 4-4][person:min m 13-13]
min| Oh that s fine I will check with them and let you know about it| [person:min m 4-4][person:them g(yasmine:karim) 8-8][person:kimberly f 11-11]
kimberly| If you are not going out for the dinner will you join me| [person:min m 1-1][person:min m 10-10][person:kimberly f 12-12]
min| Yes of course I will be joining with you| [person:min m 3-3][person:kimberly f 8-8]
kimberly| That s fine am eager to meet you| [person:min m 7-7]
min| Where shall we meet if am not going for the dinner| [person:we g(kimberly:min) 2-2]
kimberly| At my home| [person:kimberly f 1-1][location:home s 2-2]
min| At what time you expect me to be there in your home| [person:kimberly f 3-3][person:min m 5-5][location:home s 8-8][person:kimberly f 10-10][location:home s 11-11]
kimberly| I will text you later about it| [person:kimberly f 0-0][person:min m 3-3]

conv:people_chats_0629_149:aug_0:chat_0:chataug_0| christopher edwin| [person:christopher m 0-0][person:edwin m 1-1]
christopher| Hey Edwin| [person:edwin m 1-1]
christopher| How are you| [person:edwin m 2-2]
edwin| Hi|
edwin| I am well| [person:edwin m 0-0]
edwin| What s up|
christopher| Random question|
christopher| but what nuerologist does your wife Tor go to| [person:edwin m 4-4][person:wife f 5-5]
christopher| I am looking for recommendations| [person:christopher m 0-0]
edwin| Is this for your daughter Sarah| [person:christopher m 3-3][person:sarah f 4-4][person:sarah f 5-5]
christopher| Yes|
edwin| My wife sees Dr Hosner| [person:edwin m 0-0][person:wife f 1-1][person:dr__hosner m 4-4]
edwin| She s been very pleased with him| [person:wife f 0-0][person:dr__hosner m 6-6]
edwin| and has gone to him for the past 3 years| [person:dr__hosner m 4-4]
christopher| Does he have many patients| [person:dr__hosner m 1-1]
christopher| quite a bit|
christopher| he is very wellknown and you have to be on a waiting list| [person:dr__hosner m 0-0][person:sarah f 5-5]
edwin| Yes how did you know| [person:christopher m 3-3]
christopher| I think you mentioned this to me before| [person:christopher m 0-0][person:edwin m 2-2][person:christopher m 6-6]
edwin| Do not expect an appointment for 34 months|
christopher| gotcha thank you| [person:edwin m 2-2]

conv:people_chats_0629_150:aug_0:chat_0:chataug_0| dakota mike| [person:dakota f 0-0][person:mike m 1-1]
dakota| Hey Mike| [person:mike m 1-1]
mike| Hey|
dakota| Have you seen latest Morgan s post Shane and her are doing this green juice cleanse| [person:mike m 1-1][person:morgan m 4-4][person:shane m 7-7][person:morgan f 9-9]
mike| hmm I didn t see it what type of juice is it| [person:mike m 1-1]
dakota| I m sure I don t think she said it in that post| [person:dakota f 0-0][person:dakota f 3-3][person:shane m 7-7]
dakota| If you want to try it we can do it| [person:mike m 1-1][person:dakota_and_mike g() 6-6]
mike| maybe do I need to eat kale on this cleanse thing| [person:mike m 2-2]
dakota| it s green so maybe but I can check with Morgan| [person:dakota f 6-6][person:morgan f 10-10]
mike| Alright sounds good gotta go to the meeting ttyl|
dakota| talk to you soon btw you can also text Shane to ask him questions about that diet if you are not sure| [person:mike m 2-2][person:mike m 5-5][person:shane m 9-9][person:morgan m 12-12][person:mike m 18-18]
mike| I can do that I may see him at the gym tonight anyway| [person:mike m 0-0][person:mike m 4-4][person:shane m 7-7][location:gym s 10-10]
dakota| awesome I m gonna go to the store to get some fruits and veggies| [person:dakota f 1-1][location:store s 7-7]

conv:people_chats_0629_151:aug_0:chat_0:chataug_0| matty ronaldo| [person:matty f 0-0][person:ronaldo m 1-1]
ronaldo| Hey what do you think of Angela| [person:matty f 3-3][person:angela f 6-6]
matty| Ughh all she does is drink coffee in her office all day I don t think I ve EVER seen her on the sales floor| [person:angela f 2-2][person:angela f 8-8][location:office s 9-9][person:matty f 12-12][person:matty f 16-16][person:angela f 20-20]
ronaldo| Exactly How in the world are we supposed to get prepared for inventory if she won t even lift a finger| [person:we g(ronaldo:matty) 6-6][person:angela f 14-14]
matty| So true I didn t really care for Andy that much but at least he worked| [person:matty f 2-2][person:andy m 8-8][person:andy m 14-14]
ronaldo| Yeah he was always helping out on the floor and dealing with customers He might have been a jerk sometimes but at least he could get things done| [person:andy m 1-1][person:andy m 13-13][person:andy m 23-23]
matty| Yep But Angela seriously has never even spoken to a customer that I ve seen| [person:angela f 2-2][person:matty f 12-12]
ronaldo| I know I ve never seen her talk to anyone| [person:ronaldo m 0-0][person:ronaldo m 2-2][person:angela f 6-6][person:anyone g() 9-9]
matty| Don t you just get the sense that we are being set up for failure with Angela at the helm| [person:ronaldo m 2-2][person:we g(ronaldo:matty) 8-8][person:angela f 16-16]
ronaldo| Yeah I ts kind of depressing frankly|
matty| I sometimes think I should just find another job| [person:matty f 0-0][person:matty f 3-3]
ronaldo| Oh Don t do that I ll miss you so much| [person:ronaldo m 5-5][person:matty f 8-8]
matty| Well I m not currently looking but it is something I think about a lot these days| [person:matty f 1-1][person:matty f 10-10]
ronaldo| Yeah me too| [person:ronaldo m 1-1]

conv:people_chats_0629_153:aug_0:chat_0:chataug_0| artem easton| [person:artem m 0-0][person:easton m 1-1]
easton| Hi How u doing man Im doing great today| [person:artem m 2-2][person:easton m 5-5]
artem| Hi Im glad to know that ur doing great| [person:artem m 1-1][person:easton m 6-6]
artem| Im doing fine as well thanks for asking| [person:artem m 0-0]
easton| i I wanted to ask you if you knew where Suzy likes to hang out| [person:easton m 0-0][person:easton m 1-1][person:artem m 5-5][person:artem m 7-7][person:suzy f 10-10]
artem| HMm let me think about it Let me remember| [person:artem m 2-2][person:artem m 7-7]
easton| I need to talk her about some issues involving her daughter| [person:easton m 0-0][person:suzy f 4-4][person:suzy f 9-9][person:daughter f 10-10]
easton| U know Mona her daughter right| [person:artem m 0-0][person:daughter f 2-2][person:suzy f 3-3][person:daughter f 4-4]
artem| Well She used to hang out at The Dog House but since thats closed im not sure| [person:suzy f 1-1][person:artem m 14-14]
easton| What a bad luck I really want to talk with her| [person:easton m 4-4][person:suzy f 10-10]
artem| Yes i know Mona whats going on with her| [person:artem m 1-1][person:daughter f 3-3][person:daughter f 8-8]
easton| Shes has been hanging out with some very unsavory guys lately and i feel that she should know that| [person:daughter f 0-0][person:guys g() 9-9][person:easton m 12-12][person:suzy f 15-15]
artem| I agree with u Shes her mother and she need to know that Please find her| [person:artem m 0-0][person:easton m 3-3][person:suzy f 4-4][person:daughter f 5-5][person:suzy f 8-8][person:suzy f 15-15]
easton| I will Thanks for the help| [person:easton m 0-0]

conv:people_chats_0629_154:aug_0:chat_0:chataug_0| andrea casper| [person:andrea f 0-0][person:casper f 1-1]
casper| Andrea how has school been so far today| [person:andrea f 0-0][location:school s 3-3]
andrea| It s been fine I guess but I have tests for US history Math and English| [location:school s 0-0][person:andrea f 4-4][person:andrea f 7-7]
andrea| I was supposed to study for all of them with Brody last night but we got so caught up playing the latest Call of Duty that we ended up not studying at all| [person:andrea f 0-0][person:them g() 8-8][person:brody m 10-10][person:we g(casper:andrea) 14-14][person:we g(casper:andrea) 26-26]
andrea| I hope that the material on the test is not too difficult| [person:andrea f 0-0][person:andrea f 1-1]
casper| Hopefully you ll do fine but next time try to study instead of wasting time playing video games| [person:andrea f 1-1]
casper| Your brother Eric also has tests today and he spent all of yesterday diligently studying in his room| [person:andrea f 0-0][person:eric m 1-1][person:eric m 2-2][person:eric m 8-8][person:eric m 16-16]
casper| He only left his room to eat dinner with us You should act like your brother and be more studious| [person:eric m 0-0][person:eric m 3-3][person:we g(casper:andrea) 9-9][person:andrea f 10-10][person:andrea f 14-14][person:eric m 15-15]
andrea| I m sorry mom I ll make sure to not get distracted next time| [person:andrea f 0-0][person:casper f 3-3][person:andrea f 4-4]
casper| You better And you also better hope you do well in those tests| [person:andrea f 0-0][person:casper f 3-3][person:casper f 6-6][person:andrea f 7-7]
andrea| okay okay i got it mom| [person:andrea f 2-2][person:casper f 5-5]
casper| If you don t you re banned from playing video games for a week| [person:andrea f 1-1][person:andrea f 4-4]
andrea| okay|

conv:people_chats_0629_155:aug_0:chat_0:chataug_0| chanel petruchio| [person:chanel f 0-0][person:petruchio m 1-1]
chanel| Hi Petruchio are you still coming to my graduation party tomorrow| [person:petruchio m 1-1][person:petruchio m 3-3][person:chanel f 7-7]
petruchio| Hi Chanel yes I will be there I m planning to be there at 800 pm| [person:chanel f 1-1][person:petruchio m 3-3][person:petruchio m 7-7]
petruchio| The party is at Kim and Jeremy s place correct| [person:kim f 4-4][person:jeremy m 6-6][location:place s 8-8]
chanel| Yes that s correct Do you need their address| [person:petruchio m 5-5][person:their g() 7-7]
petruchio| That would be great|
chanel| 1256 Polaris Lane North Chicago IL 55673| [location:polaris_lane_north s 1-3][location:chicago s 4-4][location:il s 5-5]
petruchio| Thanks for sending me their address Do Kim and Jeremy live together| [person:petruchio m 3-3][person:their g() 4-4][person:kim f 7-7][person:jeremy m 9-9]
chanel| Yes they do Their place is beautiful they actually offered their house to host my party it was very nice of them| [person:they g() 1-1][person:their g() 3-3][location:place s 4-4][person:they g() 7-7][person:their g() 10-10][person:chanel f 14-14][person:them g() 21-21]
petruchio| Awesome I can t wait to see it Should I bring a bottle of wine| [person:petruchio m 1-1][person:petruchio m 9-9]
chanel| Yeah that would be lovely I think Kim and Jeremy will have plenty of beer and wine would be a great addition| [person:chanel f 5-5][person:kim f 7-7][person:jeremy m 9-9]
petruchio| do you prefer red or white| [person:chanel f 1-1]
chanel| How about both I m sure there will be others that will want a glass or two| [person:chanel f 3-3][location:place s 6-6][person:others g() 9-9]
petruchio| Got it I will bring a bottle or red and white wine| [person:petruchio m 2-2]
chanel| Perfect Thanks so much Petruchio I will see you tomorrow at 800 pm| [person:petruchio m 4-4][person:chanel f 5-5][person:petruchio m 8-8]
petruchio| See you then Chanel| [person:chanel f 1-1][person:chanel f 3-3]

conv:people_chats_0629_160:aug_0:chat_0:chataug_0| lois ron| [person:lois f 0-0][person:ron m 1-1]
lois| Hey Ron Are you on call again this weekend| [person:ron m 1-1][person:ron m 3-3]
ron| Unfortunately yes|
lois| That s a bummer|
lois| I was hoping to go out| [person:lois f 0-0]
lois| So do you mind then if I go with Holly and Jay on Saturday| [person:ron m 2-2][person:lois f 6-6][person:holly f 9-9][person:jay m 11-11]
lois| They might be going to a music festival| [person:they g(holly:jay) 0-0]
lois| Jay won tickets from the radio station| [person:jay m 0-0][location:station s 6-6]
ron| I don t mind if you go with them| [person:ron m 0-0][person:lois f 5-5][person:they g(holly:jay) 8-8]
ron| Although I will be jealous| [person:ron m 1-1]
ron| Who is going to be playing at the music festival|
lois| I gotta check| [person:lois f 0-0]
lois| I can t remember who all is playing| [person:lois f 0-0]
lois| It was a nice lineup though|
ron| I m sure| [person:ron m 0-0]

conv:people_chats_0629_162:aug_0:chat_0:chataug_0| aralis horatio| [person:aralis f 0-0][person:horatio m 1-1]
aralis| Hey Horatio| [person:horatio m 1-1]
