conv:people_long_0313_110:aug_0:chat_0:chataug_0| john rita| [person:john m 0-0][person:rita f 1-1]
wallace| Do you want me to talk to her about the package details that she can offer us| [person:jess f 1-1][person:wallace m 3-3][person:rebecca f 7-7][person:rebecca f 13-13][person:us g(jess:wallace) 16-16]
jess| Yes sure also ask her about her training style that suits you and me| [person:rebecca f 4-4][person:rebecca f 6-6][person:wallace m 11-11][person:jess f 13-13]
wallace| Alright I shall discuss the details and get back to you in a short time| [person:wallace m 1-1][person:jess f 10-10]

conv:people_long_0313_131:aug_0:chat_0:chataug_0| harold lucas| [person:harold m 0-0][person:lucas m 1-1]
harold| Hey Lucas are you free this weekend| [person:lucas m 1-1][person:lucas m 3-3]
lucas| Yes I ll be free for this weekend Is there anything important| [person:lucas m 1-1]
harold| I have some interesting plans lined up to tell you| [person:harold m 0-0][person:lucas m 9-9]
lucas| What is it all about Are we going out anywhere| [person:we g(harold:lucas) 6-6]
harold| I m planning to go to the beach would you like to come along with me| [person:harold m 0-0][person:lucas m 9-9][person:harold m 15-15]
lucas| Yes sure I would love to join you at the beach It s been a long time since I ve gone to the beach| [person:lucas m 2-2][person:harold m 7-7][person:lucas m 18-18]
harold| I want to invite Paulette and Joshua with us What do you say| [person:harold m 0-0][person:paulette f 4-4][person:joshua m 6-6][person:we g(harold:lucas) 8-8][person:lucas m 11-11]
lucas| That would be a great idea We can have good company all day long| [person:we g(harold:lucas) 6-6]
harold| Do you have any suggestions regarding the food Should we buy it or take it along with us| [person:lucas m 1-1][person:we g(harold:lucas) 9-9][person:we g(harold:lucas) 17-17]
lucas| Hey buddy why don t we ask Paulette and Joshua to bring food for all of us| [person:harold m 1-1][person:we g(harold:lucas) 5-5][person:paulette f 7-7][person:joshua m 9-9][person:us g(harold:lucas:paulette:joshua) 16-16]
harold| Yeah that will be a great idea have you thought about the beverages| [person:lucas m 8-8]
lucas| We shall take care of the beverages This way the responsibility will be equally distributed among us| [person:we g(harold:lucas) 0-0][person:us g(harold:lucas:paulette:joshua) 16-16]
harold| They cook food very well We can have a delicious meal along with a great day at the beach| [person:they g(paulette:joshua) 0-0][person:we g(harold:lucas) 5-5]
lucas| Okay then I will text to Paulette and Joshua informing the same| [person:lucas m 2-2][person:paulette f 6-6][person:joshua m 8-8]

conv:people_long_0313_134:aug_0:chat_0:chataug_0| luna zeke| [person:luna f 0-0][person:zeke m 1-1]
luna| Hey Zeke what did the results for Agnes and Ernest say| [person:zeke m 1-1][person:agnes f 7-7][person:ernest m 9-9]
zeke| They got infected with the coronavirus Lana This virus is spreading like wildfire| [person:they g(agnes:ernest) 0-0][person:luna f 6-6]
luna| I cant believe that our family members are affected by this virus| [person:luna f 0-0][person:our g(luna:zeke) 4-4][person:they g(agnes:ernest) 5-5]
zeke| They are currently undergoing treatment at the hospital| [person:they g(agnes:ernest) 0-0][location:hospital s 7-7]
luna| I m very scared by this news Is there a cure for the virus yet| [person:luna f 0-0]
zeke| Me too I read that the virus has been cured in some cases| [person:zeke m 0-0][person:zeke m 2-2]
luna| I hope they will get over this virus very soon| [person:luna f 0-0][person:they g(agnes:ernest) 2-2]
zeke| Do you think it s a good idea to visit them at the hospital| [person:luna f 1-1][person:they g(agnes:ernest) 10-10][location:hospital s 13-13]
luna| That is the worst idea they won t allow us to visit them because they are affected with coronavirus| [person:they g(agnes:ernest) 5-5][person:our g(luna:zeke) 9-9][person:they g(agnes:ernest) 12-12][person:they g(agnes:ernest) 14-14]
luna| Rather than visiting the hospital it s better to be at home Zeke| [location:hospital s 4-4][location:home s 11-11][person:zeke m 12-12]
zeke| That is true I just thought that way because it s our family| [person:zeke m 3-3][person:our g(luna:zeke) 11-11][person:they g(agnes:ernest) 12-12]
zeke| I will be in touch with our cousins so that we are updated on their condition| [person:zeke m 0-0][person:our g(luna:zeke) 6-6][person:they g(agnes:ernest) 7-7][person:our g(luna:zeke) 10-10][person:they g(agnes:ernest) 14-14]
luna| I think that is a cool idea better to do that| [person:luna f 0-0]
zeke| Okay let s visit them when they say it is safe| [person:they g(agnes:ernest) 4-4][person:they g(agnes:ernest) 6-6]

conv:people_long_0313_136:aug_0:chat_0:chataug_0| shirley tim| [person:shirley f 0-0][person:tim m 1-1]
tim| The kids summer holidays are about to begin Have you made any plans yet| [person:tim m 1-1][person:shirley f 9-9]
shirley| Yeah Tim we need to plan something for our kids It should also be memorable to them| [person:tim m 1-1][person:shirley f 2-2][person:tim m 8-8][person:shirley f 9-9][person:tim m 16-16]
tim| How about taking them to an amusement park They ll be very happy| [person:tim m 3-3][location:amusement_park s 6-7][person:tim m 8-8]
shirley| To visit an amusement park is a good idea but I m not sure where to go| [location:amusement_park s 3-4][person:shirley f 10-10]
tim| We need to do some research on it and then decide the location| [person:shirley f 0-0]
tim| I was thinking why don t we spend a day at Canada s Wonderland because it s close and relatively cheap| [person:tim m 0-0][person:tim m 6-6][location:canada_s_wonderland s 15-15]
shirley| I agree with you but I would prefer a weekend trip rather than a shorter one| [person:shirley f 0-0][person:tim m 3-3][person:shirley f 5-5]
tim| Alright Do you have any diverse plan to suggest other than this plan| [person:shirley f 2-2]
shirley| I suggest visiting Great Wolf Lodge in Niagara would be a good option| [person:shirley f 0-0]
tim| Planning for a weekend trip is good but don t you think it is very far from our place| [person:shirley f 10-10][person:shirley f 17-17][location:place s 18-18]
shirley| Yes it will be a longdistance but I m sure we will be having a great time| [person:shirley f 7-7][person:shirley f 10-10]
tim| Before suggesting any place let s go through the pros cons of them| [location:place s 3-3][person:tim m 12-12]
shirley| Great Wolf Lodge will be a long trip whereas Canada s Wonderland will be a much shorter trip|
shirley| I feel it would be better if we combine both ideas Isn t that amazing| [person:tim m 0-0][person:tim m 7-7]
tim| Well in that case we can make a weekend trip to Canada s Wonderland| [person:tim m 4-4]

conv:people_long_0313_142:aug_0:chat_0:chataug_0| sandy steve| [person:sandy f 0-0][person:steve m 1-1]
sandy| Hey Steve How do we go for our school field trip to Washington D C| [person:steve m 1-1][person:we g(sandy:steve) 4-4][person:we g(sandy:steve) 7-7][location:school s 8-8][location:washington s 12-12]
steve| Even I am thinking of that Why can t we start a fundraising event| [person:steve m 1-1][person:we g(sandy:steve) 9-9]
sandy| What event can we set up for that| [person:we g(sandy:steve) 3-3]
steve| We can plan for a lemonade stand in our neighborhood| [person:we g(sandy:steve) 0-0][person:we g(sandy:steve) 8-8]
sandy| Are you sure we can raise money from that| [person:steve m 1-1][person:we g(sandy:steve) 3-3]
steve| I hope so let s try this| [person:steve m 0-0]
sandy| Okay but we need a lemonade machine and other items to start it Where will we get those| [person:we g(sandy:steve) 2-2][person:we g(sandy:steve) 15-15]
steve| Brock and Jodi provided us a table some chairs and also a lemonade machine Let s start with it| [person:brock m 0-0][person:jodi f 2-2][person:we g(sandy:steve) 4-4]
sandy| Okay I think we should start spreading flyers in our neighborhood about our fundraising event| [person:sandy f 1-1][person:we g(sandy:steve) 3-3][person:we g(sandy:steve) 9-9][person:we g(sandy:steve) 12-12]
steve| Great idea Sandy Start preparing the flyers| [person:sandy f 2-2]
steve| Even Brock and Jodi are also showing interest in passing out the flyers to inform the other neighbors| [person:brock m 1-1][person:jodi f 3-3][person:neighbors g() 17-17]
sandy| That s great to hear But I am unable to decide that how much lemonade will be required to supply for its demand| [person:sandy f 6-6]
steve| No problem we can check out there| [person:we g(sandy:steve) 2-2]
sandy| Okay let s meet in an hour and discuss the plan in detail|

conv:people_long_0313_143:aug_0:chat_0:chataug_0| adam john| [person:adam m 0-0][person:john m 1-1]
adam| Hey John How are you bro| [person:adam m 1-1][person:adam m 4-4]
john| Hi Adam I am fine thank you It s been long time we spoke| [person:adam m 1-1][person:adam m 2-2][person:adam m 6-6][person:adam m 12-12]
adam| Yeah I know Actually I wanted to share something with you| [person:adam m 1-1][person:adam m 4-4][person:adam m 10-10]
john| Yeah Please share I am all ears| [person:adam m 3-3]
adam| Rita and I are going on a date this weekend| [person:rita f 0-0][person:adam m 2-2]
adam| And I am very much terrified of going horse riding with her| [person:adam m 1-1]
john| Oh Don t worry about horse riding just watch some videos online|
adam| Thanks but no thanks You yourself don t like horses Don t you| [person:adam m 4-4][person:adam m 5-5][person:adam m 12-12]
john| Yeah I do not like horses but I went on a date with Jane| [person:adam m 1-1][person:adam m 7-7][person:adam m 13-13]
john| I managed to pull it off the entire way just by watching online videos| [person:adam m 0-0]
adam| Are you sure that online videos will help me on my date| [person:adam m 1-1][person:adam m 8-8][person:adam m 10-10]
john| Yes I think that it will help you on your date| [person:adam m 1-1][person:adam m 7-7][person:adam m 9-9]
adam| I wonder if I should make an excuse and avoid the date| [person:adam m 0-0][person:adam m 3-3]
john| I gave you my suggestion now it s your call whether to consider it or not| [person:adam m 0-0][person:adam m 2-2][person:adam m 3-3][person:adam m 8-8]

conv:people_long_0313_144:aug_0:chat_0:chataug_0| jane rita| [person:jane f 0-0][person:rita f 1-1]
jane| Hey Rita How is your new job| [person:rita f 1-1][person:rita f 4-4]
rita| Jane I was about to call You can t believe what has happened here| [person:jane f 0-0][person:rita f 1-1][person:jane f 6-6]
jane| What happened there Is everything alright in the office| [location:office s 8-8]
rita| Adam is also working here as a supervisor| [person:adam m 0-0][location:office s 4-4]
jane| Yeah I heard that from John that he is working there| [person:jane f 1-1][person:john m 5-5][person:adam m 7-7][location:office s 10-10]
rita| Before joining I was very happy| [person:rita f 2-2]
rita| But when I came to know about Adam I lost all my enthusiasm| [person:rita f 2-2][person:adam m 7-7][person:rita f 8-8][person:rita f 11-11]
jane| Don t lose your enthusiasm Rita| [person:rita f 3-3][person:rita f 5-5]
jane| Just keep your wits and focus on your career I know you can withstand against this| [person:rita f 2-2][person:rita f 7-7][person:jane f 9-9][person:rita f 11-11]
rita| Okay I know that nothing good will come digging my past memories| [person:rita f 1-1][person:rita f 9-9]
rita| I know that I need to move forward But I really can t understand how can I overcome this| [person:rita f 0-0][person:rita f 3-3][person:rita f 9-9][person:rita f 16-16]
jane| You have to do your work and concentrate on your career| [person:rita f 0-0][person:rita f 4-4][person:rita f 9-9]
rita| I will try my level best thank you for this support| [person:rita f 0-0][person:rita f 3-3][person:jane f 7-7]
jane| I will be with you to support all the time| [person:jane f 0-0][person:rita f 4-4]

conv:people_long_0313_145:aug_0:chat_0:chataug_0| joan ted| [person:joan f 0-0][person:ted m 1-1]
joan| Since winter is coming up do you have any suggestions to keep up with my fitness| [person:ted m 6-6][person:joan f 14-14]
ted| What are you interested in| [person:joan f 2-2]
joan| I m thinking of trying skiing I know you ski so do you think it s something I can start| [person:joan f 0-0][person:joan f 6-6][person:ted m 8-8][person:ted m 12-12][person:joan f 17-17]
ted| I wouldn t Skiing can be expensive due to all the equipment you would need to buy as a beginner as well as the price of gas traveling to the appropriate hills| [person:ted m 0-0][person:joan f 12-12]
joan| What do you suggest I try instead| [person:ted m 2-2][person:joan f 4-4]
ted| Skating is a much more afforsable hobby to do|
joan| Skating Where would I do that| [person:joan f 3-3]
