conv:people_2019080802_57:aug_0:chat_0:chataug_0| douglas peter| [person:douglas m 0-0][person:peter m 1-1]
stephanie| Yeah glutenfree as well Probably some hipster place|
elizabeth| I think that new Pad Thai Has vegan stuff I think it has gluten free rice noodles right| [person:elizabeth f 0-0][location:new_pad_thai s 3-3][person:elizabeth f 9-9]
stephanie| Yeah that would work Thanks|
elizabeth| Ok It s called the lucky dumpling and it s on 123 main| [location:new_pad_thai s 1-1][location:new_pad_thai s 8-8][location:123_main s 11-11]

conv:people_2019080802_64:aug_0:chat_0:chataug_0| jason jeff| [person:jason m 0-0][person:jeff m 1-1]
jason| hello|
jason| i can bring the fishing poles| [person:jason m 0-0]
jeff| hello|
jason| can you bring the bait| [person:jeff m 1-1]
jeff| yes|
jason| the parkers can bring food sandwhiches and drinks| [person:parkers g() 1-1]
jeff| wher are we going| [person:we g(jason:jeff) 2-2]
jason| the pacific ocean|
jeff| will we have a boat| [person:we g(jason:jeff) 1-1]
jason| yes|
jeff| ok|

conv:people_2019080802_65:aug_0:chat_0:chataug_0| harry michelle| [person:harry m 0-0][person:michelle f 1-1]
harry| hi im harry| [person:harry m 2-2]
michelle| Hello Harry what should we take to Philip and Marie s party| [person:harry m 1-1][person:we g(harry:michelle) 4-4][person:philip m 7-7][person:marie f 9-9][location:party s 11-11]
harry| hey michelle i think some food would be nice like a catering so everyone can get some at the party| [person:michelle f 1-1][person:harry m 2-2][person:everyone g(harry:michelle:philip:marie) 13-13][location:party s 19-19]
michelle| That sounds like an excellent idea Harry| [person:harry m 6-6]
michelle| How do you think we should get there| [person:harry m 2-2][person:we g(harry:michelle) 4-4][location:party s 7-7]
harry| we can use an uber to take us there to the party so we can carry the food load on hand| [person:we g(harry:michelle) 0-0][person:us g(harry:michelle) 7-7][location:party s 8-8][location:party s 11-11][person:we g(harry:michelle) 13-13]
michelle| That sounds perfect to me| [person:michelle f 4-4]
harry| i know right i thought so too everyone is going to have a good time there and enjoy the food| [person:harry m 0-0][person:harry m 3-3][person:everyone g() 7-7][location:party s 15-15]

conv:people_2019080802_66:aug_0:chat_0:chataug_0| brandon matthew| [person:brandon m 0-0][person:matthew m 1-1]
matthew| hello|
matthew| so who are we talking about tonight| [person:we g(matthew:brandon) 3-3]
brandon| Hey So Mark is coming to visit and I am trying to find some places to take Mark| [person:mark m 2-2][person:brandon m 8-8][location:places g() 14-14][person:mark m 17-17]
matthew| Mark huh What does Mark like to do| [person:mark m 0-0][person:mark m 4-4]
matthew| Does Mark like to go fishing Ride on carousels skydive| [person:mark m 1-1]
brandon| He is in to golf fishing and loves to eat| [person:mark m 0-0]
matthew| One out of three isn t bad I guess| [person:matthew m 7-7]
brandon| Yeah what would you suggest| [person:matthew m 3-3]
matthew| Well Houston has the BEST food Ever With 10 million restaurants| [location:houston s 1-1][location:restaurants g() 10-10]
matthew| So I d suggest a trip to Houston for food and then down to Galveston to fish I bet Mark would love that| [person:matthew m 1-1][location:houston s 7-7][location:galveston s 14-14][person:matthew m 17-17][person:mark m 19-19]
brandon| Yeah I bet he would like that What about any good golfing places| [person:brandon m 1-1][person:mark m 3-3][location:golfing_places g() 12-12]
matthew| Well there are several professional courses around here plus places like TopGolf| [location:here s 7-7][location:golfing_places g() 9-9][location:topgolf s 11-11]
matthew| We have EVERYTHING Literally| [person:we g(matthew:brandon) 0-0]
brandon| Awesome We will check that out as well Thanks| [person:we g(brandon:mark) 1-1][location:topgolf s 4-4]

conv:people_2019080802_67:aug_0:chat_0:chataug_0| nancy sandra| [person:nancy f 0-0][person:sandra f 1-1]
sandra| Hey there|
sandra| Which movie should we pick| [person:we g(sandra:nancy) 3-3]
nancy| Hello Have you heard from the others yet about the movie| [person:sandra f 2-2][person:others g() 6-6]
nancy| Haha Good timing|
sandra| No not yet|
sandra| I think that they are waiting for us to decide| [person:sandra f 0-0][person:others g() 3-3][person:we g(sandra:nancy) 7-7]
sandra| Susan told me that it depends on the movie| [person:susan f 0-0][person:sandra f 2-2]
nancy| Well I know that Ashley and Susan like romcoms but Barbara s usually not a fan| [person:nancy f 1-1][person:ashley f 4-4][person:susan f 6-6][person:barbara f 10-10]
nancy| Maybe a comedy of some type without the romance|
sandra| Let s go for romcoms|
sandra| I am up for it| [person:sandra f 0-0]
nancy| Awesome Anything specific in mind|
sandra| No I will leave it to you Once you figured it just text me| [person:sandra f 1-1][person:nancy f 6-6][person:nancy f 8-8][person:sandra f 13-13]
sandra| I have to go bye| [person:sandra f 0-0]
nancy| Wait who s picking up who|
sandra| decide on the movie and text me the time and location| [person:sandra f 6-6]
sandra| bye|
nancy| Okay can you pick up Ashley| [person:sandra f 2-2][person:ashley f 5-5]
sandra| I will| [person:sandra f 0-0]
sandra| bye|
nancy| Perfect I ll get the other two since they re closer to me Talk to you later| [person:nancy f 1-1][person:they g(susan:barbara) 8-8][person:nancy f 12-12][person:sandra f 15-15]

conv:people_2019080802_69:aug_0:chat_0:chataug_0| jason jeff| [person:jason m 0-0][person:jeff m 1-1]
jason| Hey Jeff You ready to meet up with the Parkers next weekend| [person:jeff m 1-1][person:jeff m 2-2][person:parkers g() 9-9]
jeff| Are u ready to go fishing| [person:jason m 1-1]
jason| I packed up some stuff at home but I may need to run out before we go and pick up some essentials I think I need a couple new lures and some beer| [person:jason m 0-0][location:home s 6-6][person:jason m 8-8][person:we g(jason:jeff) 15-15][person:jason m 22-22][person:jason m 24-24]
jeff| Jason do you know what you are bringing on the trip And do you know what the Parkers are bringing| [person:jason m 0-0][person:jason m 2-2][person:jason m 5-5][person:jason m 13-13][person:parkers g() 17-17]
jason| If I remember correctly they re bringing their own gear and extra bug spray I ve got the boating supplies on lock You think they re bringing food If not I don t mind grabbing some while i m out that way As long as they at least bring soda P| [person:jason m 1-1][person:parkers g() 4-4][person:parkers g() 7-7][person:jason m 14-14][person:jeff m 22-22][person:parkers g() 24-24][person:jason m 30-30][person:parkers g() 45-45]
jeff| I know I need to get some new poles for us and the Parkers before next weekend| [person:jeff m 0-0][person:jeff m 2-2][person:we g(jason:jeff) 10-10][person:parkers g() 13-13]
jeff| I ll bring sods and did No| [person:jeff m 0-0]
jason| They not get new ones yet Dang They re cutting it close I can always bring extra line if you re down to help string and bait| [person:parkers g() 0-0][person:parkers g() 7-7][person:jason m 12-12][person:jeff m 19-19]
jeff| I ll bring soda and food| [person:jeff m 0-0]
jason| Rad So all they should be getting is the bait and themselves Makes it easy for them I suppose| [person:parkers g() 3-3][person:parkers g() 11-11][person:parkers g() 16-16][person:jason m 17-17]
jason| I ll catch you later Jeff Remember those poles| [person:jason m 0-0][person:jeff m 3-3][person:jeff m 5-5]
jeff| I can help with that Lol When you talk to them let me know if there is anything else we need and I ll pick it up before the trip next weekend I m so excited| [person:jeff m 0-0][person:jason m 7-7][person:parkers g() 10-10][person:jeff m 12-12][person:we g(jason:jeff) 19-19][person:jeff m 22-22][person:jeff m 32-32]

conv:people_2019080802_70:aug_0:chat_0:chataug_0| jason jeff| [person:jason m 0-0][person:jeff m 1-1]
jeff| Hey Jason Are you excited to go fishing with the Parkers next weekend| [person:jason m 1-1][person:jason m 3-3][person:parkers g() 10-10]
jason| I am I was thinking that I could bring the sandwiches| [person:jason m 0-0][person:jason m 2-2][person:jason m 6-6]
jeff| Mmmm that sounds good I think i can bring some chairs for us to sit on What else do we need| [person:jeff m 4-4][person:jeff m 6-6][person:us g(jeff:jason) 12-12][person:us g(jeff:jason) 19-19]
jason| Maybe some beers I could ask the Parkers to bring them| [person:jason m 3-3][person:parkers g() 7-7]
jeff| Okay yes that s a good idea I ll also ask them if they could bring so bait for the fish too| [person:jeff m 7-7][person:parkers g() 11-11][person:parkers g() 13-13]
jason| I was just thinking that| [person:jason m 0-0]
jeff| Okay perfect i think that is everything See you next weekend| [person:jeff m 2-2][person:jason m 8-8]
jason| Alright See you then| [person:jeff m 2-2]

conv:people_2019080802_71:aug_0:chat_0:chataug_0| carl jordan| [person:carl m 0-0][person:jordan m 1-1]
jordan| hello|
carl| hello|
carl| HIow are you| [person:jordan m 2-2]
jordan| I am well How are you| [person:jordan m 0-0][person:carl m 5-5]
carl| I m well What are you up to| [person:carl m 0-0][person:jordan m 5-5]
jordan| I am glad to hear that I am just doing some work| [person:jordan m 0-0][person:jordan m 6-6]
carl| I have a small favor to ask please| [person:carl m 0-0]
jordan| OK What s that Carl| [person:carl m 4-4]
carl| My parents are going to fly out there for a trip I was wondering if you could pick them up and take them to their hotel| [person:carl m 0-0][person:parents g() 1-1][person:carl m 11-11][person:jordan m 15-15][person:parents g() 18-18][person:parents g() 22-22][person:parents g() 24-24]
carl| I don t want them to Uber you know how nervous my mom gets| [person:carl m 0-0][person:parents g() 4-4][person:jordan m 7-7][person:carl m 11-11][person:mom f 12-12]

conv:people_2019080802_72:aug_0:chat_0:chataug_0| alex pedro| [person:alex m 0-0][person:pedro m 1-1]
pedro| Hi|
pedro| I m Alex| [person:pedro m 0-0][person:alex m 2-2]
pedro| I mean my name is Pedro| [person:pedro m 0-0][person:pedro m 2-2][person:pedro m 5-5]
alex| Hi Pedro Are you ready for your meeting with Anthony| [person:pedro m 1-1][person:pedro m 3-3][person:pedro m 6-6][person:anthony m 9-9]
pedro| Yes|
alex| Let me know if you have any questions I m happy to help| [person:alex m 1-1][person:pedro m 4-4][person:alex m 8-8]
pedro| I just want to ask what is Anthony s interest and where we meet| [person:pedro m 0-0][person:anthony m 7-7][person:we g(pedro:anthony) 12-12]
alex| Just a heads up though If you want to talk about common interests you could talk about sports and clubbing| [person:pedro m 6-6][person:pedro m 13-13]
alex| I ll ask Anthony where he wants to meet but it will most likely be at a cafe| [person:alex m 0-0][person:anthony m 3-3][person:anthony m 5-5][location:cafe s 17-17]
pedro| Oh really sounds great|
pedro| Can we meet next week| [person:we g(pedro:anthony) 1-1]
alex| Yes Does Tuesday work About 10 AM|
pedro| Oh sure that s really works for me| [person:pedro m 7-7]
alex| Sounds good I ll let him know Good luck| [person:alex m 2-2][person:anthony m 5-5]
pedro| Thank you so much and God bless you Alex| [person:alex m 1-1][person:alex m 7-7][person:alex m 8-8]

conv:people_2019080802_73:aug_0:chat_0:chataug_0| adam roger| [person:adam m 0-0][person:roger m 1-1]
adam| Hi Roger| [person:roger m 1-1]
roger| Adam what s going on buddy| [person:adam m 0-0][person:adam m 5-5]
adam| Just wanted to check in on ya in case you didn t know Ann Maria and Shawn are coming next month| [person:roger m 9-9][person:ann f 13-13][person:maria f 14-14][person:shawn m 16-16]
roger| Yeah I got it on my calendar What do you think our cousins would enjoy over here| [person:roger m 1-1][person:roger m 5-5][person:adam m 9-9][person:our g(adam:roger) 11-11][person:cousins g() 12-12][location:here s 16-16]
adam| I think they would love Disneyland I know Ann has been there but Maria and Shawn have not been there before| [person:adam m 0-0][person:cousins g() 2-2][location:disneyland s 5-5][person:adam m 6-6][person:ann f 8-8][location:disneyland s 11-11][person:maria f 13-13][person:shawn m 15-15]
roger| That sounds great what about foodwise What do you think they d enjoy| [person:adam m 8-8][person:cousins g() 10-10]
adam| Perhaps Mexican food I love mexican food I think they d like it too| [person:adam m 3-3][person:adam m 7-7][person:cousins g(ann:maria:shawn) 9-9]
roger| Sounds good Let s make it happen next month|
adam| Alright cool|

conv:people_2019080802_74:aug_0:chat_0:chataug_0| emily helen| [person:emily f 0-0][person:helen f 1-1]
emily| hi|
helen| Hi emily| [person:emily f 1-1]
emily| where are amy stephanie stella and the rest of us are meeting to prepare for the exam| [person:amy f 2-2][person:stephanie f 3-3][person:stella f 4-4][person:us g(emily:helen) 9-9]
helen| we can all meet at my house if they are all ok with that| [person:we g(emily:helen:amy:stephanie:stella) 0-0][person:helen f 5-5][location:house s 6-6][person:they g(amy:stephanie:stella) 8-8]
emily| yeah is it close to everyone| [location:house s 2-2][person:everyone g(emily:amy:stephanie:stella) 5-5]
helen| Yes right around the corner from the mall that we all hang out at| [location:mall s 7-7][person:we g(emily:helen:amy:stephanie:stella) 9-9]
emily| that is perfect|
helen| ok i will talk to them and get back with you| [person:helen f 1-1][person:they g(amy:stephanie:stella) 5-5][person:emily f 10-10]

conv:people_2019080802_76:aug_0:chat_0:chataug_0| gary nicholas| [person:gary m 0-0][person:nicholas m 1-1]
gary| Hi Nicholas I am excited about going see Carol and Brian for lunch this weekend| [person:nicholas m 1-1][person:gary m 2-2][person:carol f 8-8][person:brian m 10-10]
nicholas| Hi Gary I m excited also What do you think we should bring| [person:gary m 1-1][person:nicholas m 2-2][person:gary m 8-8][person:we g(gary:nicholas) 10-10]
gary| I know Carol is vegan and Brian is gluten free so maybe we can come up with something they both like| [person:gary m 0-0][person:carol f 2-2][person:brian m 6-6][person:we g(gary:nicholas) 12-12][person:they g(carol:brian) 18-18]
nicholas| The last time we visited Carol and Brian we had a vegetable lasagna that was great Maybe we should get the same thing again| [person:we g(gary:nicholas) 3-3][person:carol f 5-5][person:brian m 7-7][person:we g(gary:nicholas) 8-8][person:we g(gary:nicholas) 17-17]
gary| That sounds great Where did you buy it I can pick It up tomorrow| [person:nicholas m 5-5][person:gary m 8-8]
nicholas| There is a local deli right around the corner from my house I can pick it up if you want to get the drinks You know Carol and Brian like a good wine| [location:local_deli s 4-4][person:nicholas m 10-10][person:nicholas m 12-12][person:gary m 18-18][person:gary m 24-24][person:carol f 26-26][person:brian m 28-28]
gary| Sounds great I ll pick up the wine tomorrow See you Saturday for lunch with Carol and Brian| [person:gary m 2-2][person:nicholas m 10-10][person:carol f 15-15][person:brian m 17-17]
nicholas| All right Gary I ll see you tomorrow I ll get there around 11ish| [person:gary m 2-2][person:nicholas m 3-3][person:gary m 6-6][person:nicholas m 8-8][location:local_deli s 11-11]

conv:people_2019080802_81:aug_0:chat_0:chataug_0| michael patrick| [person:michael m 0-0][person:patrick m 1-1]
michael| Hey jack i called a plumber can u be there when he comes over| [person:jack m 1-1][person:michael m 2-2][person:patrick m 7-7][person:plumber m 11-11]
patrick| what time is he coming i have class at 200| [person:plumber m 3-3][person:patrick m 5-5]
michael| he will be there at 11 am| [person:plumber m 0-0]
patrick| I can be there from 1100 to noon Can one of the other guys be there at noon| [person:patrick m 0-0]
michael| I think ronald can also be there| [person:michael m 0-0][person:ronald m 2-2]
patrick| Great I ll for sure be there at ll00 and if he has to stay longer than an hour Ronald could take over| [person:patrick m 1-1][person:plumber m 11-11][person:ronald m 19-19]
michael| thats great patrick thank you so much| [person:patrick m 2-2][person:patrick m 4-4]
patrick| No problem talk to you later| [person:michael m 4-4]

conv:people_2019080802_82:aug_0:chat_0:chataug_0| emily helen| [person:emily f 0-0][person:helen f 1-1]
helen| Hey Emily I want to our classmates to study for exam| [person:emily f 1-1][person:helen f 2-2][person:our g(helen:emily) 5-5][person:classmates g() 6-6]
emily| Hey Helen which classmates| [person:helen f 1-1][person:classmates g() 3-3]
helen| Our friends Stephanie Amy and Stella| [person:our g(helen:emily) 0-0][person:classmates g() 1-1][person:stephanie f 2-2][person:amy f 3-3][person:stella f 5-5]
helen| will you able to join| [person:emily f 1-1]
emily| Sounds good Yes I can join Where do you think you want to meet| [person:emily f 3-3][person:helen f 8-8][person:helen f 10-10]
helen| Let us have a place which is closest to everone| [person:our g(helen:emily) 1-1][location:place s 4-4]
emily| Ok where do you live| [person:helen f 3-3]
helen| I live near by our school Stephanie and Amy stays near me| [person:helen f 0-0][person:our g(helen:emily) 4-4][location:school s 5-5][person:stephanie f 6-6][person:amy f 8-8][person:helen f 11-11]
helen| do you have idea about Stella| [person:emily f 1-1][person:stella f 5-5]
emily| I think she lives next to the park but I m not sure| [person:emily f 0-0][person:stella f 2-2][location:park s 7-7][person:emily f 9-9]
emily| I can ask her if you want| [person:emily f 0-0][person:stella f 3-3][person:helen f 5-5]
helen| sure Ask her and let me know| [person:stella f 2-2][person:helen f 5-5]
helen| we will decide accordingly| [person:our g(helen:emily) 0-0]
emily| Ok is there anything I should bring| [person:emily f 4-4]
helen| I just checked with Stephanie and Amy They are fine to meet in my home| [person:helen f 0-0][person:stephanie f 4-4][person:amy f 6-6][person:they g(stephanie:amy) 7-7][person:helen f 13-13][location:home s 14-14]
helen| If you and Stella are okay with the plan we can meet at my home and study for exam| [person:emily f 1-1][person:stella f 3-3][person:we g(helen:emily:stella) 9-9][person:helen f 13-13][location:home s 14-14]
emily| Stella just responded too She actually lives by the school so I think it s best to meet at your home| [person:stella f 0-0][person:stella f 4-4][location:school s 9-9][person:emily f 11-11][person:helen f 19-19][location:home s 20-20]
helen| Awesome then We will meet here I can ask my mom to prepare our dinner She is good at cooking LOL| [person:we g(helen:emily:stella) 2-2][location:home s 5-5][person:helen f 6-6][person:helen f 9-9][person:mom f 10-10][person:we g(helen:emily:stella) 13-13][person:mom f 15-15]
emily| Ok I will stop at the store to get some snacks too Want anything| [person:emily f 1-1]
helen| Buy some snacks for us| [person:we g(helen:emily:stella) 4-4]
emily| What do you think Stephanie and Amy like| [person:helen f 2-2][person:stephanie f 4-4][person:amy f 6-6]
helen| I am not sure exactly They might like cotton candy| [person:helen f 0-0][person:they g(stephanie:amy) 5-5]
emily| Ok I will bring cotton candy chips and salsa| [person:emily f 1-1]
helen| cool I will update them You and Stella can join and come together| [person:helen f 1-1][person:they g(stephanie:amy) 4-4][person:emily f 5-5][person:stella f 7-7]
emily| Ok see you soon| [person:helen f 2-2]
helen| See you| [person:emily f 1-1]

conv:people_2019080802_85:aug_0:chat_0:chataug_0| douglas peter| [person:douglas m 0-0][person:peter m 1-1]
douglas| What restaurant should we go to when we all get together| [location:restaurant s 1-1][person:we g(douglas:peter) 3-3][person:we g(douglas:peter) 7-7]
peter| Hey Douglas I m nt sure what are you in the mood for| [person:douglas m 1-1][person:peter m 2-2][person:douglas m 8-8]
douglas| Anything s fine with me if it s tasty filling and cheap how about Mexican| [person:douglas m 4-4][location:restaurant s 6-6]
peter| Julie I know is gluten free so maybe we should avoid the Italian restaruant| [person:julie f 0-0][person:peter m 1-1][person:we g(douglas:peter) 8-8][location:restaruant s 13-13]
peter| MEXICAN is great|
peter| we should go to the one near the movies so we can catch a fim after| [person:we g(douglas:peter) 0-0][person:we g(douglas:peter) 10-10]
douglas| Sure which film|
peter| the new Marvel one|
peter| Greg is definitely coming as well| [person:greg m 0-0]
douglas| Sounds good to me so it s a plan| [person:douglas m 3-3]
peter| so do you want to make reservations for dinner for 4 and I ll reserve tickets to the movies| [person:douglas m 2-2][person:peter m 12-12]
douglas| Perfect|
peter| cool what time|

conv:people_2019080802_88:aug_0:chat_0:chataug_0| carol mary| [person:carol f 0-0][person:mary f 1-1]
carol| Hi Mary| [person:mary f 1-1]
mary| Hi Carol| [person:carol f 1-1]
carol| I was planning a trip to California with my friends Jessica and Emily I was hoping you could help suggest some places to visit you re from California right| [person:carol f 0-0][person:carol f 8-8][person:friends g() 9-9][person:jessica f 10-10][person:emily f 12-12][person:carol f 13-13][person:mary f 16-16][person:mary f 24-24]
mary| Yes I am| [person:mary f 1-1]
mary| WHAT Does emily and jessica like| [person:emily f 2-2][person:jessica f 4-4]
carol| They both love the outdoors and the ocean| [person:friends g(jessica:emily) 0-0]
mary| I would recommend Santa Monic Venice beach and mailbu farms for the ocean For outdoors I would recommend going on the runyon canyon trail which can take you right behind the Hollywood sign It s really cool| [person:mary f 0-0][location:santa_monic s 3-3][location:venice_beach s 6-6][location:mailbu_farms s 8-8][location:ocean s 12-12][person:mary f 15-15][person:friends g(jessica:emily:carol) 27-27]
carol| That sounds great Thanks for your help| [person:mary f 5-5]

conv:people_2019080802_89:aug_0:chat_0:chataug_0| harry michelle| [person:harry m 0-0][person:michelle f 1-1]
michelle| Hey Harry How are you| [person:harry m 1-1][person:harry m 4-4]
harry| Great How are you| [person:michelle f 3-3]
michelle| Good Philip and Marie invited us to their party are you going| [person:philip m 1-1][person:marie f 3-3][person:us g(michelle:harry) 5-5][person:their g(philip:marie) 7-7][location:party s 8-8][person:harry m 10-10]
harry| Yes I m going I was going to pick up a few bottles of wine She I bring red or white| [person:harry m 1-1][person:harry m 4-4][person:harry m 16-16]
michelle| I think you should bring Red wine I think I will bring some fine cheese and crackers| [person:michelle f 0-0][person:harry m 2-2][person:michelle f 7-7][person:michelle f 9-9]
michelle| How should we get there| [person:us g(michelle:harry) 2-2][location:party s 4-4]
harry| That sounds great I think I m going to take an Uber so I can enjoy some of that wine| [person:harry m 3-3][person:harry m 5-5][person:harry m 13-13]
harry| I can pick you up on the way| [person:harry m 0-0][person:michelle f 3-3]
michelle| That sounds great|
harry| What time|
michelle| Pick me up about 30 minutes before the party starts| [person:michelle f 1-1][location:party s 8-8]
harry| Sounds great See you then| [person:michelle f 3-3]
michelle| Thanks|

conv:people_2019080802_90:aug_0:chat_0:chataug_0| kevin mark| [person:kevin m 0-0][person:mark m 1-1]
kevin| hi how are you and your friend doing| [person:mark m 3-3][person:mark m 5-5][person:friend u 6-6]
kevin| how are you mark| [person:mark m 2-2][person:mark m 3-3]
mark| Hey doing pretty good|
kevin| Thats great isn t this a fucking joke|
kevin| lol|
mark| lol|
kevin| im just having fun|
mark| I hear you re in the market for a new car| [person:mark m 0-0][person:kevin m 2-2]
kevin| yes i am| [person:kevin m 1-1]
kevin| any recommendations|
mark| Well my friends who you do not know said that you might consider Toyota| [person:mark m 1-1][person:friends g() 2-2][person:kevin m 4-4][person:kevin m 10-10]
mark| They also said to absolutely NOT buy a Honda| [person:they g() 0-0]
mark| I m guessing that Toyota sounds pretty good then| [person:mark m 0-0]

conv:people_2019080802_91:aug_0:chat_0:chataug_0| carl jordan| [person:carl m 0-0][person:jordan m 1-1]
jordan| Hey Carl how are you| [person:carl m 1-1][person:carl m 4-4]
carl| Hey Jordan I m fine Would you be free to pick up my parents from the airport| [person:jordan m 1-1][person:carl m 2-2][person:carl m 6-6][person:carl m 12-12][person:parents g() 13-13]
jordan| What time|
carl| their flight comes in at noon| [person:parents g() 0-0]
jordan| Yea definitely thats actually perfect timing They re flying into Dallas right| [person:parents g() 6-6][location:dallas s 10-10]
carl| Yes Thank you so much for picking them up Could you drop them off at their hotel| [person:jordan m 2-2][person:parents g() 7-7][person:jordan m 10-10][person:parents g() 12-12][person:parents g() 15-15][location:hotel s 16-16]
jordan| Yeah thats fine It s right around lunch time so maybe we can grab some lunch after what kind of food do your parents like| [person:we g(jordan:carl) 11-11][person:carl m 22-22][person:parents g() 23-23]
carl| Judy is not very picky but Alan really likes Chinese food| [person:judy f 0-0][person:alan m 6-6]
jordan| Perfect There is that awesome Chinese food place right off the exit from the airport Quick service too Do you think that will be good| [location:place s 7-7][person:carl m 19-19]
carl| Sounds perfect Thanks again Jordan| [person:jordan m 4-4]
jordan| No problem Let me know if there is anything else you need help with| [person:carl m 3-3][person:carl m 10-10]

conv:people_2019080802_92:aug_0:chat_0:chataug_0| amanda debra| [person:amanda f 0-0][person:debra f 1-1]
amanda| Good morning Debra| [person:debra f 2-2]
debra| Hi Amanda| [person:amanda f 1-1]
amanda| I was talking to my brother the other day and he s interested in the same make and model car that you have How do you like it| [person:amanda f 0-0][person:amanda f 4-4][person:brother m 5-5][person:brother m 10-10][person:debra f 21-21][person:debra f 25-25]
debra| It s a nice car with decent gas mileage I ve had to put some money into it for repairs this year though| [person:debra f 9-9]
debra| Overall I would recommend that he get the same car model| [person:debra f 1-1][person:brother m 5-5]
amanda| How did you hear about that make and model| [person:debra f 2-2]
debra| My friend Richard recommended this car He s a car fanatic and thought it would be a good car for me| [person:debra f 0-0][person:richard m 1-1][person:richard m 2-2][person:richard m 6-6][person:debra f 20-20]
amanda| I m sure my brother david would love to chat with him about it Would you mind sharing his contact information| [person:amanda f 0-0][person:amanda f 3-3][person:david m 4-4][person:david m 5-5][person:david m 11-11][person:debra f 15-15][person:richard m 18-18]
debra| Sure Richard s phone number is 1234561897 I m sure that he would be more than happy to help your brother| [person:richard m 1-1][person:debra f 7-7][person:richard m 11-11][person:amanda f 19-19][person:david m 20-20]

conv:people_2019080802_93:aug_0:chat_0:chataug_0| daniel stephen| [person:daniel m 0-0][person:stephen m 1-1]
daniel| Hey Stephen I m really looking forward to our BBQ| [person:stephen m 1-1][person:daniel m 2-2][person:our g(daniel:stephen) 8-8]
stephen| me too| [person:stephen m 0-0]
stephen| sounds soo good|
stephen| who will be there|
stephen| Jonathan larry and henry Ths usuals| [person:jonathan m 0-0][person:larry m 1-1][person:henry m 3-3]
daniel| Yes|
stephen| nice|
stephen| what should i bring| [person:stephen m 2-2]
daniel| I think that we should just keep it easy and do hamburgers and hot dogs| [person:daniel m 0-0][person:our g(daniel:stephen:jonathan:larry:henry) 3-3]
daniel| All of us like those| [person:our g(daniel:stephen:jonathan:larry:henry) 2-2]
stephen| that works for me| [person:stephen m 3-3]
stephen| ill bring the hot dogs|
stephen| see you there| [person:daniel m 1-1]
daniel| Bye Stephen| [person:stephen m 1-1]
stephen| bye daniel| [person:daniel m 1-1]

conv:people_2019080802_94:aug_0:chat_0:chataug_0| gary nicholas| [person:gary m 0-0][person:nicholas m 1-1]
gary| Hey Nicholas what s up I m looking forward to lunch with Carol and Brian| [person:nicholas m 1-1][person:gary m 5-5][person:carol f 12-12][person:brian m 14-14]
gary| Do you know what kind of food they like or where we should go to lunch| [person:nicholas m 1-1][person:they g(carol:brian) 7-7][person:we g(gary:nicholas:carol:brian) 11-11]
nicholas| They like chinese| [person:they g(carol:brian) 0-0]
nicholas| Do you| [person:gary m 1-1]
gary| It s okay Do you think they would be willing to get Thai| [person:nicholas m 4-4][person:they g(carol:brian) 6-6]
nicholas| I do they enjoy a diverse range of Asian foods| [person:nicholas m 0-0][person:they g(carol:brian) 2-2]
