conv:people_2019090101_86:aug_0:chat_0:chataug_0| kevin noah| [person:kevin m 0-0][person:noah m 1-1]
nicholas| Oh wait my friend Patrick is in town next week Maybe we could have him come too He d like Rodger| [person:nicholas m 2-2][person:patrick m 3-3][person:patrick m 4-4][person:we g(natalie:nicholas) 11-11][person:patrick m 14-14][person:patrick m 17-17][person:rodger m 20-20]
natalie| I don t have a problem with it if you think he d be comfortable around two strangers| [person:natalie f 0-0][person:nicholas m 9-9][person:nicholas m 11-11]
nicholas| He doesn t know anyone here It d be great for him to meet you both I think you d both like him too| [person:rodger m 0-0][person:anyone u 4-4][person:rodger m 11-11][person:natalie f 14-14][person:nicholas m 16-16][person:natalie f 18-18][person:rodger m 22-22]
natalie| Then sure ask him along We can to seafood downtown and go to the big cineplex| [person:nicholas m 3-3][person:we g(natalie:nicholas) 5-5]
nicholas| What movie s playing|
natalie| I have no idea I don t really care what we see Action or scifi would be cool| [person:natalie f 0-0][person:natalie f 4-4][person:we g(natalie:nicholas) 10-10]
nicholas| I know I speak for Rodger Patrick and myself when I say anything but a chick flick| [person:nicholas m 0-0][person:nicholas m 2-2][person:rodger m 5-5][person:patrick m 6-6][person:nicholas m 8-8][person:nicholas m 10-10]
natalie| Don t be such a guy youre all lucky I like action movies Let s call the guys and set a time I ll call after I talk to Rodger Five o clock for dinner ok| [person:anyone u 6-6][person:natalie f 9-9][person:natalie f 22-22][person:natalie f 26-26][person:rodger m 29-29]
nicholas| Yeah then whatever s playing Talk to you later| [person:natalie f 7-7]

conv:people_2019090101_88:aug_0:chat_0:chataug_0| eric mark| [person:eric m 0-0][person:mark m 1-1]
eric| Okay so superbowl plans Where should we go It will be packed so we should book| [person:eric m 6-6][location:rebecca_s s 8-8][person:eric m 13-13]
mark| What about Rebecca s Sport Grill on Westin You like their burgers| [person:rebecca f 2-2][person:mark m 8-8][person:their g(eric:mark:rebecca) 10-10]
eric| Yeah I do mmmmm burgers Okay what do you think about Mario s Sports Bar| [person:eric m 1-1][person:mark m 8-8][location:sports_bar s 13-14]
mark| Yeah it good but they don t have many vegetarian options for Eugene He might want to eat more than fries| [location:sports_bar s 1-1][person:they g() 4-4][person:eugene m 12-12][person:mark m 13-13]
eric| You are right Rebecca s sounds good Is that near Clyde s house| [person:mark m 0-0][person:rebecca f 3-3][person:clyde m 10-10]
mark| Yes he lives close to there He said we could go to his house after the game for drinks| [person:mark m 1-1][location:rebecca_s s 5-5][person:mark m 6-6][person:we g(rebecca:eugene:clyde) 8-8][person:mark m 12-12]
eric| okay great I ll text eugene and let him know we have decided on Rebecca s| [person:eric m 2-2][person:eugene m 5-5][person:eric m 8-8][person:we g(rebecca:eugene:clyde) 10-10][person:rebecca f 14-14]
mark| I ll text Clyde and let him know as well Will you be driving| [person:mark m 0-0][person:clyde m 3-3][person:mark m 6-6][person:mark m 11-11]
eric| I will probably get a lyft Do you want me to swing past and get you on the way| [person:eric m 0-0][person:mark m 7-7][person:eric m 9-9][person:mark m 15-15]
mark| That would be great See you Saturday| [person:eric m 5-5]

conv:people_2019090101_89:aug_0:chat_0:chataug_0| melinda victoria| [person:melinda f 0-0][person:victoria f 1-1]
victoria| Hey Melinda You want to meet tomorrow morning at the courts| [person:melinda f 1-1][person:melinda f 2-2][location:the_courts s 9-10][location:courts s 10-10]
melinda| Will Marie and Abigail be there| [person:marie f 1-1][person:abigail f 3-3][location:courts s 5-5]
victoria| Oh definitely Do you want to meet us at 10 or so| [person:melinda f 3-3][location:courts s 7-7]
melinda| That sounds good Dorothy wanted to come too You think that would be okay| [person:dorothy f 3-3][person:victoria f 8-8]
victoria| Definitely Marie said she really liked meeting her at that luncheon| [person:marie f 1-1][person:marie f 3-3][person:marie f 7-7][location:luncheon s 10-10]
melinda| You know she hasn t been playing too long| [person:victoria f 0-0][person:marie f 2-2]
victoria| That doesn t matter Remember Abigail hadn t played in years She s just getting back in shape| [person:abigail f 5-5][person:abigail f 11-11]
melinda| Okay If you don t think Marie or Abigail won t mind| [person:victoria f 2-2][person:marie f 6-6][person:abigail f 8-8]
victoria| I m absolutely positive| [person:victoria f 0-0]
melinda| Great So you said 10 o clock at the court| [person:victoria f 2-2][location:the_court s 8-9]
victoria| Yep And if you guys want to get there a few minutes early and warm up maybe that would help Dorothy| [person:victoria f 3-3][location:courts s 8-8][person:dorothy f 20-20]
melinda| That sounds like a plan|
victoria| We ll have lunch afterwards at that new place| [person:we g(victoria:melinda) 0-0][location:place s 3-3][location:place s 8-8]
melinda| That ll be fun I ve been wanting to try it We ll see you guys tomorrow morning| [person:melinda f 4-4][location:place s 10-10][person:we g(victoria:melinda) 11-11][person:victoria f 14-14]
victoria| See you then Bye| [person:melinda f 1-1]
melinda| Bye|

conv:people_2019090101_90:aug_0:chat_0:chataug_0| darren kyle| [person:darren m 0-0][person:kyle m 1-1]
kyle| i think we should get something to eat before the event| [person:kyle m 0-0][person:we g(kyle:darren) 2-2]
darren| Joshua and Justin are already on their way to the venue| [person:joshua m 0-0][person:justin m 2-2][person:their g(joshua:justin) 6-6]
darren| what should we get to eat then| [person:we g(kyle:darren) 2-2]
kyle| whatever s closest to the venue then|
darren| there s a pizza place nearby we can go there| [location:place s 0-0][location:place s 4-4][person:we g(kyle:darren) 6-6][location:place s 9-9]
kyle| so who s going to pick me up| [person:kyle m 6-6]
darren| i ll text Joshua and Justin| [person:darren m 0-0][person:joshua m 3-3][person:justin m 5-5]
darren| Joshua can t do it| [person:joshua m 0-0]
darren| Justin says he ll come get you| [person:justin m 0-0][person:justin m 2-2][person:kyle m 6-6]
kyle| alright cool thanks|
darren| i ll see you at the pizza place then| [person:darren m 0-0][person:kyle m 3-3][location:place s 7-7]
kyle| yes i ll see you there| [person:kyle m 1-1][person:darren m 4-4][location:place s 5-5]

conv:people_2019090101_91:aug_0:chat_0:chataug_0| joan martha| [person:joan f 0-0][person:martha f 1-1]
joan| Martha Do you remember our planned meeting with our friends Caroline and Samantha| [person:joan f 0-0][person:martha f 2-2][person:joan f 4-4][person:martha f 8-8][person:martha f 9-9][person:joan f 10-10][person:joan f 12-12]
martha| Yes Joan I know I am thinking of the place where we go to meet| [person:martha f 1-1][person:martha f 2-2][person:martha f 4-4][location:place s 9-9][person:martha f 11-11]
joan| Have you invited them for the meeting| [person:martha f 1-1][person:joan f 3-3]
martha| No still not If we call them we have to inform the place to them so that I am thinking about the place first| [person:martha f 4-4][person:martha f 6-6][person:joan f 7-7][location:place s 12-12][person:martha f 14-14][person:martha f 17-17][location:place s 22-22]
joan| Oh Yeah We should decide a place which is convenient for everyone| [person:joan f 2-2][location:place s 6-6][person:martha f 11-11]
martha| Also we have to think about what are liked by everyone| [person:martha f 1-1][person:joan f 10-10]
joan| Yes What about your opinion on asking the same with the friends itself| [person:martha f 3-3][person:joan f 11-11]
martha| That is not a good idea as they may think not to disturb us much so they will not perfectly answer us| [person:martha f 7-7][person:joan f 13-13][person:joan f 16-16][person:joan f 21-21]
joan| Oh that may possible Okay We will discuss and decide ourselves and inform them| [person:martha f 5-5][person:martha f 13-13]
martha| Okay nice I suggest some places and you choose the best one| [person:martha f 2-2][location:places g() 5-5][person:joan f 7-7]
joan| Okay done|

conv:people_2019090101_92:aug_0:chat_0:chataug_0| betty lori| [person:betty f 0-0][person:lori f 1-1]
betty| I am so excited for spring break are you| [person:betty f 0-0][person:lori f 8-8]
lori| Yes I am i was thinking we should invite Ashley Abigail and Carolyn as well| [person:lori f 1-1][person:lori f 3-3][person:we g(betty:lori) 6-6][person:ashley f 9-9][person:abigail f 10-10][person:carolyn f 12-12]
betty| That s a great idea Where should we all go| [person:we2 g(betty:lori:ashley:abigail:carolyn) 7-7]
lori| The beach would be nice i know Abigail loves swimming| [person:lori f 5-5][person:abigail f 7-7]
betty| Okay we could also go skiing Carolyn has been wanting to teach all of us how for ages| [person:we2 g(betty:lori:ashley:abigail:carolyn) 1-1][person:carolyn f 6-6][person:us g(betty:lori:ashley:abigail) 14-14]
lori| Maybe you could look up ski lodges that have pools as well| [person:betty f 1-1]
betty| Okay Can you text Ashley and see if she is free| [person:lori f 2-2][person:ashley f 4-4][person:ashley f 8-8]
lori| Yes I ll text her Can you text Abigail and Caolyn and see if they are free| [person:lori f 1-1][person:ashley f 4-4][person:betty f 6-6][person:abigail f 8-8][person:they g(abigail:carolyn) 14-14]
betty| Yep and I will let you know what they say| [person:betty f 2-2][person:lori f 5-5][person:they g(abigail:carolyn) 8-8]
lori| Perhaps Mountain Vista would be good They have big villas we could all share| [location:mountain_vista s 1-1][person:we2 g(betty:lori:ashley:abigail:carolyn) 10-10]

conv:people_2019090101_94:aug_0:chat_0:chataug_0| charles madison| [person:charles m 0-0][person:madison f 1-1]
madison| Hi Charles are you free now| [person:charles m 1-1][person:charles m 3-3]
charles| Yes dear I am free now Anything important| [person:charles m 2-2]
madison| Yes Charles It is about get together with our friends| [person:charles m 1-1][location:get_together s 2-2][location:get_together s 5-6][person:our g(madison:charles) 8-8][person:friends g() 9-9]
charles| Oh Good As we discussed earlier we already invited our friends Beverly and April What is up| [person:we g(madison:charles) 3-3][person:we g(madison:charles) 6-6][person:our g(madison:charles) 9-9][person:friends g() 10-10][person:beverly f 11-11][person:april f 13-13]
madison| yes You are right It will be on coming Sunday We need to make arrangements to make that event a memorable one| [person:charles m 1-1][location:get_together s 4-4][person:we g(madison:charles) 10-10][location:get_together s 18-18]
charles| Yes dear It must be a ever memorable one What shall we do for that| [location:get_together s 2-2][person:we g(madison:charles) 11-11]
madison| Shall we conduct some games on that day| [person:we g(madison:charles) 1-1]
charles| It is really interesting Shall we have role play and singing event on that day| [person:we g(madison:charles) 5-5]
madison| Yes It will be a nice one Shall we purchase some snacks like potato chips cool drinks and pizza| [person:we g(madison:charles) 8-8]
charles| Wow All are my favorite snacks items Yes We shall purchase all those things| [person:charles m 3-3][person:we g(madison:charles) 8-8]
madison| I will purchase all those things I will call you later Bye| [person:madison f 0-0][person:madison f 6-6][person:charles m 9-9]

conv:people_2019090101_95:aug_0:chat_0:chataug_0| dan rebecca| [person:dan m 0-0][person:rebecca f 1-1]
dan| I made a mistake I need your help Rebecca| [person:dan m 0-0][person:dan m 4-4][person:rebecca f 6-6][person:rebecca f 8-8]
rebecca| Oh no What happened Is everything okay|
dan| Work got super busy I can not pick up Lisa from Soccer practice Is there anyway you can for me| [person:dan m 4-4][person:lisa f 9-9][person:rebecca f 16-16][person:dan m 19-19]
rebecca| Well I was supposed to pick up drinks and chips for us Gloria Joseph and their kid| [person:rebecca f 1-1][person:us g(dan:rebecca) 11-11][person:gloria f 12-12][person:joseph m 13-13][person:their g(gloria:joseph) 15-15]
dan| Oh I completely forgot about that I don t know what to do| [person:dan m 1-1][person:dan m 6-6]
rebecca| How about I pick up Lisa and you get the snacks instead| [person:rebecca f 2-2][person:lisa f 5-5][person:dan m 7-7]
dan| Great idea What kind of drinks and chips do they like| [person:their g(gloria:joseph) 9-9]
rebecca| I know they love cola As far as chips just get a variety pack so they could choose what they want| [person:rebecca f 0-0][person:their g(gloria:joseph) 2-2][person:their g(gloria:joseph) 15-15][person:their g(gloria:joseph) 19-19]
dan| Another stellar idea Thank you so much I ll pick up the snacks on the way home I ll see you later| [person:rebecca f 4-4][person:dan m 7-7][location:home s 16-16][person:dan m 17-17][person:rebecca f 20-20]
rebecca| And I ll pick up Lisa as soon as I m off Talk to you soon| [person:rebecca f 1-1][person:lisa f 5-5][person:rebecca f 9-9][person:dan m 14-14]

conv:people_2019090101_96:aug_0:chat_0:chataug_0| donald ellen| [person:donald m 0-0][person:ellen f 1-1]
ellen| You know that Sophia and Nicole are coming to visit us next week| [person:donald m 0-0][person:sophia f 3-3][person:nicole f 5-5][person:us g(ellen:donald) 10-10]
donald| How can I forget You keep reminded me every two minutes| [person:donald m 2-2][person:ellen f 4-4][person:donald m 7-7]
ellen| I am sorry It is just that I am so anxious for everything to go well| [person:ellen f 0-0][person:ellen f 7-7]
donald| Stop worrying so much It is not as if they would be visiting for the first time| [person:they g(sophia:nicole) 9-9]
ellen| I didn t think that they had a good time when they were here last year| [person:ellen f 0-0][person:they g(sophia:nicole) 5-5][person:they g(sophia:nicole) 11-11]
donald| It was not your fault that they ate bad Chinese food| [person:ellen f 3-3][person:they g(sophia:nicole) 6-6]
ellen| Well I want them to have a great time when they come next week What you think we should do| [person:ellen f 1-1][person:they g(sophia:nicole) 3-3][person:they g(sophia:nicole) 10-10][person:donald m 15-15][person:us g(ellen:donald) 17-17]
donald| We can take them to see a movie| [person:us g(ellen:donald) 0-0][person:they g(sophia:nicole) 3-3]
ellen| Yes and then to a restaurant after| [location:restaurant s 5-5]
donald| Are you trying to be funny| [person:ellen f 1-1]
ellen| No really I can t wait to try out the new Italian restaurant by the corner| [person:ellen f 2-2][location:restaurant s 12-12]
donald| Ok but if the food is bad don t blame me| [person:donald m 10-10]
ellen| Now who is the person doing all the worrying now|

conv:people_2019090101_98:aug_0:chat_0:chataug_0| bob phillip| [person:bob m 0-0][person:phillip m 1-1]
bob| You up for drinks this Friday| [person:phillip m 0-0]
phillip| I am in i was thinking we could invite some other to join us| [person:phillip m 0-0][person:phillip m 3-3][person:we g(bob:phillip) 6-6][person:us g() 13-13]
bob| Well we could try Chris Eric Ryan and Eugene see if they are free| [person:we g(bob:phillip) 1-1][person:chris m 4-4][person:eric m 5-5][person:ryan m 6-6][person:eugene m 8-8][person:they g(chris:eric:ryan:eugene) 11-11]
phillip| I think Chris is out of town so he is a no| [person:phillip m 0-0][person:chris m 2-2][location:town s 6-6][person:chris m 8-8]
bob| Okay so i can reach out to Eric Ryan and Eugene Where should we all go| [person:bob m 2-2][person:eric m 7-7][person:ryan m 8-8][person:eugene m 10-10][person:we g(bob:phillip) 13-13]
phillip| Eugene was talking about a new whiskey bar near his work| [person:eugene m 0-0][location:bar s 7-7][person:eugene m 9-9]
bob| Okay I will text him and ask about it Do you think Eric and Ryan will go for that They are usually sports bar kind of people| [person:bob m 1-1][person:eugene m 4-4][person:phillip m 10-10][person:eric m 12-12][person:ryan m 14-14][person:they g(chris:eric:ryan:eugene) 19-19]
phillip| Yeah they will enjoy it I will text them and let them know| [person:they g(chris:eric:ryan:eugene) 1-1][person:phillip m 5-5][person:them g(chris:eric:ryan:eugene) 8-8][person:them g(chris:eric:ryan:eugene) 11-11]
bob| Eugene says he can book us all in for friday| [person:eugene m 0-0][person:eugene m 2-2][person:us g(chris:eric:ryan:eugene) 5-5]
phillip| Great look forward to seeing you then| [person:bob m 5-5]

conv:people_2019090101_99:aug_0:chat_0:chataug_0| dan stephen| [person:dan m 0-0][person:stephen m 1-1]
dan| Ayo Stevo|
stephen| Danny my boy what s goin on| [person:stephen m 1-1]
dan| Oh you know the same stuff at work just downstairs from you LOL Hey listen I have been dying for some Korean catfish and it just so happens a new Korean place just opened up near here You wanna catch lunch say next Friday or Saturday| [person:stephen m 1-1][location:work s 7-7][location:downstairs s 9-9][person:stephen m 11-11][person:dan m 15-15][location:new_korean_place s 29-31][location:here s 36-36][person:stephen m 37-37]
stephen| Sure Have you asked Kathryn and Bruce about coming out| [person:dan m 2-2][person:kathryn f 4-4][person:bruce m 6-6]
dan| It didn t occur to me They re always busy handling the foreign account details so I never know when they re gonna catch a break| [person:dan m 5-5][person:they g(kathryn:bruce) 6-6][person:dan m 16-16][person:they g(kathryn:bruce) 20-20]
stephen| I talked to Bruce and he said they were taking vacation time next week anyway so why not| [person:stephen m 0-0][person:bruce m 3-3][person:bruce m 5-5][person:they g(kathryn:bruce) 7-7]
dan| Oh nice I m not good with the app though| [person:dan m 2-2]
stephen| You want me to make the reservations| [person:dan m 0-0][person:stephen m 2-2]
dan| That would be awesome Thanks|
stephen| Okay then I ll set us up for Four PM on Saturday Sound good| [person:stephen m 2-2][person:us g(dan:stephen:kathryn:bruce) 5-5]
dan| Perfect See ya then|

conv:people_2019090101_101:aug_0:chat_0:chataug_0| kayla mary| [person:kayla f 0-0][person:mary f 1-1]
mary| Hey my uncle and aunt James and Jean are visiting Los Angeles| [person:mary f 1-1][person:jean f 4-4][person:james m 5-5][person:jean f 7-7][location:los_angeles s 10-11]
kayla| Wow thata great news|
mary| We should take them visit somwhere| [person:we g(mary:kayla) 0-0][person:aunt_uncle g(james:jean) 3-3]
kayla| Do you know their likes| [person:mary f 1-1][person:aunt_uncle g(james:jean) 3-3]
mary| They like museums and libraries| [person:aunt_uncle g(james:jean) 0-0][location:museums g() 2-2]
kayla| Great we can take them to there| [person:we g(mary:kayla) 1-1][person:aunt_uncle g(james:jean) 4-4][location:museums g() 6-6]
mary| How about their food likes| [person:aunt_uncle g(james:jean) 2-2]
kayla| They all are very fond of non vegetarian foods| [person:aunt_uncle g(james:jean) 0-0]
mary| Yes right Kate you said it| [person:kayla f 2-2][person:kayla f 3-3]
kayla| Will meet them for breakfast if it works for them| [person:aunt_uncle g(james:jean) 2-2][person:aunt_uncle g(james:jean) 9-9]
mary| That s even better definitely we can do that| [person:we g(mary:kayla) 5-5]
kayla| Well will take them to these places as well| [person:aunt_uncle g(james:jean) 3-3][location:places g() 6-6]

conv:people_2019090101_102:aug_0:chat_0:chataug_0| jon rose| [person:jon m 0-0][person:rose f 1-1]
jon| Hey Rose Do you have recommendations for beach vacations| [person:rose f 1-1][person:rose f 3-3]
rose| I ve been on a few with Stephen and Diane| [person:rose f 0-0][person:stephen m 7-7][person:diane f 9-9]
jon| Oh really How were the vacations|
rose| Well I really liked it when we went to Clearwater| [person:rose f 1-1][person:we g(rose:stephen:diane) 6-6]
jon| Any negatives|
rose| The water was beautiful but I would say the beach was crowded and hard to get around| [person:rose f 5-5]
jon| That s interesting you know of any smaller beaches| [person:rose f 3-3]
rose| New Smyrna Beach is usually less crowded and the food options around are marvelous| [location:new_smyrna_beach s 0-2]
jon| Ok I will look into that one thank you| [person:jon m 1-1][person:rose f 8-8]
rose| Of course You can also ask Stephen and Diane for advice| [person:jon m 2-2][person:stephen m 6-6][person:diane f 8-8]
jon| Ok will do nice talking to you bye| [person:rose f 6-6]

conv:people_2019090101_103:aug_0:chat_0:chataug_0| christopher evan| [person:christopher m 0-0][person:evan m 1-1]
christopher| You should join us it would be fun| [person:evan m 0-0][person:christopher_and_evan g(christopher:evan) 3-3]
evan| I am not very sure I know dont much about Wilson and Derrick| [person:evan m 0-0][person:evan m 5-5][person:wilson m 10-10][person:derrick m 12-12]
christopher| Wilson and Derrick are real fun guys you would love them| [person:wilson m 0-0][person:derrick m 2-2][person:evan m 7-7][person:wilson_and_derrick g(wilson:derrick) 10-10]
evan| ok but still|
christopher| You will get along quite soon| [person:evan__wilson_and_derrick g(evan:wilson:derrick) 0-0]
christopher| How about we meet up once for dinner before the trip| [person:everyone g(christopher:evan:wilson:derrick) 2-2]
evan| thats a good idea|
christopher| ok let meet for tomorrows dinner|
evan| sure i am ok with that| [person:evan m 1-1]
christopher| i will message Wilson and Derrick for tomorrow s dinner and will let them know you will be joining us| [person:christopher m 0-0][person:wilson m 3-3][person:derrick m 5-5][person:wilson_and_derrick g(wilson:derrick) 13-13][person:evan m 15-15][person:christopher__wilson_and_derrick g(christopher:wilson:derrick) 19-19]
evan| yes great|
christopher| see you tomorrow| [person:evan m 1-1]
evan| sure|
evan| bye|
christopher| bye|
christopher| i will message you the details| [person:christopher m 0-0][person:evan m 3-3]

conv:people_2019090101_104:aug_0:chat_0:chataug_0| lucy noah| [person:lucy f 0-0][person:noah m 1-1]
noah| Lucy I m super excited to go to the picnic later with Cathy Alan Kate and Paul| [person:lucy f 0-0][person:noah m 1-1][location:picnic s 9-9][person:cathy f 12-12][person:alan m 13-13][person:kate f 14-14][person:paul m 16-16]
lucy| Same here Noah I m actually thinking of what we should all bring| [location:here s 1-1][person:noah m 2-2][person:noah m 3-3][person:we g(noah:lucy) 9-9]
noah| Well I talked to Cathy and Alan and they said that they re bringing drinks| [person:noah m 1-1][person:cathy f 4-4][person:alan m 6-6][person:they g(cathy:alan) 8-8][person:they g(cathy:alan) 11-11]
lucy| What about Kate and Paul| [person:kate f 2-2][person:paul m 4-4]
noah| They said that they re gonna be bringing the tables and chairs| [person:they g(kate:paul) 0-0][person:they g(kate:paul) 3-3]
lucy| I guess that leaves food and entertainment right| [person:lucy f 0-0]
noah| Yeah I was thinking we could split that What do you think| [person:noah m 1-1][person:we g(noah:lucy) 4-4][person:lucy f 10-10]
lucy| Yeah sure I have a lot of games that I could bring like Twister So I ll bring that| [person:lucy f 2-2][person:lucy f 9-9][person:lucy f 15-15]
noah| Great and I ll bring the food since I love to shop for food anyways I guess that completes it See you later| [person:noah m 2-2][person:noah m 8-8][person:noah m 15-15][location:it s 19-19][person:lucy f 21-21]
lucy| Yes see you soon it s going to be a super fun picnic| [person:noah m 2-2][location:it s 4-4]

conv:people_2019090101_106:aug_0:chat_0:chataug_0| amanda janice| [person:amanda f 0-0][person:janice f 1-1]
amanda| Hey Janice what s up| [person:janice f 1-1]
janice| Nothing much Amanda how are you| [person:amanda f 2-2][person:amanda f 5-5]
amanda| Good I m visiting St Louis with my friends Caroline and Ann| [person:amanda f 1-1][location:st__louis s 4-5][person:amanda f 7-7][person:friends g() 8-8][person:caroline f 9-9][person:ann f 11-11]
janice| Oh great I m from Los Angeles That s not too far| [person:janice f 2-2][location:los_angeles s 5-6]
amanda| We were looking for some things to do| [person:we g(amanda:caroline:ann) 0-0]
janice| Okay what are you Caroline and Ann interested in| [person:amanda f 3-3][person:caroline f 4-4][person:ann f 6-6]
amanda| We like shopping beaches and Spa s a lot Do you have any recommendations| [person:we g(amanda:caroline:ann) 0-0][person:janice f 10-10]
janice| Well you should definitely check out the mall I think you guys would really like it It s one of the best in the state| [person:amanda f 1-1][location:mall s 7-7][person:janice f 8-8][person:we g(amanda:caroline:ann) 10-10][location:it s 15-15][location:state s 24-24]
amanda| That sounds awesome thanks I will definitely check it out| [person:amanda f 4-4][location:it s 8-8]
janice| No worries Let me know if you guys need anything else| [person:janice f 3-3][person:we g(amanda:caroline:ann) 6-6]

conv:people_2019090101_107:aug_0:chat_0:chataug_0| robert shawn| [person:robert m 0-0][person:shawn m 1-1]
robert| I think we should be all set for hiking trip this summer barring any last minute decisions| [person:robert m 0-0][person:we g(robert:shawn) 2-2]
shawn| That s great to hear hope it all goes well for you on the trip| [person:shawn m 11-11]
robert| Thanks but me and the guys were thinking if you d like to join us on this hike| [person:robert m 2-2][person:shawn m 9-9][person:we g(robert:shawn) 14-14]
shawn| Me Well I would like to but I really don t know Joe and Jerry that well| [person:shawn m 0-0][person:shawn m 2-2][person:shawn m 7-7][person:joe m 12-12][person:jerry m 14-14]
robert| It won t be that much of a problem there both really friendly They even share some of your interests and hobbies such as colllecting model planes and figurines| [person:they g(joe:jerry) 13-13][person:shawn m 18-18]
shawn| I wouldn t have imagined that I guess it shouldn t be a problem if I tagged along| [person:shawn m 0-0][person:shawn m 6-6][person:shawn m 15-15]
robert| I don t think they would mind it too much if you tagged along it would probably go better than if you didn t come with us on this hike| [person:robert m 0-0][person:they g(joe:jerry) 4-4][person:shawn m 11-11][person:shawn m 21-21][person:us g(robert:joe:jerry) 26-26]
shawn| You really think so In that case I be glad to join you guys on this hike| [person:shawn m 0-0][person:shawn m 7-7][person:robert m 12-12]
robert| Great to hear just make sure to have some comfortable clothes on some hiking shoes or shoes with good support and a water bottle|
shawn| I should have everything you mentioned ready for the trip is there anything else that I need| [person:shawn m 0-0][person:robert m 4-4][person:shawn m 15-15]
robert| Probably not the rest of us have spare items we can share with you if necessary We ll call you later to discuss more about the trip| [person:us g(robert:joe:jerry) 5-5][person:us g(robert:joe:jerry) 9-9][person:shawn m 13-13][person:us g(robert:joe:jerry) 16-16][person:shawn m 19-19]
shawn| Okay I ll make sure to be ready to answer the phone when you call| [person:shawn m 1-1][person:robert m 13-13]

conv:people_2019090101_110:aug_0:chat_0:chataug_0| ben joshua| [person:ben m 0-0][person:joshua m 1-1]
ben| Joshua we have to go to Parker s have you forgotten| [person:joshua m 0-0][person:we g(ben:joshua) 1-1][person:parker u 6-6][person:joshua m 9-9]
joshua| No dear I remember| [person:joshua m 2-2]
ben| We should buy something for Parkers| [person:we g(ben:joshua) 0-0][location:parker_s s 5-5]
joshua| What do you think Is there any particular thing Parker like| [person:ben m 2-2][person:parker u 9-9]
ben| I dont know dear I think we can ask Eddie he knows about it| [person:ben m 0-0][person:ben m 4-4][person:we g(ben:joshua) 6-6][person:eddie m 9-9][person:eddie m 10-10]
joshua| Thats a good idea he knows Parkers tastes| [person:eddie m 4-4][person:parkers g(parker) 6-6]
ben| What about some doughnuts|
joshua| That will be a good choice|
ben| Some pastries and burgers will also will work|
joshua| Fine we can buy these after consulting with Eddie| [person:we g(ben:joshua) 1-1][person:eddie m 8-8]
ben| Fine we can call Eddie now and arrive at a decision| [person:we g(ben:joshua) 1-1][person:eddie m 4-4]

conv:people_2019090101_111:aug_0:chat_0:chataug_0| leslie tara| [person:leslie f 0-0][person:tara f 1-1]
tara| Leslie My friend Ashley is coming in to town and I was supposed to meet her but I can t can you help me out| [person:leslie f 0-0][person:tara f 1-1][person:ashley f 2-2][person:ashley f 3-3][person:tara f 10-10][person:ashley f 15-15][person:tara f 17-17][person:leslie f 21-21]
leslie| A work conflict I presume I m not sure what time| [person:leslie f 3-3][person:leslie f 5-5]
tara| She comes it at 1 pm on Tuesday| [person:ashley f 0-0]
leslie| Oh I have a meeting with my business partner Roy I can t| [person:leslie f 1-1][person:leslie f 6-6][person:roy m 9-9][person:leslie f 10-10]
tara| Can you try to reschedule Is it super important| [person:leslie f 1-1][location:it g() 6-6]
leslie| I guess I could try let me ask him| [person:leslie f 0-0][person:leslie f 2-2][person:leslie f 6-6][person:roy m 8-8]
tara| Thanks so much Leslie you re my best friend| [person:leslie f 3-3][person:leslie f 4-4][person:tara f 6-6][person:leslie f 8-8]
