conv:people_chats_0629_362:aug_0:chat_0:chataug_0| hollie joe| [person:hollie f 0-0][person:joe m 1-1]
kelsie| Hi How are you| [person:dillon m 3-3]
dillon| I am well how are you| [person:dillon m 0-0][person:kelsie f 5-5]
kelsie| I have a long weekend Let s go out Kianna will be away at camp| [person:kelsie f 0-0][person:kianna f 9-9]
dillon| Perfect idea I will call my friend to see if he can take care of the pup I need a break from this busy week| [person:dillon m 2-2][person:dillon m 5-5][person:friend m 6-6][person:friend m 10-10][person:dillon m 17-17]
kelsie| That s perfect Where should we stay Hotel Or Camping| [person:we g(kelsie:dillon) 5-5][location:hotel s 7-7]
dillon| Not sure What are your thoughts| [person:kelsie f 4-4]
kelsie| We can stay at a hotel and visit museums or go camping to have a little alone time| [person:we g(kelsie:dillon) 0-0][location:hotel s 5-5][location:museums g() 8-8]
dillon| Let s go camping I would rather stay away from people due to the pandemic| [person:dillon m 4-4]
kelsie| Sounds perfect I will call the camp site| [person:kelsie f 2-2]
dillon| Sounds great Can t wait|
kelsie| Me too| [person:kelsie f 0-0]

conv:people_chats_0629_367:aug_0:chat_0:chataug_0| rosa shanann| [person:rosa f 0-0][person:shanann m 1-1]
shanann| Are you still thinking about getting a puppy for Gavin| [person:rosa f 1-1][person:gavin m 9-9]
rosa| Yes does Leslie still want a puppy too| [person:leslie f 2-2]
shanann| Yeah these kids are getting desperate| [person:kids g(gavin:leslie) 2-2]
rosa| I know They both have been asking for once since at least Christmas| [person:rosa f 0-0][person:kids g(gavin:leslie) 2-2][person:kids g(gavin:leslie) 3-3]
rosa| Are you getting one for Leslie| [person:shanann m 1-1][person:leslie f 5-5]
shanann| Yeah I was trying to think of a way to surprise her| [person:shanann m 1-1][person:leslie f 11-11]
rosa| I m getting one for Gavin too Maybe we should get them puppies for Easter maybe even put them in Easter baskets| [person:rosa f 0-0][person:gavin m 5-5][person:we g(shanann:rosa) 8-8][person:kids g(gavin:leslie) 11-11]
shanann| That would be super cute They kept saying they wanted to pick them out though What can we do about that| [person:kids g(gavin:leslie) 5-5][person:kids g(gavin:leslie) 8-8][person:we g(shanann:rosa) 17-17]
rosa| I don t know what do you think| [person:rosa f 0-0][person:shanann m 6-6]
shanann| I don t think they would mind us picking them out| [person:shanann m 0-0][person:kids g(gavin:leslie) 4-4][person:we g(shanann:rosa) 7-7]
rosa| Yeah me either I think they would be happy with any puppy at this point| [person:rosa f 1-1][person:rosa f 3-3][person:kids g(gavin:leslie) 5-5]
shanann| Yeah Let s get the puppies and plan for Easter baskets then|

conv:people_chats_0629_368:aug_0:chat_0:chataug_0| fernando juliana| [person:fernando m 0-0][person:juliana f 1-1]
juliana| Hey Fernando| [person:fernando m 1-1]
fernando| Juliana whatsup| [person:juliana f 0-0]
juliana| Do you have any important meetings after this weekend meaning can we use this long weekend to go somewhere| [person:fernando m 1-1][person:we g(juliana:fernando) 11-11]
fernando| no meeting just couple phone calls We can plan something what do you think about| [person:we g(juliana:fernando) 6-6][person:juliana f 12-12]
juliana| camping or something similar or just getaway|
fernando| hmm not sure about getaway but camp sounds ok|
juliana| great I can check some routes and call some camping places| [person:juliana f 1-1][location:places g() 10-10]
juliana| btw Kianna is at camp near my parents house so they can make sure she is ok there| [person:kianna f 1-1][person:juliana f 6-6][person:parents g() 7-7][location:house s 8-8][person:parents g(juliana) 10-10][person:kianna f 14-14][location:places g() 17-17]
fernando| That s true good thing the camp is near thier house Ok what about our dog Do you have someone in mind| [person:we g(juliana:fernando) 14-14][person:juliana f 17-17][person:someon u 19-19]
juliana| Andrew maybe Can he stop by on his way back home from work afterall he has a pet sitting business so he know the drill| [person:andrew m 0-0][person:andrew m 3-3][person:andrew m 7-7][location:home s 10-10][person:andrew m 14-14][person:andrew m 21-21]
fernando| I can check with him is it only these 4 days right we will be back by Wednesday| [person:fernando m 0-0][person:andrew m 4-4][person:we g(juliana:fernando) 12-12]
juliana| I think so I mean with camping it could be shorter but I thought maybe we can stay in the hotel and visit few museums on the way back| [person:juliana f 0-0][person:juliana f 3-3][person:juliana f 12-12][person:we g(juliana:fernando) 15-15][location:hotel s 20-20][location:museums g() 24-24]
fernando| Alright that may also work|
juliana| or I don t know I just checked the weather it may be cold and raining so maybe we will have to stay in the hotel anyway| [person:juliana f 1-1][person:juliana f 5-5][person:we g(juliana:fernando) 18-18]
fernando| Ok we can talk about it more tonight at home see you| [person:we g(juliana:fernando) 1-1][location:home s 9-9][person:juliana f 11-11]
juliana| ok drive safe see you tonight| [person:fernando m 4-4]

conv:people_chats_0629_369:aug_0:chat_0:chataug_0| evan wilson| [person:evan m 0-0][person:wilson m 1-1]
evan| Hay Wilson have you thought about what I said about the two of us and my girl Lori and your girl Shawna go out this Saturday| [person:wilson m 1-1][person:wilson m 3-3][person:evan m 7-7][person:us g(evan:wilson) 13-13][person:evan m 15-15][person:lori f 17-17][person:wilson m 19-19][person:shawna f 21-21]
wilson| Yes I have talked it over with Shawna I she said great she would like it| [person:wilson m 1-1][person:shawna f 7-7][person:evan m 8-8][person:shawna f 9-9][person:shawna f 12-12]
evan| Lori said she was up for it also and she said that afterward the four of us can go to dinner| [person:lori f 0-0][person:lori f 2-2][person:lori f 9-9][person:us g(evan:wilson:lori:shawna) 16-16]
wilson| That s a great ideal Lori came up with Shawna likes try new restaurants| [person:lori f 5-5][person:shawna f 9-9][location:restaurants g() 13-13]
evan| Well man I can tell you that Lori is a expert when it comes to picking restaurants| [person:evan m 2-2][person:wilson m 5-5][person:lori f 7-7][location:restaurants g() 16-16]
wilson| Shawna took some cooking classes at the junior college and she loves trying new dishes you see the weight I have gained| [person:shawna f 0-0][person:shawna f 10-10][person:evan m 15-15][person:wilson m 19-19]
evan| Yes man she have put some meat on those bone that you had went we where in high school| [person:shawna f 2-2][person:wilson m 11-11][person:we g(evan:wilson) 14-14][location:high_school s 17-18]
wilson| Watch it now you was no Mr Universe yourself| [person:evan m 3-3][person:evan m 8-8]
evan| You now that I really tried to be but never got there lol| [person:wilson m 0-0][person:evan m 3-3]
wilson| Ok my man then it looks like the four of us have a date for Saturday| [person:wilson m 1-1][person:us g(evan:wilson:lori:shawna) 10-10]
evan| Hay should we let Lori and Shawna pick the movie| [person:we g(evan:wilson) 2-2][person:lori f 4-4][person:shawna f 6-6]
wilson| No man not at all if we did that you know they would pick a tear jerker movie so we pick the movie and they pick the restaurant| [person:we g(evan:wilson) 6-6][person:evan m 9-9][person:they g(lori:shawna) 11-11][person:we g(evan:wilson) 19-19][person:they g(lori:shawna) 24-24][location:restaurant s 27-27]
evan| Great plan because I don t want to see you crying all through the movie lol| [person:evan m 3-3][person:wilson m 9-9]
wilson| Thanks bro for that and I will see the two of you on Saturday| [person:wilson m 5-5][person:evan m 11-11]

conv:people_chats_0629_371:aug_0:chat_0:chataug_0| anne finnbar| [person:anne f 0-0][person:finnbar m 1-1]
finnbar| What have you done My roof is ruined and everything is gone| [person:anne f 2-2][person:finnbar u 4-4]
anne| What are you talking about| [person:finnbar u 2-2]
finnbar| My home the roof now is wful colors I ve been cleaned out| [person:finnbar u 0-0][location:home s 1-1][person:finnbar u 8-8]
anne| What colors|
finnbar| prison orange white and awful green|
anne| Oh like Jack s flag Have you talked to him| [person:jack m 2-2][person:finnbar u 6-6][person:jack m 9-9]
finnbar| No you know we don t talk| [person:anne f 1-1][person:we g(finnbar:jack) 3-3]
anne| Well you should or at least send a message through Matilda I ll send you a youtube him damaging your home| [person:finnbar u 1-1][person:matilda f 10-10][person:anne f 11-11][person:finnbar u 14-14][person:jack m 17-17][person:finnbar u 19-19][location:home s 20-20]
finnbar| Why Matilda| [person:matilda f 1-1]
anne| She s on the video as well| [person:matilda f 0-0]
finnbar| Can you find out their ID s I m going to cut my losses and ban them| [person:anne f 1-1][person:their g(jack:matilda) 4-4][person:finnbar u 7-7][person:finnbar u 12-12][person:their g(jack:matilda) 16-16]
anne| Sure I m sending them now| [person:anne f 1-1]

conv:people_chats_0629_372:aug_0:chat_0:chataug_0| mandy ricky| [person:mandy f 0-0][person:ricky m 1-1]
mandy| Jeremy and Lisa seem great| [person:jeremy m 0-0][person:lisa f 2-2]
ricky| I agree we have so much in common| [person:ricky m 0-0][person:we g(mandy:ricky:jeremy:lisa) 2-2]
mandy| I exchanged numbers with Lisa id like to get together with them soon| [person:mandy f 0-0][person:lisa f 4-4][person:them g(jeremy:lisa) 11-11]
ricky| Sounds good to me| [person:ricky m 3-3]
ricky| Lets have them over for a cookout| [person:them g(jeremy:lisa) 2-2]
ricky| What do you think| [person:mandy f 2-2]
mandy| Thats a great idea|
mandy| Lets do it this weekend|
mandy| Does that work for you| [person:ricky m 4-4]
ricky| Yes thats perfect|

conv:people_chats_0629_373:aug_0:chat_0:chataug_0| haley timothy| [person:haley f 0-0][person:timothy m 1-1]
timothy| are you a bad enough dude to save the president| [person:haley f 1-1]
haley| ill have you know that just because i a girl doesn t mean i m not a savage| [person:haley f 0-0][person:timothy m 2-2][person:haley f 7-7][person:haley f 13-13]
timothy| Stay where you are| [person:haley f 2-2]
timothy| When your see a zebra printed armored car get in| [person:haley f 1-1]
haley| what are you talking about| [person:timothy m 2-2]
timothy| i m a member of a secret government agency that uses garishly painted military equipment to fly under the radar| [person:timothy m 0-0]
timothy| the president has been abducted by a hyperintelligent 10 meter tall frog|
haley| yeah of course because the presidents a reptilian alien right|
timothy| my boss Samantha said that unless is recruit an affable civilian i will lose my job| [person:timothy m 0-0][person:samantha f 2-2][person:timothy m 11-11][person:timothy m 14-14]
haley| really a civilian|
timothy| haven t you ever seen the movies| [person:haley f 2-2]
haley| of course your boss said you need a civilian so that you can explain everything to me like you did with the APC paint job| [person:timothy m 2-2][person:timothy m 5-5][person:timothy m 11-11][person:haley f 16-16][person:timothy m 18-18]
haley| Fine i ll do it but no cliches| [person:haley f 1-1]
timothy| i ll try my best don t ask the APC driver any questions about his life story| [person:timothy m 0-0][person:timothy m 3-3][person:apc_driver m 9-10][person:apc_driver m 14-14]
haley| why shouldn t i get to know him| [person:haley f 3-3][person:apc_driver m 7-7]
timothy| You don t want to distract Adam with the memory of a tragic event in his past| [person:haley f 0-0][person:apc_driver m 6-6][person:apc_driver m 15-15]
timothy| You might cause him to wreck the car or get killed by a sniper causing us to continue alone to the secret base| [person:haley f 0-0][person:apc_driver m 3-3][person:us g(timothy:haley) 15-15]
haley| good catch any other plot traps we should be aware of| [person:us g(timothy:haley) 6-6]

conv:people_chats_0629_374:aug_0:chat_0:chataug_0| heer phillip| [person:heer f 0-0][person:phillip m 1-1]
phillip| It is 700 pm Heer do you really think I can find a gaming PC for Heidi in 2 hours| [person:heer f 4-4][person:heer f 6-6][person:phillip m 9-9][person:heidi f 16-16]
heer| I think if you want the phone back you will find a way| [person:heer f 0-0][person:phillip m 3-3][person:phillip m 8-8]
phillip| I know I can get you one but it will literally take me 45 minutes just to get to the guy who can help me out| [person:phillip m 0-0][person:phillip m 2-2][person:heer f 5-5][person:phillip m 12-12][person:phillip m 24-24]
heer| That s fine I am sure Horatio can manage to get me the gaming system by 9| [person:heer f 3-3][person:horatio m 6-6][person:heer f 11-11]
phillip| Heer I said I ll get it for you I ll just need to call in a favor| [person:heer f 0-0][person:phillip m 1-1][person:phillip m 3-3][person:heer f 8-8][person:phillip m 9-9]
heer| Sounds good to me| [person:heer f 3-3]
heer| Heidi and I can t wait to get our mario kart on| [person:heidi f 0-0][person:heer f 2-2][person:our g(heer:heidi) 8-8][person:mario m 9-9]
phillip| wow ok|
phillip| so I ll see you at 9 Same place as last time| [person:heer f 1-1][person:heer f 4-4][location:place s 8-8]
heer| Sounds good to me| [person:heer f 3-3]
phillip| And you won t talk to Horatio| [person:heer f 1-1][person:horatio m 6-6]
heer| See you at 9 philip| [person:phillip m 1-1][person:phillip m 4-4]

conv:people_chats_0629_375:aug_0:chat_0:chataug_0| ivanka monty| [person:ivanka f 0-0][person:monty m 1-1]
monty| Have you heard the good news| [person:ivanka f 1-1]
ivanka| I don t want to| [person:ivanka f 0-0]
monty| Have you heard the bad news then| [person:ivanka f 1-1]
ivanka| I m not prepared to hear any news regarding religious solicitation| [person:ivanka f 0-0]
monty| I m not trying to see you on religion Just payperview wrestling programs| [person:monty m 0-0][person:ivanka f 6-6]
ivanka| Are you sure you re texting me advertising wrestling| [person:monty m 1-1][person:monty m 3-3][person:ivanka f 6-6]
monty| Of course|
ivanka| So you promise there s no religion at all| [person:monty m 1-1]
monty| I promise| [person:monty m 0-0]
ivanka| Ok what s the news then|
monty| The famous exmarine Ian Cena has a match coming up but he needs your help| [person:ian m 3-3][person:ian m 11-11][person:ivanka f 13-13]
ivanka| How can I help a wrestling superstar| [person:ivanka f 2-2]
monty| He s fighting his toughest foe yet stronger than a horse and faster than his rival Fran The Flash Ferguson| [person:ian m 0-0][person:ian m 3-3][person:ian m 14-14][person:fran f 16-16]
ivanka| His rival was a chump that got what she deserved| [person:ian m 0-0][person:fran f 8-8]
ivanka| How can I help Cena defeat his new foe| [person:ivanka f 2-2][person:ian m 6-6]
ivanka| Who s this new challenger|
monty| Ian is fighting himself| [person:ian m 0-0][person:ian m 3-3]
ivanka| I can t believe it| [person:ivanka f 0-0]
ivanka| Was he cloned and has to fight the halfman halforangutan halfmarine testtube baby| [person:ian m 1-1]
monty| No he has to fight his sins and the prize is a ticket to heaven| [person:ian m 1-1][person:ian m 5-5]
ivanka| Please never ever text me again| [person:ivanka f 4-4]

conv:people_chats_0629_377:aug_0:chat_0:chataug_0| donelle felix| [person:donelle f 0-0][person:felix m 1-1]
felix| Hey Donelle are you aware that there s a well on your property| [person:donelle f 1-1][person:donelle f 3-3][person:donelle f 11-11]
donelle| Yeah I m quite aware| [person:donelle f 1-1]
felix| What makes you respond like that| [person:donelle f 2-2]
donelle| A few years ago my brother Hector fell down the well| [person:donelle f 4-4][person:hector m 5-5][person:hector m 6-6]
felix| I didn t even know that you had a brother Why haven t I heard about him before| [person:felix m 0-0][person:donelle f 6-6][person:hector m 9-9][person:felix m 13-13][person:hector m 16-16]
donelle| Well I obviously don t have a brother anymore after the well incident| [person:donelle f 1-1][person:hector m 7-7]
felix| I m so sorry to hear that I didn t know Something really similar actually happened to my sister Anaise| [person:felix m 0-0][person:felix m 7-7][person:felix m 17-17][person:anaise f 18-18][person:anaise f 19-19]
donelle| Well how similar can it really be|
felix| Well it also happened a couple of years ago She was wandering in the desert| [person:anaise f 9-9][location:desert s 14-14]
felix| She ended up falling into a toothed pit| [person:anaise f 0-0]
donelle| I m not sure that I understand| [person:donelle f 0-0][person:donelle f 5-5]
donelle| How could someone fall into something so obvious and horrible in the landscape like a giant toothed pit|

conv:people_chats_0629_378:aug_0:chat_0:chataug_0| evan mae| [person:evan m 0-0][person:mae f 1-1]
mae| Hey what s up|
evan| Not much Hbu|
mae| I heard you were moving to California| [person:mae f 0-0][person:evan m 2-2][location:california s 6-6]
evan| Yeah I took a job out there and it pays pretty well| [person:evan m 1-1][location:california s 6-6]
mae| Oh that s so cool|
mae| When s your flight| [person:evan m 2-2]
evan| I fly out on two weeks| [person:evan m 0-0]
evan| I was wondering if we could get dinner soon| [person:evan m 0-0][person:we g(mae:evan) 4-4]
mae| That s a great idea|
mae| Mae and Craig want to come too| [person:mae f 0-0][person:craig m 2-2]
mae| I would hate it if we didn t get to see you before you left| [person:mae f 0-0][person:we g(mae:mae:craig) 5-5][person:evan m 11-11][person:evan m 13-13]
mae| Where would you want to go| [person:evan m 2-2]
evan| Tokyo Hibachi sounds like a great idea|

conv:people_chats_0629_379:aug_0:chat_0:chataug_0| ollie victor| [person:ollie m 0-0][person:victor m 1-1]
ollie| Hey Victor What s up| [person:victor m 1-1]
victor| Nothing much How about you| [person:ollie m 4-4]
ollie| Dude it s Friday and all I want to do is go bowling Want to come with| [person:ollie m 6-6]
victor| Oof Ollie I haven t been bowling in FOREVER man| [person:ollie m 1-1][person:victor m 2-2]
ollie| Aw c mon it ll be fun|
victor| Ok I ll come but on one condition| [person:victor m 1-1]
ollie| Anything for you bro| [person:victor m 2-2]
victor| I think we should ask Tina and Michelle to come as well A double date sounds fun and I think they would enjoy it| [person:victor m 0-0][person:victor___ollie m 2-2][person:tina f 5-5][person:michelle f 7-7][person:victor m 18-18][person:michelle___tina f 20-20]
ollie| Victor my man the good ideas from you never stop flowing I can call Tina and see if she s interested| [person:victor m 0-0][person:ollie m 1-1][person:victor m 7-7][person:ollie m 11-11][person:tina f 14-14][person:tina f 18-18]
victor| I know I m on a roll get it| [person:victor m 0-0][person:victor m 2-2]
ollie| Bro I can t with you Tell Michelle I ll drive| [person:ollie m 1-1][person:victor m 5-5][person:michelle f 7-7][person:ollie m 8-8]
victor| Sounds good See you all at 8| [person:ollie m 3-3]
ollie| Perf see you then| [person:victor m 2-2]

conv:people_chats_0629_381:aug_0:chat_0:chataug_0| micha min| [person:micha m 0-0][person:min m 1-1]
min| Hey Super Star Are you liking the fame| [person:micha m 4-4]
micha| Ha I told you about STan and his weird feet requests| [person:micha m 1-1][person:min m 3-3][person:stan m 5-5][person:stan m 7-7]
min| Have you spoken with your manager Elvira yet| [person:micha m 1-1][person:micha m 4-4][person:elvira f 5-5][person:elvira f 6-6]
micha| When I spoke with her last time she made me feel uneasy Not too sure if I would trust her advice| [person:micha m 1-1][person:elvira f 4-4][person:elvira f 7-7][person:micha m 9-9][person:micha m 16-16][person:elvira f 19-19]
min| I can understand that I know you have doubts about blocking Stan but maybe you need to| [person:min m 0-0][person:min m 4-4][person:micha m 6-6][person:stan m 11-11][person:micha m 14-14]
micha| Yeah I have been thinking more about that but what if it makes him angry| [person:micha m 1-1][person:stan m 13-13]
min| You have enough followers on your YouTube channel that it will not affect your ratings| [person:micha m 0-0][person:micha m 5-5][person:micha m 13-13]
micha| I don t care about the ratings I care about my safety| [person:micha m 0-0][person:micha m 7-7][person:micha m 10-10]
micha| Weirdos can find all sorts of things about people if they look hard enough| [person:weirdos u 0-0][person:weirdos u 10-10]
min| Do you want me to come stay with you for a few days| [person:micha m 1-1][person:min m 3-3][person:micha m 8-8]
micha| That would be really nice Yes|
min| Awesome Packing my bag now| [person:min m 2-2]
micha| Great We will chill and watch movies| [person:we g(min:micha) 1-1]
micha| It will also make me forget Stan and Elvira| [person:micha m 4-4][person:stan m 6-6][person:elvira f 8-8]
min| I ll text you when on my way| [person:min m 0-0][person:micha m 3-3][person:min m 6-6]
micha| Thanks Min You are a good friend See you soon| [person:min m 1-1][person:min m 2-2][person:min m 6-6][person:min m 8-8]

conv:people_chats_0629_382:aug_0:chat_0:chataug_0| audrey dira| [person:audrey f 0-0][person:dira f 1-1]
audrey| Dira are you taking Parker and Logan to the circus tomorrow| [person:dira f 0-0][person:dira f 2-2][person:parker m 4-4][person:logan m 6-6]
dira| nope we don t go to those anymore| [person:we g(dira:parker:logan) 1-1]
audrey| what why not|
dira| I read that circuses are cruel and a bad life for the animals| [person:dira f 0-0]
audrey| but the boys want to go ever so badly| [person:boys g(parker:logan) 2-2]
dira| well i won t take them no matter how much they beg to go| [person:dira f 1-1][person:boys g(parker:logan) 5-5][person:boys g(parker:logan) 10-10]
audrey| that seems harsh dira| [person:dira f 3-3]
dira| well I tried to explain to them both but they didn t seem to understand| [person:dira f 1-1][person:boys g(parker:logan) 6-6][person:boys g(parker:logan) 9-9]
audrey| I read all that stuff too Dira| [person:audrey f 0-0][person:dira f 6-6]
dira| so what you still want me to take them| [person:audrey f 2-2][person:dira f 5-5][person:boys g(parker:logan) 8-8]
audrey| well i can t force you| [person:audrey f 1-1][person:dira f 5-5]
dira| damn straight you cant| [person:audrey f 2-2]
audrey| Sigh Well I may just take them myself then Goodnight| [person:audrey f 2-2][person:boys g(parker:logan) 6-6][person:audrey f 7-7]

conv:people_chats_0629_387:aug_0:chat_0:chataug_0| victoria will| [person:victoria f 0-0][person:will u 1-1]
victoria| Will do you need anything from the store| [person:will m 2-2]
will| Can you pick up Diapers for my children Melody and Winston I m running quite low| [person:will m 1-1][person:victoria f 6-6][person:melody f 8-8][person:winston m 10-10][person:will m 11-11]
victoria| I d be happy to What sizes| [person:victoria f 0-0]
will| Medium please|
victoria| No problem|
will| Sorry I need large too| [person:will m 1-1]
will| And make them super absorbent|
victoria| Super absorbent|
victoria| Coming right up|
will| thank you so much| [person:victoria f 1-1]
will| you re such a life saver| [person:victoria f 0-0]
victoria| Once again no problem|
will| I ll see you later then| [person:will m 0-0][person:victoria f 3-3]

conv:people_chats_0629_389:aug_0:chat_0:chataug_0| patrick ruben| [person:patrick m 0-0][person:ruben m 1-1]
ruben| Here is what I need from the grocery store eggs milk slider rolls pepperoni pizzaCalifornia Pizza preferrably coffee purified bottle water| [person:ruben m 3-3]
ruben| Oops I forgot to add cereal for Maxine and Lawrence| [person:ruben m 1-1][person:maxine f 7-7][person:lawrence m 9-9]
ruben| They would be furious if they didn t get their daily dose of Sugar Yummies| [person:they g(maxine:lawrence) 0-0][person:they g(maxine:lawrence:ruben) 5-5][person:their g(maxine:lawrence) 9-9]
patrick| Thanks sweetie I will add it to the list| [person:patrick m 2-2]
patrick| I didn t see milk on the list Should I add that to the list too| [person:patrick m 0-0][person:patrick m 9-9]
ruben| Patrick if you read slowly you will see I added milk to the list| [person:patrick m 0-0][person:patrick m 2-2][person:patrick m 5-5][person:ruben m 8-8]
patrick| Oooh I am sorry I will make double sure I get the milk for Maxine and Lawrence You know they don t like dry cereal| [person:patrick m 1-1][person:patrick m 4-4][person:patrick m 9-9][person:maxine f 14-14][person:lawrence m 16-16][person:ruben m 17-17][person:they g(maxine:lawrence) 19-19]
ruben| How is your day going by the way| [person:patrick m 2-2]
patrick| It is going well I am still continuing to look for jobs since my layoff due to COVID19| [person:patrick m 4-4]
ruben| Things will get better|
patrick| I understand but I wish everyone would think of each others health I am so afraid of getting sick with these transplant organs| [person:patrick m 0-0][person:patrick m 3-3][person:everyone g() 5-5][person:others g() 10-10][person:patrick m 12-12]
patrick| It is just hard barely meeting budget each month|

conv:people_chats_0629_394:aug_0:chat_0:chataug_0| danielle martha| [person:danielle f 0-0][person:martha f 1-1]
danielle| Hi Martha| [person:martha f 1-1]
martha| hey how are you| [person:danielle f 3-3]
danielle| am fine|
danielle| can you ask your friend Siga Bonecrusher if she would go on a date with me| [person:martha f 1-1][person:martha f 3-3][person:siga f 4-4][person:siga f 5-5][person:siga f 8-8][person:danielle f 15-15]
martha| Why don t you tell her yourself| [person:danielle f 3-3][person:siga f 5-5][person:danielle f 6-6]
danielle| I am afraid she will crush my bones| [person:danielle f 0-0][person:siga f 3-3][person:danielle f 6-6]
martha| She only does that if she senses weakness| [person:siga f 0-0][person:siga f 5-5]
martha| and asking somebody else to ask for a date is pretty much as weak as it gets|
danielle| i ll try then| [person:danielle f 0-0]
danielle| would it be weak if i ask my friend George to come along| [person:danielle f 5-5][person:danielle f 7-7][person:george m 8-8][person:george m 9-9]
martha| He can come along but he souldn t stand imposingly close| [person:george m 0-0][person:george m 5-5]
martha| If he looks like a bodyguard then you look weak| [person:george m 1-1][person:danielle f 7-7]
martha| and that s exactly what you wants to avoid| [person:danielle f 5-5]
danielle| why dating has to be so difficult these days|

conv:people_chats_0629_396:aug_0:chat_0:chataug_0| carol noel| [person:carol f 0-0][person:noel m 1-1]
carol| hi Noel| [person:noel m 1-1]
noel| hi Carol how are you| [person:carol f 1-1][person:carol f 4-4]
carol| am doing fine thank you| [person:noel m 4-4]
carol| i want to ask some help| [person:carol f 0-0]
carol| will you come over the weekend and help to landscape my yard| [person:noel m 1-1][person:carol f 10-10]
noel| sadly i can not| [person:noel m 1-1]
noel| i have plans of skiing with Shannon and Wade| [person:noel m 0-0][person:shannon m 6-6][person:wade m 8-8]
carol| oh seemed you guys already had a plan you will be enjoying| [person:us g(noel:shannon:wade) 2-2][person:us g(noel:shannon:wade) 8-8]
