conv:people_chats_04182020_63:aug_0:chat_0:chataug_0| shane tim| [person:shane m 0-0][person:tim m 1-1]
conv:people_chats_04182020_77:aug_0:chat_0:chataug_0| jesse valerie| [person:jesse m 0-0][person:valerie f 1-1]
valerie| Hey Jesse How are you doing| [person:jesse m 1-1][person:jesse m 4-4]
jesse| I m fine Valerie What about you| [person:jesse m 0-0][person:valerie f 3-3][person:valerie f 6-6]
valerie| I am upset with Madison s way of talking to me| [person:valerie f 0-0][person:madison f 4-4][person:valerie f 10-10]
jesse| What s wrong with the way she talks| [person:valerie f 6-6]
valerie| She talks impolitely and is always rude to me She also criticized me for my tattoo| [person:madison f 0-0][person:madison f 8-8][person:madison f 9-9][person:valerie f 12-12][person:valerie f 14-14]
jesse| Really I don t have a problem with her She is very nice to me| [person:jesse m 1-1][person:madison f 8-8][person:madison f 9-9][person:jesse m 14-14]
valerie| Not only me even Alexa dislikes her personality She heard Madison talking behind her back one day| [person:valerie f 2-2][person:alexa f 4-4][person:alexa f 6-6][person:alexa f 8-8][person:madison f 10-10][person:alexa f 13-13]
jesse| This is not something I expected from Madison Do you want me to have a word with her about this| [person:jesse m 4-4][person:madison f 7-7][person:madison f 9-9][person:jesse m 11-11][person:valerie f 17-17]
valerie| No not required I just wanted to share this with you| [person:valerie f 3-3][person:jesse m 10-10]
jesse| Alright but let me know if she does this again| [person:jesse m 3-3][person:madison f 6-6]

conv:people_chats_04182020_78:aug_0:chat_0:chataug_0| catherine jennifer| [person:catherine f 0-0][person:jennifer f 1-1]
jennifer| Hey Catherine Can you please do me a favor| [person:catherine f 1-1][person:catherine f 3-3][person:catherine f 6-6]
catherine| Hi Jennifer What happened I would be happy to help| [person:jennifer f 1-1][person:catherine f 4-4]
jennifer| I accidentally locked my key in the car at the gas station Could you please bring the spare set from my house| [person:jennifer f 0-0][person:jennifer f 3-3][location:station s 11-11][person:catherine f 13-13][person:jennifer f 20-20][location:house s 21-21]
catherine| Alright where is it I will get it in 15 minutes| [person:catherine f 4-4]
jennifer| It is on the blue rack beside the TV|
catherine| I found it I am on my way to gas station| [person:catherine f 0-0][person:catherine f 3-3][person:catherine f 6-6][location:station s 10-10]
jennifer| Thanks I just saw Simon and Laura here This reminded me about the game night that I m supposed to have at my house soon Would you please help me to cohost| [person:jennifer f 1-1][person:simon m 4-4][person:laura f 6-6][person:jennifer f 10-10][person:jennifer f 16-16][person:jennifer f 22-22][person:catherine f 26-26][person:jennifer f 29-29]
catherine| Sure I would be happy to help you I could make plans for the games we could play Did you prepare the guest list| [person:catherine f 1-1][person:jennifer f 7-7][person:catherine f 8-8][person:we g(jennifer:catherine:catherine:jennifer:simon:laura) 15-15][person:jennifer f 19-19]
jennifer| Yes I am inviting Simon and Laura They always bring great food to share| [person:jennifer f 1-1][person:simon m 4-4][person:laura f 6-6][person:they g(simon:laura) 7-7]
catherine| Yes they have good taste I am so excited for the game night We will have a lot of fun| [person:they g(simon:laura) 1-1][person:catherine f 5-5][person:we g(jennifer:catherine:catherine:jennifer:simon:laura) 13-13]

conv:people_chats_04182020_79:aug_0:chat_0:chataug_0| karen ricky| [person:karen f 0-0][person:ricky m 1-1]
karen| Ricky doesn t forget to buy the anniversary cake| [person:ricky m 0-0]
ricky| I was planing something about the cake| [person:ricky m 0-0]
ricky| I thought of printing the names Trevor and Henry on the top of the cake| [person:ricky m 0-0][person:trevor m 6-6][person:henry m 8-8]
karen| Hey that s a great idea Write the name of Trevor on one side and Henry on the other| [person:trevor m 10-10][person:henry m 15-15]
ricky| Thank you for your suggestion dear I will do that| [person:karen f 1-1][person:karen f 3-3][person:ricky m 6-6]
karen| Once you are done with your work just let me know| [person:ricky m 1-1][person:ricky m 5-5][person:karen f 9-9]
ricky| I am in the store The cake is looking awesome I am sure that they will love it| [person:ricky m 0-0][location:store s 4-4][person:ricky m 10-10][person:they g(trevor:henry) 14-14]
karen| Even I am eagerly waiting tom see the cake| [person:karen f 1-1]
ricky| I am really excited to see their jolly faces| [person:ricky m 0-0][person:they g(trevor:henry) 6-6]
karen| I can t wait to surprise them See you soon at the party| [person:karen f 0-0][person:they g(trevor:henry) 6-6][person:ricky m 8-8]

conv:people_chats_04182020_80:aug_0:chat_0:chataug_0| jerry lara| [person:jerry m 0-0][person:lara f 1-1]
jerry| Hey Lara Shall we go for a scary movie which had released yesterday| [person:lara f 1-1][person:we g(jerry:lara) 3-3]
lara| Okay Jerry am interested to go to scary movies We will invite David and Ruth so that we can have some fun| [person:jerry m 1-1][person:we g(jerry:lara) 9-9][person:david m 12-12][person:ruth f 14-14][person:we g(jerry:lara) 17-17]
jerry| Nice Lara But David is not an enthusiast of scary movies| [person:lara f 1-1][person:david m 3-3]
jerry| I think he will not come Let us go to another movie| [person:jerry m 0-0][person:david m 2-2][person:we g(jerry:lara) 7-7]
lara| Okay Jerry Do you have any idea about the movies they like| [person:jerry m 1-1][person:jerry m 3-3][person:they g(david:ruth) 10-10]
jerry| David and Ruth are fond of comedy movies We will plan for those movies| [person:david m 0-0][person:ruth f 2-2][person:we g(jerry:lara) 8-8]
lara| Yeah sure Jerry We ll go for the Joker movie which had released yesterday| [person:jerry m 2-2][person:we g(jerry:lara:david:ruth) 3-3]
lara| What do you say Jerry| [person:jerry m 2-2][person:jerry m 4-4]
jerry| Yeah Lara That was a fantastic movie Let us go tomorrow| [person:lara f 1-1][person:we g(jerry:lara:david:ruth) 8-8]
lara| Okay Jerry We ll start at 9 AM tomorrow Bye| [person:jerry m 1-1][person:we g(jerry:lara:david:ruth) 2-2]

conv:people_chats_04182020_81:aug_0:chat_0:chataug_0| jeffrey randy| [person:jeffrey m 0-0][person:randy m 1-1]
randy| Hey Jeffrey how you feel about yesterday football game| [person:jeffrey m 1-1][person:jeffrey m 3-3]
jeffrey| Hey hi Randy the game was good and the team mates Jasmine Barry and Wayne was supported very well| [person:randy m 2-2][person:team g() 9-9][person:team g() 10-10][person:jasmine f 11-11][person:barry m 12-12][person:wayne m 14-14]
randy| Yeah they supported well but we missed few goals| [person:team g(jasmine:barry:wayne) 1-1][person:team g(jasmine:barry:wayne) 5-5]
jeffrey| Yeah i feel the same if we practice the few more matches then we would not miss those goals| [person:jeffrey m 1-1][person:team g(jasmine:barry:wayne) 6-6][person:team g(jasmine:barry:wayne) 13-13]
randy| Better we will plan few more practice for next football match so that we would not miss the goals| [person:team g(jasmine:barry:wayne) 1-1][person:team g(jasmine:barry:wayne) 13-13]
jeffrey| Yeah will plan but Jasmine and Barry played good when compared to Wayne I guess wayne needs some more practice matches| [person:jasmine f 4-4][person:barry m 6-6][person:wayne m 12-12][person:jeffrey m 13-13][person:wayne m 15-15]
randy| Yes Wayne needs some more practice matches so that we would do good| [person:wayne m 1-1][person:team g(jasmine:barry:wayne) 9-9]
jeffrey| Sure we will plan that we have practice sessions for every weekends So that we can improve our team mates| [person:team g(jasmine:barry:wayne) 1-1][person:team g(jasmine:barry:wayne) 5-5][person:team g(jasmine:barry:wayne) 14-14][person:team g(jasmine:barry:wayne) 18-18][person:team g(jasmine:barry:wayne) 19-19]
randy| yeah its a good idea we will discuss about this with our team mates and we can have practice sessions| [person:our g(randy:jeffrey) 5-5][person:our g(randy:jeffrey) 11-11][person:team g(jasmine:barry:wayne) 12-12][person:team g(jasmine:barry:wayne) 13-13][person:our g(randy:jeffrey) 15-15]
jeffrey| Ok i like the idea let s plan about it and will start as early as possible and get ready for next high school football match| [person:jeffrey m 1-1][location:high_school s 22-23]

conv:people_chats_04182020_82:aug_0:chat_0:chataug_0| dan susan| [person:dan m 0-0][person:susan f 1-1]
susan| Dan This is the right time for our daughter Karen to join school And I want Karen to join a private school| [person:dan m 0-0][person:parents g(susan:dan) 7-7][person:karen f 8-8][person:karen f 9-9][location:school s 12-12][person:susan f 14-14][person:karen f 16-16][location:school s 21-21]
dan| No Susan Homeschooling would be the best option for Karen| [person:susan f 1-1][person:karen f 9-9]
susan| What is the problem in private school And I think private school would be the best place for education| [location:school s 6-6][person:susan f 8-8][location:school s 11-11][location:school s 16-16]
dan| No There is no guarantee for the safety of the child in private school So I prefer homeschooling| [location:school s 13-13][person:dan m 15-15]
susan| But homeschooling will isolate our daughter from the outside world| [person:parents g(susan:dan) 4-4][person:karen f 5-5]
dan| If she is homeschooling she can concentrate more on her studies and also it will be safe| [person:karen f 1-1][person:karen f 4-4][person:karen f 9-9]
susan| Ok But she cannot mingle with the outside world And there are lot of things apart from the studies| [person:karen f 2-2]
dan| We can teach her the same things what the students are being taught in the private school| [person:parents g(susan:dan) 0-0][person:karen f 3-3][location:school s 16-16]
susan| I think we should talk to the Rangers who are homeschooling their daughter about why they prefer one over the other| [person:susan f 0-0][person:parents g(susan:dan) 2-2][person:rangers g() 7-7][person:rangers g() 11-11][person:ranger_s_daughter f 12-12][person:rangers g() 15-15]
dan| Yes you are right Asking the Rangers would be the best thing to do| [person:susan f 1-1][person:rangers g() 6-6]

conv:people_chats_04182020_84:aug_0:chat_0:chataug_0| kendall mary| [person:kendall m 0-0][person:mary f 1-1]
mary| Hi Kendall are you free to talk| [person:kendall m 1-1][person:kendall m 3-3]
kendall| Hi Mary yeah I m free to talk| [person:mary f 1-1][person:kendall m 3-3]
mary| We shall celebrate Darren and Bill s wedding anniversary this year What do you say| [person:mk g(mary:kendall) 0-0][person:darren m 3-3][person:bill m 5-5][person:kendall m 13-13]
kendall| Yeah sure That s a great idea we shall do it| [person:mk g(mary:kendall) 7-7]
mary| Don t forget to buy Darren and Bill s wedding anniversary cake| [person:darren m 5-5][person:bill m 7-7]
