conv:chats_1127_159:aug_0:chat_0:chataug_0| aiden rusell| [person:aiden m 0-0][person:rusell m 1-1]
carolyn| I am actually thinking to plan vacation in the europe city What do you say| [person:carolyn f 0-0][location:vacation s 6-6][location:europe s 9-9][location:europe s 10-10][person:cole m 13-13]
cole| It s actually good to place to visit Let s plan for couple of days and we shall have a good trip in the europe city| [location:europe s 0-0][location:europe s 5-5][person:we g(carolyn:cole) 16-16][location:vacation s 21-21][location:europe s 24-24][location:europe s 25-25]
carolyn| Perfect but what about our kids Zoey would be loud enough to travel| [person:we g(carolyn:cole) 4-4][person:kids g() 5-5][person:zoey f 6-6]
cole| Yeah Zoey would be loud akk over the airplane ride and our son Shane would be disaapointed| [person:zoey f 1-1][person:we g(carolyn:cole) 11-11][person:shane m 12-12][person:shane m 13-13]
carolyn| This makes him moody and cannot enjoy the trip as it continues all long| [person:shane m 2-2][location:europe s 8-8][location:europe s 10-10]
cole| Okay we shall block tickets for the early plane and which even lands us in europe with in fwe hours what do you say| [person:we g(carolyn:cole) 1-1][person:we g(carolyn:cole) 13-13][location:europe s 15-15][person:carolyn f 22-22]
carolyn| That s actually a perfect idea for our trip and I shall inform this to our son so that he feels happy and excited about the trip| [person:we g(carolyn:cole) 7-7][location:vacation s 8-8][person:carolyn f 10-10][person:we g(carolyn:cole) 15-15][person:shane m 16-16][person:shane m 19-19][location:vacation s 26-26]
cole| Yeah do that and mean while I will block the tickets for the trip| [person:cole m 6-6][location:europe s 13-13]

conv:chats_1127_169:aug_0:chat_0:chataug_0| alice maya| [person:alice f 0-0][person:maya f 1-1]
maya| Hey Alice I m really bored Can you come over to my place| [person:alice f 1-1][person:maya f 2-2][person:alice f 7-7][person:maya f 11-11][location:place s 12-12]
alice| Sure Maya even I m bored and have no idea what to do Thanks for messaging me What shall we do at your place| [person:maya f 1-1][person:alice f 3-3][person:alice f 16-16][person:we g(maya:alice) 19-19][person:maya f 22-22][location:place s 23-23]
maya| We watch any movie on Netflix along with crazy number of pizzas and ice cream How does it sound| [person:we g(maya:alice) 0-0]
alice| Sounds great Let s watch a horror movie first and then a comedy movie later|
maya| Yeah that is fine but are you allowed to stay up late| [person:alice f 6-6]
alice| Yes my parents would not mind me staying up late They are really supportive for me| [person:alice f 1-1][person:alice f 2-2][person:alice f 6-6][person:alice f 10-10][person:alice f 15-15]
maya| You re so lucky to have them in your life What type of pizza would you like to have| [person:alice f 0-0][person:alice f 6-6][person:alice f 8-8][person:alice f 15-15]
alice| I would like to have a Margherita pizza along with chocolate ice cream| [person:alice f 0-0]
maya| Sure I m ordering one medium size Margherita pizza for you See you soon| [person:maya f 1-1][person:alice f 10-10][person:alice f 12-12]
alice| Thank you Maya I will be in an hour See you| [person:alice f 1-1][person:alice f 2-2][person:alice f 3-3][person:maya f 10-10]

conv:chats_1127_170:aug_0:chat_0:chataug_0| jesse megan| [person:jesse m 0-0][person:megan f 1-1]
jesse| Where are you Just now I came to know something| [person:megan f 2-2][person:jesse m 5-5]
megan| I will be there within 15 minutes About what| [person:megan f 0-0][location:there u 3-3]
jesse| Just now the waiters were discussing that if one table can finish 200 wings then their food will be free| [person:their g() 15-15]
megan| Wow that s really a good news but do you feel that we both can finish so many wings| [person:jesse m 9-9][person:we g(jesse:megan) 12-12]
jesse| I know we both can t Do you know any one who can help out with this| [person:jesse m 0-0][person:we g(jesse:megan) 2-2][person:megan f 7-7]
megan| Well if you don t have any issue I know the right people to invite| [person:jesse m 2-2][person:megan f 8-8]
jesse| I think you are talking about Clary Shane and Steven| [person:megan f 0-0][person:megan f 2-2][person:clary f 6-6][person:shane m 7-7][person:steven m 9-9]
megan| Yeah you are right They can definitely finish 200 wings easily| [person:jesse m 1-1][person:they g(clary:shane:steven) 4-4]
jesse| Okay call them at Chicken Wings Bar as soon as possible| [person:they g(clary:shane:steven) 2-2][location:bar s 6-6]
megan| Thank you for your approval I am inviting them right now| [person:jesse m 1-1][person:jesse m 3-3][person:megan f 5-5][person:they g(clary:shane:steven) 8-8]

conv:chats_1127_171:aug_0:chat_0:chataug_0| heather javier| [person:heather f 0-0][person:javier m 1-1]
heather| Hey Javier I hope you re happy with your work| [person:javier m 1-1][person:heather f 2-2][person:javier m 4-4][person:javier m 8-8]
javier| Yes I am really happy with my job The shift timings are great Shall we go out eat something today| [person:javier m 1-1][person:javier m 6-6][person:we g(heather:javier) 14-14]
heather| Yes I m up for it I wanted to taste good Indian food| [person:heather f 1-1][person:heather f 6-6]
javier| Sure I would like to invite Jacky and Shawn as well They both have been asking me from long time to plan something| [person:javier m 1-1][person:jacky f 6-6][person:shawn m 8-8][person:we g(heather:javier) 11-11][person:javier m 16-16]
heather| Cool but I don t think I will have good time spending time with Jacky and Shawn Hope you remember the last time incident with them| [person:heather f 2-2][person:heather f 6-6][person:jacky f 14-14][person:shawn m 16-16][person:javier m 18-18][person:we g(heather:javier) 25-25]
javier| Common Heather Last time they both were drunk and yes I understand they have troubled us But it is a natural sign of a person who takes alcohol| [person:heather f 1-1][person:we g(heather:javier) 4-4][person:javier m 10-10][person:we g(heather:javier) 12-12][person:javier m 15-15]
heather| Yes but they yelled at me so badly and now I can t even see their faces with that impression| [person:we g(heather:javier) 2-2][person:heather f 5-5][person:heather f 10-10][person:we g(heather:javier) 15-15]
javier| Jacky is really jovial and same with Shawn as well They both are easy going persons and loves to make new friendships| [person:jacky f 0-0][person:shawn m 7-7][person:we g(heather:javier) 10-10]
heather| Okay I trust you this time I will be coming Please share the location details| [person:heather f 1-1][person:javier m 3-3][person:heather f 6-6][location:location s 13-13]
javier| Thank you buddy I m sure you ll have a great time| [person:heather f 1-1][person:heather f 2-2][person:javier m 3-3][person:heather f 6-6]

conv:chats_1127_172:aug_0:chat_0:chataug_0| katie monica| [person:katie f 0-0][person:monica f 1-1]
katie| Hey we had so much of fun today right| [person:we g(katie:monica) 1-1]
monica| Yeah I always like hanging out with Laura and Cheryl| [person:monica f 1-1][person:laura f 7-7][person:cheryl f 9-9]
katie| It s great that we went to our favorite spots| [person:we g(katie:monica:laura:cheryl) 4-4][person:our g(katie:monica:laura:cheryl) 7-7]
monica| You are right it was fun catching up with our old friends| [person:katie f 0-0][person:our g(katie:monica:laura:cheryl) 9-9][person:friends g(katie:monica:laura:cheryl) 11-11]
katie| Do you remember the tourist who was lost and asked for the directions| [person:monica f 1-1]
monica| Yes I do I could not understand a word he said| [person:monica f 1-1][person:monica f 3-3][person:adam m 9-9]
katie| It took me a while to understand him And I think his name is Adam| [person:katie f 2-2][person:adam m 7-7][person:katie f 9-9][person:adam m 11-11][person:adam m 14-14]
monica| His accent was so different I think he was lost and asking for directions| [person:adam m 0-0][person:monica f 5-5][person:adam m 7-7]
katie| Exactly And I am glad that we could help him| [person:katie f 2-2][person:we g(katie:monica) 6-6][person:adam m 9-9]
monica| It was fun trying to understand him and finally help him| [person:adam m 6-6][person:adam m 10-10]

conv:chats_1127_175:aug_0:chat_0:chataug_0| rose walt| [person:rose f 0-0][person:walt m 1-1]
rose| Hi what is your plan for tomorrow Would you like to come with me Eugene and Tina| [person:walt m 3-3][person:walt m 8-8][person:rose f 13-13][person:eugene m 14-14][person:tina f 16-16]
walt| I don t have any plan Are you proposing for double date| [person:walt m 0-0][person:rose f 7-7]
rose| You can think so Do you have any issue in that| [person:walt m 0-0][person:walt m 5-5]
walt| I already told you that I am not always comfortable with your friends So I m not sure whether I will be there or not| [person:walt m 0-0][person:rose f 3-3][person:walt m 5-5][person:rose f 11-11][person:friends g(eugene:tina) 12-12][person:walt m 14-14][person:walt m 19-19]
rose| Well you can t say that Previously many times we went out and had a wonderful day| [person:walt m 1-1][person:we g(rose:walt:eugene:tina) 9-9]
walt| Yeah that s true but not all the time|
rose| I can assure you that Eugene and Tina s company will be wonderful You will definitely like it| [person:rose f 0-0][person:walt m 3-3][person:eugene m 5-5][person:tina f 7-7][person:walt m 13-13]
walt| I have no idea in that as I never went out them But I believe you and I don t want to spoil your excitement| [person:walt m 0-0][person:walt m 7-7][person:friends g(eugene:tina) 11-11][person:walt m 13-13][person:rose f 15-15][person:walt m 17-17][person:rose f 23-23]
rose| Thank you You will definitely have wonderful time| [person:walt m 1-1][person:walt m 2-2]
walt| I hope you thought comes true Lets plan then| [person:walt m 0-0][person:rose f 2-2]

conv:chats_1127_176:aug_0:chat_0:chataug_0| grace walt| [person:grace f 0-0][person:walt m 1-1]
walt| Hey mom when will you be back to home| [person:grace f 1-1][person:grace f 4-4][location:home s 8-8]
grace| Hi Walt I will be back to home in couple of minutes| [person:walt m 1-1][person:grace f 2-2][location:home s 7-7]
walt| Tell me mom what s the reason you mesaged me Any emergence| [person:walt m 1-1][person:grace f 2-2][person:grace f 7-7][person:walt m 9-9]
grace| Nothing Walt I am planning dinner to be ordered from restaurant tonight Just discuss among your sister Julia and brother Marcus and let me know| [person:walt m 1-1][person:grace f 2-2][person:walt m 15-15][person:julia f 16-16][person:julia f 17-17][person:marcus m 19-19][person:marcus m 20-20][person:grace f 23-23]
walt| Cool mom I will let you know with in a while| [person:grace f 1-1][person:walt m 2-2][person:grace f 5-5]
grace| Yeah Walt do it little quick and please be sure about what you people eat| [person:walt m 1-1][person:walt m 12-12]
walt| Mom Julie wants spring noodles and Marcus wants spinach fried rice and I want to eat chcken biryani That is all mom| [person:grace f 0-0][person:julia f 1-1][person:marcus m 6-6][person:walt m 12-12][person:grace f 21-21]
grace| Okay let me make it sure Julie wants sspring noodles and Marcus wants spinach fried rice and u want to eat chcken biryani Am I correct| [person:grace f 2-2][person:julia f 6-6][person:marcus m 11-11][person:walt m 17-17][person:grace f 24-24]
walt| Yeah mom that s all you are correct with| [person:grace f 1-1][person:grace f 5-5]
grace| Okay I will be back to home with food See you all soon| [person:grace f 1-1][location:home s 6-6][person:walt m 10-10]

conv:chats_1127_177:aug_0:chat_0:chataug_0| sarah theresa| [person:sarah f 0-0][person:theresa f 1-1]
sarah| Hey Shall we plan something for this weekend| [person:we g(sarah:theresa) 2-2]
theresa| Yeah Tell me if you have any ideas| [person:theresa f 2-2][person:sarah f 4-4]
sarah| What do you think of attending the Jonas brothers concert| [person:theresa f 2-2][location:concert s 9-9]
theresa| Wow I am a huge fan of that band I would love to attend the concert| [person:theresa f 1-1][person:theresa f 9-9][location:concert s 15-15]
sarah| We have to ask our parents Eva and Vincent regarding this| [person:we g(sarah:theresa) 0-0][person:we g(sarah:theresa) 4-4][person:parents g() 5-5][person:eva f 6-6][person:vincent m 8-8]
theresa| That s fine You go and ask them They would agree if you ask them And I will be waiting for you here| [person:sarah f 3-3][person:parents g(eva:vincent) 7-7][person:parents g(eva:vincent) 8-8][person:sarah f 12-12][person:parents g(eva:vincent) 14-14][person:theresa f 16-16][person:sarah f 21-21]
sarah| Yeah I am back They agreed take to take us to the ticket office Literally I had to beg them for that| [person:sarah f 1-1][person:parents g(eva:vincent) 4-4][person:we g(sarah:theresa) 9-9][location:ticket_office s 12-13][person:sarah f 15-15][person:parents g(eva:vincent) 19-19]
theresa| Oh It s nice that they agreed we shall plan the timings for that day| [person:parents g(eva:vincent) 5-5][person:we g(sarah:theresa) 7-7]
sarah| Okay We shall go with our parents| [person:we g(sarah:theresa) 1-1][person:we g(sarah:theresa) 5-5][person:parents g(eva:vincent) 6-6]
theresa| Yeah We shall ask them to join us for the concert We shall discuss all about that at the night| [person:we g(sarah:theresa) 1-1][person:parents g(eva:vincent) 4-4][person:we g(sarah:theresa) 7-7][location:concert s 10-10][person:we g(sarah:theresa) 11-11]

conv:chats_1127_178:aug_0:chat_0:chataug_0| lindsey logan| [person:lindsey f 0-0][person:logan m 1-1]
logan| Hello Lindsey How are you doing| [person:lindsey f 1-1][person:lindsey f 4-4]
lindsey| Hi Logan I am doing well and hoping the same is happening with you| [person:logan m 1-1][person:lindsey f 2-2][person:logan m 13-13]
logan| Thank you and yeah I am doing well| [person:lindsey f 1-1][person:lindsey f 4-4]
lindsey| Tell me Logan how the things are going on It s been long time talking to you| [person:lindsey f 1-1][person:logan m 2-2][person:logan m 16-16]
logan| Yeah I even feel the same here Actually I need a suggestion from you| [person:logan m 1-1][person:logan m 8-8][person:lindsey f 13-13]
lindsey| Sure tell me I would definetly help you| [person:lindsey f 2-2][person:lindsey f 3-3][person:logan m 7-7]
logan| Actually my siblings Dave and Victoria are visiting for a visit and I am confused where to take them| [person:logan m 1-1][person:dave m 3-3][person:victoria f 5-5][person:logan m 12-12][person:them g(dave:victoria) 18-18]
lindsey| My suggestion would be take them to the place which they hadalready visited and what do they really like or willing to visit So that you can decide| [person:lindsey f 0-0][person:them g(dave:victoria) 5-5][location:place s 8-8][person:them g(dave:victoria) 10-10][person:them g(dave:victoria) 16-16][person:logan m 25-25]
logan| Yeah that would be really better and I will ask them that where are they actually want to visit Thank you for the suggestion Meet you as soon as possible| [person:logan m 7-7][person:them g(dave:victoria) 10-10][person:them g(dave:victoria) 14-14][person:lindsey f 20-20][person:lindsey f 25-25]
lindsey| Cool go a head Have a safe and joyfull trip See you soon| [location:trip s 9-9][person:logan m 11-11]

conv:chats_1127_179:aug_0:chat_0:chataug_0| ricky val| [person:ricky m 0-0][person:val f 1-1]
val| Hey Ricky I m really excited towards visiting our grand parents| [person:ricky m 1-1][person:val f 2-2][person:our g(val:ricky) 8-8][person:val f 10-10]
ricky| I m excited too Val it s been a long time meeting them| [person:ricky m 0-0][person:val f 4-4][person:our g(val:ricky) 12-12]
val| I know right I was thinking of buying some desserts for grandpa as he is very much fond of sweets| [person:val f 0-0][person:val f 3-3][person:ricky m 13-13]
ricky| That s a good idea but do you think that grandma will be happy if we take desserts with us| [person:val f 7-7][person:our g(val:ricky) 15-15][person:our g(val:ricky) 19-19]
val| Yeah I didn t think about it at all the last time she was literally mad at us for bringing sweet stuff What shall we buy then| [person:val f 1-1][person:our g(val:ricky) 12-12][person:our g(val:ricky) 17-17][person:our g(val:ricky) 24-24]
ricky| I think we should buy something healthy for them so that they stay fit and healthy| [person:ricky m 0-0][person:our g(val:ricky) 2-2][person:our g(val:ricky) 8-8][person:our g(val:ricky) 11-11]
val| That s a good idea Ricky we ll buy a fruit basket then and what shall we buy for grandma| [person:ricky m 5-5][person:our g(val:ricky) 6-6][person:our g(val:ricky) 16-16]
ricky| I don t know we ll go out and look for something good that our grandma would like| [person:ricky m 0-0][person:our g(val:ricky) 4-4][person:our g(val:ricky) 14-14]
val| Okay fine let s get ready and go for shopping|
ricky| Yeah let s go and do some shopping for our grand parents| [person:our g(val:ricky) 9-9][person:parents g() 11-11]

conv:chats_1127_181:aug_0:chat_0:chataug_0| adam hannah| [person:adam m 0-0][person:hannah f 1-1]
hannah| Our poodle is behaving indifferently| [person:our g(hannah:adam) 0-0]
adam| It might be because she is getting older| [person:smith f 4-4]
hannah| Might be but we need to be sure of it| [person:we g(hannah:adam:smith) 3-3]
adam| For that we need to consult a good veterinarian| [person:we g(hannah:adam) 2-2]
hannah| Okay kindly call Dr Smith and take an appointment| [person:smith f 4-4]
adam| I caledl him Without fixing an appointment he started asking some different questions| [person:adam m 0-0][person:johnson m 2-2][person:johnson m 7-7]
hannah| Fine lets talk with Dr Johnson| [person:johnson m 5-5]
adam| You are right Just now I checked he has excellent reviews| [person:hannah f 0-0][person:adam m 5-5][person:johnson m 7-7]
hannah| He is also practicing from a long time| [person:johnson m 0-0]
adam| I think he will be perfect for our poodle| [person:adam m 0-0][person:johnson m 2-2][person:our g(hannah:adam:smith:johnson) 7-7]

conv:chats_1127_183:aug_0:chat_0:chataug_0| rachel rose| [person:rachel f 0-0][person:rose f 1-1]
rachel| Hey Rose Shall we play soccer now| [person:rose f 1-1][person:we g(rachel:rose) 3-3]
rose| Yeah that s exciting I need to ask my father Eugene| [person:rose f 4-4][person:rose f 8-8][person:eugene m 10-10]
rachel| Okay Don t forget to mention that we will be playing at my house| [person:we g(rachel:rose) 7-7][person:rachel f 12-12][location:house s 13-13]
rose| Surely but I am not sure if he agrees to that| [person:rose f 2-2][person:eugene m 7-7]
rachel| And also tell that we will be careful while playing| [person:we g(rachel:rose) 4-4]
rose| Yeah He agreed for us to play together at your house| [person:eugene m 1-1][person:we g(rachel:rose) 4-4][person:rachel f 9-9][location:house s 10-10]
rachel| Get ready in five minutes to go to my house| [person:rachel f 8-8][location:house s 9-9]
rose| Wait for me here till I get ready to join you| [person:rose f 2-2][location:here u 3-3][person:rose f 5-5][person:rachel f 10-10]
rachel| No I will go to my home to get ready Join me there| [person:rachel f 1-1][person:rachel f 5-5][location:house s 6-6][person:rachel f 11-11][location:house s 12-12]
rose| Yeah I will be there in few minutes| [person:rose f 1-1][location:house s 4-4]

conv:chats_1127_184:aug_0:chat_0:chataug_0| christopher ivan| [person:christopher m 0-0][person:ivan m 1-1]
christopher| When are you available for our school shopping| [person:ivan m 2-2][person:our g(christopher:ivan) 5-5][location:school s 6-6]
ivan| Well even I was also planning for that I was thinking to invite Peggy and Nate| [person:ivan m 2-2][person:ivan m 8-8][person:peggy f 13-13][person:nate m 15-15]
christopher| Really I will love to meet Peggy As we haven t met since long time| [person:christopher m 1-1][person:peggy f 6-6][person:we g(christopher:peggy) 8-8]
ivan| Even I also haven t met them| [person:ivan m 1-1][person:them g(peggy:nate) 6-6]
christopher| Your plans works better than mine| [person:ivan m 0-0][person:christopher m 5-5]
ivan| Okay I will select the place where we ll shop but the date you will fix| [person:ivan m 1-1][location:place s 5-5][person:our g(christopher:ivan) 7-7][person:christopher m 13-13]
christopher| Great Lets go on Sunday As our parents will be available| [person:our g(christopher:ivan) 6-6][person:parents g() 7-7]
ivan| I will share the date and venue with them| [person:ivan m 0-0][location:venue s 6-6][person:parents g() 8-8]
christopher| I am very excited with our planning| [person:christopher m 0-0][person:our g(christopher:ivan) 5-5]
ivan| Even I am too eagerly waiting for Sunday| [person:ivan m 1-1]

conv:chats_1127_185:aug_0:chat_0:chataug_0| ashley owen| [person:ashley f 0-0][person:owen m 1-1]
owen| Hey Ashley what do you want to eat for dinner| [person:ashley f 1-1][person:ashley f 4-4]
ashley| Owen please come home without wasting any time I got something really important to talk with you| [person:owen m 0-0][location:home s 3-3][person:ashley f 8-8][person:owen m 16-16]
owen| What happened Ashley Is everything okay with you| [person:ashley f 2-2][person:ashley f 7-7]
ashley| Brianna messages me saying that they are expecting a baby soon She had asked for help and some tips to manage the whole thing| [person:brianna f 0-0][person:ashley f 2-2][person:they g(brianna) 5-5][person:brianna f 11-11]
owen| Oh that s a great news What did you tell| [person:ashley f 8-8]
ashley| I said everything and she wants me to come and help her out I don t know what to do now| [person:ashley f 0-0][person:brianna f 4-4][person:ashley f 6-6][person:brianna f 11-11][person:ashley f 13-13]
owen| That s not a great idea You can give suggestions via phone as well I want you to take care of me| [person:ashley f 6-6][person:owen m 14-14][person:ashley f 16-16][person:owen m 21-21]
ashley| It s just for 2 months from now I will go and help Brianna| [person:ashley f 8-8]
owen| No please change your decision I crossed 60 and there should be someone to take care of me| [person:ashley f 3-3][person:owen m 5-5][person:someone u 12-12][person:owen m 17-17]
ashley| Okay I will speak to Brianna once and will try to convince her| [person:brianna f 0-1][person:ashley f 1-1][person:brianna f 12-12]

conv:chats_1127_186:aug_0:chat_0:chataug_0| ashley colin| [person:ashley f 0-0][person:colin m 1-1]
ashley| Hope today you will be there at home| [person:colin m 2-2][location:home s 7-7]
colin| Yeah can you bring some cigar for me| [person:ashley f 2-2][person:colin m 7-7]
ashley| Seriously You are suffering from lung problem For that you are unable to attend office| [person:colin m 1-1][person:colin m 9-9][location:office s 14-14]
colin| I know but I cant give up suddenly I need some time for that| [person:colin m 0-0][person:colin m 3-3][person:colin m 8-8]
ashley| Do Carol knows that you want cigar| [person:carol f 1-1][person:colin m 4-4]
colin| At first I requested her but she refused to it| [person:colin m 2-2][person:ashley f 4-4][person:ashley f 6-6]
ashley| I am very much unhappy to hear that you are not listening to your doctor s advice| [person:ashley f 0-0][person:colin m 8-8][person:colin m 13-13][person:doctor u 14-14]
colin| I am really very sorry but you all should understand that I need time for this| [person:colin m 0-0][person:ashley f 6-6][person:colin m 11-11]
ashley| We all only can understand that you are suffering and we all want you to get out of it| [person:we g(ashley:colin:carol) 0-0][person:colin m 6-6][person:colin m 10-10][person:colin m 13-13]
colin| I will be thankful if you listen to my request| [person:colin m 0-0][person:ashley f 5-5][person:colin m 8-8]

conv:chats_1127_187:aug_0:chat_0:chataug_0| susan tom| [person:susan f 0-0][person:tom m 1-1]
tom| Hey Tom Did you get a picture that I have sent| [person:tom m 1-1][person:tom m 3-3][person:tom m 8-8]
susan| Yes Tom I m near the school gate and I m rushing towards you Please reserve a place for me| [person:tom m 1-1][person:susan f 2-2][location:school s 6-6][person:susan f 9-9][person:tom m 13-13][location:place s 17-17][person:susan f 19-19]
tom| Sure Susan Mr Smith is at dunk table and everyone is failing to dunk him in the tank| [person:susan f 1-1][person:smith m 3-3][person:everyone g() 9-9][person:smith m 14-14]
susan| That s interesting Hold on for a minute I will join you| [person:susan f 8-8][person:tom m 11-11]
