conv:long_chats_0223_199:aug_0:chat_0:chataug_0| lilly sheila| [person:lilly f 0-0][person:sheila f 1-1]
jerry| Yea I borrowed it at the study group at Nolan s house Nolan and I were in the same group so we gave it to Jasmine because she said she would see you in homeroom in the morning| [person:jerry m 1-1][person:nolan m 9-9][person:nolan m 12-12][person:jerry m 14-14][person:we g(jerry:nolan) 21-21][person:jasmine f 25-25][person:jasmine f 27-27][person:robert m 32-32]
robert| Wait I am seeing Nolan at soccer practice tonight He must of forgot| [person:robert m 1-1][person:nolan m 4-4][person:nolan m 9-9]
jerry| Oh shoot I m sorry bro| [person:jerry m 2-2]
robert| No biggie Tomorrow morning I will just get it from Jasmine It s soon enough| [person:robert m 4-4][person:jasmine f 10-10]
robert| Thank you for the help| [person:jerry m 1-1]
robert| I ll see you tomorrow after school| [person:robert m 0-0][person:jerry m 3-3][location:school s 6-6]
jerry| Aight Peace man See ya tomorrow| [person:robert m 2-2][person:robert m 4-4]
jerry| Good luck with the homework|

conv:people_0610_2:aug_0:chat_0:chataug_0| catherine lester| [person:catherine f 0-0][person:lester m 1-1]
catherine| Hi Lester so we will be traveling to Miami| [person:lester m 1-1][person:we g(catherine:lester) 3-3][location:miami s 8-8]
lester| Yes for the business trip| [location:miami s 4-4]
lester| Would be really nice to leave the house just the two of us| [location:house s 7-7][person:us g(catherine:lester) 12-12]
catherine| Yes that will be nice indeed|
lester| It s been forever|
catherine| Yes i know but what about the kids| [person:catherine f 1-1][person:kids g() 7-7]
catherine| can we bring Jessy and Anderson along| [person:we g(catherine:lester) 1-1][person:jessy f 3-3][person:anderson u 5-5]
lester| it s a business trip| [location:miami s 4-4]
catherine| The would love to come along|
lester| I don t think its a good idea| [person:lester m 0-0]
catherine| What do we do then| [person:we g(catherine:lester) 2-2]
lester| They could stay with our parents during the trip| [person:they g(jessy:anderson) 0-0][person:our g(catherine:lester) 4-4][person:parents g() 5-5][location:miami s 8-8]
catherine| lets continue to think about it|
lester| ok|

conv:people_0610_4:aug_0:chat_0:chataug_0| sherrie tom| [person:sherrie f 0-0][person:tom m 1-1]
sherrie| Hey run buddy Guess what s coming up this Sunday| [person:tom m 2-2]
tom| Camping beach day fun run|
sherrie| A fun run I m running a 5K this Sunday| [person:sherrie f 3-3]
tom| That s awesome Sherrie Keep at it| [person:sherrie f 3-3]
sherrie| Do you want to come along| [person:tom m 1-1]
tom| Thinking about it|
tom| Anyone else we know participating| [person:anyone u 0-0][person:we g(sherrie:tom) 2-2]
sherrie| Well originally Jason was supposed to run it with me But he sprained his knee Jet Skiing last weekend so he s out| [person:jason m 2-2][person:sherrie f 9-9][person:jason m 11-11][person:jason m 13-13][person:jason m 20-20]
tom| Typical Jason haha| [person:jason m 1-1]
sherrie| Yeah|
tom| I ll look into getting babysitting for the kids In the meantime let me shoot Candice and Jeremy a text They run these all the time for work| [person:tom m 0-0][person:kids g() 8-8][person:tom m 13-13][person:candice f 15-15][person:jeremy m 17-17][person:they g(candice:jeremy) 20-20]
sherrie| OK cool let me know| [person:sherrie f 3-3]
tom| Told ya Candice Jeremy run these all the time Their response Hell yeah that would be our 4th 5K this year and it s only March| [person:candice f 2-2][person:jeremy m 3-3][person:their g(candice:jeremy) 9-9][person:our g(candice:jeremy) 16-16]
sherrie| Excellent So I ll see you all there| [person:sherrie f 2-2][person:tom m 5-5]
tom| Still confirming the babysitting They are interested in going whether I go or not| [person:they g(candice:jeremy) 4-4][person:tom m 10-10]
sherrie| Gotcha Please share their contact info with me so we can meet up at the 5K| [person:their g(candice:jeremy) 3-3][person:sherrie f 7-7][person:we g(sherrie:candice:jeremy) 9-9]
tom| Sure will|
sherrie| Hope to see you there too My friend Kelly babysits by the way| [person:tom m 3-3][person:sherrie f 6-6][person:kelly f 7-7][person:kelly f 8-8]
tom| Haha I ll let you know soon enough Send me Kelly s contact for future reference anyways| [person:tom m 1-1][person:sherrie f 4-4][person:tom m 9-9][person:kelly f 10-10]
sherrie| Sure thing|

conv:people_0610_5:aug_0:chat_0:chataug_0| brad juliet| [person:brad m 0-0][person:juliet f 1-1]
juliet| Hey Brad could you do me a favor| [person:brad m 1-1][person:brad m 3-3][person:juliet f 5-5]
brad| Sure what s up|
juliet| I just found out today that Bill and Christopher are also going to the concert do you think we could leave a little earlier than we planned| [person:juliet f 0-0][person:bill m 6-6][person:christopher m 8-8][person:brad m 16-16][person:we g(juliet:brad) 18-18][person:we g(juliet:brad) 25-25]
brad| Sure I didn t know they were going| [person:brad m 1-1][person:they g(bill:christopher) 5-5]
juliet| Right I want to try and catch up to them so we can figure out where their seats are| [person:juliet f 1-1][person:them g(bill:christopher) 9-9][person:we g(juliet:brad) 11-11][person:their g(bill:christopher) 16-16]
brad| Sounds cool What time would you prefer we leave theN| [person:juliet f 5-5][person:we g(juliet:brad) 7-7]
juliet| How about 4pm The concert starts at 6 so we should have plenty of time| [person:we g(juliet:brad) 9-9]
brad| Ok I can maybe get myself some food before the show| [person:brad m 1-1][person:brad m 5-5]
brad| Wha ttime wil they be there| [person:they g(bill:christopher) 3-3]
juliet| I think around 430| [person:juliet f 0-0]
brad| Alright I ll see you then| [person:brad m 1-1][person:juliet f 4-4]
juliet| Thanks Brad| [person:brad m 1-1]

conv:people_0610_6:aug_0:chat_0:chataug_0| fidel matt| [person:fidel m 0-0][person:matt m 1-1]
fidel| so i think my wife is cheating on me| [person:fidel u 1-1][person:fidel u 3-3][person:fidels_wife f 4-4][person:fidel u 8-8]
fidel| and i think its stanley shes sleeping with| [person:fidel u 1-1][person:stanley m 4-4][person:fidels_wife f 5-5]
matt| no i dont think that could be| [person:matt m 1-1]
fidel| i think i should file for a divorce| [person:fidel m 0-0][person:fidel m 2-2]
matt| no no dont do that maybe they have bonded over their love of turtles| [person:wife___stanley g(stanley) 6-6][person:wife___stanley g(stanley) 10-10]
matt| and thats why they are taking many trips to the zoo| [person:wife___stanley g(stanley) 3-3]
fidel| thats just crazy|
fidel| but i guess i cant rule it out| [person:fidel m 1-1][person:fidel m 3-3]
fidel| im not sure if i should just ask her about the turtles or file for divorce| [person:fidel m 4-4][person:fidels_wife f 8-8]
matt| do not just rush to file for divorce|
matt| ask her about the turtles first at least| [person:fidels_wife f 1-1]
matt| you never know cause im sure its not what your thinking| [person:fidel m 0-0][person:fidel m 9-9]
fidel| ok ill ask her first| [person:fidels_wife f 3-3]
matt| ok let me know how it goes| [person:matt m 2-2]
fidel| i will| [person:fidel m 0-0]

conv:people_0610_7:aug_0:chat_0:chataug_0| mellisa melvin| [person:mellisa f 0-0][person:melvin m 1-1]
melvin| Hey Mellisa have we decided what we re going to get Alexa for Christmas| [person:mellisa f 1-1][person:we g(melvin:mellisa) 3-3][person:we g(melvin:mellisa) 6-6][person:alexa f 11-11]
mellisa| No not yet I was thinking to get her a large stuffed bear| [person:mellisa f 3-3][person:alexa f 8-8]
melvin| How much does it cost|
mellisa| 220|
melvin| Wow that much for a bear|
mellisa| Yes it supposed to come with accessories and stuff Its the new hot item right now|
melvin| We re kind of on a budget now how about we instead get one nice gift for both Alexa and Melanie| [person:we g(melvin:mellisa) 0-0][person:we g(melvin:mellisa) 10-10][person:alexa f 18-18][person:melanie f 20-20]
mellisa| I dont know if Alexa is good at sharing though| [person:mellisa f 0-0][person:alexa f 4-4]
melvin| I figure if we re spending this much we can get them that new gaming console That way they can both enjoy it| [person:melvin m 0-0][person:we g(melvin:mellisa) 3-3][person:we g(melvin:mellisa) 8-8][person:them g(alexa:melanie) 11-11][person:them g(alexa:melanie) 18-18]
melvin| Ok thats not a bad idea|
mellisa| I agree| [person:mellisa f 0-0]
mellisa| Go to Best Buy they have good deals right now| [person:them g(alexa:melanie) 4-4]

conv:people_0610_8:aug_0:chat_0:chataug_0| malia sasha| [person:malia f 0-0][person:sasha f 1-1]
malia| hi|
sasha| hi|
malia| would you like to come over for a girl s night in at my place on Saturday| [person:sasha f 1-1][person:malia f 13-13][location:place s 14-14]
sasha| i am taking my husband Tony to a paint night event for his birthday on Saturday| [person:sasha f 0-0][person:sasha f 3-3][person:tony m 4-4][person:tony m 5-5][person:tony m 12-12]
sasha| are you interested in going out with my brother Steve on Saturday instead| [person:malia f 1-1][person:sasha f 7-7][person:steve m 8-8][person:steve m 9-9]
malia| i am unsure about going out with him since ialso invited some of my other girl friends for the night in that day| [person:malia f 0-0][person:steve m 7-7][person:malia f 13-13][person:friends g() 16-16]
sasha| oh shucks|
malia| darn we cant find any time to hang out| [person:we g(malia:sasha) 1-1]
sasha| thats okay next time|
malia| what would you like to do next time we hang out| [person:sasha f 2-2][person:we g(malia:sasha) 8-8]
sasha| not sure when is the next time you are free| [person:malia f 7-7]
malia| i might be free the first week of next month| [person:malia f 0-0]
malia| does that work for you| [person:sasha f 4-4]
sasha| i think that will work for me| [person:sasha f 0-0][person:sasha f 6-6]
sasha| give me a sec to check my calendar| [person:sasha f 1-1][person:sasha f 6-6]

conv:people_0610_9:aug_0:chat_0:chataug_0| alex kristian| [person:alex m 0-0][person:kristian m 1-1]
kristian| Hey who are those new kids| [person:kids g() 5-5]
alex| I hear their names are Martin and Adam| [person:alex m 0-0][person:kids g() 2-2][person:martin m 5-5][person:adam m 7-7]
kristian| They have jerseys on do they play| [person:kids g(martin:adam) 0-0][person:kids g(martin:adam) 5-5]
alex| Yes I heard they are really good| [person:alex m 1-1][person:kids g(martin:adam) 3-3]
kristian| Wow new competition|
alex| We should challenge them| [person:we g(kristian:alex) 0-0][person:kids g(martin:adam) 3-3]
kristian| And then if they beat us our reputations are ruined| [person:kids g(martin:adam) 3-3][person:we g(kristian:alex) 5-5][person:we g(kristian:alex) 6-6]
alex| That would be embarrassing|
kristian| Should we ask them to join the team| [person:we g(kristian:alex) 1-1][person:kids g(martin:adam) 3-3][person:we g(kristian:alex) 7-7]
alex| Great idea|
kristian| They said yes| [person:kids g(martin:adam) 0-0]

conv:people_0610_10:aug_0:chat_0:chataug_0| gloria martha| [person:gloria f 0-0][person:martha f 1-1]
gloria| Martha let s make plans to go to the lake| [person:martha f 0-0]
martha| Yeah that would be a lot of fun|
gloria| Bryan has that sailboat we can meet up with him| [person:bryan m 0-0][person:we g(gloria:martha) 4-4][person:bryan m 9-9]
martha| That s right Bryan is great| [person:bryan m 3-3]
gloria| Would it be okay if I brought my friend Tyler with us| [person:gloria f 5-5][person:gloria f 7-7][person:tyler m 8-8][person:tyler m 9-9][person:we g(gloria:martha) 11-11]
martha| I don t think that s a good idea| [person:martha f 0-0]
gloria| Why isn t it a good idea|
martha| Bryan and Tyler don t get along| [person:bryan m 0-0][person:tyler m 2-2]
gloria| Why what happened between them| [person:them g(bryan:tyler) 4-4]
martha| Bryan is dating Tyler s exwife They started dating when Tyler and her were separated but still married| [person:bryan m 0-0][person:tyler m 3-3][person:they g(tyler) 6-6][person:tyler m 10-10][person:her f 12-12]
gloria| Oh that sounds scandalous|
martha| Yeah Bryan might even have her there| [person:bryan m 1-1][person:her f 5-5]
gloria| Then I won t bring Tyler| [person:gloria f 1-1][person:tyler m 5-5]

conv:people_0610_12:aug_0:chat_0:chataug_0| jake peter| [person:jake m 0-0][person:peter m 1-1]
jake| Hey just thinking about the trip| [location:trip s 5-5]
peter| I hear you I m planning what I m packing now| [person:peter m 0-0][person:jake m 2-2][person:peter m 3-3][person:peter m 7-7]
peter| Should we bring our camping gear That way we can rest on the way up| [person:we g(jake:peter) 1-1][person:our g(jake:peter) 3-3][person:we g(jake:peter) 8-8]
jake| Makes sense|
peter| Should we make a list of what to bring We can send that to Kenny and Aaron| [person:we g(jake:peter) 1-1][person:we g(jake:peter) 9-9][person:kenny m 14-14][person:aaron m 16-16]
jake| Definitely they ve never come with us before They ve only been rock climbing indoors for practice| [person:they g(kenny:aaron) 1-1][person:us g(jake:peter) 6-6][person:they g(kenny:aaron) 8-8]
peter| Yeah Kenny told me yesterday how excited he is| [person:kenny m 1-1][person:peter m 3-3][person:kenny m 7-7]
jake| I m excited too I think this is going to be a great trip| [person:jake m 0-0][person:jake m 4-4][location:trip s 13-13]
peter| Yeah there s nothing like the beauty of the outdoors|
jake| The national park we re going to is supposed to be beauty| [location:park s 2-2][person:we g(jake:peter) 3-3]
peter| It s been a while since I ve been climbing outdoors I m excited for that and hiking| [person:peter m 6-6][person:peter m 11-11]
peter| We ll be out there for a couple of days Just us and nature I m looking forward to getting away| [person:we g(jake:peter) 0-0][location:park s 4-4][person:us g(jake:peter) 11-11][person:peter m 14-14]

conv:people_0610_13:aug_0:chat_0:chataug_0| cynthia marvin| [person:cynthia f 0-0][person:marvin m 1-1]
marvin| Will Janice and Willy have good ideas| [person:janice f 1-1][person:willy m 3-3]
cynthia| Good ideas on what|
marvin| where we should go for our trip| [person:we g(marvin:cynthia) 1-1][person:we g(marvin:cynthia) 5-5][location:trip s 6-6]
cynthia| They might They have been everywhere literally| [person:they g(janice:willy) 0-0][person:they g(janice:willy) 2-2]
marvin| They probably have some good tips| [person:they g(janice:willy) 0-0]
cynthia| They would pick Spain I think| [person:they g(janice:willy) 0-0][location:spain s 3-3][person:cynthia f 4-4]
marvin| I am not big on Spain| [person:marvin m 0-0][location:spain s 5-5]
cynthia| where should we go then| [person:we g(marvin:cynthia) 2-2]
marvin| I was thinking Engand maybe| [person:marvin m 0-0]
cynthia| That sounds pretty good|

conv:people_0610_14:aug_0:chat_0:chataug_0| laura tina| [person:laura f 0-0][person:tina f 1-1]
laura| hey can we talk about plans to Miami| [person:we g(laura:tina) 2-2][location:miami s 7-7]
tina| sure whats up|
laura| I think it would be easier to stay at a hotel| [person:laura f 0-0][location:hotel s 10-10]
tina| Jane and Christina don t feel comfortable sharing room with strangers| [person:jane f 0-0][person:christina f 2-2][location:room s 8-8]
tina| they wouldn t like the idea| [person:they g(jane:christina) 0-0]
laura| are they uncomfortable with me| [person:they g(jane:christina) 1-1][person:laura f 4-4]
tina| no they just don t you well enough| [person:they g(jane:christina) 1-1][person:laura f 5-5]
laura| okay|
laura| well|
laura| what about renting out an entire apartment instead| [location:apartment s 6-6]
tina| thats not a bad idea|
tina| Ill ask Jane and Christina about it| [person:jane f 2-2][person:christina f 4-4][location:apartment s 6-6]
laura| okay let me know what they think about it| [person:laura f 2-2][person:they g(jane:christina) 5-5][location:apartment s 8-8]
laura| and soon please|
laura| before other places get rented out| [location:places g() 2-2]
tina| yeah I will| [person:tina f 1-1]
tina| thanks|

conv:people_0610_15:aug_0:chat_0:chataug_0| adam john| [person:adam m 0-0][person:john m 1-1]
adam| hey i m thinking of making an excuse to Rita| [person:adam m 1-1][person:rita f 9-9]
john| what type of excuse|
adam| I m gonna say that i got some important work for my office in that weekend| [person:adam m 0-0][person:adam m 5-5][person:adam m 11-11][location:office s 12-12]
john| um that sounds okay|
john| but i think you can handle it in some other way| [person:john m 1-1][person:adam m 3-3]
adam| what you think| [person:rita f 1-1]
john| you might can tell her you have change of plan| [person:adam m 0-0][person:rita f 4-4][person:adam m 5-5]
adam| dude i m not gonna tell her that i don t like horse riding because she likes that| [person:adam m 1-1][person:rita f 6-6][person:adam m 8-8][person:rita f 15-15]
john| you don t need to rather you should tell her that you have change of plan which sounds more fun| [person:adam m 0-0][person:adam m 6-6][person:rita f 9-9][person:adam m 11-11]
adam| yes you are right Let me think about that i should plan for something more for weekend except horse riding| [person:john m 1-1][person:adam m 5-5][person:adam m 9-9]

conv:people_0610_16:aug_0:chat_0:chataug_0| harold melinda| [person:harold m 0-0][person:melinda f 1-1]
melinda| Harold| [person:harold m 0-0]
harold| Yes dear| [person:melinda f 1-1]
melinda| Do you have anything planned for Jackie and Wilson s birthdays| [person:harold m 1-1][person:jackie f 6-6][person:wilson m 8-8]
harold| Oh wow thanks for reminding me I almost forgot| [person:harold m 5-5][person:harold m 6-6]
melinda| Better now than later anyways I was thinking we could do something exotic for them this year| [person:melinda f 5-5][person:we g(melinda:harold) 8-8][person:them g(jackie:wilson) 14-14]
harold| What do you have in mind| [person:melinda f 2-2]
melinda| I think Disney World would be a great options for them| [person:melinda f 0-0][location:disney_world s 2-3][person:them g(jackie:wilson) 10-10]
harold| Sounds pricey to me Melinda| [person:harold m 3-3][person:melinda f 4-4]
melinda| Oh you We never do anything big and what better way to celebrate our children s birthday while spending time with our family| [person:harold m 1-1][person:we g(melinda:harold) 2-2][person:we g(melinda:harold) 13-13][person:them g(jackie:wilson) 14-14][person:we g(melinda:harold) 21-21]
harold| hmmm you do have a point| [person:melinda f 1-1]
melinda| Of course I do now pass me your credit card| [person:melinda f 2-2][person:melinda f 6-6][person:harold m 7-7]
harold| Fine alright then|

conv:people_0610_17:aug_0:chat_0:chataug_0| jeff marvin| [person:jeff m 0-0][person:marvin m 1-1]
marvin| I am so excited| [person:marvin m 0-0]
jeff| You are thinkling about the new apartment aren t you| [person:marvin m 0-0][location:apartment s 6-6][person:marvin m 9-9]
marvin| Yeah We ve got the best place in the city for sure| [person:we g(marvin:jeff) 1-1][location:place s 6-6][location:city s 9-9]
jeff| Yeah and to think we almost lost the opportunity| [person:we g(marvin:jeff) 4-4]
marvin| I am still a little nervous about Bradley and Heather though| [person:marvin m 0-0][person:bradley m 7-7][person:heather f 9-9]
jeff| Why They seem perfect| [person:they g(bradley:heather) 1-1]
marvin| That s the problem After reading their emails the seem too good to be true| [person:they g(bradley:heather) 6-6]
jeff| WHo cares They are going to help pay the rent That s why we need them| [person:they g(bradley:heather) 2-2][person:we g(marvin:jeff) 13-13][person:they g(bradley:heather) 15-15]
marvin| I guess so but what if they turn out to be neat fraks Or what if they they spend all their time in the kitchen| [person:marvin m 0-0][person:they g(bradley:heather) 6-6][person:they g(bradley:heather) 16-16][person:they g(bradley:heather) 17-17][person:they g(bradley:heather) 20-20][location:kitchen s 24-24]
jeff| Then we won t need a maid or a chef We just get them to do all the cooking and cleaning I don t see a downside here| [person:we g(marvin:jeff) 1-1][person:we g(marvin:jeff) 10-10][person:they g(bradley:heather) 13-13][person:jeff m 21-21]
marvin| They might be vegetarians| [person:they g(bradley:heather) 0-0]
jeff| Oh snap|

conv:people_0610_19:aug_0:chat_0:chataug_0| mario nina| [person:mario m 0-0][person:nina f 1-1]
nina| Mario I have had enough This custody battle is difficult enough without your girlfriend doing drugs in front of the kids| [person:mario m 0-0][person:nina f 1-1][person:mario m 12-12][person:vira f 13-13][person:kids g() 20-20]
mario| Stop accusing Vira of this nonsense that never happened| [person:vira f 2-2]
nina| Stop trying to lie to me Mario The kids told me what they saw her doing and it sounds like drugs to me| [person:nina f 5-5][person:mario m 6-6][person:kids g() 8-8][person:nina f 10-10][person:kids g() 12-12][person:vira f 14-14][person:nina f 22-22]
mario| You know nothing stop trying to investigate us Just because we were once married doesn t mean you know a thing about me And you especially no nothing about my girlfriend| [person:nina f 0-0][person:us g(mario:vira) 7-7][person:we g(nina:mario) 10-10][person:nina f 17-17][person:mario m 22-22][person:nina f 24-24][person:mario m 29-29]
nina| She is not trustworthy and I have good reason to believe she would take drugs in front of them because of the way she has acted to me| [person:vira f 0-0][person:nina f 5-5][person:vira f 11-11][person:kids g() 18-18][person:vira f 23-23][person:nina f 27-27]
mario| Listen here Nina she treats you like that because she knows how nasty you are Stop making assumptions| [person:nina f 2-2][person:vira f 3-3][person:nina f 5-5][person:vira f 9-9][person:nina f 13-13]
mario| Get out of my business| [person:mario m 3-3]
nina| This is not your business Mario these are my kids and I don t want them hanging around drug addicts all day| [person:mario m 3-3][person:mario m 5-5][person:nina f 8-8][person:kids g() 9-9][person:nina f 11-11][person:kids g() 15-15]
mario| Vira is not an addict| [person:vira f 0-0]
nina| She totally is Listen if you do not warn your sweet Vira to stop taking drugs in front of them I will take action| [person:vira f 0-0][person:mario m 5-5][person:mario m 9-9][person:vira f 11-11][person:kids g() 19-19][person:nina f 20-20]
mario| Stop intervening in my life Nina| [person:mario m 3-3][person:nina f 5-5]
nina| No these are MY kids If you don t tell her to knock it off I m going to ask Costa from child services to search your home before each visit| [person:nina f 3-3][person:kids g() 4-4][person:mario m 6-6][person:vira f 10-10][person:nina f 15-15][person:costa m 20-20][person:mario m 26-26][location:home s 27-27]

conv:people_0610_22:aug_0:chat_0:chataug_0| abigail anne| [person:abigail f 0-0][person:anne f 1-1]
abigail| Hey Anne We have to plan Dad s surprise birthday party| [person:anne f 1-1][person:we g(abigail:anne) 2-2][person:abigail_and_anne_s_dad m 6-6]
anne| Ok I ll be right over| [person:anne f 1-1]
abigail| We should get Patrick on the speakerphone to get his 2 cents| [person:we g(abigail:anne) 0-0][person:patrick m 3-3][person:patrick m 9-9]
anne| He doesn t have a penny let alone two| [person:patrick m 0-0]
abigail| LOL What is that suppossed to mean|
anne| I mean he s hard to reach And he doesn t like parties anyways| [person:anne f 0-0][person:patrick m 2-2][person:patrick m 8-8]
abigail| Well do you know who doesn t like parties either| [person:anne f 2-2]
anne| I dunno Who are you talking about| [person:anne f 0-0][person:abigail f 4-4]
abigail| Dad He s bored to death at parties| [person:abigail_and_anne_s_dad m 0-0][person:abigail_and_anne_s_dad m 1-1]
anne| OMG That s true I forgot Like father like son| [person:anne f 4-4][person:patrick m 9-9]
abigail| Maybe this whole thing is a bad idea|

conv:people_0610_23:aug_0:chat_0:chataug_0| jane john| [person:jane f 0-0][person:john m 1-1]
john| Let s go out for the evening|
jane| That sounds great John| [person:john m 3-3]
john| Do you have a babysitter for hire| [person:jane f 1-1]
jane| I can t decide between Rita and Adam| [person:jane f 0-0][person:rita f 5-5][person:adam m 7-7]
john| What is there to decide|
jane| Well Rita keeps the place tidy| [person:rita f 1-1][location:place s 4-4]
john| What about Adam| [person:adam m 2-2]
jane| Adam is great with little Timmy| [person:adam m 0-0][person:timmy m 5-5]
john| Don t ponder it too much just go with Adam| [person:adam m 9-9]
jane| Well maybe I should stick with Rita| [person:jane f 2-2][person:rita f 6-6]

conv:people_0610_24:aug_0:chat_0:chataug_0| chloe sofia| [person:chloe f 0-0][person:sofia f 1-1]
sofia| What are your plans this summer| [person:chloe f 2-2]
chloe| I have nothing planned| [person:chloe f 0-0]
chloe| I ve been really wanting to camp though| [person:chloe f 0-0]
sofia| Me too| [person:sofia f 0-0]
sofia| Although I haven t camped since I was a kid| [person:sofia f 1-1][person:sofia f 6-6]
sofia| Not sure how I would handle being in the nature| [person:sofia f 3-3]
chloe| Haha completely in the same boat|
chloe| But you know who is good at camping| [person:chloe f 1-1]
chloe| Abraham and Jeff| [person:abraham m 0-0][person:jeff m 2-2]
chloe| They go camping every year| [person:they g(abraham:jeff) 0-0]
sofia| Great idea We should ask if they want to join| [person:we g(sofia:chloe) 2-2][person:they g(abraham:jeff) 6-6]
chloe| I ll text them now| [person:chloe f 0-0][person:they g(abraham:jeff) 3-3]
chloe| They said they d love to come| [person:they g(abraham:jeff) 0-0][person:they g(abraham:jeff) 2-2]
chloe| They love us and they love the outdoors| [person:they g(abraham:jeff) 0-0][person:we g(sofia:chloe) 2-2][person:they g(abraham:jeff) 4-4]
sofia| Perfect|

conv:people_0610_25:aug_0:chat_0:chataug_0| derek randy| [person:derek m 0-0][person:randy m 1-1]
derek| Hey remember that Tanya and Debbie s birthdays are coming up| [person:tanya f 3-3][person:debbie f 5-5]
randy| Oh yeah What do you think we should do for thme| [person:derek m 4-4][person:we g(derek:randy) 6-6]
derek| Well I was thinking Tanya and Debbie really love food right They re selfproclaimed foodies after all I was thinking we should go out to that restaurant we went to that one time the fancy one| [person:derek m 1-1][person:tanya f 4-4][person:debbie f 6-6][person:they g(tanya:debbie) 11-11][person:derek m 17-17][person:we_4 g(derek:randy:tanya:debbie) 20-20]
randy| Hmm well that s an interesting idea But on second thought I know they love food but I think they just want to hang out at home with all of us| [person:randy m 11-11][person:they g(tanya:debbie) 13-13][person:randy m 17-17][person:they g(tanya:debbie) 19-19][person:us g(derek:randy) 30-30]
